0000000278183888 (__TEXT,__text) non-external _Done_iODBC
00000002781a29b0 (__TEXT,__const) non-external _FunctionNumbers
00000002781a17b0 (__TEXT,__text) non-external _GetPrivateProfileString
00000002781836f8 (__TEXT,__text) non-external _Init_iODBC
000000029416497c (__DATA,__common) non-external _ODBCSharedTraceFlag
0000000278181ddc (__TEXT,__text) external _SQLAllocConnect
0000000278181cdc (__TEXT,__text) non-external _SQLAllocConnect_Internal
0000000278183668 (__TEXT,__text) external _SQLAllocEnv
00000002781834b4 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000027818d6f8 (__TEXT,__text) external _SQLAllocHandle
000000027818d810 (__TEXT,__text) non-external _SQLAllocHandleStd
000000027818d458 (__TEXT,__text) non-external _SQLAllocHandle_Internal
0000000278186394 (__TEXT,__text) external _SQLAllocStmt
0000000278185e64 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000027818b400 (__TEXT,__text) external _SQLBindCol
0000000278193494 (__TEXT,__text) external _SQLBindParam
000000027818a8e0 (__TEXT,__text) external _SQLBindParameter
000000027817e9fc (__TEXT,__text) external _SQLBrowseConnect
000000027817eb44 (__TEXT,__text) external _SQLBrowseConnectA
000000027817ec8c (__TEXT,__text) external _SQLBrowseConnectW
000000027817e4a4 (__TEXT,__text) non-external _SQLBrowseConnect_Internal
0000000278192f90 (__TEXT,__text) external _SQLBulkOperations
00000002781872e8 (__TEXT,__text) external _SQLCancel
00000002781934d8 (__TEXT,__text) external _SQLCloseCursor
00000002781929d0 (__TEXT,__text) external _SQLColAttribute
0000000278192b78 (__TEXT,__text) external _SQLColAttributeA
0000000278192d20 (__TEXT,__text) external _SQLColAttributeW
0000000278192324 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000027818cf60 (__TEXT,__text) external _SQLColAttributes
000000027818d108 (__TEXT,__text) external _SQLColAttributesA
000000027818d2b0 (__TEXT,__text) external _SQLColAttributesW
000000027818cad8 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000027817792c (__TEXT,__text) external _SQLColumnPrivileges
0000000278177b08 (__TEXT,__text) external _SQLColumnPrivilegesA
0000000278177ce4 (__TEXT,__text) external _SQLColumnPrivilegesW
000000027817769c (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
0000000278178150 (__TEXT,__text) external _SQLColumns
000000027817832c (__TEXT,__text) external _SQLColumnsA
0000000278178508 (__TEXT,__text) external _SQLColumnsW
0000000278177ec0 (__TEXT,__text) non-external _SQLColumns_Internal
000000027817bdf8 (__TEXT,__text) external _SQLConnect
000000027817c588 (__TEXT,__text) external _SQLConnectA
000000027817c6e8 (__TEXT,__text) external _SQLConnectW
000000027817bf58 (__TEXT,__text) non-external _SQLConnect_Internal
00000002781a2430 (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
00000002781921a8 (__TEXT,__text) external _SQLCopyDesc
0000000278187df8 (__TEXT,__text) external _SQLDataSources
0000000278187f40 (__TEXT,__text) external _SQLDataSourcesA
0000000278188088 (__TEXT,__text) external _SQLDataSourcesW
000000027818798c (__TEXT,__text) non-external _SQLDataSources_Internal
0000000294164900 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
0000000294164920 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
0000000294164928 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000027818c544 (__TEXT,__text) external _SQLDescribeCol
000000027818c720 (__TEXT,__text) external _SQLDescribeColA
000000027818c8fc (__TEXT,__text) external _SQLDescribeColW
000000027818c298 (__TEXT,__text) non-external _SQLDescribeCol_Internal
0000000278180b54 (__TEXT,__text) external _SQLDescribeParam
000000027817edd4 (__TEXT,__text) external _SQLDisconnect
000000027817e030 (__TEXT,__text) external _SQLDriverConnect
000000027817e1ac (__TEXT,__text) external _SQLDriverConnectA
000000027817e328 (__TEXT,__text) external _SQLDriverConnectW
000000027817c848 (__TEXT,__text) non-external _SQLDriverConnect_Internal
00000002781a245c (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
00000002781a2488 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
00000002781886b8 (__TEXT,__text) external _SQLDrivers
0000000278188800 (__TEXT,__text) external _SQLDriversA
0000000278188948 (__TEXT,__text) external _SQLDriversW
00000002781882c4 (__TEXT,__text) non-external _SQLDrivers_Internal
0000000294164904 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
