00000002272ee348 (__TEXT,__text) non-external +[CBOR cborFalse]
00000002272ee2c0 (__TEXT,__text) non-external +[CBOR cborNil]
00000002272ee304 (__TEXT,__text) non-external +[CBOR cborTrue]
00000002272edca8 (__TEXT,__text) non-external +[CBOR cborWithArray:]
00000002272ede50 (__TEXT,__text) non-external +[CBOR cborWithData:]
00000002272ee1a0 (__TEXT,__text) non-external +[CBOR cborWithDateTime:]
00000002272edd48 (__TEXT,__text) non-external +[CBOR cborWithDictionary:]
00000002272edde8 (__TEXT,__text) non-external +[CBOR cborWithDictionary:keyOrderList:]
00000002272edc28 (__TEXT,__text) non-external +[CBOR cborWithDouble:]
00000002272ee38c (__TEXT,__text) non-external +[CBOR cborWithEmbeddedCBORData:]
00000002272edef0 (__TEXT,__text) non-external +[CBOR cborWithEncodedTag24Data:]
00000002272edba8 (__TEXT,__text) non-external +[CBOR cborWithFloat:]
00000002272ee080 (__TEXT,__text) non-external +[CBOR cborWithFullDate:]
00000002272edb28 (__TEXT,__text) non-external +[CBOR cborWithHalfFloat:]
00000002272ed9c0 (__TEXT,__text) non-external +[CBOR cborWithInteger:]
00000002272edfe0 (__TEXT,__text) non-external +[CBOR cborWithUTF8String:]
00000002272eda7c (__TEXT,__text) non-external +[CBOR cborWithUnsignedInteger:]
00000002272e8c1c (__TEXT,__text) non-external +[CBOR encodeMajorType2or3:]
00000002272e91ac (__TEXT,__text) non-external +[CBOR encodeMajorType7Bool:]
00000002272e915c (__TEXT,__text) non-external +[CBOR encodeMajorType7Undefined]
00000002272efb6c (__TEXT,__text) non-external +[CBOR(COSE) cborWithCOSE:]
00000002272f268c (__TEXT,__text) non-external +[CBOR(COSEKey) cborWithCOSEKey:]
00000002272ea0e8 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:]
00000002272ea0f4 (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:]
00000002272ea0fc (__TEXT,__text) non-external +[CBOR(Decoder) decodeFromData:keepKeyOrdering:noCopy:]
00000002272ea540 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeFromBytes:length:recursionLevel:keepKeyOrdering:noCopy:]
00000002272ea7fc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType0And1FromBuffer:length:tag:]
00000002272eaba8 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType2And3FromBuffer:length:tag:indefiniteLenContainerType:noCopy:]
00000002272eb2bc (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType4FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00000002272eb774 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType5FromBuffer:length:tag:recursionLevel:keepKeyOrdering:noCopy:]
00000002272ebd98 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType6FromBuffer:length:tag:]
00000002272ec064 (__TEXT,__text) non-external +[CBOR(Decoder_Private) decodeMajorType7FromBuffer:length:tag:]
00000002272e9210 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:]
00000002272e9218 (__TEXT,__text) non-external +[NSData(CBOR) dataWithCBOR:encodingKeyOrder:]
00000002272f0d54 (__TEXT,__text) non-external +[NSData(COSE) dataWithCOSE:]
00000002272f2694 (__TEXT,__text) non-external +[NSData(COSEKey) dataWithCOSEKey:]
00000002272ee528 (__TEXT,__text) non-external -[CBOR .cxx_destruct]
00000002272ecd8c (__TEXT,__text) non-external -[CBOR array]
00000002272ecb5c (__TEXT,__text) non-external -[CBOR boolValue]
00000002272ee504 (__TEXT,__text) non-external -[CBOR cachedHash]
00000002272ec4d8 (__TEXT,__text) non-external -[CBOR copyWithZone:]
00000002272eccdc (__TEXT,__text) non-external -[CBOR data]
00000002272ece64 (__TEXT,__text) non-external -[CBOR date]
00000002272ed448 (__TEXT,__text) non-external -[CBOR description]
00000002272ecdf8 (__TEXT,__text) non-external -[CBOR dictionary]
00000002272eca64 (__TEXT,__text) non-external -[CBOR doubleValue]
00000002272ee454 (__TEXT,__text) non-external -[CBOR encodeToEmbeddedCBORData]
00000002272ec8ac (__TEXT,__text) non-external -[CBOR hash]
00000002272ec800 (__TEXT,__text) non-external -[CBOR initWithCbor:tag:]
00000002272ec51c (__TEXT,__text) non-external -[CBOR initWithType:value:valueSize:tag:]
00000002272ed33c (__TEXT,__text) non-external -[CBOR isBoolean]
00000002272ed350 (__TEXT,__text) non-external -[CBOR isDate]
00000002272ed3e8 (__TEXT,__text) non-external -[CBOR isEmbeddedCBORData]
00000002272ec8b0 (__TEXT,__text) non-external -[CBOR isEqual:]
00000002272ed328 (__TEXT,__text) non-external -[CBOR isFloatNumber]
00000002272ed30c (__TEXT,__text) non-external -[CBOR isWholeNumber]
00000002272ec96c (__TEXT,__text) non-external -[CBOR longLongValue]
00000002272ecad8 (__TEXT,__text) non-external -[CBOR numeric]
00000002272ee514 (__TEXT,__text) non-external -[CBOR orderedKeys]
00000002272ee50c (__TEXT,__text) non-external -[CBOR setCachedHash:]
00000002272ee51c (__TEXT,__text) non-external -[CBOR setOrderedKeys:]
00000002272ee4d4 (__TEXT,__text) non-external -[CBOR setTag:]
00000002272ee4e8 (__TEXT,__text) non-external -[CBOR setValue:]
00000002272ee4fc (__TEXT,__text) non-external -[CBOR setValueSize:]
00000002272ecbdc (__TEXT,__text) non-external -[CBOR string]
00000002272ee4cc (__TEXT,__text) non-external -[CBOR tag]
00000002272ee4c4 (__TEXT,__text) non-external -[CBOR type]
00000002272ec9e0 (__TEXT,__text) non-external -[CBOR unsignedLongLongValue]
00000002272ee4f4 (__TEXT,__text) non-external -[CBOR valueSize]
00000002272ee4e0 (__TEXT,__text) non-external -[CBOR value]
00000002272ea1a4 (__TEXT,__text) non-external -[CBOR(Decoder) asJSON]
00000002272efa38 (__TEXT,__text) non-external -[COSE .cxx_destruct]
00000002272eee28 (__TEXT,__text) non-external -[COSE _parseCommonHeaderParameters:]
00000002272ef4a0 (__TEXT,__text) non-external -[COSE _searchForHeaderLabel:]
00000002272efa08 (__TEXT,__text) non-external -[COSE algorithmIdentifier]
00000002272efa18 (__TEXT,__text) non-external -[COSE contentType]
00000002272eed5c (__TEXT,__text) non-external -[COSE content]
00000002272efa10 (__TEXT,__text) non-external -[COSE criticalHeaderParameters]
00000002272ee6f8 (__TEXT,__text) non-external -[COSE initWithCBOR:]
00000002272ee578 (__TEXT,__text) non-external -[COSE initWithData:]
00000002272ee5cc (__TEXT,__text) non-external -[COSE initWithData:type:]
00000002272eea18 (__TEXT,__text) non-external -[COSE initWithProtectedHeaders:unprotectedHeaders:payload:type:additionalCBORs:]
00000002272efa28 (__TEXT,__text) non-external -[COSE initializationVector]
00000002272efa20 (__TEXT,__text) non-external -[COSE keyIdentifier]
00000002272efa30 (__TEXT,__text) non-external -[COSE partialInitializationVector]
00000002272eec5c (__TEXT,__text) non-external -[COSE protectedHeaderParameters]
00000002272efa00 (__TEXT,__text) non-external -[COSE protectedHeadererDictionary]
00000002272efab8 (__TEXT,__text) non-external -[COSE setType:]
00000002272efb3c (__TEXT,__text) non-external -[COSE sourceObject]
00000002272eedf0 (__TEXT,__text) non-external -[COSE tag]
00000002272ef9f8 (__TEXT,__text) non-external -[COSE type]
00000002272eecdc (__TEXT,__text) non-external -[COSE unprotectedHeaderParameters]
00000002272f25f4 (__TEXT,__text) non-external -[COSEKey .cxx_destruct]
00000002272f199c (__TEXT,__text) non-external -[COSEKey _initCBORWithMemberParams]
00000002272f25cc (__TEXT,__text) non-external -[COSEKey algorithm]
00000002272f25e4 (__TEXT,__text) non-external -[COSEKey baseInitializationVector]
00000002272f24c4 (__TEXT,__text) non-external -[COSEKey ecCurveD]
00000002272f2404 (__TEXT,__text) non-external -[COSEKey ecCurveIdentifier]
00000002272f2444 (__TEXT,__text) non-external -[COSEKey ecCurveX]
00000002272f2484 (__TEXT,__text) non-external -[COSEKey ecCurveY]
00000002272efb3c (__TEXT,__text) non-external -[COSEKey getSource]
00000002272f25d4 (__TEXT,__text) non-external -[COSEKey identifier]
00000002272f1f84 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:signBit:d:keyOperations:keyIdentifier:]
00000002272f2124 (__TEXT,__text) non-external -[COSEKey initEC2WithAlgorithm:curveIdentifier:x:y:d:keyOperations:keyIdentifier:]
00000002272f22a8 (__TEXT,__text) non-external -[COSEKey initOKPWithAlgorithm:curveIdentifier:x:d:keyOperations:keyIdentifier:]
00000002272f0e14 (__TEXT,__text) non-external -[COSEKey initWithCBOR:]
00000002272f0dc0 (__TEXT,__text) non-external -[COSEKey initWithData:]
00000002272f2584 (__TEXT,__text) non-external -[COSEKey okpCurveD]
00000002272f2504 (__TEXT,__text) non-external -[COSEKey okpCurveIdentifier]
00000002272f2544 (__TEXT,__text) non-external -[COSEKey okpCurveX]
