00000001827d6908 (__TEXT,__text) external _CreateLSTMBreakEngine
00000001827d68cc (__TEXT,__text) external _CreateLSTMData
00000001827d6778 (__TEXT,__text) external _CreateLSTMDataForScript
00000001827d6abc (__TEXT,__text) external _DeleteLSTMData
00000001827d6b08 (__TEXT,__text) external _LSTMDataName
00000001827b5870 (__TEXT,__text) external _T_CString_int64ToString
00000001827b57a0 (__TEXT,__text) external _T_CString_integerToString
00000001827b5944 (__TEXT,__text) external _T_CString_stringToInteger
00000001827b5748 (__TEXT,__text) external _T_CString_toLowerCase
00000001827b5774 (__TEXT,__text) external _T_CString_toUpperCase
00000001828220d4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
0000000182821e30 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
0000000182821d00 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
0000000182821f78 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
000000018282264c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00000001828225f4 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
0000000182821e2c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
0000000182822618 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
000000018286fbc4 (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00000001829e2858 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00000001827acc24 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00000001827acb40 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00000001827accdc (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00000001827accd4 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00000001827acb3c (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00000001827acb38 (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00000001827acb34 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
000000018289b3c8 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
000000018289b508 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
000000018289b274 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
000000018289b2f0 (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
000000018289b32c (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
000000018289b328 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
000000018289b324 (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
000000018289b330 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00000001827b4fac (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00000001827b5240 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00000001827b4b5c (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00000001827b50ac (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00000001827b5190 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00000001827b5144 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00000001827b52d0 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00000001827b4e00 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00000001827b4da0 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00000001827b4af0 (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00000001827b4d80 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00000001827b4940 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00000001827b48c0 (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00000001827b4944 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00000001828c3608 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00000001828c3490 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00000001828c3240 (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00000001828c3470 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00000001828c31ec (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00000001828c3460 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00000001828c2ce4 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
