00007ffb0559d372 (__TEXT,__text) non-external _DiToMD5
00007ffb0559d5f2 (__TEXT,__text) non-external _DiToSHA1
00007ffb055865a6 (__TEXT,__text) external _DriverExecutableMain
00007ffb41087158 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffb05585f4b (__TEXT,__text) external _IOCallOnce
00007ffb41087418 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffb41087320 (__DATA_CONST,__const) external _IOCommand_Class
00007ffb41087510 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffb410876c0 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffb05582f86 (__TEXT,__text) external _IODelay
00007ffb41087870 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffb41087a20 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffb05586b7a (__TEXT,__text) external _IODriverKitTest
00007ffb055ae26b (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffb055ae28e (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffb055ae2b1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffb055ae2d4 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffb055ae2f7 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffb055ae31a (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffb055ae345 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffb055ae368 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffb41087bd0 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffb41087d80 (__DATA_CONST,__const) external _IOExtensiblePaniclog_Class
00007ffb05582f32 (__TEXT,__text) external _IOFree
00007ffb05582f6c (__TEXT,__text) external _IOFreeData
00007ffb05586b5e (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffb41088650 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffb41087f60 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffb05582f99 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffb05585c4e (__TEXT,__text) external _IOLockAlloc
00007ffb05585ca7 (__TEXT,__text) external _IOLockAssert
00007ffb055adce2 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffb05585c73 (__TEXT,__text) external _IOLockFree
00007ffb05585c89 (__TEXT,__text) external _IOLockLock
00007ffb05585c93 (__TEXT,__text) external _IOLockTryLock
00007ffb05585c9d (__TEXT,__text) external _IOLockUnlock
00007ffb05582d41 (__TEXT,__text) external _IOLog
00007ffb05582bfd (__TEXT,__text) external _IOLogBuffer
00007ffb05582ddf (__TEXT,__text) external _IOLogv
00007ffb055ad6a4 (__TEXT,__text) non-external _IOLogv.cold.1
00007ffb05582edc (__TEXT,__text) external _IOMalloc
00007ffb05582f3c (__TEXT,__text) external _IOMallocData
00007ffb05582efc (__TEXT,__text) external _IOMallocTyped
00007ffb05582f06 (__TEXT,__text) external _IOMallocZero
00007ffb05582f50 (__TEXT,__text) external _IOMallocZeroData
00007ffb05582f1d (__TEXT,__text) external _IOMallocZeroTyped
00007ffb41088110 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffb410882c0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffb05583019 (__TEXT,__text) external _IOParseBootArgNumber
00007ffb05583468 (__TEXT,__text) external _IOParseBootArgString
00007ffb05584eaf (__TEXT,__text) external _IORPCMessageFromMach
00007ffb055ada7d (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffb055adaa0 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffb05585ea9 (__TEXT,__text) external _IORWLockAlloc
00007ffb055addfa (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffb05585ee8 (__TEXT,__text) external _IORWLockFree
00007ffb05585f0f (__TEXT,__text) external _IORWLockRead
00007ffb055ade1d (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffb05585f37 (__TEXT,__text) external _IORWLockUnlock
00007ffb055ade63 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffb05585f23 (__TEXT,__text) external _IORWLockWrite
00007ffb055ade40 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffb05585d29 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffb05585d5f (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffb05585e1b (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffb055add91 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffb05585d75 (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffb055add05 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffb055add28 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffb05585e4b (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffb055addb4 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffb055addd7 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffb05585dc9 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffb055add4b (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00007ffb055add6e (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00007ffb05585cc3 (__TEXT,__text) external _IORecursiveLockAlloc
00007ffb05585ce9 (__TEXT,__text) external _IORecursiveLockFree
00007ffb05585d15 (__TEXT,__text) external _IORecursiveLockHaveLock
00007ffb05585cff (__TEXT,__text) external _IORecursiveLockLock
00007ffb05585d1f (__TEXT,__text) external _IORecursiveLockTryLock
00007ffb05585d0b (__TEXT,__text) external _IORecursiveLockUnlock
00007ffb410886f0 (__DATA_CONST,__const) external _IOReportLegend_Class
00007ffb41088470 (__DATA_CONST,__const) external _IOReporter_Class
00007ffb41088d20 (__DATA_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00007ffb41088ed0 (__DATA_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00007ffb41088b70 (__DATA_CONST,__const) external _IOService_Class
00007ffb41088510 (__DATA_CONST,__const) external _IOSimpleReporter_Class
00007ffb05582f76 (__TEXT,__text) external _IOSleep
00007ffb410885b0 (__DATA_CONST,__const) external _IOStateReporter_Class
00007ffb05585fc2 (__TEXT,__text) external _IOThreadLocalStorageGet
00007ffb05585f5d (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00007ffb05585f8c (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00007ffb05585fa1 (__TEXT,__text) external _IOThreadLocalStorageSet
00007ffb4108acd0 (__DATA_CONST,__const) external _IOThread_Class
00007ffb41089080 (__DATA_CONST,__const) external _IOTimerDispatchSource_Class
00007ffb41089230 (__DATA_CONST,__const) external _IOUserClient_Class
00007ffb055865ec (__TEXT,__text) external _IOUserServerMain
00007ffb055ae10d (__TEXT,__text) non-external _IOUserServerMain.cold.1
00007ffb055ae248 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00007ffb055ae130 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00007ffb055ae153 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00007ffb055ae176 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00007ffb055ae199 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00007ffb055ae1bc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00007ffb055ae1df (__TEXT,__text) non-external _IOUserServerMain.cold.7
00007ffb055ae202 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00007ffb055ae225 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00007ffb410895b0 (__DATA_CONST,__const) external _IOUserServer_Class
00007ffb43143578 (__DATA_DIRTY,__common) external _IOVMPageSize
00007ffb41089760 (__DATA_CONST,__const) external _IOWorkGroup_Class
00007ffb0559d4db (__TEXT,__text) external _MD5Final
00007ffb0559d2f0 (__TEXT,__text) external _MD5Init
00007ffb0559d46f (__TEXT,__text) non-external _MD5ToDi
00007ffb0559d3cb (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00007ffb41089910 (__DATA_CONST,__const) external _OSAction_Class
00007ffb410892d0 (__DATA_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00007ffb4108aa10 (__DATA_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00007ffb0558f4db (__TEXT,__text) external _OSArrayAppendValue
00007ffb0558f14a (__TEXT,__text) external _OSArrayApply
00007ffb0558f0f9 (__TEXT,__text) external _OSArrayCreate
00007ffb0558e7bf (__TEXT,__text) external _OSArrayGetCount
00007ffb0558f569 (__TEXT,__text) external _OSArrayGetStringValue
00007ffb0558f5d9 (__TEXT,__text) external _OSArrayGetUInt64Value
00007ffb0558f50f (__TEXT,__text) external _OSArrayGetValue
00007ffb0558f4cc (__TEXT,__text) external _OSArrayReplaceValue
00007ffb0558f594 (__TEXT,__text) external _OSArraySetStringValue
00007ffb0558f69f (__TEXT,__text) external _OSArraySetUInt64Value
00007ffb0558f330 (__TEXT,__text) external _OSArraySetValue
00007ffb41089ac0 (__DATA_CONST,__const) external _OSArray_Class
00007ffb41089bb8 (__DATA_CONST,__const) external _OSBoolean_Class
00007ffb41089cb0 (__DATA_CONST,__const) external _OSBundle_Class
00007ffb0558d3ad (__TEXT,__text) external _OSCollectionTypeID
00007ffb055aeda6 (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00007ffb0558d334 (__TEXT,__text) external _OSCollectionTypeName
00007ffb055aed62 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
00007ffb41089da8 (__DATA_CONST,__const) external _OSCollection_Class
00007ffb05591ce6 (__TEXT,__text) external _OSCollectionsInitialize
00007ffb41089ea0 (__DATA_CONST,__const) external _OSContainer_Class
00007ffb0558d408 (__TEXT,__text) external _OSCreateObjectFromSerialization
00007ffb055aedec (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00007ffb0558ffb3 (__TEXT,__text) external _OSCreateSerializationFromBytes
00007ffb055af31a (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00007ffb0558feb8 (__TEXT,__text) external _OSCreateSerializationFromObject
00007ffb0558e636 (__TEXT,__text) external _OSDataAppendBytes
00007ffb0558e597 (__TEXT,__text) external _OSDataCreate
00007ffb055aef8c (__TEXT,__text) non-external _OSDataCreate.cold.1
00007ffb0558e543 (__TEXT,__text) external _OSDataGetBytes
00007ffb0558e4f3 (__TEXT,__text) external _OSDataGetBytesPtr
00007ffb0558e532 (__TEXT,__text) external _OSDataGetLength
00007ffb4108a000 (__DATA_CONST,__const) external _OSData_Class
00007ffb0558e7cc (__TEXT,__text) external _OSDictionaryApply
00007ffb0558e761 (__TEXT,__text) external _OSDictionaryCreate
00007ffb0558e7b2 (__TEXT,__text) external _OSDictionaryGetCount
00007ffb0558ee78 (__TEXT,__text) external _OSDictionaryGetStringValue
00007ffb0558f01f (__TEXT,__text) external _OSDictionaryGetUInt64Value
00007ffb0558edf3 (__TEXT,__text) external _OSDictionaryGetValue
00007ffb0558efda (__TEXT,__text) external _OSDictionarySetStringValue
00007ffb0558f0bb (__TEXT,__text) external _OSDictionarySetUInt64Value
00007ffb0558ea96 (__TEXT,__text) external _OSDictionarySetValue
00007ffb4108a0f8 (__DATA_CONST,__const) external _OSDictionary_Class
00007ffb4108a1f0 (__DATA_CONST,__const) external _OSMappedFile_Class
00007ffb0558e701 (__TEXT,__text) external _OSNumberCreateWithUInt64Value
00007ffb0558e6e0 (__TEXT,__text) external _OSNumberGetUInt64Value
00007ffb4108a2e8 (__DATA_CONST,__const) external _OSNumber_Class
00007ffb0559053e (__TEXT,__text) external _OSObjectLog
00007ffb0558d36a (__TEXT,__text) external _OSObjectRelease
00007ffb0558d35f (__TEXT,__text) external _OSObjectRetain
00007ffb4108a3e0 (__DATA_CONST,__const) external _OSObject_Class
00007ffb4108a590 (__DATA_CONST,__const) external _OSOrderedSet_Class
00007ffb05583477 (__TEXT,__text) external _OSReportWithBacktrace
00007ffb055900e7 (__TEXT,__text) external _OSSerializationGetBytes
00007ffb4108a688 (__DATA_CONST,__const) external _OSSerialization_Class
00007ffb4108a780 (__DATA_CONST,__const) external _OSSet_Class
00007ffb0558df8c (__TEXT,__text) external _OSStringCreate
00007ffb055aee9b (__TEXT,__text) non-external _OSStringCreate.cold.1
00007ffb055aeebe (__TEXT,__text) non-external _OSStringCreate.cold.2
00007ffb055aeedf (__TEXT,__text) non-external _OSStringCreate.cold.3
00007ffb0558df43 (__TEXT,__text) external _OSStringGetLength
00007ffb0558df0a (__TEXT,__text) external _OSStringGetStringPtr
00007ffb4108a878 (__DATA_CONST,__const) external _OSString_Class
00007ffb05582f90 (__TEXT,__text) external _OSSynchronizeIO
00007ffb4345f1e0 (__DATA,__bss) non-external _OSUniqueStrings
00007ffb05583794 (__TEXT,__text) external _PE_i_can_has_debugger
00007ffb0559d75b (__TEXT,__text) external _SHA1Final
00007ffb0559d570 (__TEXT,__text) external _SHA1Init
00007ffb0559d6f8 (__TEXT,__text) non-external _SHA1ToDi
00007ffb0559d653 (__TEXT,__text) external _SHA1Update
00007ffb0559df3d (__TEXT,__text) external _SHA256_Final
00007ffb0559ded1 (__TEXT,__text) external _SHA256_Init
00007ffb055afad0 (__TEXT,__text) non-external _SHA256_Init.cold.1
00007ffb0559df0a (__TEXT,__text) external _SHA256_Update
00007ffb0559dfd4 (__TEXT,__text) external _SHA384_Final
00007ffb0559df62 (__TEXT,__text) external _SHA384_Init
00007ffb055afae9 (__TEXT,__text) non-external _SHA384_Init.cold.1
00007ffb0559dfa1 (__TEXT,__text) external _SHA384_Update
00007ffb0559e06b (__TEXT,__text) external _SHA512_Final
00007ffb0559dff9 (__TEXT,__text) external _SHA512_Init
00007ffb055afb02 (__TEXT,__text) non-external _SHA512_Init.cold.1
00007ffb0559e038 (__TEXT,__text) external _SHA512_Update
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00007ffb0558437a (__TEXT,__text) non-external __GLOBAL__sub_I_IOLib.cpp
00007ffb0559e090 (__TEXT,__text) non-external __GLOBAL__sub_I_ObjectIntrospection.mm
00007ffb4108a970 (__DATA_CONST,__const) external __IOBlockStorageDevice_Class
