00007ff8118a1bc4 (__TEXT,__text) non-external +[CalAlarm alarm]
00007ff8118a7635 (__TEXT,__text) non-external +[CalCalendar _colorFromString:]
00007ff8118a7869 (__TEXT,__text) non-external +[CalCalendar _colorStringRepresentation:]
00007ff8118a7969 (__TEXT,__text) non-external +[CalCalendar calendarFromRemoteManagedObject:]
00007ff8118a7003 (__TEXT,__text) non-external +[CalCalendar calendar]
00007ff8118a6289 (__TEXT,__text) non-external +[CalCalendarStore _calStoreSpanWithCalSpan:]
00007ff8118a6aa6 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportEventsErrorWithCalendarName:]
00007ff8118a6be0 (__TEXT,__text) non-external +[CalCalendarStore _calendarDoesNotSupportTasksErrorWithCalendarName:]
00007ff8118a695a (__TEXT,__text) non-external +[CalCalendarStore _calendarNotEditableErrorWithCalendarName:isEvent:]
00007ff8118a67b0 (__TEXT,__text) non-external +[CalCalendarStore _calendarNotFoundWithCalendarName:isEvent:]
00007ff8118a0c10 (__TEXT,__text) non-external +[CalCalendarStore _dateFromPotentialNSCalendarDate:]
00007ff8118a0235 (__TEXT,__text) non-external +[CalCalendarStore allocWithZone:]
00007ff8118a021c (__TEXT,__text) non-external +[CalCalendarStore authorizationStatusForServiceName:]
00007ff8118a00e8 (__TEXT,__text) non-external +[CalCalendarStore defaultCalendarStore]
00007ff8118a6291 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:UID:calendars:]
00007ff8118a0a75 (__TEXT,__text) non-external +[CalCalendarStore eventPredicateWithStartDate:endDate:calendars:]
00007ff8118a43a8 (__TEXT,__text) non-external +[CalCalendarStore requestAccessForServiceName:]
00007ff8118a6483 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithCalendars:]
00007ff8118a64ed (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithTasksCompletedSince:calendars:]
00007ff8118a6609 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasks:]
00007ff8118a6694 (__TEXT,__text) non-external +[CalCalendarStore taskPredicateWithUncompletedTasksDueBefore:calendars:]
