                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external __NSGetEnviron (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) weak external ___darwin_check_fd_set_overflow (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___memcpy_chk (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
                 (undefined) external ___stdinp (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcpy_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
                 (undefined) external ___toupper (from libSystem)
                 (undefined) external __exit (from libSystem)
                 (undefined) external _accept (from libSystem)
                 (undefined) external _access (from libSystem)
00007ffb18d22686 (__TEXT,__text) external _apr__SHA256_Data
00007ffb18d225cb (__TEXT,__text) external _apr__SHA256_End
00007ffb18d224b3 (__TEXT,__text) external _apr__SHA256_Final
00007ffb18d22167 (__TEXT,__text) external _apr__SHA256_Init
00007ffb18d221a2 (__TEXT,__text) external _apr__SHA256_Transform
00007ffb18d223e6 (__TEXT,__text) external _apr__SHA256_Update
00007ffb18d1a895 (__TEXT,__text) external _apr_allocator_alloc
00007ffb18d1a75d (__TEXT,__text) external _apr_allocator_create
00007ffb18d1a7cd (__TEXT,__text) external _apr_allocator_destroy
00007ffb18d1aa52 (__TEXT,__text) external _apr_allocator_free
00007ffb18d1a82f (__TEXT,__text) external _apr_allocator_max_free_set
00007ffb18d1a811 (__TEXT,__text) external _apr_allocator_mutex_get
00007ffb18d1a807 (__TEXT,__text) external _apr_allocator_mutex_set
00007ffb18d1a825 (__TEXT,__text) external _apr_allocator_owner_get
00007ffb18d1a81b (__TEXT,__text) external _apr_allocator_owner_set
00007ffb18d1cca0 (__TEXT,__text) external _apr_app_initialize
00007ffb18d1471d (__TEXT,__text) external _apr_array_append
00007ffb18d1456c (__TEXT,__text) external _apr_array_cat
00007ffb18d14497 (__TEXT,__text) external _apr_array_clear
00007ffb18d14639 (__TEXT,__text) external _apr_array_copy
00007ffb18d146e4 (__TEXT,__text) external _apr_array_copy_hdr
00007ffb18d14416 (__TEXT,__text) external _apr_array_make
00007ffb18d144a4 (__TEXT,__text) external _apr_array_pop
00007ffb18d14779 (__TEXT,__text) external _apr_array_pstrcat
00007ffb18d144ce (__TEXT,__text) external _apr_array_push
00007ffb18d128de (__TEXT,__text) external _apr_atoi64
00007ffb18d15ea4 (__TEXT,__text) external _apr_atomic_add32
00007ffb18d15ed9 (__TEXT,__text) external _apr_atomic_cas32
00007ffb18d15ef2 (__TEXT,__text) external _apr_atomic_casptr
00007ffb18d15ec8 (__TEXT,__text) external _apr_atomic_dec32
00007ffb18d15eb9 (__TEXT,__text) external _apr_atomic_inc32
00007ffb18d15e8c (__TEXT,__text) external _apr_atomic_init
00007ffb18d15e94 (__TEXT,__text) external _apr_atomic_read32
00007ffb18d15e9c (__TEXT,__text) external _apr_atomic_set32
00007ffb18d15eb0 (__TEXT,__text) external _apr_atomic_sub32
00007ffb18d15ee5 (__TEXT,__text) external _apr_atomic_xchg32
00007ffb18d15f00 (__TEXT,__text) external _apr_atomic_xchgptr
00007ffb18d0f15e (__TEXT,__text) external _apr_collapse_spaces
00007ffb18d0eebe (__TEXT,__text) external _apr_cpystrn
00007ffb18d2270d (__TEXT,__text) external _apr_crypto_sha256_new
00007ffb18d2458d (__TEXT,__text) external _apr_ctime
00007ffb18d25bc0 (__TEXT,__const) external _apr_day_snames
00007ffb18d163c3 (__TEXT,__text) external _apr_dir_close
00007ffb18d165d0 (__TEXT,__text) external _apr_dir_make
00007ffb18d16601 (__TEXT,__text) external _apr_dir_make_recursive
00007ffb18d19293 (__TEXT,__text) external _apr_dir_open
00007ffb18d16322 (__TEXT,__text) external _apr_dir_open$INODE64
00007ffb18d19334 (__TEXT,__text) external _apr_dir_read
00007ffb18d163f9 (__TEXT,__text) external _apr_dir_read$INODE64
00007ffb18d166cc (__TEXT,__text) external _apr_dir_remove
00007ffb18d194f3 (__TEXT,__text) external _apr_dir_rewind
00007ffb18d165bf (__TEXT,__text) external _apr_dir_rewind$INODE64
00007ffb18d1607b (__TEXT,__text) external _apr_dso_error
00007ffb18d15f66 (__TEXT,__text) external _apr_dso_load
00007ffb18d16043 (__TEXT,__text) external _apr_dso_sym
00007ffb18d1602c (__TEXT,__text) external _apr_dso_unload
00007ffb18d1bd78 (__TEXT,__text) external _apr_env_delete
00007ffb18d1bd39 (__TEXT,__text) external _apr_env_get
00007ffb18d1bd62 (__TEXT,__text) external _apr_env_set
00007ffb18d0e8ab (__TEXT,__text) external _apr_escape_echo
00007ffb18d0e20c (__TEXT,__text) external _apr_escape_entity
00007ffb18d0eb10 (__TEXT,__text) external _apr_escape_hex
00007ffb18d0de84 (__TEXT,__text) external _apr_escape_path
00007ffb18d0dd0e (__TEXT,__text) external _apr_escape_path_segment
00007ffb18d0d7ac (__TEXT,__text) external _apr_escape_shell
00007ffb18d0e075 (__TEXT,__text) external _apr_escape_urlencoded
00007ffb18d162f0 (__TEXT,__text) external _apr_file_append
00007ffb18d17377 (__TEXT,__text) external _apr_file_attrs_set
00007ffb18d160ac (__TEXT,__text) external _apr_file_buffer_set
00007ffb18d16135 (__TEXT,__text) external _apr_file_buffer_size_get
00007ffb18d17c8d (__TEXT,__text) external _apr_file_close
00007ffb18d1613f (__TEXT,__text) external _apr_file_copy
00007ffb18d1684a (__TEXT,__text) external _apr_file_data_get
00007ffb18d16857 (__TEXT,__text) external _apr_file_data_set
00007ffb18d18bcd (__TEXT,__text) external _apr_file_datasync
00007ffb18d16870 (__TEXT,__text) external _apr_file_dup
00007ffb18d16a1f (__TEXT,__text) external _apr_file_dup2
00007ffb18d17dac (__TEXT,__text) external _apr_file_eof
00007ffb18d16760 (__TEXT,__text) external _apr_file_flags_get
00007ffb18d18b2b (__TEXT,__text) external _apr_file_flush
00007ffb18d188e3 (__TEXT,__text) external _apr_file_flush_locked
00007ffb18d18ade (__TEXT,__text) external _apr_file_getc
00007ffb18d18c2b (__TEXT,__text) external _apr_file_gets
00007ffb18d19615 (__TEXT,__text) external _apr_file_info_get
00007ffb18d172c2 (__TEXT,__text) external _apr_file_info_get$INODE64
00007ffb18d19504 (__TEXT,__text) external _apr_file_info_get_locked
00007ffb18d171aa (__TEXT,__text) external _apr_file_info_get_locked$INODE64
00007ffb18d17f7c (__TEXT,__text) external _apr_file_inherit_set
00007ffb18d17ffa (__TEXT,__text) external _apr_file_inherit_unset
00007ffb18d18081 (__TEXT,__text) external _apr_file_link
00007ffb18d1754f (__TEXT,__text) external _apr_file_lock
00007ffb18d178b9 (__TEXT,__text) external _apr_file_mktemp
00007ffb18d17482 (__TEXT,__text) external _apr_file_mtime_set
00007ffb18d16751 (__TEXT,__text) external _apr_file_name_get
00007ffb18d18497 (__TEXT,__text) external _apr_file_namedpipe_create
00007ffb18d17a2b (__TEXT,__text) external _apr_file_open
00007ffb18d17dc0 (__TEXT,__text) external _apr_file_open_flags_stderr
00007ffb18d17e0a (__TEXT,__text) external _apr_file_open_flags_stdin
00007ffb18d17de5 (__TEXT,__text) external _apr_file_open_flags_stdout
00007ffb18d17e2f (__TEXT,__text) external _apr_file_open_stderr
00007ffb18d17f0d (__TEXT,__text) external _apr_file_open_stdin
00007ffb18d17e9e (__TEXT,__text) external _apr_file_open_stdout
00007ffb18d17345 (__TEXT,__text) external _apr_file_perms_set
00007ffb18d182c1 (__TEXT,__text) external _apr_file_pipe_create
00007ffb18d1843f (__TEXT,__text) external _apr_file_pipe_create_ex
00007ffb18d1814b (__TEXT,__text) external _apr_file_pipe_timeout_get
00007ffb18d1809c (__TEXT,__text) external _apr_file_pipe_timeout_set
00007ffb18d18078 (__TEXT,__text) external _apr_file_pool_get
00007ffb18d18d91 (__TEXT,__text) external _apr_file_printf
00007ffb18d18aa4 (__TEXT,__text) external _apr_file_putc
00007ffb18d18b05 (__TEXT,__text) external _apr_file_puts
00007ffb18d184c9 (__TEXT,__text) external _apr_file_read
00007ffb18d17659 (__TEXT,__text) external _apr_file_read_full
00007ffb18d17ca4 (__TEXT,__text) external _apr_file_remove
00007ffb18d17cbe (__TEXT,__text) external _apr_file_rename
00007ffb18d18ef1 (__TEXT,__text) external _apr_file_seek
00007ffb18d16a41 (__TEXT,__text) external _apr_file_setaside
00007ffb18d18b6f (__TEXT,__text) external _apr_file_sync
00007ffb18d19068 (__TEXT,__text) external _apr_file_trunc
00007ffb18d18acf (__TEXT,__text) external _apr_file_ungetc
00007ffb18d175ea (__TEXT,__text) external _apr_file_unlock
00007ffb18d1873b (__TEXT,__text) external _apr_file_write
00007ffb18d176be (__TEXT,__text) external _apr_file_write_full
00007ffb18d189df (__TEXT,__text) external _apr_file_writev
00007ffb18d17723 (__TEXT,__text) external _apr_file_writev_full
00007ffb18d16fb5 (__TEXT,__text) external _apr_filepath_encoding
00007ffb18d16b38 (__TEXT,__text) external _apr_filepath_get
00007ffb18d16fa3 (__TEXT,__text) external _apr_filepath_list_merge
00007ffb18d17075 (__TEXT,__text) external _apr_filepath_list_merge_impl
00007ffb18d16f91 (__TEXT,__text) external _apr_filepath_list_split
00007ffb18d16fc3 (__TEXT,__text) external _apr_filepath_list_split_impl
00007ffb18d16c1f (__TEXT,__text) external _apr_filepath_merge
00007ffb18d0f136 (__TEXT,__text) external _apr_filepath_name_get
00007ffb18d16bda (__TEXT,__text) external _apr_filepath_root
00007ffb18d16bc0 (__TEXT,__text) external _apr_filepath_set
00007ffb18d0f1d1 (__TEXT,__text) external _apr_fnmatch
00007ffb18d0fa26 (__TEXT,__text) external _apr_fnmatch_test
00007ffb18d1cbfb (__TEXT,__text) external _apr_generate_random_bytes
00007ffb18d1fe44 (__TEXT,__text) external _apr_gethostname
00007ffb18d1e40d (__TEXT,__text) external _apr_getnameinfo
00007ffb18d1c220 (__TEXT,__text) external _apr_getopt
00007ffb18d1c14c (__TEXT,__text) external _apr_getopt_init
00007ffb18d1c3f9 (__TEXT,__text) external _apr_getopt_long
00007ffb18d1e52f (__TEXT,__text) external _apr_getservbyname
00007ffb18d2484b (__TEXT,__text) external _apr_gid_get
00007ffb18d247be (__TEXT,__text) external _apr_gid_name_get
00007ffb18d197fd (__TEXT,__text) external _apr_global_mutex_child_init
00007ffb18d19710 (__TEXT,__text) external _apr_global_mutex_create
00007ffb18d198eb (__TEXT,__text) external _apr_global_mutex_destroy
00007ffb18d1980e (__TEXT,__text) external _apr_global_mutex_lock
00007ffb18d19902 (__TEXT,__text) external _apr_global_mutex_lockfile
00007ffb18d19910 (__TEXT,__text) external _apr_global_mutex_name
00007ffb18d1991e (__TEXT,__text) external _apr_global_mutex_pool_get
00007ffb18d19854 (__TEXT,__text) external _apr_global_mutex_trylock
00007ffb18d1989a (__TEXT,__text) external _apr_global_mutex_unlock
00007ffb18d13334 (__TEXT,__text) external _apr_hash_clear
00007ffb18d13070 (__TEXT,__text) external _apr_hash_copy
00007ffb18d1332b (__TEXT,__text) external _apr_hash_count
00007ffb18d1360e (__TEXT,__text) external _apr_hash_do
00007ffb18d12f71 (__TEXT,__text) external _apr_hash_first
00007ffb18d1314d (__TEXT,__text) external _apr_hash_get
00007ffb18d12e65 (__TEXT,__text) external _apr_hash_make
00007ffb18d12f10 (__TEXT,__text) external _apr_hash_make_custom
00007ffb18d1339d (__TEXT,__text) external _apr_hash_merge
00007ffb18d12f29 (__TEXT,__text) external _apr_hash_next
00007ffb18d1338e (__TEXT,__text) external _apr_hash_overlay
00007ffb18d136b5 (__TEXT,__text) external _apr_hash_pool_get
00007ffb18d13261 (__TEXT,__text) external _apr_hash_set
00007ffb18d12fae (__TEXT,__text) external _apr_hash_this
00007ffb18d12fe4 (__TEXT,__text) external _apr_hash_this_key
00007ffb18d12ff2 (__TEXT,__text) external _apr_hash_this_key_len
00007ffb18d13000 (__TEXT,__text) external _apr_hash_this_val
00007ffb18d1300e (__TEXT,__text) external _apr_hashfunc_default
00007ffb18d1cf62 (__TEXT,__text) external _apr_inet_ntop
00007ffb18d1d267 (__TEXT,__text) external _apr_inet_pton
00007ffb18d1ccaa (__TEXT,__text) external _apr_initialize
00007ffb18d1e6ac (__TEXT,__text) external _apr_ipsubnet_create
00007ffb18d1e9f1 (__TEXT,__text) external _apr_ipsubnet_test
00007ffb18d143fc (__TEXT,__text) external _apr_is_empty_array
00007ffb18d14877 (__TEXT,__text) external _apr_is_empty_table
00007ffb18d12907 (__TEXT,__text) external _apr_itoa
00007ffb18d1296e (__TEXT,__text) external _apr_ltoa
00007ffb18d0fa7d (__TEXT,__text) external _apr_match_glob
00007ffb18d1d6b1 (__TEXT,__text) external _apr_mcast_hops
00007ffb18d1d752 (__TEXT,__text) external _apr_mcast_interface
00007ffb18d1d5b5 (__TEXT,__text) external _apr_mcast_join
00007ffb18d1d696 (__TEXT,__text) external _apr_mcast_leave
00007ffb18d1d73e (__TEXT,__text) external _apr_mcast_loopback
00007ffb18d1cd79 (__TEXT,__text) external _apr_mmap_create
00007ffb18d1cf4b (__TEXT,__text) external _apr_mmap_delete
00007ffb18d1cedb (__TEXT,__text) external _apr_mmap_dup
00007ffb18d1cd5a (__TEXT,__text) external _apr_mmap_offset
00007ffb18d25b90 (__TEXT,__const) external _apr_month_snames
00007ffb18d129e9 (__TEXT,__text) external _apr_off_t_toa
00007ffb18d1bcf3 (__TEXT,__text) external _apr_os_default_encoding
00007ffb18d166e6 (__TEXT,__text) external _apr_os_dir_get
00007ffb18d16700 (__TEXT,__text) external _apr_os_dir_put
00007ffb18d15f57 (__TEXT,__text) external _apr_os_dso_handle_get
00007ffb18d15f0f (__TEXT,__text) external _apr_os_dso_handle_put
00007ffb18d242ea (__TEXT,__text) external _apr_os_exp_time_get
00007ffb18d2432e (__TEXT,__text) external _apr_os_exp_time_put
00007ffb18d17cd8 (__TEXT,__text) external _apr_os_file_get
00007ffb18d17ce5 (__TEXT,__text) external _apr_os_file_put
00007ffb18d198cd (__TEXT,__text) external _apr_os_global_mutex_get
00007ffb18d242b0 (__TEXT,__text) external _apr_os_imp_time_get
00007ffb18d24312 (__TEXT,__text) external _apr_os_imp_time_put
00007ffb18d1bd00 (__TEXT,__text) external _apr_os_locale_encoding
00007ffb18d1822c (__TEXT,__text) external _apr_os_pipe_put
00007ffb18d18165 (__TEXT,__text) external _apr_os_pipe_put_ex
