                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffd0c3b4502 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd0c3b4cf0 (__TEXT,__const) external _libopenpam
00007ffd0c3b4900 (__TEXT,__text) external _misc_conv
00007ffd0c3b46b4 (__TEXT,__text) external _pam_acct_mgmt
00007ffd0c3b45ec (__TEXT,__text) external _pam_authenticate
00007ffd0c3b4718 (__TEXT,__text) external _pam_chauthtok
00007ffd0c3b47d9 (__TEXT,__text) external _pam_close_session
00007ffd0c3b4598 (__TEXT,__text) external _pam_end
00007ffd0c3b4aa6 (__TEXT,__text) external _pam_get_data
00007ffd0c3b489b (__TEXT,__text) external _pam_get_item
00007ffd0c3b4c51 (__TEXT,__text) external _pam_get_pass
00007ffd0c3b4b75 (__TEXT,__text) external _pam_get_user
00007ffd0c3b4a0d (__TEXT,__text) external _pam_getenv
00007ffd0c3b4a5c (__TEXT,__text) external _pam_getenvlist
00007ffd0c3b477c (__TEXT,__text) external _pam_open_session
00007ffd0c3b4bda (__TEXT,__text) external _pam_prompt
00007ffd0c3b49b7 (__TEXT,__text) external _pam_putenv
00007ffd0c3b4b0b (__TEXT,__text) external _pam_set_data
00007ffd0c3b4836 (__TEXT,__text) external _pam_set_item
00007ffd0c3b4650 (__TEXT,__text) external _pam_setcred
00007ffd0c3b452e (__TEXT,__text) external _pam_start
00007ffd0c3b496a (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffd0c3b4490 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffd0c3b44a5 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffd0c3b44fa (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffd0c3b44d7 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffd0c3b44ba (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffd0c3b44ca (__TEXT,__text) external _xlate_pam_shim_setcred_flags
