0000000180465b5c (__TEXT,__text) external _OSAtomicAdd32
0000000180465c18 (__TEXT,__text) external _OSAtomicAdd32Barrier
0000000180465d14 (__TEXT,__text) external _OSAtomicAdd64
0000000180465e9c (__TEXT,__text) external _OSAtomicAdd64Barrier
0000000180465e24 (__TEXT,__text) external _OSAtomicAnd32
00000001804668c0 (__TEXT,__text) external _OSAtomicAnd32Barrier
0000000180466824 (__TEXT,__text) external _OSAtomicAnd32Orig
0000000180465d38 (__TEXT,__text) external _OSAtomicAnd32OrigBarrier
0000000180465b48 (__TEXT,__text) external _OSAtomicCompareAndSwap32
0000000180465bd8 (__TEXT,__text) external _OSAtomicCompareAndSwap32Barrier
0000000180464be4 (__TEXT,__text) external _OSAtomicCompareAndSwap64
0000000180465bc4 (__TEXT,__text) external _OSAtomicCompareAndSwap64Barrier
0000000180465ddc (__TEXT,__text) external _OSAtomicCompareAndSwapInt
0000000180465ecc (__TEXT,__text) external _OSAtomicCompareAndSwapIntBarrier
0000000180465dfc (__TEXT,__text) external _OSAtomicCompareAndSwapLong
0000000180465d44 (__TEXT,__text) external _OSAtomicCompareAndSwapLongBarrier
0000000180465e10 (__TEXT,__text) external _OSAtomicCompareAndSwapPtr
0000000180465bec (__TEXT,__text) external _OSAtomicCompareAndSwapPtrBarrier
0000000180465124 (__TEXT,__text) external _OSAtomicDecrement32
0000000180465c8c (__TEXT,__text) external _OSAtomicDecrement32Barrier
0000000180465e8c (__TEXT,__text) external _OSAtomicDecrement64
0000000180465e34 (__TEXT,__text) external _OSAtomicDecrement64Barrier
0000000180463330 (__TEXT,__text) external _OSAtomicDequeue
00000001804635f0 (__TEXT,__text) external _OSAtomicEnqueue
00000001804677a0 (__TEXT,__text) external _OSAtomicFifoDequeue
0000000180467788 (__TEXT,__text) external _OSAtomicFifoEnqueue
0000000180465114 (__TEXT,__text) external _OSAtomicIncrement32
0000000180465c7c (__TEXT,__text) external _OSAtomicIncrement32Barrier
00000001804659dc (__TEXT,__text) external _OSAtomicIncrement64
0000000180465dcc (__TEXT,__text) external _OSAtomicIncrement64Barrier
0000000180465df0 (__TEXT,__text) external _OSAtomicOr32
0000000180465c00 (__TEXT,__text) external _OSAtomicOr32Barrier
0000000180465ec4 (__TEXT,__text) external _OSAtomicOr32Orig
0000000180467b40 (__TEXT,__text) external _OSAtomicOr32OrigBarrier
0000000180465e44 (__TEXT,__text) external _OSAtomicTestAndClear
0000000180466878 (__TEXT,__text) external _OSAtomicTestAndClearBarrier
0000000180466830 (__TEXT,__text) external _OSAtomicTestAndSet
0000000180465d58 (__TEXT,__text) external _OSAtomicTestAndSetBarrier
0000000180467b48 (__TEXT,__text) external _OSAtomicXor32
0000000180465c0c (__TEXT,__text) external _OSAtomicXor32Barrier
0000000180467b54 (__TEXT,__text) external _OSAtomicXor32Orig
0000000180467b5c (__TEXT,__text) external _OSAtomicXor32OrigBarrier
0000000180465bbc (__TEXT,__text) external _OSMemoryBarrier
00000001804659b8 (__TEXT,__text) external _OSSpinLockLock
0000000180465d20 (__TEXT,__text) external _OSSpinLockTry
00000001804659d4 (__TEXT,__text) external _OSSpinLockUnlock
00000001804686a0 (__TEXT,__const) non-external _UUID_NULL
00000001804686b0 (__TEXT,__const) non-external __0x
00000001804687ad (__TEXT,__cstring) non-external __H
0000000180467b8c (__TEXT,__text) non-external __OSAtomicDequeue_misalign
0000000180467b64 (__TEXT,__text) non-external __OSAtomicEnqueue_misalign
0000000180465c9c (__TEXT,__text) external __OSSpinLockLockSlow
00000001804678f4 (__TEXT,__text) non-external __OSSpinLockLockYield
0000000180465320 (__TEXT,__text) external ___bzero
                 (undefined) external ___error (from libsystem_kernel)
                 (undefined) external ___gettimeofday (from libsystem_kernel)
00000001d7711868 (__DATA_DIRTY,__common) non-external (was a private external) ___in_sigtramp
                 (undefined) external ___libkernel_platform_init (from libsystem_kernel)
0000000180465134 (__TEXT,__text) external ___libplatform_init
00000001804668f8 (__TEXT,__text) external ___os_log_simple_offset
0000000180467b24 (__TEXT,__text) external ___os_once_reset
0000000180465184 (__TEXT,__text) non-external (was a private external) ___pfz_setup
0000000180468690 (__TEXT,__const) non-external (was a private external) ___platformVersionNumber
0000000180468658 (__TEXT,__const) non-external (was a private external) ___platformVersionString
0000000180464cbc (__TEXT,__text) external ___platform_sigaction
                 (undefined) external ___sendto (from libsystem_kernel)
                 (undefined) external ___sigaction (from libsystem_kernel)
                 (undefined) external ___sigaltstack (from libsystem_kernel)
                 (undefined) external ___sigreturn (from libsystem_kernel)
0000000180465efc (__TEXT,__text) non-external ___simple_bprintf
                 (undefined) external ___ulock_wait (from libsystem_kernel)
                 (undefined) external ___ulock_wake (from libsystem_kernel)
0000000180467d8c (__TEXT,__text) external __ctx_done
000000018046806c (__TEXT,__text) non-external (was a private external) __ctx_start
000000018046720c (__TEXT,__text) non-external __enlarge
000000018046814c (__TEXT,__text) non-external __enlarge.cold.1
                 (undefined) external __exit (from libsystem_kernel)
0000000180467160 (__TEXT,__text) non-external __flush
00000001804670d8 (__TEXT,__text) non-external __flush_reset
00000001804687be (__TEXT,__cstring) non-external __h
0000000180463ab4 (__TEXT,__text) external __longjmp
0000000180462fe0 (__TEXT,__text) non-external __os_alloc
0000000180468358 (__TEXT,__text) non-external __os_alloc.cold.1
00000001d7711860 (__DATA_DIRTY,__common) non-external (was a private external) __os_alloc_heap
0000000180462f94 (__TEXT,__text) external __os_alloc_once
                 (undefined) external __os_alloc_once_table (from libsystem_kernel)
00000001804654fc (__TEXT,__text) non-external __os_alloc_slow
0000000180468174 (__TEXT,__text) non-external (was a private external) __os_lock_corruption_abort
0000000180465a48 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_lock
0000000180465a84 (__TEXT,__text) non-external __os_lock_handoff_lock_slow
0000000180465dac (__TEXT,__text) non-external (was a private external) __os_lock_handoff_trylock
0000000180465a78 (__TEXT,__text) non-external (was a private external) __os_lock_handoff_unlock
0000000180467ac0 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_lock
0000000180467ae4 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_trylock
0000000180467b04 (__TEXT,__text) non-external (was a private external) __os_lock_nospin_unlock
00000001804682c0 (__TEXT,__text) non-external __os_lock_recursive_abort
0000000180465b90 (__TEXT,__text) non-external (was a private external) __os_lock_spin_lock
00000001804679d8 (__TEXT,__text) non-external (was a private external) __os_lock_spin_trylock
0000000180465bb0 (__TEXT,__text) non-external (was a private external) __os_lock_spin_unlock
00000001804686b8 (__TEXT,__const) non-external __os_lock_type_base
00000001db5a8e90 (__AUTH_CONST,__const) external __os_lock_type_eliding
00000001db5a8eb0 (__AUTH_CONST,__const) external __os_lock_type_handoff
00000001db5a8ef0 (__AUTH_CONST,__const) external __os_lock_type_nospin
00000001db5a8e90 (__AUTH_CONST,__const) external __os_lock_type_spin
00000001db5a8e90 (__AUTH_CONST,__const) external __os_lock_type_transactional
00000001db5a8ed0 (__AUTH_CONST,__const) external __os_lock_type_unfair
0000000180465b68 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_lock
0000000180467a80 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_trylock
0000000180467aa0 (__TEXT,__text) non-external (was a private external) __os_lock_unfair_unlock
0000000180466b8c (__TEXT,__text) external __os_log_simple
0000000180466d84 (__TEXT,__text) external __os_log_simple_parse
0000000180466d54 (__TEXT,__text) external __os_log_simple_parse_identifiers
0000000180466ce8 (__TEXT,__text) external __os_log_simple_parse_message
0000000180466cac (__TEXT,__text) external __os_log_simple_parse_subsystem
0000000180466d18 (__TEXT,__text) external __os_log_simple_parse_timestamp
0000000180466c74 (__TEXT,__text) external __os_log_simple_parse_type
0000000180466ebc (__TEXT,__text) external __os_log_simple_reinit_4launchd
0000000180468124 (__TEXT,__text) non-external __os_log_simple_reinit_4launchd.cold.1
0000000180466a14 (__TEXT,__text) external __os_log_simple_send
0000000180466c4c (__TEXT,__text) external __os_log_simple_shim
000000018046397c (__TEXT,__text) external __os_nospin_lock_lock
0000000180464f68 (__TEXT,__text) non-external __os_nospin_lock_lock_slow
00000001804639b8 (__TEXT,__text) external __os_nospin_lock_trylock
000000018046399c (__TEXT,__text) external __os_nospin_lock_unlock
0000000180465064 (__TEXT,__text) non-external __os_nospin_lock_unlock_slow
0000000180462e20 (__TEXT,__text) external __os_once
0000000180462e80 (__TEXT,__text) non-external __os_once_callout
0000000180464ebc (__TEXT,__text) non-external __os_once_gate_broadcast
0000000180468298 (__TEXT,__text) non-external (was a private external) __os_once_gate_corruption_abort
0000000180468248 (__TEXT,__text) non-external (was a private external) __os_once_gate_recursive_abort
0000000180468270 (__TEXT,__text) non-external (was a private external) __os_once_gate_unowned_abort
0000000180464d2c (__TEXT,__text) non-external __os_once_gate_wait
0000000180464c3c (__TEXT,__text) external __os_semaphore_create
0000000180468380 (__TEXT,__text) non-external __os_semaphore_create.cold.1
00000001804683a8 (__TEXT,__text) non-external __os_semaphore_create.cold.2
0000000180464c8c (__TEXT,__text) external __os_semaphore_dispose
00000001804683d0 (__TEXT,__text) non-external __os_semaphore_dispose.cold.1
0000000180465c24 (__TEXT,__text) external __os_semaphore_signal
00000001804683f8 (__TEXT,__text) non-external __os_semaphore_signal.cold.1
0000000180465c44 (__TEXT,__text) external __os_semaphore_wait
0000000180468420 (__TEXT,__text) non-external __os_semaphore_wait.cold.1
00000001804681ec (__TEXT,__text) non-external (was a private external) __os_unfair_lock_corruption_abort
000000018046363c (__TEXT,__text) non-external __os_unfair_lock_lock_slow
000000018046819c (__TEXT,__text) non-external (was a private external) __os_unfair_lock_recursive_abort
00000001804637ac (__TEXT,__text) non-external __os_unfair_lock_unlock_slow
00000001804681c4 (__TEXT,__text) non-external (was a private external) __os_unfair_lock_unowned_abort
                 (undefined) external __os_xbs_chrooted (from libsystem_kernel)
0000000180465320 (__TEXT,__text) external __platform_bzero
0000000180467bb4 (__TEXT,__text) external __platform_memccpy
0000000180463100 (__TEXT,__text) external __platform_memchr
0000000180463210 (__TEXT,__text) external __platform_memcmp
0000000180467c40 (__TEXT,__text) external __platform_memcmp_zero_aligned8
0000000180465650 (__TEXT,__text) external __platform_memmove
0000000180465380 (__TEXT,__text) external __platform_memset
0000000180463440 (__TEXT,__text) external __platform_memset_pattern16
0000000180463400 (__TEXT,__text) external __platform_memset_pattern4
0000000180463420 (__TEXT,__text) external __platform_memset_pattern8
0000000180465940 (__TEXT,__text) external __platform_strchr
0000000180462a90 (__TEXT,__text) external __platform_strcmp
0000000180463098 (__TEXT,__text) external __platform_strcpy
00000001db5a8e08 (__AUTH_CONST,__const) non-external __platform_string_functions
0000000180463ba0 (__TEXT,__text) external __platform_strlcat
0000000180463388 (__TEXT,__text) external __platform_strlcpy
0000000180462dc0 (__TEXT,__text) external __platform_strlen
0000000180462bf0 (__TEXT,__text) external __platform_strncmp
00000001804638e0 (__TEXT,__text) external __platform_strncpy
0000000180462d20 (__TEXT,__text) external __platform_strnlen
0000000180463858 (__TEXT,__text) external __platform_strstr
0000000180467fd8 (__TEXT,__text) non-external (was a private external) __setcontext
0000000180463a54 (__TEXT,__text) external __setjmp
00000001804659ec (__TEXT,__text) non-external (was a private external) __sigtramp
0000000180465ea8 (__TEXT,__text) non-external (was a private external) __sigunaltstack
0000000180466f34 (__TEXT,__text) non-external __simple_asl_connect
00000001804649ac (__TEXT,__text) non-external __simple_asl_connect_once
0000000180464674 (__TEXT,__text) non-external __simple_asl_escape_key
00000001804646e8 (__TEXT,__text) non-external __simple_asl_escape_val
0000000180466fe4 (__TEXT,__text) external __simple_asl_get_fd
0000000180465454 (__TEXT,__text) non-external (was a private external) __simple_asl_init
000000018046562c (__TEXT,__text) non-external __simple_asl_init_context
00000001804643f0 (__TEXT,__text) external __simple_asl_log
0000000180464474 (__TEXT,__text) external __simple_asl_log_prog
00000001804644b4 (__TEXT,__text) external __simple_asl_msg_new
0000000180464500 (__TEXT,__text) external __simple_asl_msg_set
00000001804647e4 (__TEXT,__text) external __simple_asl_send
00000001804671e0 (__TEXT,__text) external __simple_dprintf
0000000180466760 (__TEXT,__text) external __simple_esappend
0000000180464644 (__TEXT,__text) external __simple_esprintf
0000000180465270 (__TEXT,__text) external __simple_getenv
000000018046734c (__TEXT,__text) external __simple_put
0000000180467354 (__TEXT,__text) external __simple_putline
0000000180463c3c (__TEXT,__text) external __simple_salloc
0000000180464748 (__TEXT,__text) external __simple_sappend
000000018046405c (__TEXT,__text) external __simple_sfree
0000000180463ce8 (__TEXT,__text) external __simple_sprintf
00000001804647b0 (__TEXT,__text) external __simple_sresize
000000018046404c (__TEXT,__text) external __simple_string
000000018046707c (__TEXT,__text) external __simple_vdprintf
0000000180465ee0 (__TEXT,__text) external __simple_vesprintf
0000000180463cc0 (__TEXT,__text) external __simple_vsprintf
00000001804659b8 (__TEXT,__text) external __spin_lock
00000001804679c0 (__TEXT,__text) external __spin_lock_try
00000001804659d4 (__TEXT,__text) external __spin_unlock
                 (undefined) external _close (from libsystem_kernel)
00000001d7711858 (__DATA_DIRTY,__common) non-external (was a private external) _commpage_pfz_base
                 (undefined) external _connect (from libsystem_kernel)
00000001804678cc (__TEXT,__text) non-external _cpus_that_need_dsb_for_ic_ivau
00000001804640f0 (__TEXT,__text) non-external _dec
                 (undefined) external _fcntl (from libsystem_kernel)
0000000180462f44 (__TEXT,__text) external _ffs
0000000180462f5c (__TEXT,__text) external _ffsl
0000000180462f5c (__TEXT,__text) external _ffsll
0000000180462f74 (__TEXT,__text) external _fls
0000000180462f84 (__TEXT,__text) external _flsl
0000000180462f84 (__TEXT,__text) external _flsll
00000001d65a80b8 (__DATA,__crash_info) non-external (was a private external) _gCRAnnotations
000000018046809c (__TEXT,__text) external _getcontext
                 (undefined) external _getgid (from libsystem_kernel)
                 (undefined) external _getpid (from libsystem_kernel)
                 (undefined) external _getrlimit (from libsystem_kernel)
                 (undefined) external _getuid (from libsystem_kernel)
0000000180463d20 (__TEXT,__text) non-external _hex
0000000180463b64 (__TEXT,__text) external _longjmp
                 (undefined) external _mach_absolute_time (from libsystem_kernel)
                 (undefined) external _mach_continuous_time (from libsystem_kernel)
                 (undefined) external _mach_task_self_ (from libsystem_kernel)
                 (undefined) external _mach_timebase_info (from libsystem_kernel)
                 (undefined) external _mach_vm_deallocate (from libsystem_kernel)
                 (undefined) external _mach_vm_map (from libsystem_kernel)
0000000180467db4 (__TEXT,__text) external _makecontext
0000000180467bb0 (__TEXT,__text) non-external (was a private external) _memset
000000018046739c (__TEXT,__text) non-external _oct
0000000180465a3c (__TEXT,__text) external _os_lock_lock
0000000180465da0 (__TEXT,__text) external _os_lock_trylock
0000000180465a6c (__TEXT,__text) external _os_lock_unlock
00000001804668d0 (__TEXT,__text) external _os_log_simple_now
00000001804668d4 (__TEXT,__text) external _os_log_simple_type_from_asl
0000000180468698 (__TEXT,__const) non-external _os_log_simple_type_from_asl._level2ostype
00000001804635c0 (__TEXT,__text) external _os_unfair_lock_assert_not_owner
0000000180468310 (__TEXT,__text) non-external _os_unfair_lock_assert_not_owner.cold.1
0000000180462f14 (__TEXT,__text) external _os_unfair_lock_assert_owner
00000001804682e8 (__TEXT,__text) non-external _os_unfair_lock_assert_owner.cold.1
0000000180462ef0 (__TEXT,__text) external _os_unfair_lock_lock
00000001804679f4 (__TEXT,__text) external _os_unfair_lock_lock_no_tsd
0000000180462a00 (__TEXT,__text) external _os_unfair_lock_lock_with_options
0000000180463960 (__TEXT,__text) external _os_unfair_lock_trylock
0000000180462a20 (__TEXT,__text) external _os_unfair_lock_unlock
0000000180467a0c (__TEXT,__text) external _os_unfair_lock_unlock_no_tsd
0000000180462a3c (__TEXT,__text) external _os_unfair_recursive_lock_lock_with_options
0000000180467a20 (__TEXT,__text) external _os_unfair_recursive_lock_owned
0000000180464bf8 (__TEXT,__text) external _os_unfair_recursive_lock_trylock
00000001804639d4 (__TEXT,__text) external _os_unfair_recursive_lock_tryunlock4objc
0000000180462b68 (__TEXT,__text) external _os_unfair_recursive_lock_unlock
0000000180467a3c (__TEXT,__text) external _os_unfair_recursive_lock_unlock_forked_child
0000000180468338 (__TEXT,__text) non-external _os_unfair_recursive_lock_unlock_forked_child.cold.1
0000000180467ed4 (__TEXT,__text) non-external (was a private external) _populate_signal_stack_context
                 (undefined) external _proc_pidinfo (from libsystem_kernel)
                 (undefined) external _semaphore_create (from libsystem_kernel)
                 (undefined) external _semaphore_destroy (from libsystem_kernel)
                 (undefined) external _semaphore_signal (from libsystem_kernel)
                 (undefined) external _semaphore_wait (from libsystem_kernel)
0000000180467f70 (__TEXT,__text) external _setcontext
0000000180463b24 (__TEXT,__text) external _setjmp
0000000180463b58 (__TEXT,__text) external _siglongjmp
                 (undefined) external _sigprocmask (from libsystem_kernel)
0000000180463b18 (__TEXT,__text) external _sigsetjmp
                 (undefined) external _socket (from libsystem_kernel)
00000001804659b8 (__TEXT,__text) external _spin_lock
00000001804679c0 (__TEXT,__text) external _spin_lock_try
00000001804659d4 (__TEXT,__text) external _spin_unlock
0000000180467cf8 (__TEXT,__text) external _swapcontext
00000001804677d4 (__TEXT,__text) external _sys_cache_control
00000001804678ec (__TEXT,__text) external _sys_dcache_flush
0000000180467820 (__TEXT,__text) external _sys_icache_invalidate
                 (undefined) external _thread_switch (from libsystem_kernel)
0000000180464a18 (__TEXT,__text) non-external _udec
                 (undefined) external _vm_allocate (from libsystem_kernel)
                 (undefined) external _vm_deallocate (from libsystem_kernel)
                 (undefined) external _vm_page_size (from libsystem_kernel)
                 (undefined) external _write (from libsystem_kernel)
0000000180467558 (__TEXT,__text) non-external _ydec
