000000018e1f2e84 (__TEXT,__text) non-external _Annihilate
000000018e232698 (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
000000018e232728 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
000000018e2326e0 (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
000000018e23353c (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018e233b20 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018e232770 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018e1f2bf8 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018e213538 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018e1e69c4 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018e1f48a4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018e1e6b94 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018e23121c (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018e231aa0 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018e1e6de4 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018e1fb650 (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018e20a434 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018e20aff4 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018e209874 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018e209b94 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018e20a754 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018e208fd4 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018e1ed960 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018e1eed94 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018e1f000c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018e1f1284 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018e1edb1c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018e228724 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018e229a84 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018e22a2c8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018e22ab0c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018e22b350 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018e22bb94 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018e22c3d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018e22cc1c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018e22d548 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018e2289fc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018e229240 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018e204608 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018e21a9a4 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018e20f2a0 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
000000018e203c18 (__TEXT,__text) non-external (was a private external) _BrotliCreateHuffmanTree
000000018e20f140 (__TEXT,__text) non-external (was a private external) _BrotliCreateZopfliBackwardReferences
000000018e1f9dc4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderCreateInstance
000000018e1f9ee4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompress
000000018e1fa004 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDecompressStream
000000018e1f9e84 (__TEXT,__text) non-external (was a private external) _BrotliDecoderDestroyInstance
000000018e1fdf60 (__TEXT,__text) non-external (was a private external) _BrotliDecoderErrorString
000000018e1fdf58 (__TEXT,__text) non-external (was a private external) _BrotliDecoderGetErrorCode
000000018e1fde08 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHasMoreOutput
000000018e200174 (__TEXT,__text) non-external (was a private external) _BrotliDecoderHuffmanTreeGroupInit
000000018e1fdf0c (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsFinished
000000018e1fdeec (__TEXT,__text) non-external (was a private external) _BrotliDecoderIsUsed
000000018e1f9d70 (__TEXT,__text) non-external (was a private external) _BrotliDecoderSetParameter
000000018e200130 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanup
000000018e2000b0 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateCleanupAfterMetablock
000000018e1fff80 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateInit
000000018e200064 (__TEXT,__text) non-external (was a private external) _BrotliDecoderStateMetablockBegin
000000018e1fde40 (__TEXT,__text) non-external (was a private external) _BrotliDecoderTakeOutput
000000018e1eb9a4 (__TEXT,__text) non-external (was a private external) _BrotliDecoderVersion
000000018e1f9af4 (__TEXT,__text) non-external (was a private external) _BrotliDefaultAllocFunc
000000018e1f9afc (__TEXT,__text) non-external (was a private external) _BrotliDefaultFreeFunc
000000018e1f59ac (__TEXT,__text) non-external (was a private external) _BrotliDestroyBlockSplit
000000018e1e7534 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompress
000000018e1e8e94 (__TEXT,__text) non-external (was a private external) _BrotliEncoderCompressStream
