                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff812bc1a86 (__TEXT,__text) external ___absvdi2
00007ff812bc1aaf (__TEXT,__text) external ___absvsi2
00007ff812bc1ad4 (__TEXT,__text) external ___absvti2
00007ff812bc1b14 (__TEXT,__text) external ___addvdi3
00007ff812bc1b5a (__TEXT,__text) external ___addvsi3
00007ff812bc1b9c (__TEXT,__text) external ___addvti3
00007ff812bc1bf9 (__TEXT,__text) external ___ashldi3
00007ff812bc1c25 (__TEXT,__text) external ___ashlti3
00007ff812bc1c4d (__TEXT,__text) external ___ashrdi3
00007ff812bc1c7e (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff812bc1f14 (__TEXT,__text) external ___atomic_compare_exchange
00007ff812bc2454 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff812bc24a0 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff812bc24ec (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff812bc2538 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff812bc2154 (__TEXT,__text) external ___atomic_exchange
00007ff812bc2386 (__TEXT,__text) external ___atomic_exchange_1
00007ff812bc23bc (__TEXT,__text) external ___atomic_exchange_2
00007ff812bc23f0 (__TEXT,__text) external ___atomic_exchange_4
00007ff812bc2420 (__TEXT,__text) external ___atomic_exchange_8
00007ff812bc2584 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff812bc25bc (__TEXT,__text) external ___atomic_fetch_add_2
00007ff812bc25f0 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff812bc2624 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff812bc2734 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff812bc27ac (__TEXT,__text) external ___atomic_fetch_and_2
00007ff812bc282c (__TEXT,__text) external ___atomic_fetch_and_4
00007ff812bc289c (__TEXT,__text) external ___atomic_fetch_and_8
00007ff812bc2920 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff812bc2998 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff812bc2a18 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff812bc2a88 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff812bc2658 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff812bc2690 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff812bc26c8 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff812bc26fc (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff812bc2b0c (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff812bc2b84 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff812bc2c04 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff812bc2c74 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff812bc1cac (__TEXT,__text) external ___atomic_is_lock_free
00007ff812bc1d00 (__TEXT,__text) external ___atomic_load
00007ff812bc2300 (__TEXT,__text) external ___atomic_load_1
00007ff812bc2311 (__TEXT,__text) external ___atomic_load_2
00007ff812bc2323 (__TEXT,__text) external ___atomic_load_4
00007ff812bc2331 (__TEXT,__text) external ___atomic_load_8
00007ff812bc1dfc (__TEXT,__text) external ___atomic_store
00007ff812bc2340 (__TEXT,__text) external ___atomic_store_1
00007ff812bc2352 (__TEXT,__text) external ___atomic_store_2
00007ff812bc2364 (__TEXT,__text) external ___atomic_store_4
00007ff812bc2374 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff812bc2da8 (__TEXT,__text) external ___clear_cache
00007ff812bc2da9 (__TEXT,__text) external ___clzdi2
00007ff812bc2dd9 (__TEXT,__text) external ___clzsi2
00007ff812bc2e49 (__TEXT,__text) external ___clzti2
00007ff812bc2e67 (__TEXT,__text) external ___cmpdi2
00007ff812bc2e93 (__TEXT,__text) external ___cmpti2
00007ff812bc501c (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff812bc2eb4 (__TEXT,__text) external ___ctzdi2
00007ff812bc2ed2 (__TEXT,__text) external ___ctzsi2
00007ff812bc2f36 (__TEXT,__text) external ___ctzti2
00007ff812bc2f51 (__TEXT,__text) external ___divdc3
00007ff812bc19fb (__TEXT,__text) external ___divdi3
00007ff812bc3585 (__TEXT,__text) external ___divsc3
00007ff812bc1a36 (__TEXT,__text) external ___divti3
00007ff812bc3b36 (__TEXT,__text) external ___divxc3
00007ff812bc4002 (__TEXT,__text) external ___enable_execute_stack
00007ff812bc4023 (__TEXT,__text) external ___extendhfsf2
00007ff812bc4091 (__TEXT,__text) external ___ffsdi2
00007ff812bc40ab (__TEXT,__text) external ___ffsti2
00007ff812bc40c7 (__TEXT,__text) external ___fixdfdi
00007ff812bc40e8 (__TEXT,__text) external ___fixdfti
00007ff812bc419d (__TEXT,__text) external ___fixsfdi
00007ff812bc41bb (__TEXT,__text) external ___fixsfti
00007ff812bc18e8 (__TEXT,__text) external ___fixunsdfdi
00007ff812bc425d (__TEXT,__text) external ___fixunsdfsi
00007ff812bc42b2 (__TEXT,__text) external ___fixunsdfti
00007ff812bc4335 (__TEXT,__text) external ___fixunssfdi
00007ff812bc437a (__TEXT,__text) external ___fixunssfsi
00007ff812bc43d0 (__TEXT,__text) external ___fixunssfti
00007ff812bc192b (__TEXT,__text) external ___fixunsxfdi
00007ff812bc4449 (__TEXT,__text) external ___fixunsxfsi
00007ff812bc44c4 (__TEXT,__text) external ___fixunsxfti
00007ff812bc457c (__TEXT,__text) external ___fixxfdi
00007ff812bc4616 (__TEXT,__text) external ___fixxfti
00007ff812bc46f9 (__TEXT,__text) external ___floatdidf
00007ff812bc46ff (__TEXT,__text) external ___floatdisf
00007ff812bc4705 (__TEXT,__text) external ___floatdixf
00007ff812bc470f (__TEXT,__text) external ___floattidf
00007ff812bc4826 (__TEXT,__text) external ___floattisf
00007ff812bc4911 (__TEXT,__text) external ___floattixf
00007ff812bc4a40 (__TEXT,__text) external ___floatundidf
00007ff812bc4a6c (__TEXT,__text) external ___floatundisf
00007ff812bc4a98 (__TEXT,__text) external ___floatundixf
00007ff812bc4aae (__TEXT,__text) external ___floatuntidf
00007ff812bc4bb6 (__TEXT,__text) external ___floatuntisf
00007ff812bc4c7e (__TEXT,__text) external ___floatuntixf
00007ff812bc4d84 (__TEXT,__text) external ___gcc_personality_v0
00007ff812bc6560 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff812bc408c (__TEXT,__text) external ___gnu_h2f_ieee
00007ff812bc5034 (__TEXT,__text) external ___lshrdi3
00007ff812bc5062 (__TEXT,__text) external ___lshrti3
00007ff812bc19aa (__TEXT,__text) external ___moddi3
00007ff812bc508a (__TEXT,__text) external ___modti3
00007ff812bc50f2 (__TEXT,__text) external ___muldc3
00007ff812bc52b2 (__TEXT,__text) external ___muldi3
00007ff812bc5337 (__TEXT,__text) external ___mulodi4
00007ff812bc53ce (__TEXT,__text) external ___mulosi4
00007ff812bc5447 (__TEXT,__text) external ___muloti4
00007ff812bc5553 (__TEXT,__text) external ___mulsc3
00007ff812bc5729 (__TEXT,__text) external ___multi3
00007ff812bc5788 (__TEXT,__text) external ___mulvdi3
00007ff812bc5890 (__TEXT,__text) external ___mulvsi3
00007ff812bc596e (__TEXT,__text) external ___mulvti3
00007ff812bc5af5 (__TEXT,__text) external ___mulxc3
00007ff812bc5f2e (__TEXT,__text) external ___negdi2
00007ff812bc5f35 (__TEXT,__text) external ___negti2
00007ff812bc5f41 (__TEXT,__text) external ___negvdi2
00007ff812bc5f63 (__TEXT,__text) external ___negvsi2
00007ff812bc5f83 (__TEXT,__text) external ___negvti2
00007ff812bc5fb5 (__TEXT,__text) external ___paritydi2
