00000001e343faa8 (__DATA,__data) non-external _C
00000001e3440d50 (__DATA,__bss) non-external _CF6464
000000018035db38 (__TEXT,__const) non-external _CIFP
00000001e3441a74 (__DATA,__bss) non-external _EMSG
00000001e3441a75 (__DATA,__bss) non-external _EMSG
000000018035db08 (__TEXT,__const) non-external _ExpandTr
00000001e3440d40 (__DATA,__bss) non-external _IE3264
000000018035dac8 (__TEXT,__const) non-external _IP
00000001e3440cb0 (__DATA,__bss) non-external _KS
00000001e556b298 (__DATA_DIRTY,__bss) non-external _NXArgc_pointer
00000001e556b290 (__DATA_DIRTY,__bss) non-external _NXArgv_pointer
                 (undefined) external _OSAtomicDequeue (from libsystem_platform)
                 (undefined) external _OSAtomicEnqueue (from libsystem_platform)
00000001803254fc (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000018034c854 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180325528 (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180325544 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180325560 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
000000018032557c (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180325598 (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
00000001803255b0 (__TEXT,__text) non-external _OUTLINED_FUNCTION_6
00000001803255c8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_7
000000018035db78 (__TEXT,__const) non-external _P32Tr
000000018035da90 (__TEXT,__const) non-external _PC1
00000001e3440ca8 (__DATA,__bss) non-external _PC1ROT
000000018035da50 (__TEXT,__const) non-external _PC2
00000001e3440d30 (__DATA,__bss) non-external _PC2ROT
000000018035da40 (__TEXT,__const) non-external _Rotates
000000018035db98 (__TEXT,__const) non-external _S
00000001e3440d48 (__DATA,__bss) non-external _SPE
00000001803376dc (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180337720 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180337844 (__TEXT,__text) non-external __BIG5_mbsinit
00000001803377f0 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
00000001e343fc90 (__DATA,__data) non-external __C_lconv
00000001df929398 (__DATA_CONST,__const) non-external __C_messages_locale
00000001df9293b8 (__DATA_CONST,__const) non-external __C_monetary_locale
00000001df929460 (__DATA_CONST,__const) non-external __C_numeric_locale
00000001df9296b0 (__DATA_CONST,__const) non-external __C_time_locale
00000001e343fde0 (__DATA,__data) external __CurrentRuneLocale
00000001e343ffe8 (__DATA,__constrw) external __DefaultRuneLocale
00000001e5a000a0 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180339118 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180339188 (__TEXT,__text) non-external __EUC_CN_mbrtowc
00000001803391d0 (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
00000001803391bc (__TEXT,__text) non-external __EUC_CN_wcrtomb
00000001803391d4 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
00000001803392b4 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180339324 (__TEXT,__text) non-external __EUC_JP_mbrtowc
000000018033936c (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180339358 (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180339370 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
00000001803391f4 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180339264 (__TEXT,__text) non-external __EUC_KR_mbrtowc
00000001803392ac (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180339298 (__TEXT,__text) non-external __EUC_KR_wcrtomb
00000001803392b0 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
00000001803393e4 (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180339454 (__TEXT,__text) non-external __EUC_TW_mbrtowc
000000018033949c (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180339488 (__TEXT,__text) non-external __EUC_TW_wcrtomb
00000001803394a0 (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180339374 (__TEXT,__text) non-external (was a private external) __EUC_init
00000001803394a4 (__TEXT,__text) non-external __EUC_mbrtowc_impl
00000001803391d8 (__TEXT,__text) non-external __EUC_mbsinit
00000001803395c8 (__TEXT,__text) non-external __EUC_wcrtomb_impl
000000018034cf30 (__TEXT,__text) external __Exit
00000001803396fc (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180339740 (__TEXT,__text) non-external __GB18030_mbrtowc
00000001803399bc (__TEXT,__text) non-external __GB18030_mbsinit
00000001803398b0 (__TEXT,__text) non-external __GB18030_wcrtomb
00000001803399d8 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180339a1c (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180339b90 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180339b3c (__TEXT,__text) non-external __GB2312_wcrtomb
