                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
00007ff80ddb24eb (__TEXT,__text) external ___cmph_dump
00007ff80ddb2547 (__TEXT,__text) external ___cmph_load
00007ff80ddb24e1 (__TEXT,__text) external ___config_destroy
00007ff80ddb24ac (__TEXT,__text) external ___config_new
00007ff80ddb525b (__TEXT,__text) non-external ___jenkins_hash_vector
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stderrp (from libSystem)
00007ff80dda889b (__TEXT,__text) external _bdz_config_destroy
00007ff80dda8868 (__TEXT,__text) external _bdz_config_new
00007ff80dda88a9 (__TEXT,__text) external _bdz_config_set_b
00007ff80dda88c4 (__TEXT,__text) external _bdz_config_set_hashfuncs
00007ff80dda9816 (__TEXT,__text) external _bdz_destroy
00007ff80dda9402 (__TEXT,__text) external _bdz_dump
00007ff80dda9af3 (__TEXT,__text) non-external _bdz_dump_graph
00007ff80dda9549 (__TEXT,__text) external _bdz_load
00007ff80ddb6db0 (__TEXT,__const) external _bdz_lookup_table
00007ff80dda88d8 (__TEXT,__text) external _bdz_new
00007ff80dda9853 (__TEXT,__text) external _bdz_pack
00007ff80dda98fd (__TEXT,__text) external _bdz_packed_size
00007ff80dda9ba2 (__TEXT,__text) external _bdz_ph_config_destroy
00007ff80dda9b7a (__TEXT,__text) external _bdz_ph_config_new
00007ff80ddb615d (__TEXT,__text) non-external _bdz_ph_config_new.cold.1
00007ff80dda9bb0 (__TEXT,__text) external _bdz_ph_config_set_hashfuncs
00007ff80ddaa8c3 (__TEXT,__text) external _bdz_ph_destroy
00007ff80ddaa5cf (__TEXT,__text) external _bdz_ph_dump
00007ff80ddaaae9 (__TEXT,__text) non-external _bdz_ph_dump_graph
00007ff80ddaa6bb (__TEXT,__text) external _bdz_ph_load
00007ff80dda9bc3 (__TEXT,__text) external _bdz_ph_new
00007ff80ddaa8f7 (__TEXT,__text) external _bdz_ph_pack
00007ff80ddaa96d (__TEXT,__text) external _bdz_ph_packed_size
00007ff80ddaa7c2 (__TEXT,__text) external _bdz_ph_search
00007ff80ddaa9ae (__TEXT,__text) external _bdz_ph_search_packed
00007ff80dda96bc (__TEXT,__text) external _bdz_search
