00000001e55cd43c (__TEXT,__text) non-external _DiToMD5
00000001e55cd7a4 (__TEXT,__text) non-external _DiToSHA1
00000001e55b1ddc (__TEXT,__text) external _DriverExecutableMain
000000021a425470 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
000000021a425730 (__AUTH_CONST,__const) external _IOCommandPool_Class
000000021a425638 (__AUTH_CONST,__const) external _IOCommand_Class
000000021a425828 (__AUTH_CONST,__const) external _IODMACommand_Class
000000021a4259d8 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001e55ae1d8 (__TEXT,__text) external _IODelay
000000021a425b88 (__AUTH_CONST,__const) external _IODispatchQueue_Class
000000021a425d38 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001e55b236c (__TEXT,__text) external _IODriverKitTest
00000001e55dfaa8 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001e55dfadc (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001e55dfb08 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001e55dfb3c (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001e55dfb68 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001e55dfb94 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001e55dfbc0 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001e55dfbec (__TEXT,__text) non-external _IODriverKitTest.cold.8
000000021a425ee8 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001e55ae1a4 (__TEXT,__text) external _IOFree
00000001e55ae1c8 (__TEXT,__text) external _IOFreeData
00000001e55b233c (__TEXT,__text) external _IOGetExecutableSDKVersion
000000021a426788 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
000000021a426098 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001e55ae1e4 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001e55b0fe0 (__TEXT,__text) external _IOLockAlloc
00000001e55b1020 (__TEXT,__text) external _IOLockAssert
00000001e55df35c (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001e55b1004 (__TEXT,__text) external _IOLockFree
00000001e55b1014 (__TEXT,__text) external _IOLockLock
00000001e55b1018 (__TEXT,__text) external _IOLockTryLock
00000001e55b101c (__TEXT,__text) external _IOLockUnlock
00000001e55ae014 (__TEXT,__text) external _IOLog
00000001e55adeb8 (__TEXT,__text) external _IOLogBuffer
00000001e55ae040 (__TEXT,__text) external _IOLogv
00000001e55ae184 (__TEXT,__text) external _IOMalloc
00000001e55ae1a8 (__TEXT,__text) external _IOMallocData
00000001e55ae198 (__TEXT,__text) external _IOMallocZero
00000001e55ae1bc (__TEXT,__text) external _IOMallocZeroData
000000021a426248 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
000000021a4263f8 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001e55ae284 (__TEXT,__text) external _IOParseBootArgNumber
00000001e55ae790 (__TEXT,__text) external _IOParseBootArgString
00000001e55affc4 (__TEXT,__text) external _IORPCMessageFromMach
00000001e55df00c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001e55df04c (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001e55b1288 (__TEXT,__text) external _IORWLockAlloc
00000001e55df4bc (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001e55b12cc (__TEXT,__text) external _IORWLockFree
00000001e55b1310 (__TEXT,__text) external _IORWLockRead
00000001e55df4e8 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001e55b1350 (__TEXT,__text) external _IORWLockUnlock
00000001e55df540 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001e55b1330 (__TEXT,__text) external _IORWLockWrite
00000001e55df514 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001e55b10a8 (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001e55b10e4 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001e55b11cc (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001e55df438 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001e55b10f4 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001e55df388 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001e55df3b4 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001e55b1210 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001e55df464 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001e55df490 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001e55b115c (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001e55df3e0 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001e55df40c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001e55b1060 (__TEXT,__text) external _IORecursiveLockAlloc
00000001e55b1084 (__TEXT,__text) external _IORecursiveLockFree
00000001e55b10a0 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001e55b1094 (__TEXT,__text) external _IORecursiveLockLock
00000001e55b10a4 (__TEXT,__text) external _IORecursiveLockTryLock
00000001e55b109c (__TEXT,__text) external _IORecursiveLockUnlock
000000021a426828 (__AUTH_CONST,__const) external _IOReportLegend_Class
000000021a4265a8 (__AUTH_CONST,__const) external _IOReporter_Class
000000021a426e58 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
000000021a427008 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
000000021a426ca8 (__AUTH_CONST,__const) external _IOService_Class
000000021a426648 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001e55ae1cc (__TEXT,__text) external _IOSleep
000000021a4266e8 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001e55b1420 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001e55b1370 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001e55b13c4 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001e55b13ec (__TEXT,__text) external _IOThreadLocalStorageSet
000000021a428e08 (__AUTH_CONST,__const) external _IOThread_Class
000000021a4271b8 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
000000021a427368 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001e55b1e30 (__TEXT,__text) external _IOUserServerMain
00000001e55df8f0 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001e55dfa7c (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001e55df91c (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001e55df948 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001e55df974 (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001e55df9a0 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001e55df9cc (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001e55df9f8 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001e55dfa24 (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001e55dfa50 (__TEXT,__text) non-external _IOUserServerMain.cold.9
000000021a4276e8 (__AUTH_CONST,__const) external _IOUserServer_Class
0000000218c99668 (__DATA_DIRTY,__common) external _IOVMPageSize
000000021a427898 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001e55cd608 (__TEXT,__text) external _MD5Final
00000001e55cd374 (__TEXT,__text) external _MD5Init
00000001e55cd594 (__TEXT,__text) non-external _MD5ToDi
00000001e55cd4a4 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
000000021a427a48 (__AUTH_CONST,__const) external _OSAction_Class
000000021a427408 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
000000021a428b48 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001e55bc668 (__TEXT,__text) external _OSArrayAppendValue
00000001e55bc1e8 (__TEXT,__text) external _OSArrayApply
00000001e55bc180 (__TEXT,__text) external _OSArrayCreate
00000001e55bb660 (__TEXT,__text) external _OSArrayGetCount
00000001e55bc710 (__TEXT,__text) external _OSArrayGetStringValue
00000001e55bc7c0 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001e55bc69c (__TEXT,__text) external _OSArrayGetValue
00000001e55bc660 (__TEXT,__text) external _OSArrayReplaceValue
00000001e55bc73c (__TEXT,__text) external _OSArraySetStringValue
00000001e55bc8c8 (__TEXT,__text) external _OSArraySetUInt64Value
00000001e55bc488 (__TEXT,__text) external _OSArraySetValue
000000021a427bf8 (__AUTH_CONST,__const) external _OSArray_Class
000000021a427cf0 (__AUTH_CONST,__const) external _OSBoolean_Class
000000021a427de8 (__AUTH_CONST,__const) external _OSBundle_Class
00000001e55ba1bc (__TEXT,__text) external _OSCollectionTypeID
00000001e55e088c (__TEXT,__text) non-external _OSCollectionTypeID.cold.1
00000001e55ba0ec (__TEXT,__text) external _OSCollectionTypeName
00000001e55e0834 (__TEXT,__text) non-external _OSCollectionTypeName.cold.1
000000021a427ee0 (__AUTH_CONST,__const) external _OSCollection_Class
00000001e55bf8e0 (__TEXT,__text) external _OSCollectionsInitialize
000000021a427fd8 (__AUTH_CONST,__const) external _OSContainer_Class
00000001e55ba244 (__TEXT,__text) external _OSCreateObjectFromSerialization
00000001e55e08e4 (__TEXT,__text) non-external _OSCreateObjectFromSerialization.cold.1
00000001e55bd374 (__TEXT,__text) external _OSCreateSerializationFromBytes
00000001e55e0f6c (__TEXT,__text) non-external _OSCreateSerializationFromBytes.cold.1
00000001e55bd248 (__TEXT,__text) external _OSCreateSerializationFromObject
00000001e55bb49c (__TEXT,__text) external _OSDataAppendBytes
00000001e55bb3ec (__TEXT,__text) external _OSDataCreate
00000001e55e0af4 (__TEXT,__text) non-external _OSDataCreate.cold.1
00000001e55bb380 (__TEXT,__text) external _OSDataGetBytes
00000001e55bb334 (__TEXT,__text) external _OSDataGetBytesPtr
00000001e55bb370 (__TEXT,__text) external _OSDataGetLength
000000021a428138 (__AUTH_CONST,__const) external _OSData_Class
00000001e55bb66c (__TEXT,__text) external _OSDictionaryApply
00000001e55bb5ec (__TEXT,__text) external _OSDictionaryCreate
00000001e55bb654 (__TEXT,__text) external _OSDictionaryGetCount
00000001e55bbe28 (__TEXT,__text) external _OSDictionaryGetStringValue
00000001e55bc034 (__TEXT,__text) external _OSDictionaryGetUInt64Value
00000001e55bbd84 (__TEXT,__text) external _OSDictionaryGetValue
00000001e55bbfb0 (__TEXT,__text) external _OSDictionarySetStringValue
00000001e55bc100 (__TEXT,__text) external _OSDictionarySetUInt64Value
