                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b4e801a (__TEXT,__text) external ___absvdi2
00007ff80b4e804d (__TEXT,__text) external ___absvsi2
00007ff80b4e8076 (__TEXT,__text) external ___absvti2
00007ff80b4e80b6 (__TEXT,__text) external ___addvdi3
00007ff80b4e80fc (__TEXT,__text) external ___addvsi3
00007ff80b4e813e (__TEXT,__text) external ___addvti3
00007ff80b4e819b (__TEXT,__text) external ___ashldi3
00007ff80b4e81c7 (__TEXT,__text) external ___ashlti3
00007ff80b4e81ef (__TEXT,__text) external ___ashrdi3
00007ff80b4e8220 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80b4e84c8 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80b4e8a20 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80b4e8a6c (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80b4e8ab8 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80b4e8b04 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80b4e870c (__TEXT,__text) external ___atomic_exchange
00007ff80b4e8952 (__TEXT,__text) external ___atomic_exchange_1
00007ff80b4e8988 (__TEXT,__text) external ___atomic_exchange_2
00007ff80b4e89bc (__TEXT,__text) external ___atomic_exchange_4
00007ff80b4e89ec (__TEXT,__text) external ___atomic_exchange_8
00007ff80b4e8b50 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80b4e8b88 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80b4e8bbc (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80b4e8bf0 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80b4e8d00 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80b4e8d78 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80b4e8df8 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80b4e8e68 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80b4e8eec (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80b4e8f64 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80b4e8fe4 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80b4e9054 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80b4e8c24 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80b4e8c5c (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80b4e8c94 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80b4e8cc8 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80b4e90d8 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80b4e9150 (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff80b4e91d0 (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff80b4e9240 (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff80b4e8250 (__TEXT,__text) external ___atomic_is_lock_free
00007ff80b4e82a4 (__TEXT,__text) external ___atomic_load
00007ff80b4e88cc (__TEXT,__text) external ___atomic_load_1
00007ff80b4e88dd (__TEXT,__text) external ___atomic_load_2
00007ff80b4e88ef (__TEXT,__text) external ___atomic_load_4
00007ff80b4e88fd (__TEXT,__text) external ___atomic_load_8
00007ff80b4e83a4 (__TEXT,__text) external ___atomic_store
00007ff80b4e890c (__TEXT,__text) external ___atomic_store_1
00007ff80b4e891e (__TEXT,__text) external ___atomic_store_2
00007ff80b4e8930 (__TEXT,__text) external ___atomic_store_4
00007ff80b4e8940 (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff80b4e9374 (__TEXT,__text) external ___clear_cache
00007ff80b4e9375 (__TEXT,__text) external ___clzdi2
00007ff80b4e9390 (__TEXT,__text) external ___clzsi2
00007ff80b4e93fe (__TEXT,__text) external ___clzti2
00007ff80b4e9417 (__TEXT,__text) external ___cmpdi2
00007ff80b4e9446 (__TEXT,__text) external ___cmpti2
00007ff80b4eb498 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff80b4e946a (__TEXT,__text) external ___ctzdi2
00007ff80b4e9484 (__TEXT,__text) external ___ctzsi2
00007ff80b4e94e5 (__TEXT,__text) external ___ctzti2
00007ff80b4e94fb (__TEXT,__text) external ___divdc3
00007ff80b4e7f8f (__TEXT,__text) external ___divdi3
00007ff80b4e9b6f (__TEXT,__text) external ___divsc3
00007ff80b4e7fca (__TEXT,__text) external ___divti3
00007ff80b4ea11b (__TEXT,__text) external ___divxc3
00007ff80b4ea466 (__TEXT,__text) external ___enable_execute_stack
00007ff80b4ea487 (__TEXT,__text) external ___extendhfsf2
00007ff80b4ea4f5 (__TEXT,__text) external ___ffsdi2
00007ff80b4ea511 (__TEXT,__text) external ___ffsti2
00007ff80b4ea52d (__TEXT,__text) external ___fixdfdi
00007ff80b4ea54e (__TEXT,__text) external ___fixdfti
00007ff80b4ea619 (__TEXT,__text) external ___fixsfdi
00007ff80b4ea637 (__TEXT,__text) external ___fixsfti
00007ff80b4e7e86 (__TEXT,__text) external ___fixunsdfdi
00007ff80b4ea6e1 (__TEXT,__text) external ___fixunsdfsi
00007ff80b4ea72d (__TEXT,__text) external ___fixunsdfti
00007ff80b4ea7ad (__TEXT,__text) external ___fixunssfdi
00007ff80b4ea7f2 (__TEXT,__text) external ___fixunssfsi
00007ff80b4ea83c (__TEXT,__text) external ___fixunssfti
00007ff80b4e7ec9 (__TEXT,__text) external ___fixunsxfdi
00007ff80b4ea8b1 (__TEXT,__text) external ___fixunsxfsi
00007ff80b4ea924 (__TEXT,__text) external ___fixunsxfti
00007ff80b4ea9db (__TEXT,__text) external ___fixxfdi
00007ff80b4eaa78 (__TEXT,__text) external ___fixxfti
00007ff80b4eab5e (__TEXT,__text) external ___floatdidf
00007ff80b4eab64 (__TEXT,__text) external ___floatdisf
00007ff80b4eab6a (__TEXT,__text) external ___floatdixf
00007ff80b4eab74 (__TEXT,__text) external ___floattidf
00007ff80b4eac8c (__TEXT,__text) external ___floattisf
00007ff80b4ead8e (__TEXT,__text) external ___floattixf
00007ff80b4eaec0 (__TEXT,__text) external ___floatundidf
00007ff80b4eaeec (__TEXT,__text) external ___floatundisf
00007ff80b4eaf18 (__TEXT,__text) external ___floatundixf
00007ff80b4eaf2e (__TEXT,__text) external ___floatuntidf
00007ff80b4eb036 (__TEXT,__text) external ___floatuntisf
00007ff80b4eb0fe (__TEXT,__text) external ___floatuntixf
00007ff80b4eb204 (__TEXT,__text) external ___gcc_personality_v0
00007ff80b4ec975 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff80b4ea4f0 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff80b4eb4b0 (__TEXT,__text) external ___lshrdi3
00007ff80b4eb4de (__TEXT,__text) external ___lshrti3
00007ff80b4e7f40 (__TEXT,__text) external ___moddi3
