000000018b10b139 (__TEXT,__const) non-external _DOWNCASE_TBL
000000018b10bc3c (__TEXT,__const) non-external _VALID_AUTHORITY_CHARS
000000018b10b73c (__TEXT,__const) non-external _VALID_HD_NAME_CHARS
000000018b10b23c (__TEXT,__const) non-external _VALID_HD_VALUE_CHARS
000000018b10bb3c (__TEXT,__const) non-external _VALID_METHOD_CHARS
000000018b10b63c (__TEXT,__const) non-external _VALID_PATH_CHARS
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
000000018b0fb680 (__TEXT,__text) non-external _active_outbound_item_reset
000000018b100688 (__TEXT,__text) non-external _add_hd_table_incremental
000000018b103e1c (__TEXT,__text) non-external _bubble_down
000000018b103da0 (__TEXT,__text) non-external _bubble_up
000000018b0fb5a8 (__TEXT,__text) non-external _buf_chain_new
000000018b104008 (__TEXT,__text) non-external _bufs_alloc_chain
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
000000018b1021ec (__TEXT,__text) non-external _check_pseudo_header
000000018b0fb4fc (__TEXT,__text) non-external _default_calloc
000000018b0fb814 (__TEXT,__text) non-external _default_free
000000018b0fb500 (__TEXT,__text) non-external _default_malloc
000000018b0fb67c (__TEXT,__text) non-external _default_realloc
000000018b1000b4 (__TEXT,__text) non-external _emit_indname_block
000000018b100278 (__TEXT,__text) non-external _emit_string
000000018b102da0 (__TEXT,__text) non-external _emit_table_size
000000018b105460 (__TEXT,__text) non-external _find_stream_on_goaway_func
000000018b1009bc (__TEXT,__text) non-external _frame_pack_headers_shared
                 (undefined) external _free (from libSystem)
000000018b104c4c (__TEXT,__text) non-external _free_streams
000000018b1056e0 (__TEXT,__text) non-external _get_error_code_from_lib_error_code
000000018b102bf8 (__TEXT,__text) non-external _hd_context_free
000000018b1011d8 (__TEXT,__text) non-external _hd_context_shrink_table_size
000000018b103c74 (__TEXT,__text) non-external _hd_get_table_entry
000000018b10212c (__TEXT,__text) non-external _hd_inflate_commit_indname
000000018b10223c (__TEXT,__text) non-external _hd_inflate_commit_newname
000000018b102048 (__TEXT,__text) non-external _hd_inflate_read_huff
000000018b101f34 (__TEXT,__text) non-external _hd_inflate_read_len
000000018b102c88 (__TEXT,__text) non-external _hd_ringbuf_get
000000018b1070f8 (__TEXT,__const) non-external _huff_decode_table
000000018b1068f0 (__TEXT,__const) non-external _huff_sym_table
000000018b0feb64 (__TEXT,__text) non-external _insert
000000018b103390 (__TEXT,__text) non-external _insert_link_dep
000000018b0ff294 (__TEXT,__text) non-external _lookup_token
                 (undefined) external _malloc (from libSystem)
00000001d929a740 (__AUTH,__data) non-external _mem_default
                 (undefined) external _memcmp (from libSystem)
                 (undefined) external _memcpy (from libSystem)
000000018b0fc020 (__TEXT,__text) non-external _nghttp2_adjust_local_window_size
000000018b0fb95c (__TEXT,__text) non-external _nghttp2_bufs_add
000000018b10095c (__TEXT,__text) non-external _nghttp2_bufs_addb
000000018b102d34 (__TEXT,__text) non-external _nghttp2_bufs_free
000000018b10673c (__TEXT,__text) external _nghttp2_check_authority
000000018b0fac80 (__TEXT,__text) external _nghttp2_check_header_name
000000018b0facc8 (__TEXT,__text) external _nghttp2_check_header_value
000000018b1066dc (__TEXT,__text) external _nghttp2_check_method
000000018b10670c (__TEXT,__text) external _nghttp2_check_path
000000018b100b60 (__TEXT,__text) non-external _nghttp2_frame_add_pad
000000018b0fec0c (__TEXT,__text) external _nghttp2_hd_deflate_bound
000000018b101190 (__TEXT,__text) external _nghttp2_hd_deflate_change_table_size
000000018b103aa8 (__TEXT,__text) external _nghttp2_hd_deflate_del
000000018b103cd0 (__TEXT,__text) external _nghttp2_hd_deflate_get_dynamic_table_size
000000018b103cd8 (__TEXT,__text) external _nghttp2_hd_deflate_get_max_dynamic_table_size
000000018b103c64 (__TEXT,__text) external _nghttp2_hd_deflate_get_num_table_entries
000000018b103c70 (__TEXT,__text) external _nghttp2_hd_deflate_get_table_entry
000000018b103728 (__TEXT,__text) external _nghttp2_hd_deflate_hd
000000018b0fec3c (__TEXT,__text) non-external _nghttp2_hd_deflate_hd_bufs
000000018b103830 (__TEXT,__text) external _nghttp2_hd_deflate_hd_vec
000000018b1039c8 (__TEXT,__text) external _nghttp2_hd_deflate_new
000000018b1039d0 (__TEXT,__text) external _nghttp2_hd_deflate_new2
000000018b103620 (__TEXT,__text) external _nghttp2_hd_inflate_change_table_size
000000018b103c20 (__TEXT,__text) external _nghttp2_hd_inflate_del
000000018b1022e4 (__TEXT,__text) external _nghttp2_hd_inflate_end_headers
000000018b102cdc (__TEXT,__text) non-external _nghttp2_hd_inflate_free
000000018b103cf0 (__TEXT,__text) external _nghttp2_hd_inflate_get_dynamic_table_size
000000018b103cf8 (__TEXT,__text) external _nghttp2_hd_inflate_get_max_dynamic_table_size
000000018b103ce0 (__TEXT,__text) external _nghttp2_hd_inflate_get_num_table_entries
000000018b103cec (__TEXT,__text) external _nghttp2_hd_inflate_get_table_entry
000000018b103aec (__TEXT,__text) external _nghttp2_hd_inflate_hd
000000018b103af0 (__TEXT,__text) external _nghttp2_hd_inflate_hd2
