0000000182bb24f8 (__DATA,__data) non-external _C
0000000182bbee80 (__DATA,__bss) non-external _EMSG
0000000182bbee81 (__DATA,__bss) non-external _EMSG
0000000182bb41d8 (__DATA,__bss) non-external _NXArgc_pointer
0000000182bb41d0 (__DATA,__bss) non-external _NXArgv_pointer
0000000180a33f60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180a71114 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180a4ac94 (__TEXT,__text) non-external (was a private external) __BIG5_init
0000000180a4ace4 (__TEXT,__text) non-external __BIG5_mbrtowc
0000000180a4ae08 (__TEXT,__text) non-external __BIG5_mbsinit
0000000180a4adb0 (__TEXT,__text) non-external __BIG5_wcrtomb
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
0000000180b92a68 (__DATA_CONST,__const) non-external __C_messages_locale
0000000180b92a88 (__DATA_CONST,__const) non-external __C_monetary_locale
0000000180b92b30 (__DATA_CONST,__const) non-external __C_numeric_locale
0000000180b92d40 (__DATA_CONST,__const) non-external __C_time_locale
0000000182bb2d78 (__DATA,__data) external __CurrentRuneLocale
0000000182bb33c8 (__DATA,__constrw) external __DefaultRuneLocale
0000000182bd94b8 (__AUTH,__constrw) non-external (was a private external) __DefaultRuneXLocale
0000000180a4d0b0 (__TEXT,__text) non-external (was a private external) __EUC_CN_init
0000000180a4d134 (__TEXT,__text) non-external __EUC_CN_mbrtowc
0000000180a4d17c (__TEXT,__text) non-external __EUC_CN_mbsnrtowcs
0000000180a4d168 (__TEXT,__text) non-external __EUC_CN_wcrtomb
0000000180a4d180 (__TEXT,__text) non-external __EUC_CN_wcsnrtombs
0000000180a4d274 (__TEXT,__text) non-external (was a private external) __EUC_JP_init
0000000180a4d2f8 (__TEXT,__text) non-external __EUC_JP_mbrtowc
0000000180a4d340 (__TEXT,__text) non-external __EUC_JP_mbsnrtowcs
0000000180a4d32c (__TEXT,__text) non-external __EUC_JP_wcrtomb
0000000180a4d344 (__TEXT,__text) non-external __EUC_JP_wcsnrtombs
0000000180a4d1a0 (__TEXT,__text) non-external (was a private external) __EUC_KR_init
0000000180a4d224 (__TEXT,__text) non-external __EUC_KR_mbrtowc
0000000180a4d26c (__TEXT,__text) non-external __EUC_KR_mbsnrtowcs
0000000180a4d258 (__TEXT,__text) non-external __EUC_KR_wcrtomb
0000000180a4d270 (__TEXT,__text) non-external __EUC_KR_wcsnrtombs
0000000180a4d3cc (__TEXT,__text) non-external (was a private external) __EUC_TW_init
0000000180a4d450 (__TEXT,__text) non-external __EUC_TW_mbrtowc
0000000180a4d498 (__TEXT,__text) non-external __EUC_TW_mbsnrtowcs
0000000180a4d484 (__TEXT,__text) non-external __EUC_TW_wcrtomb
0000000180a4d49c (__TEXT,__text) non-external __EUC_TW_wcsnrtombs
0000000180a4d348 (__TEXT,__text) non-external (was a private external) __EUC_init
0000000180a4d4a0 (__TEXT,__text) non-external __EUC_mbrtowc_impl
0000000180a4d184 (__TEXT,__text) non-external __EUC_mbsinit
0000000180a4d5dc (__TEXT,__text) non-external __EUC_wcrtomb_impl
0000000180a71984 (__TEXT,__text) external __Exit
0000000180a4d7d4 (__TEXT,__text) non-external (was a private external) __GB18030_init
0000000180a4d824 (__TEXT,__text) non-external __GB18030_mbrtowc
0000000180a4da98 (__TEXT,__text) non-external __GB18030_mbsinit
0000000180a4d990 (__TEXT,__text) non-external __GB18030_wcrtomb
0000000180a4dab4 (__TEXT,__text) non-external (was a private external) __GB2312_init
0000000180a4db04 (__TEXT,__text) non-external __GB2312_mbrtowc
0000000180a4dc74 (__TEXT,__text) non-external __GB2312_mbsinit
0000000180a4dc1c (__TEXT,__text) non-external __GB2312_wcrtomb
0000000180a4dc90 (__TEXT,__text) non-external (was a private external) __GBK_init
0000000180a4dce0 (__TEXT,__text) non-external __GBK_mbrtowc
0000000180a4de04 (__TEXT,__text) non-external __GBK_mbsinit
0000000180a4ddac (__TEXT,__text) non-external __GBK_wcrtomb
0000000180a4f348 (__TEXT,__text) non-external (was a private external) __MSKanji_init
0000000180a4f398 (__TEXT,__text) non-external __MSKanji_mbrtowc
0000000180a4f598 (__TEXT,__text) non-external __MSKanji_mbsinit
0000000180a4f470 (__TEXT,__text) non-external __MSKanji_wcrtomb
0000000180a333c8 (__TEXT,__text) external __NSGetArgc
0000000180a333bc (__TEXT,__text) external __NSGetArgv
0000000180a333d4 (__TEXT,__text) external __NSGetEnviron
0000000180a333ec (__TEXT,__text) external __NSGetMachExecuteHeader
0000000180a333e0 (__TEXT,__text) external __NSGetProgname
0000000182bbef78 (__DATA,__common) external __PathLocale
0000000180a7adb4 (__TEXT,__text) external __Read_RuneMagi
0000000180a7113c (__TEXT,__text) non-external (was a private external) __UTF2_init
0000000180a711b4 (__TEXT,__text) non-external __UTF2_mbrtowc
0000000180a713ac (__TEXT,__text) non-external __UTF2_mbsinit
0000000180a713c8 (__TEXT,__text) non-external __UTF2_mbsnrtowcs
0000000180a71304 (__TEXT,__text) non-external __UTF2_wcrtomb
0000000180a71568 (__TEXT,__text) non-external __UTF2_wcsnrtombs
0000000180a51158 (__TEXT,__text) non-external (was a private external) __UTF8_init
0000000180a511d0 (__TEXT,__text) non-external __UTF8_mbrtowc
0000000180a5148c (__TEXT,__text) non-external __UTF8_mbsinit
0000000180a514a8 (__TEXT,__text) non-external __UTF8_mbsnrtowcs
0000000180a513c0 (__TEXT,__text) non-external __UTF8_wcrtomb
0000000180a51648 (__TEXT,__text) non-external __UTF8_wcsnrtombs
0000000180a40240 (__TEXT,__text) external ___Balloc_D2A
0000000180a403dc (__TEXT,__text) external ___Bfree_D2A
0000000180a31058 (__TEXT,__text) external ____mb_cur_max
0000000180a31084 (__TEXT,__text) external ____mb_cur_max_l
0000000180a50158 (__TEXT,__text) external ____runetype
0000000180a500c0 (__TEXT,__text) external ____runetype_l
0000000180a51074 (__TEXT,__text) external ____tolower
0000000180a50fd8 (__TEXT,__text) external ____tolower_l
0000000180a51134 (__TEXT,__text) external ____toupper
0000000180a51098 (__TEXT,__text) external ____toupper_l
0000000180a8edfc (__TEXT,__text) non-external (was a private external) ___abort
0000000180a3b01c (__TEXT,__text) external ___add_ovflpage
0000000180a3ad20 (__TEXT,__text) external ___addel
0000000180a40fd4 (__TEXT,__text) external ___any_on_D2A
0000000180a8e0f0 (__TEXT,__text) external ___assert_rtn
0000000182bbee70 (__DATA,__bss) non-external ___atexit
0000000180a719a0 (__TEXT,__text) non-external (was a private external) ___atexit_init
0000000182bbee78 (__DATA,__bss) non-external ___atexit_new_registration
0000000180a40b4c (__TEXT,__text) external ___b2d_D2A
0000000180a39658 (__TEXT,__text) external ___big_delete
0000000180a393bc (__TEXT,__text) external ___big_insert
0000000180a39cf4 (__TEXT,__text) external ___big_keydata
0000000180a3998c (__TEXT,__text) external ___big_return
0000000180a39e84 (__TEXT,__text) external ___big_split
0000000180a90838 (__TEXT,__const) external ___bigtens_D2A
0000000180a34158 (__TEXT,__text) external ___bt_close
0000000180a37f0c (__TEXT,__text) external ___bt_cmp
0000000180a37fc8 (__TEXT,__text) external ___bt_defcmp
0000000180a3800c (__TEXT,__text) external ___bt_defpfx
0000000180a345e4 (__TEXT,__text) external ___bt_delete
0000000180a34c54 (__TEXT,__text) external ___bt_dleaf
0000000180a35a64 (__TEXT,__text) external ___bt_fd
0000000180a36abc (__TEXT,__text) non-external ___bt_first
0000000180a35e70 (__TEXT,__text) external ___bt_free
0000000180a352d4 (__TEXT,__text) external ___bt_get
0000000180a35e98 (__TEXT,__text) external ___bt_new
0000000180a353c8 (__TEXT,__text) external ___bt_open
0000000180a3502c (__TEXT,__text) non-external ___bt_pdelete
0000000180a342f0 (__TEXT,__text) external ___bt_pgin
0000000180a3447c (__TEXT,__text) external ___bt_pgout
0000000180a35f14 (__TEXT,__text) external ___bt_put
0000000180a35244 (__TEXT,__text) non-external ___bt_relink
0000000180a37d68 (__TEXT,__text) external ___bt_ret
0000000180a36434 (__TEXT,__text) external ___bt_search
0000000180a36684 (__TEXT,__text) external ___bt_seq
0000000180a36a60 (__TEXT,__text) external ___bt_setcur
0000000180a36cd4 (__TEXT,__text) external ___bt_split
0000000180a348e4 (__TEXT,__text) non-external ___bt_stkacq
0000000180a34214 (__TEXT,__text) external ___bt_sync
0000000180a3a3f8 (__TEXT,__text) external ___buf_free
0000000180a3a3c8 (__TEXT,__text) non-external (was a private external) ___buf_init
0000000182bb2500 (__DATA,__data) non-external ___c_locale
0000000180a80c50 (__TEXT,__text) non-external ___calc_left_pad
0000000180a38f10 (__TEXT,__text) external ___call_hash
0000000182bb33c0 (__DATA,__data) non-external (was a private external) ___chk_assert_no_overlap
0000000180a8d1e0 (__TEXT,__text) non-external (was a private external) ___chk_fail_overflow
0000000180a8d1fc (__TEXT,__text) non-external (was a private external) ___chk_fail_overlap
0000000180a41378 (__TEXT,__text) non-external (was a private external) ___chk_init
0000000180a8d218 (__TEXT,__text) non-external (was a private external) ___chk_overlap
0000000182bbefe0 (__DATA,__common) external ___cleanup
0000000180a409a4 (__TEXT,__text) external ___cmp_D2A
0000000180a4c120 (__TEXT,__text) non-external (was a private external) ___collate_collating_symbol
0000000180a4c2f0 (__TEXT,__text) non-external (was a private external) ___collate_equiv_class
0000000180a4c474 (__TEXT,__text) external ___collate_equiv_match
0000000180a4cf94 (__TEXT,__text) non-external (was a private external) ___collate_equiv_value
0000000180a4c7a4 (__TEXT,__text) non-external (was a private external) ___collate_equiv_wchar
0000000180a8e85c (__TEXT,__text) non-external ___collate_equiv_wchar.cold.1
0000000180a8e888 (__TEXT,__text) non-external ___collate_equiv_wchar.cold.2
0000000180a4b9bc (__TEXT,__text) non-external (was a private external) ___collate_err
0000000182bb2bb8 (__DATA,__data) external ___collate_load_error
0000000180a4af04 (__TEXT,__text) non-external (was a private external) ___collate_load_tables
0000000182bb4308 (__DATA,__bss) non-external ___collate_load_tables.cache
0000000180a4b388 (__TEXT,__text) non-external ___collate_load_tables_legacy
0000000180a4bf3c (__TEXT,__text) external ___collate_lookup
0000000180a4bd90 (__TEXT,__text) external ___collate_lookup_l
0000000180a4c01c (__TEXT,__text) non-external (was a private external) ___collate_mbstowcs
0000000180a4c9d0 (__TEXT,__text) non-external ___collate_pri_for
0000000180a8e8b4 (__TEXT,__text) non-external ___collate_pri_for.cold.1
0000000180a4d08c (__TEXT,__text) non-external (was a private external) ___collate_range_cmp
0000000182bb4310 (__DATA,__bss) non-external ___collate_range_cmp.s1
0000000182bb4318 (__DATA,__bss) non-external ___collate_range_cmp.s2
                 (undefined) external ___commpage_gettimeofday (from libsystem_kernel)
0000000180a296c8 (__TEXT,__text) non-external (was a private external) ___confstr_init
0000000180a33d70 (__TEXT,__text) non-external (was a private external) ___copy_assignment_8_8_t0w8_pa0_28660_8_pa0_36689_16_pa0_31171_24_pa0_29245_32
0000000180a40f54 (__TEXT,__text) external ___copybits_D2A
0000000180a7a270 (__TEXT,__text) non-external ___cvt
0000000182bbeee8 (__DATA,__bss) non-external ___cvt.s
0000000180a71b7c (__TEXT,__text) external ___cxa_atexit
0000000180a71e88 (__TEXT,__text) external ___cxa_finalize
0000000180a71bb0 (__TEXT,__text) external ___cxa_finalize_ranges
0000000180a40c4c (__TEXT,__text) external ___d2b_D2A
0000000182bbef98 (__DATA,__common) non-external (was a private external) ___darwin_altzone
0000000180a38164 (__TEXT,__text) non-external ___dberr
0000000180a3810c (__TEXT,__text) external ___dbpanic
0000000182bd92e0 (__AUTH,__data) external ___default_hash
0000000180a3a5f8 (__TEXT,__text) external ___delpair
0000000180a50854 (__TEXT,__text) non-external (was a private external) ___detect_path_locale
0000000180a409f4 (__TEXT,__text) external ___diff_D2A
0000000182bb4060 (__DATA,__bss) non-external ___dirhelper_func
0000000180a3e210 (__TEXT,__text) external ___dtoa
0000000182bbf000 (__DATA,__common) non-external (was a private external) ___env_owned
0000000180a72238 (__TEXT,__text) non-external (was a private external) ___environ_lock_fork_child
0000000182bbee7c (__DATA,__bss) non-external ___environ_lock_obj
                 (undefined) external ___error (from libsystem_kernel)
0000000180a6e914 (__TEXT,__text) non-external (was a private external) ___errstr
0000000180a58d08 (__TEXT,__text) non-external ___evpinit
                 (undefined) external ___exit (from libsystem_kernel)
0000000180a38da8 (__TEXT,__text) external ___expand_table
0000000182bb5d98 (__DATA,__bss) non-external ___fallback_evp
                 (undefined) external ___fcntl (from libsystem_kernel)
                 (undefined) external ___fcntl_nocancel (from libsystem_kernel)
0000000180a552e4 (__TEXT,__text) external ___fflush
0000000180a5582c (__TEXT,__text) external ___fgetwc
0000000180a5977c (__TEXT,__text) non-external (was a private external) ___find_arguments
0000000180a397c8 (__TEXT,__text) external ___find_bigpair
0000000180a398f4 (__TEXT,__text) external ___find_last_page
0000000180a5a5f0 (__TEXT,__text) non-external (was a private external) ___find_warguments
0000000180a72164 (__TEXT,__text) non-external (was a private external) ___findenv_locked
0000000180a4d6ec (__TEXT,__text) external ___fix_locale_grouping_str
0000000180a4d7b4 (__TEXT,__text) non-external (was a private external) ___fix_nogrouping
                 (undefined) external ___fork (from libsystem_kernel)
                 (undefined) external ___fpclassifyd (from libsystem_m)
0000000180a5673c (__TEXT,__text) non-external (was a private external) ___fputwc
0000000180a56d1c (__TEXT,__text) external ___fread
0000000180a3b9a8 (__TEXT,__text) external ___free_ovflpage
0000000180a3e0a0 (__TEXT,__text) external ___freedtoa
0000000182bb33c4 (__DATA,__data) non-external (was a private external) ___ftell_conformance_fix
0000000180a2a3f8 (__TEXT,__text) non-external ___fts_open
0000000180a3f030 (__TEXT,__text) external ___gdtoa
0000000182bbef48 (__DATA,__common) external ___gdtoa_locks
0000000180a3a024 (__TEXT,__text) external ___get_buf
0000000180a4e2f0 (__TEXT,__text) non-external (was a private external) ___get_current_messages_locale
0000000180a4e788 (__TEXT,__text) non-external (was a private external) ___get_current_monetary_locale
0000000180a4ea00 (__TEXT,__text) non-external (was a private external) ___get_current_numeric_locale
0000000180a6df00 (__TEXT,__text) non-external (was a private external) ___get_current_time_locale
0000000180a50640 (__TEXT,__text) non-external (was a private external) ___get_locale_env
0000000180a3b410 (__TEXT,__text) external ___get_page
0000000180a45080 (__TEXT,__text) non-external ___getcwd
                 (undefined) external ___getdirentries64 (from libsystem_kernel)
0000000182bb5d60 (__DATA,__bss) non-external ___getevp.predicate
                 (undefined) external ___gettimeofday (from libsystem_kernel)
0000000182bb1f30 (__DATA,__data) non-external (was a private external) ___global_locale
0000000180a716e4 (__TEXT,__text) non-external (was a private external) ___guard_setup
0000000180a3816c (__TEXT,__text) external ___hash_open
0000000180a3dc70 (__TEXT,__text) external ___hdtoa
0000000180a7aa58 (__TEXT,__text) non-external (was a private external) ___heapsort_r
0000000180a405b8 (__TEXT,__text) external ___hi0bits_D2A
0000000180a3dfe8 (__TEXT,__text) external ___hldtoa
0000000180a40634 (__TEXT,__text) external ___i2b_D2A
0000000180a3b8d8 (__TEXT,__text) external ___ibitmap
0000000180a77c64 (__TEXT,__text) non-external (was a private external) ___init__env_owned_locked
0000000180a4fc50 (__TEXT,__text) external ___isctype
0000000180a4fc08 (__TEXT,__text) external ___istype
0000000180a4fda8 (__TEXT,__text) external ___istype_l
0000000182bb2b31 (__DATA,__data) non-external ___kernel_supports_unionfs.kernel_supports_unionfs
                 (undefined) external ___kill (from libsystem_kernel)
0000000180a7ad20 (__TEXT,__text) external ___ldtoa
0000000180a33330 (__TEXT,__text) external ___libc_init
0000000180a40454 (__TEXT,__text) external ___lo0bits_D2A
0000000180a58dc4 (__TEXT,__text) non-external ___loadevp
