0000000182afa7a8 (__DATA,__data) external _NDR_record
00000001809fc914 (__TEXT,__text) non-external __Xexception_raise
00000001809fc800 (__TEXT,__text) non-external __Xexception_raise_state
00000001809fc69c (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001809e496c (__TEXT,__text) external _____sigwait_nocancel
0000000180a16a78 (__TEXT,__const) external ____kernelVersionNumber
0000000180a16a40 (__TEXT,__const) external ____kernelVersionString
00000001809e4998 (__TEXT,__text) external ___abort_with_payload
00000001809e49c4 (__TEXT,__text) external ___accept
00000001809e49f0 (__TEXT,__text) external ___accept_nocancel
00000001809e4a1c (__TEXT,__text) external ___access_extended
00000001809e4a48 (__TEXT,__text) external ___aio_suspend_nocancel
00000001809e4a74 (__TEXT,__text) external ___bind
00000001809e4aa0 (__TEXT,__text) external ___bsdthread_create
00000001809e4acc (__TEXT,__text) external ___bsdthread_ctl
00000001809e4af8 (__TEXT,__text) external ___bsdthread_register
00000001809e4b24 (__TEXT,__text) external ___bsdthread_terminate
00000001809fb868 (__TEXT,__text) external ___carbon_delete
00000001809e4b50 (__TEXT,__text) external ___channel_get_info
00000001809e4b7c (__TEXT,__text) external ___channel_get_opt
00000001809e4ba8 (__TEXT,__text) external ___channel_open
00000001809e4bd4 (__TEXT,__text) external ___channel_set_opt
00000001809e4c00 (__TEXT,__text) external ___channel_sync
00000001809e4c2c (__TEXT,__text) external ___chmod
00000001809e4c58 (__TEXT,__text) external ___chmod_extended
00000001809e4c84 (__TEXT,__text) external ___close_nocancel
00000001809e4cb0 (__TEXT,__text) external ___coalition
00000001809e4cdc (__TEXT,__text) external ___coalition_info
00000001809e4d08 (__TEXT,__text) external ___coalition_ledger
00000001809ed458 (__TEXT,__text) external ___commpage_gettimeofday
00000001809ed460 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001809e4d34 (__TEXT,__text) external ___connect
00000001809e4d60 (__TEXT,__text) external ___connect_nocancel
00000001809e4d8c (__TEXT,__text) external ___copyfile
00000001809e4db8 (__TEXT,__text) external ___crossarch_trap
00000001809e4de4 (__TEXT,__text) external ___csrctl
00000001809f2c30 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001809e4e10 (__TEXT,__text) external ___debug_syscall_reject
00000001809e4e3c (__TEXT,__text) external ___debug_syscall_reject_config
00000001809e4e68 (__TEXT,__text) external ___delete
00000001809e4e94 (__TEXT,__text) external ___disable_threadsignal
00000001809edc2c (__TEXT,__text) external ___error
00000001809e4ec0 (__TEXT,__text) external ___execve
00000001809e4eec (__TEXT,__text) external ___exit
00000001809e4f18 (__TEXT,__text) external ___fchmod
00000001809e4f44 (__TEXT,__text) external ___fchmod_extended
00000001809e4f70 (__TEXT,__text) external ___fcntl
