                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffd1b2a7502 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffd1b2a7cf0 (__TEXT,__const) external _libopenpam
00007ffd1b2a7900 (__TEXT,__text) external _misc_conv
00007ffd1b2a76b4 (__TEXT,__text) external _pam_acct_mgmt
00007ffd1b2a75ec (__TEXT,__text) external _pam_authenticate
00007ffd1b2a7718 (__TEXT,__text) external _pam_chauthtok
00007ffd1b2a77d9 (__TEXT,__text) external _pam_close_session
00007ffd1b2a7598 (__TEXT,__text) external _pam_end
00007ffd1b2a7aa6 (__TEXT,__text) external _pam_get_data
00007ffd1b2a789b (__TEXT,__text) external _pam_get_item
00007ffd1b2a7c51 (__TEXT,__text) external _pam_get_pass
00007ffd1b2a7b75 (__TEXT,__text) external _pam_get_user
00007ffd1b2a7a0d (__TEXT,__text) external _pam_getenv
00007ffd1b2a7a5c (__TEXT,__text) external _pam_getenvlist
00007ffd1b2a777c (__TEXT,__text) external _pam_open_session
00007ffd1b2a7bda (__TEXT,__text) external _pam_prompt
00007ffd1b2a79b7 (__TEXT,__text) external _pam_putenv
00007ffd1b2a7b0b (__TEXT,__text) external _pam_set_data
00007ffd1b2a7836 (__TEXT,__text) external _pam_set_item
00007ffd1b2a7650 (__TEXT,__text) external _pam_setcred
00007ffd1b2a752e (__TEXT,__text) external _pam_start
00007ffd1b2a796a (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffd1b2a7490 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffd1b2a74a5 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffd1b2a74fa (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffd1b2a74d7 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffd1b2a74ba (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffd1b2a74ca (__TEXT,__text) external _xlate_pam_shim_setcred_flags
