0000000180442090 (__TEXT,__text) external _NSAddImage
0000000180442020 (__TEXT,__text) external _NSAddLibrary
0000000180442058 (__TEXT,__text) external _NSAddLibraryWithSearching
00000001804419e8 (__TEXT,__text) external _NSAddressOfSymbol
0000000180441bb4 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
0000000180441900 (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
0000000180441be8 (__TEXT,__text) external _NSDestroyObjectFileImage
0000000180441970 (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
0000000180441fe0 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
0000000180441d18 (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
0000000180441de0 (__TEXT,__text) external _NSIsSymbolNameDefined
0000000180441e44 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
0000000180441e10 (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
0000000180441d7c (__TEXT,__text) external _NSLibraryNameForModule
0000000180441f9c (__TEXT,__text) external _NSLinkEditError
0000000180441938 (__TEXT,__text) external _NSLinkModule
0000000180441e78 (__TEXT,__text) external _NSLookupAndBindSymbol
0000000180441ea8 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
0000000180441ee4 (__TEXT,__text) external _NSLookupSymbolInImage
00000001804419ac (__TEXT,__text) external _NSLookupSymbolInModule
0000000180441f64 (__TEXT,__text) external _NSModuleForSymbol
0000000180441d4c (__TEXT,__text) external _NSNameOfModule
0000000180441f24 (__TEXT,__text) external _NSNameOfSymbol
0000000180441c18 (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
0000000180441c58 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
0000000180441c98 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
0000000180441cd8 (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
0000000180441dac (__TEXT,__text) external _NSUnLinkModule
0000000180440884 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
0000000180440b50 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00000001d65fd838 (__DATA_DIRTY,__common) external _NXArgc
00000001d65fd840 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00000001804405e4 (__TEXT,__text) external __NSGetExecutablePath
00000001804584ac (__TEXT,__text) non-external (was a private external) __Z10bytesToHexPKhmPc
0000000180452624 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
000000018045e5dc (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN5dyld38PlatformERKNS_11GradedArchsES3_bU13block_pointerFvPK11mach_headerymE
000000018045e970 (__TEXT,__text) non-external __ZL27launchableOnCurrentPlatformPKN5dyld39MachOFileE
0000000180441b7c (__TEXT,__text) non-external __ZL28legacyDyldLookup4OldBinariesPKcPPv
00000001da438238 (__AUTH_CONST,__const) non-external __ZL8sHelpers
0000000180441a58 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
0000000180441ae0 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
0000000180441a88 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcPc
00000001804411ac (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
000000018043fff0 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Eb
00000001804401c0 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
0000000180452500 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
0000000180452478 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
000000018045246c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00000001804525f4 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
0000000180443874 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
000000018045127c (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
0000000180452c90 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
0000000180453810 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
