                 (undefined) external _AnalyticsSendEvent (from CoreAnalytics)
                 (undefined) external _MGCopyAnswer (from libMobileGestalt)
                 (undefined) external _NSCocoaErrorDomain (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityDefault (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityHigh (from Foundation)
                 (undefined) external _NSURLSessionTaskPriorityLow (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSDistributedNotificationCenter (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSError (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSHTTPURLResponse (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSNumber (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSObject (from libobjc)
                 (undefined) external _OBJC_CLASS_$_NSProcessInfo (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSRegularExpression (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSTextCheckingResult (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSession (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSURLSessionConfiguration (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSUserDefaults (from CoreFoundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCConnection (from Foundation)
                 (undefined) external _OBJC_CLASS_$_NSXPCInterface (from Foundation)
                 (undefined) external _OBJC_CLASS_$_OS_dispatch_queue (from libSystem)
                 (undefined) external _OBJC_CLASS_$_OS_os_log (from libSystem)
000000028236cf30 (__AUTH,__objc_data) external _OBJC_CLASS_$__TtC10PegasusKit10ClientName
                 (undefined) external _OBJC_CLASS_$__TtCs12_SwiftObject (from libswiftCore)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000002823701f0 (__AUTH,__data) external _OBJC_METACLASS_$__TtC10PegasusKit10ClientName
                 (undefined) external _OBJC_METACLASS_$__TtCs12_SwiftObject (from libswiftCore)
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
000000024b8a6520 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
