00007ff90d0784d2 (__TEXT,__text) non-external +[AMFI isAvailable]
00007ff90d0784e9 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00007ff90d068dea (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00007ff90d068c5a (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00007ff90d069112 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00007ff90d078966 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00007ff90d07bcf5 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00007ff90d07bd7c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00007ff90d078c72 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00007ff90d078116 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00007ff90d07109c (__TEXT,__text) non-external +[MIS currentDeviceID]
00007ff90d07af94 (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00007ff90d0710e5 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00007ff90d0716dc (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00007ff90d07b174 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00007ff90d07b1de (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00007ff90d07107b (__TEXT,__text) non-external +[MIS isAvailable]
00007ff90d0715e6 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00007ff90d07b10c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00007ff90d07b140 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00007ff90d071534 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00007ff90d07b0d8 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00007ff90d0712e9 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00007ff90d07afac (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00007ff90d07b016 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00007ff90d07b04a (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00007ff90d07b07e (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00007ff90d0718ff (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00007ff90d07b2fc (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00007ff90d07b37c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00007ff90d0717db (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00007ff90d07b212 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00007ff90d07b27c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00007ff90d077511 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00007ff90d07ba3d (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00007ff90d07ba97 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00007ff90d06aac5 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00007ff90d06abed (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00007ff90d0692d0 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00007ff90d0637ec (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00007ff90d079423 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00007ff90d0631d8 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:]
00007ff90d079297 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.1
00007ff90d079330 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.2
00007ff90d0793c9 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromQuarantinedVolume:withError:].cold.3
00007ff90d062ce6 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00007ff90d07927f (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00007ff90d063031 (__TEXT,__text) non-external +[SPFilePolicy getAllowedUrls]
00007ff90d070c2b (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00007ff90d06b291 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00007ff90d061439 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00007ff90d06a737 (__TEXT,__text) non-external +[SPLog downloads]
00007ff90d07a9d9 (__TEXT,__text) non-external +[SPLog downloads].cold.1
00007ff90d06a5ff (__TEXT,__text) non-external +[SPLog exec]
00007ff90d07a979 (__TEXT,__text) non-external +[SPLog exec].cold.1
00007ff90d06a8d1 (__TEXT,__text) non-external +[SPLog generateSignpostID]
00007ff90d06a563 (__TEXT,__text) non-external +[SPLog generic]
00007ff90d07a949 (__TEXT,__text) non-external +[SPLog generic].cold.1
00007ff90d06a5b1 (__TEXT,__text) non-external +[SPLog kext]
