00007ff802d8109b (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff802d81059 (__TEXT,__text) external _CreateLSTMData
00007ff802d80f0e (__TEXT,__text) external _CreateLSTMDataForScript
00007ff802d81234 (__TEXT,__text) external _DeleteLSTMData
00007ff802d81265 (__TEXT,__text) external _LSTMDataName
00007ff802d623cc (__TEXT,__text) external _T_CString_int64ToString
00007ff802d6232d (__TEXT,__text) external _T_CString_integerToString
00007ff802d6246b (__TEXT,__text) external _T_CString_stringToInteger
00007ff802d622cd (__TEXT,__text) external _T_CString_toLowerCase
00007ff802d622fd (__TEXT,__text) external _T_CString_toUpperCase
00007ff802dc5f1e (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff802dc5cd6 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff802dc5bd7 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff802dc5df4 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff802dc64bc (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff802dc646a (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff802dc5cd0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff802dc648c (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff802e119dd (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff802f62e85 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff802d5a7f0 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff802d5a786 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff802d5a86e (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff802d5a862 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff802d5a780 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff802d5a77a (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff802d5a770 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff802e39334 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff802e39424 (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff802e3926e (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff802e392be (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff802e392ee (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff802e392e8 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff802e392de (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff802e392f4 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff802d61cf2 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff802d61efc (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff802d61954 (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff802d61dd6 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff802d61e74 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff802d61e36 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff802d61f68 (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff802d61b7a (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff802d61b34 (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff802d6190a (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff802d61b12 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff802d617c8 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff802d6176a (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff802d617d2 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff802e5cd38 (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff802e5cc24 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff802e5caea (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00007ff802e5cbf0 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00007ff802e5cabe (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00007ff802e5cbd8 (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00007ff802e5c706 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00007ff802e5c722 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00007ff802e5cb94 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00007ff802e5cb48 (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00007ff802e5c5d8 (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
00007ff802e5c5ae (__TEXT,__text) external __ZN3icu10DateFormat18createTimeInstanceENS0_6EStyleERKNS_6LocaleE
00007ff802e5cd02 (__TEXT,__text) external __ZN3icu10DateFormat18setCalendarLenientEa
00007ff802e5cab4 (__TEXT,__text) external __ZN3icu10DateFormat19getAvailableLocalesERi
00007ff802e5cd80 (__TEXT,__text) external __ZN3icu10DateFormat19setBooleanAttributeE27UDateFormatBooleanAttributeaR10UErrorCode
00007ff802e5c5c0 (__TEXT,__text) external __ZN3icu10DateFormat22createDateTimeInstanceENS0_6EStyleES1_RKNS_6LocaleE
00007ff802e5c88c (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonEPNS_8CalendarERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff802e5ca90 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringER10UErrorCode
00007ff802e5c9d4 (__TEXT,__text) external __ZN3icu10DateFormat25createInstanceForSkeletonERKNS_13UnicodeStringERKNS_6LocaleER10UErrorCode
00007ff802e5c5f4 (__TEXT,__text) external __ZN3icu10DateFormat6createENS0_6EStyleES1_RKNS_6LocaleE
00007ff802e5c08e (__TEXT,__text) external __ZN3icu10DateFormatC2ERKS0_
00007ff802e5c054 (__TEXT,__text) external __ZN3icu10DateFormatC2Ev
00007ff802e5c1b2 (__TEXT,__text) external __ZN3icu10DateFormatD0Ev
00007ff802e5c1ac (__TEXT,__text) external __ZN3icu10DateFormatD1Ev
00007ff802e5c166 (__TEXT,__text) external __ZN3icu10DateFormatD2Ev
00007ff802e5c0d4 (__TEXT,__text) external __ZN3icu10DateFormataSERKS0_
00007ff802e92c94 (__TEXT,__text) external __ZN3icu10GenderInfo11getInstanceERKNS_6LocaleER10UErrorCode
00007ff802e92dbe (__TEXT,__text) external __ZN3icu10GenderInfo12loadInstanceERKNS_6LocaleER10UErrorCode
00007ff802e930dc (__TEXT,__text) external __ZN3icu10GenderInfo18getNeutralInstanceEv
00007ff802e930fc (__TEXT,__text) external __ZN3icu10GenderInfo21getMaleTaintsInstanceEv
00007ff802e930ea (__TEXT,__text) external __ZN3icu10GenderInfo23getMixedNeutralInstanceEv
00007ff802e92c44 (__TEXT,__text) external __ZN3icu10GenderInfoC1Ev
00007ff802e92c5e (__TEXT,__text) external __ZN3icu10GenderInfoC2Ev
00007ff802e92c78 (__TEXT,__text) external __ZN3icu10GenderInfoD0Ev
00007ff802e92c54 (__TEXT,__text) external __ZN3icu10GenderInfoD1Ev
00007ff802e92c6e (__TEXT,__text) external __ZN3icu10GenderInfoD2Ev
00007ff802d8cf92 (__TEXT,__text) external __ZN3icu10Normalizer10quickCheckERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff802d8d620 (__TEXT,__text) external __ZN3icu10Normalizer11clearBufferEv
00007ff802d8d0da (__TEXT,__text) external __ZN3icu10Normalizer11concatenateERKNS_13UnicodeStringES3_RS1_18UNormalizationModeiR10UErrorCode
00007ff802d8d03a (__TEXT,__text) external __ZN3icu10Normalizer12isNormalizedERKNS_13UnicodeStringE18UNormalizationModeiR10UErrorCode
00007ff802d8d644 (__TEXT,__text) external __ZN3icu10Normalizer12setIndexOnlyEi
00007ff802d8d296 (__TEXT,__text) external __ZN3icu10Normalizer13nextNormalizeEv
00007ff802d8c974 (__TEXT,__text) external __ZN3icu10Normalizer16getStaticClassIDEv
00007ff802d8d488 (__TEXT,__text) external __ZN3icu10Normalizer17previousNormalizeEv
00007ff802d8ca18 (__TEXT,__text) external __ZN3icu10Normalizer4initEv
00007ff802d8d6d6 (__TEXT,__text) external __ZN3icu10Normalizer4lastEv
00007ff802d8d3ee (__TEXT,__text) external __ZN3icu10Normalizer4nextEv
00007ff802d8d68a (__TEXT,__text) external __ZN3icu10Normalizer5firstEv
00007ff802d8d5da (__TEXT,__text) external __ZN3icu10Normalizer5resetEv
00007ff802d8cf66 (__TEXT,__text) external __ZN3icu10Normalizer7composeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff802d8d248 (__TEXT,__text) external __ZN3icu10Normalizer7currentEv
00007ff802d8d98c (__TEXT,__text) external __ZN3icu10Normalizer7getTextERNS_13UnicodeStringE
00007ff802d8d768 (__TEXT,__text) external __ZN3icu10Normalizer7setModeE18UNormalizationMode
00007ff802d8d8ca (__TEXT,__text) external __ZN3icu10Normalizer7setTextENS_14ConstChar16PtrEiR10UErrorCode
00007ff802d8d7a6 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_13UnicodeStringER10UErrorCode
00007ff802d8d844 (__TEXT,__text) external __ZN3icu10Normalizer7setTextERKNS_17CharacterIteratorER10UErrorCode
00007ff802d8d446 (__TEXT,__text) external __ZN3icu10Normalizer8previousEv
00007ff802d8cf7c (__TEXT,__text) external __ZN3icu10Normalizer9decomposeERKNS_13UnicodeStringEaiRS1_R10UErrorCode
00007ff802d8ce2a (__TEXT,__text) external __ZN3icu10Normalizer9normalizeERKNS_13UnicodeStringE18UNormalizationModeiRS1_R10UErrorCode
00007ff802d8d780 (__TEXT,__text) external __ZN3icu10Normalizer9setOptionEia
00007ff802d8cb6a (__TEXT,__text) external __ZN3icu10NormalizerC1ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff802d8cab6 (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_13UnicodeStringE18UNormalizationMode
00007ff802d8cbd4 (__TEXT,__text) external __ZN3icu10NormalizerC1ERKNS_17CharacterIteratorE18UNormalizationMode
00007ff802d8cc9a (__TEXT,__text) external __ZN3icu10NormalizerC1ERKS0_
00007ff802d8cac0 (__TEXT,__text) external __ZN3icu10NormalizerC2ENS_14ConstChar16PtrEi18UNormalizationMode
00007ff802d8c990 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_13UnicodeStringE18UNormalizationMode
00007ff802d8cb74 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKNS_17CharacterIteratorE18UNormalizationMode
00007ff802d8cc34 (__TEXT,__text) external __ZN3icu10NormalizerC2ERKS0_
00007ff802d8ccf6 (__TEXT,__text) external __ZN3icu10NormalizerD0Ev
00007ff802d8ccec (__TEXT,__text) external __ZN3icu10NormalizerD1Ev
00007ff802d8cca4 (__TEXT,__text) external __ZN3icu10NormalizerD2Ev
00007ff802db94be (__TEXT,__text) external __ZN3icu10UCharsTrie10branchNextEPKDsii
00007ff802db9a10 (__TEXT,__text) external __ZN3icu10UCharsTrie15findUniqueValueEPKDsaRi
00007ff802db9470 (__TEXT,__text) external __ZN3icu10UCharsTrie16nextForCodePointEi
00007ff802db939c (__TEXT,__text) external __ZN3icu10UCharsTrie17firstForCodePointEi
00007ff802db9bde (__TEXT,__text) external __ZN3icu10UCharsTrie19getNextBranchUCharsEPKDsiRNS_10AppendableE
00007ff802db9898 (__TEXT,__text) external __ZN3icu10UCharsTrie25findUniqueValueFromBranchEPKDsiaRi
00007ff802db96d4 (__TEXT,__text) external __ZN3icu10UCharsTrie4nextENS_14ConstChar16PtrEi
00007ff802db9414 (__TEXT,__text) external __ZN3icu10UCharsTrie4nextEi
00007ff802dbb2cc (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator10branchNextEPKDsiR10UErrorCode
00007ff802dbaf7a (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator4nextER10UErrorCode
00007ff802dbaeaa (__TEXT,__text) external __ZN3icu10UCharsTrie8Iterator5resetEv
00007ff802dbad54 (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ENS_14ConstChar16PtrEiR10UErrorCode
00007ff802dbae4c (__TEXT,__text) external __ZN3icu10UCharsTrie8IteratorC1ERKS0_iR10UErrorCode
