00007ff80db26402 (__TEXT,__text) non-external _Annihilate
00007ff80db6afa5 (__TEXT,__text) non-external _BlockSplitterAddSymbolCommand
00007ff80db6b019 (__TEXT,__text) non-external _BlockSplitterAddSymbolDistance
00007ff80db6afdf (__TEXT,__text) non-external _BlockSplitterAddSymbolLiteral
00007ff80db6c452 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
00007ff80db6cca5 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
00007ff80db6b053 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
00007ff80db261fb (__TEXT,__text) non-external (was a private external) _BrotliAllocate
00007ff80db492b7 (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
00007ff80db17208 (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
00007ff80db264df (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
00007ff80db1740b (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
00007ff80db69957 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
00007ff80db6a30f (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
00007ff80db1767c (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
00007ff80db2e1bc (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
00007ff80db3e36e (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
00007ff80db3f070 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
00007ff80db3d66c (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
00007ff80db3da6f (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
00007ff80db3e771 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
00007ff80db3cd6d (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
00007ff80db1fd10 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
00007ff80db2155e (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
00007ff80db22c3c (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
00007ff80db2431a (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
00007ff80db1fe80 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
00007ff80db61340 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
00007ff80db62694 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
00007ff80db62f0c (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
00007ff80db63784 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
00007ff80db63ffc (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
00007ff80db64874 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
00007ff80db650ec (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
