00007ffa17531670 (__TEXT,__text) external _ARMCompilationCallback
00007ffa17531680 (__TEXT,__text) external _ARMCompilationCallbackC
00007ffa17c40830 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa17c40910 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa17c40740 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa17c40ab0 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa17c40e00 (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa17c41220 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa17c41040 (__TEXT,__text) non-external _ConvertUTF8toUTF32Impl
00007ffa17c41030 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa42ae3258 (__DATA,__common) external _EnableARMEHABI
00007ffa42ae2f98 (__DATA,__common) external _EnableARMLongCalls
00007ffa42ae2d20 (__DATA,__common) external _ForceStackAlign
00007ffa17a4bb10 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa17a4bac0 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa178a5390 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa17a7ecf0 (__TEXT,__text) external _LLVMAddAlias
00007ffa17250a50 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa17a4f090 (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa17250960 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa17a7f390 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1727a460 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa178a5980 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa178a53c0 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa17a807f0 (__TEXT,__text) external _LLVMAddCase
00007ffa17a80810 (__TEXT,__text) external _LLVMAddClause
00007ffa17250990 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa178a5860 (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa178a58f0 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa172509c0 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa178a53f0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa178a5890 (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa17a80800 (__TEXT,__text) external _LLVMAddDestination
00007ffa178a5920 (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa17a7ed60 (__TEXT,__text) external _LLVMAddFunction
00007ffa17a7ef20 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa172509f0 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa17250a20 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa178a5450 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa17a7e9e0 (__TEXT,__text) external _LLVMAddGlobal
00007ffa17250a80 (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa17a7ea60 (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa172f5c90 (__TEXT,__text) external _LLVMAddGlobalMapping
00007ffa17250ab0 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa17250ae0 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa17250b40 (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa17a7fcb0 (__TEXT,__text) external _LLVMAddIncoming
00007ffa178a5480 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa17a7fa30 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa178a54b0 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa17250b70 (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa178a54e0 (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa178a5510 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa178a5540 (__TEXT,__text) external _LLVMAddLoopDeletionPass
