00007ffa1e013e3b (__TEXT,__text) non-external _DiToMD5
00007ffa1e01411b (__TEXT,__text) non-external _DiToSHA1
00007ffa1dffe040 (__TEXT,__text) external _DriverExecutableMain
00007ffa4193c8b8 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa4193cb78 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa4193ca80 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa4193cc70 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa4193cdd0 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa1dffaf23 (__TEXT,__text) external _IODelay
00007ffa4193cf80 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa4193d130 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa1dffe56e (__TEXT,__text) external _IODriverKitTest
00007ffa1e022783 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1e0227ae (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1e0227d1 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1e0227fc (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1e02281f (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1e022842 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1e022865 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1e022888 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa4193d2e0 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa1dffaed2 (__TEXT,__text) external _IOFree
00007ffa1dffaf09 (__TEXT,__text) external _IOFreeData
00007ffa1dffe553 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa4193db30 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa4193d440 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa1dffaf36 (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa1dffd464 (__TEXT,__text) external _IOLockAlloc
00007ffa1dffd4b3 (__TEXT,__text) external _IOLockAssert
00007ffa1e0221d7 (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa1dffd47f (__TEXT,__text) external _IOLockFree
00007ffa1dffd495 (__TEXT,__text) external _IOLockLock
00007ffa1dffd49f (__TEXT,__text) external _IOLockTryLock
00007ffa1dffd4a9 (__TEXT,__text) external _IOLockUnlock
00007ffa1dffad3f (__TEXT,__text) external _IOLog
00007ffa1dffabc8 (__TEXT,__text) external _IOLogBuffer
00007ffa1dffade7 (__TEXT,__text) external _IOLogv
00007ffa1dffaea5 (__TEXT,__text) external _IOMalloc
00007ffa1dffaedc (__TEXT,__text) external _IOMallocData
00007ffa1dffaec0 (__TEXT,__text) external _IOMallocZero
00007ffa1dffaef7 (__TEXT,__text) external _IOMallocZeroData
00007ffa4193d5f0 (__DATA_CONST,__const) external _IOMemoryDescriptor_Class
00007ffa4193d7a0 (__DATA_CONST,__const) external _IOMemoryMap_Class
00007ffa1dffafb6 (__TEXT,__text) external _IOParseBootArgNumber
00007ffa1dffb465 (__TEXT,__text) external _IOParseBootArgString
00007ffa1dffc779 (__TEXT,__text) external _IORPCMessageFromMach
00007ffa1e021f76 (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00007ffa1e021fab (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00007ffa1dffd6a1 (__TEXT,__text) external _IORWLockAlloc
00007ffa1e0222ef (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00007ffa1dffd6d6 (__TEXT,__text) external _IORWLockFree
00007ffa1dffd6fd (__TEXT,__text) external _IORWLockRead
00007ffa1e022312 (__TEXT,__text) non-external _IORWLockRead.cold.1
00007ffa1dffd725 (__TEXT,__text) external _IORWLockUnlock
00007ffa1e022358 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00007ffa1dffd711 (__TEXT,__text) external _IORWLockWrite
00007ffa1e022335 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00007ffa1dffd52b (__TEXT,__text) external _IORecursiveConditionLockAlloc
00007ffa1dffd557 (__TEXT,__text) external _IORecursiveConditionLockFree
00007ffa1dffd613 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00007ffa1e022286 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00007ffa1dffd56d (__TEXT,__text) external _IORecursiveConditionLockLock
00007ffa1e0221fa (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00007ffa1e02221d (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00007ffa1dffd643 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00007ffa1e0222a9 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00007ffa1e0222cc (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00007ffa1dffd5c1 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00007ffa1e022240 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
