00000001d64afc38 (__DATA,__data) external _NDR_record
00000001802fcf60 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
0000000180302e80 (__TEXT,__text) non-external _OUTLINED_FUNCTION_0
00000001802fcf8c (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180302eac (__TEXT,__text) non-external _OUTLINED_FUNCTION_1
0000000180302ed8 (__TEXT,__text) non-external _OUTLINED_FUNCTION_2
0000000180302f04 (__TEXT,__text) non-external _OUTLINED_FUNCTION_3
0000000180302f28 (__TEXT,__text) non-external _OUTLINED_FUNCTION_4
0000000180302f4c (__TEXT,__text) non-external _OUTLINED_FUNCTION_5
0000000180306c60 (__TEXT,__text) non-external __Xexception_raise
0000000180306d30 (__TEXT,__text) non-external __Xexception_raise_state
0000000180306e50 (__TEXT,__text) non-external __Xexception_raise_state_identity
000000018031b474 (__TEXT,__text) external _____old_semwait_signal_nocancel
000000018031b4a0 (__TEXT,__text) external _____sigwait_nocancel
000000018031e8d8 (__TEXT,__const) external ____kernelVersionNumber
000000018031e8a0 (__TEXT,__const) external ____kernelVersionString
000000018031b4cc (__TEXT,__text) external ___abort_with_payload
00000001802f6e7c (__TEXT,__text) external ___accept
000000018031b4f8 (__TEXT,__text) external ___accept_nocancel
000000018031b524 (__TEXT,__text) external ___access_extended
000000018031b550 (__TEXT,__text) external ___aio_suspend_nocancel
00000001802f6358 (__TEXT,__text) external ___bind
00000001802f297c (__TEXT,__text) external ___bsdthread_create
00000001802f07d4 (__TEXT,__text) external ___bsdthread_ctl
00000001802f4980 (__TEXT,__text) external ___bsdthread_register
00000001802f18d8 (__TEXT,__text) external ___bsdthread_terminate
00000001802faaac (__TEXT,__text) external ___carbon_delete
000000018031b57c (__TEXT,__text) external ___channel_get_info
000000018031b5a8 (__TEXT,__text) external ___channel_get_opt
000000018031b5d4 (__TEXT,__text) external ___channel_open
000000018031b600 (__TEXT,__text) external ___channel_set_opt
000000018031b62c (__TEXT,__text) external ___channel_sync
00000001802f28c4 (__TEXT,__text) external ___chmod
00000001802f4490 (__TEXT,__text) external ___chmod_extended
00000001802f02d0 (__TEXT,__text) external ___close_nocancel
000000018031b658 (__TEXT,__text) external ___coalition
000000018031b684 (__TEXT,__text) external ___coalition_info
000000018031b6b0 (__TEXT,__text) external ___coalition_ledger
00000001802f092c (__TEXT,__text) external ___commpage_gettimeofday
00000001802f0934 (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00000001802f30f8 (__TEXT,__text) external ___connect
00000001802f2f58 (__TEXT,__text) external ___connect_nocancel
000000018031b6dc (__TEXT,__text) external ___copyfile
00000001802ef524 (__TEXT,__text) external ___csrctl
0000000180300424 (__TEXT,__text) external ___darwin_check_fd_set_overflow
000000018031df00 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
000000018031b708 (__TEXT,__text) external ___debug_syscall_reject
00000001802faadc (__TEXT,__text) external ___delete
00000001802f18ac (__TEXT,__text) external ___disable_threadsignal
00000001802ef454 (__TEXT,__text) external ___error
000000018031b734 (__TEXT,__text) external ___execve
00000001802f5d94 (__TEXT,__text) external ___exit
00000001802f339c (__TEXT,__text) external ___fchmod
00000001802f4570 (__TEXT,__text) external ___fchmod_extended
00000001802ef5d4 (__TEXT,__text) external ___fcntl
00000001802f2f00 (__TEXT,__text) external ___fcntl_nocancel
00000001802f6164 (__TEXT,__text) external ___fork
000000018031b760 (__TEXT,__text) external ___fs_snapshot
000000018031cae4 (__TEXT,__text) external ___fstat
00000001802f4544 (__TEXT,__text) external ___fstat64_extended
000000018031b78c (__TEXT,__text) external ___fstat_extended
000000018031cb3c (__TEXT,__text) external ___fstatat
000000018031cb94 (__TEXT,__text) external ___fstatfs
000000018031b7b8 (__TEXT,__text) external ___fsync_nocancel
00000001802f7a90 (__TEXT,__text) external ___get_remove_counter
00000001802ef470 (__TEXT,__text) external ___getattrlist
00000001802f06f8 (__TEXT,__text) external ___getdirentries64
000000018031cc9c (__TEXT,__text) external ___getfsstat
00000001802f4438 (__TEXT,__text) external ___gethostuuid
00000001802fa474 (__TEXT,__text) external ___getlogin
00000001802f3294 (__TEXT,__text) external ___getpeername
00000001802eef78 (__TEXT,__text) external ___getpid
00000001802f0e24 (__TEXT,__text) external ___getrlimit
000000018031b7e4 (__TEXT,__text) external ___getsgroups
00000001802f6220 (__TEXT,__text) external ___getsockname
00000001802f05d4 (__TEXT,__text) external ___gettid
00000001802f2a00 (__TEXT,__text) external ___gettimeofday
00000001802f29d4 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018031b810 (__TEXT,__text) external ___getwgroups
000000018031b83c (__TEXT,__text) external ___guarded_open_dprotected_np
00000001802f22f0 (__TEXT,__text) external ___guarded_open_np
000000018031b868 (__TEXT,__text) external ___identitysvc
00000001802f2778 (__TEXT,__text) external ___inc_remove_counter
00000001802fa448 (__TEXT,__text) external ___initgroups
00000001802f30cc (__TEXT,__text) external ___ioctl
00000001802f341c (__TEXT,__text) external ___iopolicysys
000000018031b894 (__TEXT,__text) external ___kdebug_trace
00000001802f1668 (__TEXT,__text) external ___kdebug_trace64
000000018031b8c0 (__TEXT,__text) external ___kdebug_trace_string
00000001802f46e8 (__TEXT,__text) external ___kdebug_typefilter
000000018031e940 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
000000018031e908 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001802f67fc (__TEXT,__text) external ___kill
00000001802f5048 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001802f4620 (__TEXT,__text) external ___lchown
00000001802f4714 (__TEXT,__text) external ___libkernel_init
00000001802fafe0 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001802faeac (__TEXT,__text) external ___libkernel_init_late
00000001802f496c (__TEXT,__text) external ___libkernel_platform_init
00000001802eef68 (__TEXT,__text) external ___libkernel_voucher_init
00000001802f6e50 (__TEXT,__text) external ___listen
000000018031b8ec (__TEXT,__text) external ___log_data
00000001802f0370 (__TEXT,__text) external ___lseek
000000018031ce54 (__TEXT,__text) external ___lstat
00000001802f44bc (__TEXT,__text) external ___lstat64_extended
000000018031b918 (__TEXT,__text) external ___lstat_extended
000000018031b944 (__TEXT,__text) external ___mac_execve
000000018031b970 (__TEXT,__text) external ___mac_get_fd
000000018031b99c (__TEXT,__text) external ___mac_get_file
000000018031b9c8 (__TEXT,__text) external ___mac_get_link
000000018031b9f4 (__TEXT,__text) external ___mac_get_mount
000000018031ba20 (__TEXT,__text) external ___mac_get_pid
000000018031ba4c (__TEXT,__text) external ___mac_get_proc
000000018031ba78 (__TEXT,__text) external ___mac_getfsstat
000000018031baa4 (__TEXT,__text) external ___mac_mount
000000018031bad0 (__TEXT,__text) external ___mac_set_fd
000000018031bafc (__TEXT,__text) external ___mac_set_file
000000018031bb28 (__TEXT,__text) external ___mac_set_link
00000001802f6de8 (__TEXT,__text) external ___mac_set_proc
00000001802f0480 (__TEXT,__text) external ___mac_syscall
000000018031bb54 (__TEXT,__text) external ___mach_bridge_remote_time
000000018031bb80 (__TEXT,__text) external ___mach_eventlink_signal
000000018031bbac (__TEXT,__text) external ___mach_eventlink_signal_wait_until
000000018031bbd8 (__TEXT,__text) external ___mach_eventlink_wait_until
000000018031bc04 (__TEXT,__text) external ___memorystatus_available_memory
000000018031bc30 (__TEXT,__text) external ___microstackshot
000000018031bc5c (__TEXT,__text) external ___mkdir_extended
000000018031bc88 (__TEXT,__text) external ___mkfifo_extended
00000001802ef728 (__TEXT,__text) external ___mmap
00000001802f29a8 (__TEXT,__text) external ___mprotect
000000018031bcb4 (__TEXT,__text) external ___msgctl
000000018031bce0 (__TEXT,__text) external ___msgrcv_nocancel
000000018031bd0c (__TEXT,__text) external ___msgsnd_nocancel
000000018031bd38 (__TEXT,__text) external ___msgsys
00000001802f4fb8 (__TEXT,__text) external ___msync
000000018031bd64 (__TEXT,__text) external ___msync_nocancel
00000001802f248c (__TEXT,__text) external ___munmap
000000018031bd90 (__TEXT,__text) external ___nexus_create
000000018031bdbc (__TEXT,__text) external ___nexus_deregister
000000018031bde8 (__TEXT,__text) external ___nexus_destroy
000000018031be14 (__TEXT,__text) external ___nexus_get_opt
000000018031be40 (__TEXT,__text) external ___nexus_open
000000018031be6c (__TEXT,__text) external ___nexus_register
000000018031be98 (__TEXT,__text) external ___nexus_set_opt
000000018031bec4 (__TEXT,__text) external ___old_semwait_signal
00000001802ef4c8 (__TEXT,__text) external ___open
00000001802f4518 (__TEXT,__text) external ___open_dprotected_np
00000001802faa54 (__TEXT,__text) external ___open_extended
00000001802ef658 (__TEXT,__text) external ___open_nocancel
00000001802f02fc (__TEXT,__text) external ___openat
00000001802f4678 (__TEXT,__text) external ___openat_nocancel
00000001d64afcd0 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
0000000180304184 (__TEXT,__text) external ___os_nexus_flow_add
0000000180304208 (__TEXT,__text) external ___os_nexus_flow_del
000000018030428c (__TEXT,__text) external ___os_nexus_get_llink_info
000000018031e874 (__TEXT,__text) non-external ___os_nexus_get_llink_info.cold.1
0000000180303fb4 (__TEXT,__text) external ___os_nexus_ifattach
00000001803040d0 (__TEXT,__text) external ___os_nexus_ifdetach
00000001802f2af8 (__TEXT,__text) external ___persona
00000001802f4fe4 (__TEXT,__text) external ___pipe
000000018031bef0 (__TEXT,__text) external ___poll_nocancel
00000001802f5b48 (__TEXT,__text) external ___posix_spawn
00000001802ff404 (__TEXT,__text) non-external (was a private external) ___posix_spawnattr_init
000000018031bf1c (__TEXT,__text) external ___pread_nocancel
000000018031bf48 (__TEXT,__text) external ___preadv_nocancel
00000001802efe60 (__TEXT,__text) external ___proc_info
000000018031bf74 (__TEXT,__text) external ___proc_info_extended_id
00000001802f6298 (__TEXT,__text) external ___process_policy
00000001802f4d78 (__TEXT,__text) external ___pselect
000000018031bfa0 (__TEXT,__text) external ___pselect_nocancel
00000001802f2294 (__TEXT,__text) external ___psynch_cvbroad
00000001802f2a5c (__TEXT,__text) external ___psynch_cvclrprepost
00000001802f3798 (__TEXT,__text) external ___psynch_cvsignal
00000001802f2268 (__TEXT,__text) external ___psynch_cvwait
00000001802f1904 (__TEXT,__text) external ___psynch_mutexdrop
00000001802f1730 (__TEXT,__text) external ___psynch_mutexwait
000000018031bfcc (__TEXT,__text) external ___psynch_rw_downgrade
000000018031bff8 (__TEXT,__text) external ___psynch_rw_longrdlock
00000001802f4004 (__TEXT,__text) external ___psynch_rw_rdlock
00000001802f3fd8 (__TEXT,__text) external ___psynch_rw_unlock
000000018031c024 (__TEXT,__text) external ___psynch_rw_unlock2
000000018031c050 (__TEXT,__text) external ___psynch_rw_upgrade
00000001802f3fac (__TEXT,__text) external ___psynch_rw_wrlock
000000018031c07c (__TEXT,__text) external ___psynch_rw_yieldwrlock
