00007ff802a333fd (__TEXT,__text) external _NSAddImage
00007ff802a333c7 (__TEXT,__text) external _NSAddLibrary
00007ff802a333e2 (__TEXT,__text) external _NSAddLibraryWithSearching
00007ff802a2e5bf (__TEXT,__text) external _NSAddressOfSymbol
00007ff802a331b6 (__TEXT,__text) external _NSCreateObjectFileImageFromFile
00007ff802a2e53c (__TEXT,__text) external _NSCreateObjectFileImageFromMemory
00007ff802a331d4 (__TEXT,__text) external _NSDestroyObjectFileImage
00007ff802a2e57d (__TEXT,__text) external _NSGetSectionDataInObjectFileImage
00007ff802a333b3 (__TEXT,__text) external _NSInstallLinkEditErrorHandlers
00007ff802a3323f (__TEXT,__text) external _NSIsSymbolDefinedInObjectFileImage
00007ff802a332b0 (__TEXT,__text) external _NSIsSymbolNameDefined
00007ff802a332e9 (__TEXT,__text) external _NSIsSymbolNameDefinedInImage
00007ff802a332cb (__TEXT,__text) external _NSIsSymbolNameDefinedWithHint
00007ff802a33278 (__TEXT,__text) external _NSLibraryNameForModule
00007ff802a3338f (__TEXT,__text) external _NSLinkEditError
00007ff802a2e55d (__TEXT,__text) external _NSLinkModule
00007ff802a33307 (__TEXT,__text) external _NSLookupAndBindSymbol
00007ff802a33322 (__TEXT,__text) external _NSLookupAndBindSymbolWithHint
00007ff802a33340 (__TEXT,__text) external _NSLookupSymbolInImage
00007ff802a2e5a1 (__TEXT,__text) external _NSLookupSymbolInModule
00007ff802a33374 (__TEXT,__text) external _NSModuleForSymbol
00007ff802a3325d (__TEXT,__text) external _NSNameOfModule
00007ff802a33360 (__TEXT,__text) external _NSNameOfSymbol
00007ff802a331ef (__TEXT,__text) external _NSSymbolDefinitionCountInObjectFileImage
00007ff802a33203 (__TEXT,__text) external _NSSymbolDefinitionNameInObjectFileImage
00007ff802a33217 (__TEXT,__text) external _NSSymbolReferenceCountInObjectFileImage
00007ff802a3322b (__TEXT,__text) external _NSSymbolReferenceNameInObjectFileImage
00007ff802a33293 (__TEXT,__text) external _NSUnLinkModule
00007ff802a2df92 (__TEXT,__text) external _NSVersionOfLinkTimeLibrary
00007ff802a2e014 (__TEXT,__text) external _NSVersionOfRunTimeLibrary
00007ff8436d6a30 (__DATA_DIRTY,__common) external _NXArgc
00007ff8436d6a38 (__DATA_DIRTY,__common) external _NXArgv
                 (undefined) external __Block_copy (from libsystem_blocks)
                 (undefined) external __Block_object_assign (from libsystem_blocks)
                 (undefined) external __Block_object_dispose (from libsystem_blocks)
                 (undefined) external __Block_release (from libsystem_blocks)
                 (undefined) external __NSConcreteGlobalBlock (from libsystem_blocks)
                 (undefined) external __NSConcreteStackBlock (from libsystem_blocks)
00007ff802a2ddce (__TEXT,__text) external __NSGetExecutablePath
00007ff802a2fea5 (__TEXT,__text) non-external (was a private external) __Z16withRemoteBufferjymbPiU13block_pointerFvPvmE
00007ff802a45200 (__TEXT,__text) non-external (was a private external) __Z28macho_best_slice_fd_internaliN6mach_o8PlatformERKNS_19GradedArchitecturesES3_bU13block_pointerFvPK11mach_headerymE
00007ff802a2e5f6 (__TEXT,__text) non-external (was a private external) __Z32dyldFrameworkIntrospectionVtablev
00007ff802a54a15 (__TEXT,__text) non-external __Z32dyldFrameworkIntrospectionVtablev.cold.1
00007ff802a3317f (__TEXT,__text) non-external (was a private external) __Z43_dyld_make_delayed_module_initializer_callsv
00007ff802a33c1f (__TEXT,__text) non-external (was a private external) __Z6crc32cNSt3__14spanISt4byteLm18446744073709551615EEE
00007ff802a55de8 (__TEXT,__const) non-external __ZL14sCRC32cSWTable
00007ff8438df930 (__DATA,__bss) non-external __ZL18sCrashReporterInfo
00007ff802a45e0f (__TEXT,__text) non-external __ZL22exportSymbolAttrStringRKN6mach_o6SymbolE
00007ff802a4592c (__TEXT,__text) non-external __ZL22iterateExportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_PbE
00007ff802a45754 (__TEXT,__text) non-external __ZL22iterateImportedSymbolsRKN6mach_o5ImageEU13block_pointerFvPKcS4_bPbE
00007ff802a45bf2 (__TEXT,__text) non-external __ZL7hasFilePKc
00007ff84005aeb0 (__DATA_CONST,__helper) non-external __ZL8sHelpers
00007ff802a30205 (__TEXT,__text) non-external __ZL9checkPathPKcyj
00007ff802a2dca4 (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics10clearErrorEv
00007ff802a33d7e (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics11appendErrorEPKcz
00007ff802a54cdf (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.1
00007ff802a54d02 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.2
00007ff802a54d25 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.3
00007ff802a54d48 (__TEXT,__text) non-external __ZN11Diagnostics11appendErrorEPKcz.cold.4
00007ff802a33c6a (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKc12va_list_wrap
00007ff802a54c53 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.1
00007ff802a54c76 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.2
00007ff802a54c99 (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.3
00007ff802a54cbc (__TEXT,__text) non-external __ZN11Diagnostics5errorEPKc12va_list_wrap.cold.4
00007ff802a2e2bc (__TEXT,__text) non-external (was a private external) __ZN11Diagnostics5errorEPKcz
00007ff802a33c5e (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsC1Ev
00007ff802a2dca4 (__TEXT,__text) non-external (was a private external) __ZN11DiagnosticsD1Ev
00007ff802a2fdae (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer3mapEjym
00007ff802a2fd2c (__TEXT,__text) non-external (was a private external) __ZN12RemoteBuffer6createEjymb
00007ff802a2fd18 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferC1Ev
00007ff802a2fe90 (__TEXT,__text) non-external (was a private external) __ZN12RemoteBufferD1Ev
00007ff802a37409 (__TEXT,__text) non-external __ZN12_GLOBAL__N_113cacheFilePeekEiPh
00007ff802a33f9a (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache11mappingNameEjy
00007ff802a344ca (__TEXT,__text) non-external (was a private external) __ZN15DyldSharedCache14isSubCachePathEPKc
00007ff802a4406c (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBuffer4dataEv
00007ff802a44004 (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferC1EjyyPi
00007ff802a4404e (__TEXT,__text) non-external (was a private external) __ZN16SafeRemoteBufferD1Ev
00007ff802a305e4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base12addDyldImageEjyyPKc
00007ff802a31330 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff802a31e5c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base13makeSuspendedI23dyld_all_image_infos_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff802a306a4 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base15copySegmentNameEPKc
00007ff802a3031c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base23addInfoFromLoadCommandsEPK11mach_headerym
00007ff802a30458 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base29addInfoFromRemoteLoadCommandsEjy
00007ff802a30b3c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_3218dyld_image_info_32EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff802a30e06 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base4makeI23dyld_all_image_infos_6418dyld_image_info_64EENSt3__110unique_ptrIS_25dyld_process_info_deleterEEjRKT_yPi
00007ff802a300a2 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8addImageEjbyyyyPKcj
00007ff802a2ffde (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base8copyPathEjPiy
00007ff802a2ff8c (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_base9addStringEPKcm
00007ff802a2ff12 (__TEXT,__text) non-external (was a private external) __ZN22dyld_process_info_baseC2Ejjjm
00007ff802a54bc8 (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.1
00007ff802a54beb (__TEXT,__text) non-external __ZN22dyld_process_info_baseC2Ejjjm.cold.2
00007ff802a32e42 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base10disconnectEv
00007ff802a32b80 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base11handleEventEv
00007ff802a32b32 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base17teardownMachPortsEv
00007ff802a32f60 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base23replyToMonitoredProcessER17mach_msg_header_t
00007ff802a32ed4 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_base7releaseEv
00007ff802a3297c (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi
00007ff802a54c18 (__TEXT,__text) non-external __ZN29dyld_process_info_notify_baseC2EP16dispatch_queue_sU13block_pointerFvbyyPKhPKcEU13block_pointerFvvEjPi.cold.1
00007ff802a32dd6 (__TEXT,__text) non-external (was a private external) __ZN29dyld_process_info_notify_baseD2Ev
00007ff802a3b7fa (__TEXT,__text) non-external (was a private external) __ZN3lsl10OrderedMapIjN5dyld45Atlas7Process19ProcessUpdateRecordENSt3__14lessIjEEE6insertEONS5_4pairIKjS4_EE
