                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _malloc_type_calloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memmove (from libSystem)
                 (undefined) external _printf (from libSystem)
00007ffd19c7bb4f (__TEXT,__text) non-external _sbuf_extend
00007ffd19c7bca9 (__TEXT,__text) non-external _sbuf_put_byte
00007ffd19c7b87d (__TEXT,__text) non-external _sbuf_put_bytes
                 (undefined) external _strlen (from libSystem)
00007ffd19c7b861 (__TEXT,__text) external _usbuf_bcat
00007ffd19c7b954 (__TEXT,__text) external _usbuf_bcpy
00007ffd19c7b98c (__TEXT,__text) external _usbuf_cat
00007ffd19c7b74f (__TEXT,__text) external _usbuf_clear
00007ffd19c7b732 (__TEXT,__text) external _usbuf_clear_flags
00007ffd19c7b78b (__TEXT,__text) external _usbuf_count_drain
00007ffd19c7b9bc (__TEXT,__text) external _usbuf_cpy
00007ffd19c7be67 (__TEXT,__text) external _usbuf_data
00007ffd19c7be97 (__TEXT,__text) external _usbuf_delete
00007ffd19c7bee9 (__TEXT,__text) external _usbuf_done
00007ffd19c7b7a5 (__TEXT,__text) external _usbuf_drain
00007ffd19c7bf33 (__TEXT,__text) external _usbuf_end_section
00007ffd19c7bdef (__TEXT,__text) external _usbuf_error
00007ffd19c7bdf8 (__TEXT,__text) external _usbuf_finish
00007ffd19c7b728 (__TEXT,__text) external _usbuf_get_flags
00007ffd19c7b430 (__TEXT,__text) external _usbuf_hexdump
00007ffd19c7be70 (__TEXT,__text) external _usbuf_len
00007ffd19c7b626 (__TEXT,__text) external _usbuf_new
00007ffd19c7bd21 (__TEXT,__text) external _usbuf_nl_terminate
00007ffd19c7bbef (__TEXT,__text) external _usbuf_printf
00007ffd19c7b5e3 (__TEXT,__text) external _usbuf_printf_drain
00007ffd19c7b5c8 (__TEXT,__text) external _usbuf_putbuf
00007ffd19c7bc89 (__TEXT,__text) external _usbuf_putc
00007ffd19c7b797 (__TEXT,__text) external _usbuf_set_drain
00007ffd19c7b743 (__TEXT,__text) external _usbuf_set_flags
00007ffd19c7b76f (__TEXT,__text) external _usbuf_setpos
00007ffd19c7bef7 (__TEXT,__text) external _usbuf_start_section
00007ffd19c7bd60 (__TEXT,__text) external _usbuf_trim
00007ffd19c7ba11 (__TEXT,__text) external _usbuf_vprintf
                 (undefined) external _vsnprintf (from libSystem)
