00007ffa19ff6b5b (__TEXT,__text) non-external _DiToMD5
00007ffa19ff6e3b (__TEXT,__text) non-external _DiToSHA1
00007ffa19fdfcc1 (__TEXT,__text) external _DriverExecutableMain
00007ffa41e714e0 (__DATA_CONST,__const) external _IOBufferMemoryDescriptor_Class
00007ffa41e717a0 (__DATA_CONST,__const) external _IOCommandPool_Class
00007ffa41e716a8 (__DATA_CONST,__const) external _IOCommand_Class
00007ffa41e71898 (__DATA_CONST,__const) external _IODMACommand_Class
00007ffa41e719f8 (__DATA_CONST,__const) external _IODataQueueDispatchSource_Class
00007ffa19fdc7d7 (__TEXT,__text) external _IODelay
00007ffa41e71ba8 (__DATA_CONST,__const) external _IODispatchQueue_Class
00007ffa41e71d58 (__DATA_CONST,__const) external _IODispatchSource_Class
00007ffa19fe01ef (__TEXT,__text) external _IODriverKitTest
00007ffa1a0069ca (__TEXT,__text) non-external _IODriverKitTest.cold.1
00007ffa1a0069f5 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00007ffa1a006a18 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00007ffa1a006a43 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00007ffa1a006a66 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00007ffa1a006a89 (__TEXT,__text) non-external _IODriverKitTest.cold.6
00007ffa1a006aac (__TEXT,__text) non-external _IODriverKitTest.cold.7
00007ffa1a006acf (__TEXT,__text) non-external _IODriverKitTest.cold.8
00007ffa41e71f08 (__DATA_CONST,__const) external _IOEventLink_Class
00007ffa19fdc786 (__TEXT,__text) external _IOFree
00007ffa19fdc7bd (__TEXT,__text) external _IOFreeData
00007ffa19fe01d4 (__TEXT,__text) external _IOGetExecutableSDKVersion
00007ffa41e72758 (__DATA_CONST,__const) external _IOHistogramReporter_Class
00007ffa41e72068 (__DATA_CONST,__const) external _IOInterruptDispatchSource_Class
00007ffa19fdc7ea (__TEXT,__text) non-external (was a private external) _IOLibInit
00007ffa19fdf04e (__TEXT,__text) external _IOLockAlloc
00007ffa19fdf09d (__TEXT,__text) external _IOLockAssert
00007ffa1a0063fb (__TEXT,__text) non-external _IOLockAssert.cold.1
00007ffa19fdf069 (__TEXT,__text) external _IOLockFree
00007ffa19fdf07f (__TEXT,__text) external _IOLockLock
00007ffa19fdf089 (__TEXT,__text) external _IOLockTryLock
00007ffa19fdf093 (__TEXT,__text) external _IOLockUnlock
00007ffa19fdc589 (__TEXT,__text) external _IOLog
