                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
                 (undefined) external ___chkstk_darwin (from libSystem)
                 (undefined) external ___cospi (from libSystem)
                 (undefined) external ___cospif (from libSystem)
                 (undefined) external ___sincos_stret (from libSystem)
                 (undefined) external ___sincosf_stret (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __get_cpu_capabilities (from libSystem)
                 (undefined) external _atan2 (from libSystem)
                 (undefined) external _atan2f (from libSystem)
                 (undefined) external _bzero (from libSystem)
                 (undefined) external _calloc (from libSystem)
                 (undefined) external _cblas_dgemm (from libBLAS)
                 (undefined) external _cblas_sgemm (from libBLAS)
                 (undefined) external _cos (from libSystem)
                 (undefined) external _cosf (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _log (from libSystem)
                 (undefined) external _log10 (from libSystem)
                 (undefined) external _log10f (from libSystem)
                 (undefined) external _log2 (from libSystem)
                 (undefined) external _logf (from libSystem)
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memcpy (from libSystem)
                 (undefined) external _memset_pattern4 (from libSystem)
                 (undefined) external _memset_pattern8 (from libSystem)
                 (undefined) external _posix_memalign (from libSystem)
                 (undefined) external _pow (from libSystem)
                 (undefined) external _powf (from libSystem)
                 (undefined) external _qsort (from libSystem)
                 (undefined) external _realloc (from libSystem)
                 (undefined) external _sin (from libSystem)
                 (undefined) external _sinf (from libSystem)
                 (undefined) external _tan (from libSystem)
000000018c1e0854 (__TEXT,__text) external _vDSP_DCT_CreateSetup
000000018c1e0da8 (__TEXT,__text) external _vDSP_DCT_Execute
000000018c1dfe38 (__TEXT,__text) external _vDSP_DFT_CreateSetup
000000018c119414 (__TEXT,__text) external _vDSP_DFT_DestroySetup
000000018c1e12e4 (__TEXT,__text) external _vDSP_DFT_DestroySetupD
000000018c1192a4 (__TEXT,__text) external _vDSP_DFT_Execute
000000018c1e1a00 (__TEXT,__text) external _vDSP_DFT_ExecuteD
000000018c131cc8 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetup
000000018c158b34 (__TEXT,__text) external _vDSP_DFT_Interleaved_CreateSetupD
000000018c131c4c (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetup
000000018c158ac0 (__TEXT,__text) external _vDSP_DFT_Interleaved_DestroySetupD
000000018c1328fc (__TEXT,__text) external _vDSP_DFT_Interleaved_Execute
000000018c159244 (__TEXT,__text) external _vDSP_DFT_Interleaved_ExecuteD
000000018c1e007c (__TEXT,__text) external _vDSP_DFT_zop
000000018c11924c (__TEXT,__text) external _vDSP_DFT_zop_CreateSetup
000000018c1e1348 (__TEXT,__text) external _vDSP_DFT_zop_CreateSetupD
000000018c125270 (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetup
000000018c1e1690 (__TEXT,__text) external _vDSP_DFT_zrop_CreateSetupD
000000018c1237d8 (__TEXT,__text) external _vDSP_FFT16_copv
000000018c124720 (__TEXT,__text) external _vDSP_FFT16_zopv
000000018c124e04 (__TEXT,__text) external _vDSP_FFT32_copv
000000018c12554c (__TEXT,__text) external _vDSP_FFT32_zopv
000000018c1c0cac (__TEXT,__text) external _vDSP_biquad
000000018c1c13e8 (__TEXT,__text) external _vDSP_biquadD
000000018c1c06ac (__TEXT,__text) external _vDSP_biquad_CreateSetup
000000018c1c10f0 (__TEXT,__text) external _vDSP_biquad_CreateSetupD
000000018c1c0c40 (__TEXT,__text) external _vDSP_biquad_DestroySetup
000000018c1c136c (__TEXT,__text) external _vDSP_biquad_DestroySetupD
000000018c1c08f4 (__TEXT,__text) external _vDSP_biquad_SetCoefficientsDouble
000000018c1c0a9c (__TEXT,__text) external _vDSP_biquad_SetCoefficientsSingle
000000018c1fec8c (__TEXT,__text) external _vDSP_biquadm
000000018c1753d8 (__TEXT,__text) external _vDSP_biquadmD
000000018c2004c4 (__TEXT,__text) external _vDSP_biquadm_CopyState
000000018c1a2084 (__TEXT,__text) external _vDSP_biquadm_CopyStateD
000000018c1ff69c (__TEXT,__text) external _vDSP_biquadm_CreateSetup
000000018c1a1688 (__TEXT,__text) external _vDSP_biquadm_CreateSetupD
000000018c200438 (__TEXT,__text) external _vDSP_biquadm_DestroySetup
000000018c1a1ff8 (__TEXT,__text) external _vDSP_biquadm_DestroySetupD
000000018c20052c (__TEXT,__text) external _vDSP_biquadm_ResetState
000000018c1a20ec (__TEXT,__text) external _vDSP_biquadm_ResetStateD
000000018c20004c (__TEXT,__text) external _vDSP_biquadm_SetActiveFilters
000000018c1a1c70 (__TEXT,__text) external _vDSP_biquadm_SetActiveFiltersD
000000018c123b14 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDouble
000000018c12bbe0 (__TEXT,__text) external _vDSP_biquadm_SetCoefficientsDoubleD
