                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00000002480fc340 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000002480fcdbc (__TEXT,__const) external _libopenpam
00000002480fc860 (__TEXT,__text) external _misc_conv
00000002480fc56c (__TEXT,__text) external _pam_acct_mgmt
00000002480fc474 (__TEXT,__text) external _pam_authenticate
00000002480fc5e8 (__TEXT,__text) external _pam_chauthtok
00000002480fc6e0 (__TEXT,__text) external _pam_close_session
00000002480fc400 (__TEXT,__text) external _pam_end
00000002480fcaa8 (__TEXT,__text) external _pam_get_data
00000002480fc7dc (__TEXT,__text) external _pam_get_item
00000002480fccd8 (__TEXT,__text) external _pam_get_pass
00000002480fcbb8 (__TEXT,__text) external _pam_get_user
00000002480fc9d0 (__TEXT,__text) external _pam_getenv
00000002480fca40 (__TEXT,__text) external _pam_getenvlist
00000002480fc668 (__TEXT,__text) external _pam_open_session
00000002480fcc3c (__TEXT,__text) external _pam_prompt
00000002480fc95c (__TEXT,__text) external _pam_putenv
00000002480fcb2c (__TEXT,__text) external _pam_set_data
00000002480fc758 (__TEXT,__text) external _pam_set_item
00000002480fc4f0 (__TEXT,__text) external _pam_setcred
00000002480fc374 (__TEXT,__text) external _pam_start
00000002480fc8ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000002480fc2e0 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000002480fc2f0 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00000002480fc33c (__TEXT,__text) external _xlate_pam_shim_item_type
00000002480fc318 (__TEXT,__text) external _xlate_pam_shim_retval
00000002480fc304 (__TEXT,__text) external _xlate_pam_shim_session_flags
00000002480fc310 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
