000000018c0236e4 (__TEXT,__text) non-external _Annihilate
000000018c060530 (__TEXT,__text) non-external _BlockSplitterFinishBlockCommand
000000018c060b60 (__TEXT,__text) non-external _BlockSplitterFinishBlockDistance
000000018c05f6d4 (__TEXT,__text) non-external _BlockSplitterFinishBlockLiteral
000000018c023454 (__TEXT,__text) non-external (was a private external) _BrotliAllocate
000000018c03d55c (__TEXT,__text) non-external (was a private external) _BrotliBuildAndStoreHuffmanTreeFast
000000018c016e4c (__TEXT,__text) non-external (was a private external) _BrotliBuildCodeLengthsHuffmanTable
000000018c023bb4 (__TEXT,__text) non-external (was a private external) _BrotliBuildHistogramsWithContext
000000018c0170a0 (__TEXT,__text) non-external (was a private external) _BrotliBuildHuffmanTable
000000018c05df30 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlock
000000018c05e7c8 (__TEXT,__text) non-external (was a private external) _BrotliBuildMetaBlockGreedy
000000018c017320 (__TEXT,__text) non-external (was a private external) _BrotliBuildSimpleHuffmanTable
000000018c02a36c (__TEXT,__text) non-external _BrotliCalculateRingBufferSize
000000018c0361a8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsCommand
000000018c036d98 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsDistance
000000018c0355b8 (__TEXT,__text) non-external (was a private external) _BrotliClusterHistogramsLiteral
000000018c0358e0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueCommand
000000018c0364d0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueDistance
000000018c034cf0 (__TEXT,__text) non-external (was a private external) _BrotliCompareAndPushToQueueLiteral
000000018c01e030 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentFast
000000018c01f538 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl11
000000018c020884 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl13
000000018c021bd0 (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl15
000000018c01e1ec (__TEXT,__text) non-external _BrotliCompressFragmentFastImpl9
000000018c052a70 (__TEXT,__text) non-external (was a private external) _BrotliCompressFragmentTwoPass
000000018c0549d8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl10
000000018c055820 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl11
000000018c056668 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl12
000000018c0574b0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl13
000000018c0582f8 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl14
000000018c059140 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl15
000000018c059f88 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl16
000000018c05aea0 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl17
000000018c052d48 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl8
000000018c053b90 (__TEXT,__text) non-external _BrotliCompressFragmentTwoPassImpl9
000000018c033120 (__TEXT,__text) non-external (was a private external) _BrotliConvertBitDepthsToSymbols
000000018c0444f8 (__TEXT,__text) non-external (was a private external) _BrotliCreateBackwardReferences
000000018c039350 (__TEXT,__text) non-external (was a private external) _BrotliCreateHqZopfliBackwardReferences
