                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
00007ff811d3dbcd (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
00007ff811d3aa59 (__TEXT,__text) external _FSp_profile_init
00007ff811d3aa66 (__TEXT,__text) external _FSp_profile_init_path
00007ff811d3dbd8 (__TEXT,__text) external _FSp_put_svc_key
00007ff811d3dbe3 (__TEXT,__text) external _FSp_read_service_key
00007ff84275bac0 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00007ff84275bae0 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00007ff84275ba90 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00007ff84275ba70 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00007ff84275ba30 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00007ff84275ba50 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00007ff84275ba10 (__DATA,__data) external _GSS_C_NT_USER_NAME
00007ff84275bb70 (__DATA,__data) external _GSS_KRB5_MECHANISM
00007ff84275bb38 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00007ff84275bb00 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00007ff84275bb48 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00007ff84275bb28 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
00007ff811d3dd34 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
00007ff811d3dd29 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
00007ff811d3dca9 (__TEXT,__text) external _KClientAddCredentialsDeprecated
00007ff811d3dc1a (__TEXT,__text) external _KClientAddRealmMapDeprecated
00007ff811d3dc46 (__TEXT,__text) external _KClientAddServerMapDeprecated
00007ff811d3df23 (__TEXT,__text) external _KClientAddServiceKey
00007ff811d3dbee (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
00007ff811d3df86 (__TEXT,__text) external _KClientDecrypt
00007ff811d3ddb8 (__TEXT,__text) external _KClientDecryptCompat
00007ff811d3dcb4 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
00007ff811d3dc25 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
00007ff811d3dc51 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
00007ff811d3dc93 (__TEXT,__text) external _KClientDeleteSessionDeprecated
00007ff811d3dfd3 (__TEXT,__text) external _KClientDisposePrincipal
00007ff811d3de68 (__TEXT,__text) external _KClientDisposeSession
00007ff811d3dd55 (__TEXT,__text) external _KClientDisposeSessionCompat
00007ff811d3df7b (__TEXT,__text) external _KClientEncrypt
00007ff811d3ddad (__TEXT,__text) external _KClientEncryptCompat
00007ff811d3df39 (__TEXT,__text) external _KClientGetAuthenticatorForService
00007ff811d3dfa7 (__TEXT,__text) external _KClientGetCCacheReference
