00000001e6de8028 (__TEXT,__text) non-external +[AAFPromise all:]
00000001e6de24cc (__TEXT,__text) non-external +[AFUtilities _openApplicationWithBundleID:]
00000001e6de88d0 (__TEXT,__text) non-external +[AFUtilities _openApplicationWithBundleID:].cold.1
00000001e6de2584 (__TEXT,__text) non-external +[AFUtilities _openApplicationWithURL:]
00000001e6de8950 (__TEXT,__text) non-external +[AFUtilities _openApplicationWithURL:].cold.1
00000001e6de2618 (__TEXT,__text) non-external +[AFUtilities _openItemWithURL:]
00000001e6de2628 (__TEXT,__text) non-external +[AFUtilities _openItemWithURL:launchParameters:]
00000001e6de89d8 (__TEXT,__text) non-external +[AFUtilities _openItemWithURL:launchParameters:].cold.1
00000001e6de8a4c (__TEXT,__text) non-external +[AFUtilities _openItemWithURL:launchParameters:].cold.2
00000001e6de1a64 (__TEXT,__text) non-external +[AFUtilities bundleIdentifier]
00000001e6de1ad4 (__TEXT,__text) non-external +[AFUtilities bundleVersion]
00000001e6de1b78 (__TEXT,__text) non-external +[AFUtilities currentApplicationIdentifier]
00000001e6de1d18 (__TEXT,__text) non-external +[AFUtilities currentApplicationVersion]
00000001e6de1eec (__TEXT,__text) non-external +[AFUtilities isInternalBuild]
00000001e6de20e4 (__TEXT,__text) non-external +[AFUtilities launchPhotosApplication]
00000001e6de20d0 (__TEXT,__text) non-external +[AFUtilities launchSoftwareUpdate]
00000001e6de2428 (__TEXT,__text) non-external +[AFUtilities openAppleIDPrefWithLaunchParameters:]
00000001e6de23a0 (__TEXT,__text) non-external +[AFUtilities openAppleIDPref]
00000001e6de1f58 (__TEXT,__text) non-external +[AFUtilities openApplicationWithBundleID:]
00000001e6de8874 (__TEXT,__text) non-external +[AFUtilities openApplicationWithBundleID:].cold.1
00000001e6de20f8 (__TEXT,__text) non-external +[AFUtilities openEnergySaverPref]
00000001e6de2290 (__TEXT,__text) non-external +[AFUtilities openInternetAccountPref]
00000001e6de2318 (__TEXT,__text) non-external +[AFUtilities openParentalControlPref]
00000001e6de2208 (__TEXT,__text) non-external +[AFUtilities openSecurityPref]
00000001e6de2180 (__TEXT,__text) non-external +[AFUtilities openSharingPref]
00000001e6de24c4 (__TEXT,__text) non-external +[AFUtilities screenLockIsEnabled]
00000001e6de1e1c (__TEXT,__text) non-external +[AFUtilities urlForBundleIdentifier:]
00000001e6de87f0 (__TEXT,__text) non-external +[AFUtilities urlForBundleIdentifier:].cold.1
00000001e6de6268 (__TEXT,__text) non-external -[AAFCertificateTrustValidator _checkPinningPolicy:type:]
00000001e6de8e58 (__TEXT,__text) non-external -[AAFCertificateTrustValidator _checkPinningPolicy:type:].cold.1
00000001e6de8e9c (__TEXT,__text) non-external -[AAFCertificateTrustValidator _checkPinningPolicy:type:].cold.2
00000001e6de8f0c (__TEXT,__text) non-external -[AAFCertificateTrustValidator _checkPinningPolicy:type:].cold.3
00000001e6de6410 (__TEXT,__text) non-external -[AAFCertificateTrustValidator _policyForType:host:]
00000001e6de6494 (__TEXT,__text) non-external -[AAFCertificateTrustValidator _trySSLPinning:]
00000001e6de5ff8 (__TEXT,__text) non-external -[AAFCertificateTrustValidator validateCertificateTrustWithChallenge:type:]
00000001e6de2adc (__TEXT,__text) non-external -[AAFKeychainItem .cxx_destruct]
00000001e6de2ac8 (__TEXT,__text) non-external -[AAFKeychainItem descriptor]
00000001e6de292c (__TEXT,__text) non-external -[AAFKeychainItem initWithAttributes:]
00000001e6de2884 (__TEXT,__text) non-external -[AAFKeychainItem initWithDescriptor:value:]
00000001e6de29f0 (__TEXT,__text) non-external -[AAFKeychainItem itemAttributes]
00000001e6de2ad0 (__TEXT,__text) non-external -[AAFKeychainItem setDescriptor:]
00000001e6de2ac0 (__TEXT,__text) non-external -[AAFKeychainItem setValue:]
00000001e6de2ab8 (__TEXT,__text) non-external -[AAFKeychainItem value]
00000001e6de4a38 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor .cxx_destruct]
00000001e6de4838 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor _accessibleWithKeychainAccessible:]
00000001e6de46bc (__TEXT,__text) non-external -[AAFKeychainItemDescriptor _classWithKeychainClass:]
00000001e6de4784 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor _keychainAccessibleWithAccessible:]
00000001e6de4618 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor _keychainClassWithClass:]
00000001e6de4964 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor _objectForOptionalBool:]
00000001e6de4924 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor _optionalValueFromObject:]
00000001e6de49f8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor accessGroup]
00000001e6de49a8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor account]
00000001e6de43a8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor attributes]
00000001e6de4294 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor copyWithZone:]
00000001e6de3fa8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor initWithAttributes:]
00000001e6de4a08 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor invisible]
00000001e6de4998 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor itemAccessible]
00000001e6de4988 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor itemClass]
00000001e6de49e8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor label]
00000001e6de49d8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor securityDomain]
00000001e6de49c8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor server]
00000001e6de49b8 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor service]
00000001e6de4a00 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setAccessGroup:]
00000001e6de49b0 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setAccount:]
00000001e6de4a10 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setInvisible:]
00000001e6de49a0 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setItemAccessible:]
00000001e6de4990 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setItemClass:]
00000001e6de49f0 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setLabel:]
00000001e6de49e0 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setSecurityDomain:]
00000001e6de49d0 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setServer:]
00000001e6de49c0 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setService:]
00000001e6de4a20 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setSynchronizable:]
00000001e6de4a30 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor setUseDataProtection:]
00000001e6de4a18 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor synchronizable]
00000001e6de4a28 (__TEXT,__text) non-external -[AAFKeychainItemDescriptor useDataProtection]
00000001e6de3f64 (__TEXT,__text) non-external -[AAFKeychainManager .cxx_destruct]
00000001e6de3710 (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_addKeychainItem:shouldAttemptUpdate:error:]
00000001e6de3eb8 (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_deleteKeychainItemWithDescriptor:error:]
00000001e6de8b60 (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_deleteKeychainItemWithDescriptor:error:].cold.1
00000001e6de38fc (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_fetchKeychainItemWithDescriptor:error:]
00000001e6de8aa8 (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_fetchKeychainItemWithDescriptor:error:].cold.1
00000001e6de3b2c (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_fetchKeychainItemsWithDescriptor:error:]
00000001e6de8b04 (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_fetchKeychainItemsWithDescriptor:error:].cold.1
00000001e6de37fc (__TEXT,__text) non-external -[AAFKeychainManager _unsafe_updateKeychainItemWithDescriptor:newItem:error:]
00000001e6de2bac (__TEXT,__text) non-external -[AAFKeychainManager addKeychainItem:error:]
00000001e6de2dcc (__TEXT,__text) non-external -[AAFKeychainManager addOrUpdateKeychainItem:error:]
00000001e6de35a4 (__TEXT,__text) non-external -[AAFKeychainManager deleteKeychainItemsForDescriptor:error:]
00000001e6de2b20 (__TEXT,__text) non-external -[AAFKeychainManager init]
00000001e6de30d8 (__TEXT,__text) non-external -[AAFKeychainManager keychainItemForDescriptor:error:]
00000001e6de3398 (__TEXT,__text) non-external -[AAFKeychainManager keychainItemsForDescriptor:error:]
00000001e6de2f3c (__TEXT,__text) non-external -[AAFKeychainManager updateKeychainItem:error:]
00000001e6de8788 (__TEXT,__text) non-external -[AAFPromise .cxx_destruct]
00000001e6de6ea8 (__TEXT,__text) non-external -[AAFPromise _chain:]
00000001e6de6bbc (__TEXT,__text) non-external -[AAFPromise _completeWithValue:error:]
00000001e6de7480 (__TEXT,__text) non-external -[AAFPromise _handleChainingResult:withCompletion:]
00000001e6de7194 (__TEXT,__text) non-external -[AAFPromise _placeBlock:onQueue:]
00000001e6de6a1c (__TEXT,__text) non-external -[AAFPromise _startWithBlock:]
00000001e6de6e94 (__TEXT,__text) non-external -[AAFPromise abortWithError:]
00000001e6de7cd0 (__TEXT,__text) non-external -[AAFPromise catch:]
00000001e6de7e24 (__TEXT,__text) non-external -[AAFPromise catch:onQueue:]
00000001e6de86f8 (__TEXT,__text) non-external -[AAFPromise catchOnQueue]
00000001e6de8668 (__TEXT,__text) non-external -[AAFPromise catch]
00000001e6de678c (__TEXT,__text) non-external -[AAFPromise initWithBlock:]
00000001e6de694c (__TEXT,__text) non-external -[AAFPromise initWithError:]
00000001e6de6878 (__TEXT,__text) non-external -[AAFPromise initWithValue:]
00000001e6de7550 (__TEXT,__text) non-external -[AAFPromise onComplete:]
00000001e6de76a0 (__TEXT,__text) non-external -[AAFPromise onComplete:onQueue:]
00000001e6de78d4 (__TEXT,__text) non-external -[AAFPromise then:]
00000001e6de7a38 (__TEXT,__text) non-external -[AAFPromise then:onQueue:]
00000001e6de85d8 (__TEXT,__text) non-external -[AAFPromise thenOnQueue]
00000001e6de8548 (__TEXT,__text) non-external -[AAFPromise then]
00000001e6de5060 (__TEXT,__text) non-external -[AAFService .cxx_destruct]
00000001e6de4bd0 (__TEXT,__text) non-external -[AAFService _configureListener]
00000001e6de8bbc (__TEXT,__text) non-external -[AAFService _configureListener].cold.1
00000001e6de4bcc (__TEXT,__text) non-external -[AAFService configureExportedInterface:]
00000001e6de5044 (__TEXT,__text) non-external -[AAFService exportedObject]
00000001e6de503c (__TEXT,__text) non-external -[AAFService exportedProtocol]
00000001e6de4aac (__TEXT,__text) non-external -[AAFService init]
00000001e6de501c (__TEXT,__text) non-external -[AAFService listener:shouldAcceptNewConnection:]
00000001e6de5034 (__TEXT,__text) non-external -[AAFService preConnectEntitlements]
00000001e6de504c (__TEXT,__text) non-external -[AAFService serviceListener]
00000001e6de502c (__TEXT,__text) non-external -[AAFService serviceName]
00000001e6de5054 (__TEXT,__text) non-external -[AAFService setServiceListener:]
00000001e6de4ccc (__TEXT,__text) non-external -[AAFService shouldAcceptNewConnection:]
00000001e6de8c00 (__TEXT,__text) non-external -[AAFService shouldAcceptNewConnection:].cold.1
00000001e6de8c38 (__TEXT,__text) non-external -[AAFService shouldAcceptNewConnection:].cold.2
00000001e6de8c70 (__TEXT,__text) non-external -[AAFService shouldAcceptNewConnection:].cold.3
00000001e6de4ae4 (__TEXT,__text) non-external -[AAFService startup]
00000001e6de5eb8 (__TEXT,__text) non-external -[AAFXPCSession .cxx_destruct]
00000001e6de5e70 (__TEXT,__text) non-external -[AAFXPCSession _proxy]
00000001e6de5584 (__TEXT,__text) non-external -[AAFXPCSession connection]
00000001e6de5e38 (__TEXT,__text) non-external -[AAFXPCSession delegate]
00000001e6de552c (__TEXT,__text) non-external -[AAFXPCSession destroyXPCConnection]
00000001e6de5e28 (__TEXT,__text) non-external -[AAFXPCSession identifier]
00000001e6de50e4 (__TEXT,__text) non-external -[AAFXPCSession initWithRemoteServiceConfig:delegate:]
00000001e6de54a8 (__TEXT,__text) non-external -[AAFXPCSession invalidate]
00000001e6de5e98 (__TEXT,__text) non-external -[AAFXPCSession remoteServiceConfig]
00000001e6de5264 (__TEXT,__text) non-external -[AAFXPCSession remoteServiceProxyWithErrorHandler:]
00000001e6de51e8 (__TEXT,__text) non-external -[AAFXPCSession remoteServiceProxy]
00000001e6de5300 (__TEXT,__text) non-external -[AAFXPCSession resume]
00000001e6de5e84 (__TEXT,__text) non-external -[AAFXPCSession serialQueue]
00000001e6de5eac (__TEXT,__text) non-external -[AAFXPCSession setConnection:]
00000001e6de5e64 (__TEXT,__text) non-external -[AAFXPCSession setDelegate:]
00000001e6de5e30 (__TEXT,__text) non-external -[AAFXPCSession setIdentifier:]
00000001e6de5ea0 (__TEXT,__text) non-external -[AAFXPCSession setRemoteServiceConfig:]
00000001e6de5e8c (__TEXT,__text) non-external -[AAFXPCSession setSerialQueue:]
00000001e6de5e78 (__TEXT,__text) non-external -[AAFXPCSession set_proxy:]
00000001e6de53dc (__TEXT,__text) non-external -[AAFXPCSession suspend]
00000001e6de52f0 (__TEXT,__text) non-external -[AAFXPCSession syncRemoteServiceProxyWithErrorHandler:]
00000001e6de5274 (__TEXT,__text) non-external -[AAFXPCSession syncRemoteServiceProxy]
00000001e6de6730 (__TEXT,__text) non-external -[AAFXPCSessionConfig .cxx_destruct]
00000001e6de6708 (__TEXT,__text) non-external -[AAFXPCSessionConfig exportedProtocol]
00000001e6de664c (__TEXT,__text) non-external -[AAFXPCSessionConfig initWithServiceName:remoteProtocol:exportedProtocol:options:]
00000001e6de659c (__TEXT,__text) non-external -[AAFXPCSessionConfig initWithServiceName:remoteProtocol:options:]
00000001e6de66e4 (__TEXT,__text) non-external -[AAFXPCSessionConfig options]
00000001e6de671c (__TEXT,__text) non-external -[AAFXPCSessionConfig remoteObjectInterface]
00000001e6de66f4 (__TEXT,__text) non-external -[AAFXPCSessionConfig remoteProtocol]
00000001e6de66d4 (__TEXT,__text) non-external -[AAFXPCSessionConfig serviceName]
00000001e6de6710 (__TEXT,__text) non-external -[AAFXPCSessionConfig setExportedProtocol:]
00000001e6de66ec (__TEXT,__text) non-external -[AAFXPCSessionConfig setOptions:]
00000001e6de6724 (__TEXT,__text) non-external -[AAFXPCSessionConfig setRemoteObjectInterface:]
00000001e6de66fc (__TEXT,__text) non-external -[AAFXPCSessionConfig setRemoteProtocol:]
00000001e6de66dc (__TEXT,__text) non-external -[AAFXPCSessionConfig setServiceName:]
00000001e6dea3c0 (__TEXT,__gcc_except_tab) non-external GCC_except_table16
00000001e6dea3e8 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00000001e6de9b38 (__TEXT,__const) external _AAAFoundationVersionNumber
00000001e6de9b00 (__TEXT,__const) external _AAAFoundationVersionString
                 (undefined) external _AECreateDesc (from CoreServices)
000000020a0e47f0 (__DATA_CONST,__const) external _AFUtilitiesAppleIDPrefPath
000000020a0e47c8 (__DATA_CONST,__const) external _AFUtilitiesEnergySaverPath
000000020a0e47e0 (__DATA_CONST,__const) external _AFUtilitiesInternetAccountsPrefPath
000000020a0e4808 (__DATA_CONST,__const) external _AFUtilitiesMailAppBundleIdentifier
000000020a0e47e8 (__DATA_CONST,__const) external _AFUtilitiesParentalControlsPrefPath
000000020a0e4800 (__DATA_CONST,__const) external _AFUtilitiesPhotosAppBundleIdentifier
000000020a0e47d8 (__DATA_CONST,__const) external _AFUtilitiesSecurityPrefPath
000000020a0e47d0 (__DATA_CONST,__const) external _AFUtilitiesSharingPrefPath
000000020a0e47f8 (__DATA_CONST,__const) external _AFUtilitiesSoftwareUpdateBundleIdentifier
000000020a0e4810 (__DATA_CONST,__const) external _AFUtilitiesStoreAppBundleIdentifier
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetTypeID (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
