                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffb1cc81dae (__TEXT,__text) external _PFCheckNATRule
00007ffb1cc7f788 (__TEXT,__text) external _PFCheckRule
00007ffb1cc7e727 (__TEXT,__text) external _PFFindStatesByDescriptor
00007ffb1cc7eac4 (__TEXT,__text) external _PFGetDescriptorStateDetails
00007ffb1cc7f525 (__TEXT,__text) external _PFManagerAddUser
00007ffb1cc7f5bf (__TEXT,__text) external _PFManagerCheckUserExists
00007ffb1cc7f434 (__TEXT,__text) external _PFManagerCreate
00007ffb1cc7f227 (__TEXT,__text) external _PFManagerDebugLog
00007ffb1cc7ef27 (__TEXT,__text) external _PFManagerErrorLog
00007ffb1cc7ee63 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffb1cc7f2db (__TEXT,__text) external _PFManagerGetQueue
00007ffb1cc7f173 (__TEXT,__text) external _PFManagerInfoLog
00007ffb1cc7f021 (__TEXT,__text) external _PFManagerLogOpen
00007ffb1cc7f0c2 (__TEXT,__text) external _PFManagerNoticeLog
00007ffb1cc7f6e9 (__TEXT,__text) external _PFManagerRelease
00007ffb1cc7f61b (__TEXT,__text) external _PFManagerReleaseUser
00007ffb1cc7f6a9 (__TEXT,__text) external _PFManagerSendMessage
00007ffb1cc7e48c (__TEXT,__text) external _PFQueryGatewayAddrAndPortForDescriptor
00007ffb1cc7e9b1 (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00007ffb1cc7c6b6 (__TEXT,__text) external _PFUserAddRule
00007ffb1cc7c481 (__TEXT,__text) external _PFUserBeginRules
00007ffb1cc7ccc2 (__TEXT,__text) external _PFUserClearRules
00007ffb1cc7dd4f (__TEXT,__text) external _PFUserClearStates
00007ffb1cc7c91a (__TEXT,__text) external _PFUserCommitRules
00007ffb1cc7db99 (__TEXT,__text) external _PFUserCopyRules_S
00007ffb1cc7bfcc (__TEXT,__text) external _PFUserCreate
00007ffb1cc7d6e0 (__TEXT,__text) external _PFUserDeleteRule
00007ffb1cc7ce29 (__TEXT,__text) external _PFUserDeleteRules
00007ffb1cc7d950 (__TEXT,__text) external _PFUserGetRules
00007ffb1cc7d1c5 (__TEXT,__text) external _PFUserInsertRule
00007ffb1cc7d4a7 (__TEXT,__text) external _PFUserInsertRule_S
00007ffb1cc7dfae (__TEXT,__text) external _PFUserNATLook
00007ffb1cc7e269 (__TEXT,__text) external _PFUserNATLook_S
00007ffb1cc7d088 (__TEXT,__text) external _PFUserRelease
00007ffb1cc82644 (__TEXT,__text) external _PFXPCCleanup
00007ffb1cc8235c (__TEXT,__text) external _PFXPCGetResponse
00007ffb1cc82369 (__TEXT,__text) external _PFXPCSetupAndSend
00007ffb1cc82b38 (__TEXT,__const) external _PacketFilterVersionNumber
00007ffb1cc82b00 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffb1cc80100 (__TEXT,__text) non-external ___PFAddressCheck
00007ffb1cc813b9 (__TEXT,__text) non-external ___PFAllowOptsCheck
00007ffb1cc7ff46 (__TEXT,__text) non-external ___PFDirCheck
00007ffb1cc81653 (__TEXT,__text) non-external ___PFDummyNetCheck
00007ffb1cc81c8c (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00007ffb1cc8141e (__TEXT,__text) non-external ___PFExtFilterCheck
00007ffb1cc81492 (__TEXT,__text) non-external ___PFExtMapCheck
00007ffb1cc8006e (__TEXT,__text) non-external ___PFFamilyCheck
00007ffb1cc8177a (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00007ffb1cc7e7fc (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00007ffb1cc7e882 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00007ffb1cc7e8f5 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00007ffb1cc80776 (__TEXT,__text) non-external ___PFFlagsCheck
00007ffb1cc80b1e (__TEXT,__text) non-external ___PFGroupCheck
00007ffb1cc80eec (__TEXT,__text) non-external ___PFICMPCheck
00007ffb1cc81f52 (__TEXT,__text) non-external ___PFIPAddressCheck
00007ffb1cc81ecc (__TEXT,__text) non-external ___PFInterfaceExists
00007ffb1cc80d75 (__TEXT,__text) non-external ___PFLogCheck
00007ffb40bbbb18 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffb1cc7efd8 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffb1cc7f07a (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffb1cc82889 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffb1cc7f340 (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffb1cc7f6fb (__TEXT,__text) non-external ___PFManagerRegister
00007ffb1cc7f714 (__TEXT,__text) non-external ___PFManagerRelease
00007ffb1cc828c1 (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00007ffb1cc815f0 (__TEXT,__text) non-external ___PFMaxStatesCheck
00007ffb1cc8158b (__TEXT,__text) non-external ___PFNatPassCheck
00007ffb1cc8216a (__TEXT,__text) non-external ___PFNegatedCheck
00007ffb1cc82093 (__TEXT,__text) non-external ___PFOperatorCheck
00007ffb1cc821c8 (__TEXT,__text) non-external ___PFParseFlags
00007ffb1cc81fbd (__TEXT,__text) non-external ___PFPortCheck
00007ffb1cc7ffb4 (__TEXT,__text) non-external ___PFProtocolCheck
00007ffb1cc7e578 (__TEXT,__text) non-external ___PFQueryGatewayAddrAndPortForDescriptor_block_invoke
00007ffb1cc81afc (__TEXT,__text) non-external ___PFRDRConsistencyCheck
00007ffb1cc81506 (__TEXT,__text) non-external ___PFRTableCheck
00007ffb1cc82233 (__TEXT,__text) non-external ___PFRuleStrToNum
00007ffb1cc811a8 (__TEXT,__text) non-external ___PFScrubOptionsCheck
00007ffb1cc8134b (__TEXT,__text) non-external ___PFStateCheck
00007ffb1cc81003 (__TEXT,__text) non-external ___PFTagCheck
00007ffb1cc7c832 (__TEXT,__text) non-external ___PFUserAddRule_block_invoke
00007ffb1cc7c5a1 (__TEXT,__text) non-external ___PFUserBeginRules_block_invoke
00007ffb1cc808c7 (__TEXT,__text) non-external ___PFUserCheck
00007ffb40bbb948 (__DATA_CONST,__const) non-external ___PFUserClass
00007ffb1cc7cd99 (__TEXT,__text) non-external ___PFUserClearRules_block_invoke
00007ffb1cc7de0e (__TEXT,__text) non-external ___PFUserClearStates_block_invoke
00007ffb1cc7df21 (__TEXT,__text) non-external ___PFUserClearStates_block_invoke_2
00007ffb1cc7ca00 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke
00007ffb1cc7cb61 (__TEXT,__text) non-external ___PFUserCommitRules_block_invoke_2
00007ffb1cc7dc79 (__TEXT,__text) non-external ___PFUserCopyRules_S_block_invoke
00007ffb1cc7c3b9 (__TEXT,__text) non-external ___PFUserCreate_block_invoke
00007ffb1cc7d7ae (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke
00007ffb1cc7d8c3 (__TEXT,__text) non-external ___PFUserDeleteRule_block_invoke_2
00007ffb1cc7cee8 (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke
00007ffb1cc7cffb (__TEXT,__text) non-external ___PFUserDeleteRules_block_invoke_2
00007ffb1cc7da1d (__TEXT,__text) non-external ___PFUserGetRules_block_invoke
00007ffb1cc7daf4 (__TEXT,__text) non-external ___PFUserGetRules_block_invoke_2
00007ffb1cc7c8ba (__TEXT,__text) non-external ___PFUserGetTransArray
00007ffb1cc7d612 (__TEXT,__text) non-external ___PFUserInsertRule_S_block_invoke
00007ffb1cc7d326 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke
00007ffb1cc7d402 (__TEXT,__text) non-external ___PFUserInsertRule_block_invoke_2
00007ffb1cc7e3b9 (__TEXT,__text) non-external ___PFUserNATLook_S_block_invoke
00007ffb1cc7e0eb (__TEXT,__text) non-external ___PFUserNATLook_block_invoke
00007ffb1cc7e1c4 (__TEXT,__text) non-external ___PFUserNATLook_block_invoke_2
00007ffb1cc7ec1a (__TEXT,__text) non-external ___PFUserRegister
00007ffb1cc7ec33 (__TEXT,__text) non-external ___PFUserRelease
00007ffb1cc7d147 (__TEXT,__text) non-external ___PFUserRelease_block_invoke
00007ffb1cc7cc01 (__TEXT,__text) non-external ___PFUserRemoveTransArray
00007ffb1cc7c3ac (__TEXT,__text) non-external ___PFUserRuleDictionaryRelease
00007ffb1cc826f1 (__TEXT,__text) non-external ___PFXPCResponseHandler
00007ffb1cc7ece2 (__TEXT,__text) non-external _____PFUserRelease_block_invoke
00007ffb1cc7edf2 (__TEXT,__text) non-external _____PFUserXPCClearStatesResponseHandler_block_invoke
00007ffb1cc7ecfa (__TEXT,__text) non-external _____PFUserXPCCommitRulesResponseHandler_block_invoke
00007ffb1cc7ed81 (__TEXT,__text) non-external _____PFUserXPCDeleteRuleResponseHandler_block_invoke
00007ffb1cc7ed10 (__TEXT,__text) non-external _____PFUserXPCDeleteRulesResponseHandler_block_invoke
00007ffb1cc7ed97 (__TEXT,__text) non-external _____PFUserXPCGetRulesResponseHandler_block_invoke
00007ffb1cc7ed26 (__TEXT,__text) non-external _____PFUserXPCInsertRuleResponseHandler_block_invoke
00007ffb1cc7ee08 (__TEXT,__text) non-external _____PFUserXPCNatLookResponseHandler_block_invoke
00007ffb1cc82682 (__TEXT,__text) non-external _____PFXPCCreate_block_invoke
00007ffb1cc8285e (__TEXT,__text) non-external _____PFXPCSendMessage_block_invoke
                 (undefined) external ___assert_rtn (from libSystem)
00007ffb40bbb478 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40bbbbc0 (__DATA_CONST,__const) non-external ___block_descriptor_tmp
00007ffb40bbbc00 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.123
00007ffb40bbb4a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.15
00007ffb40bbb4d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.22
00007ffb40bbb508 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.25
00007ffb40bbb538 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.27
00007ffb40bbb568 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.28
00007ffb40bbb598 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.30
00007ffb40bbb5c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.31
00007ffb40bbb5f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.32
00007ffb40bbb628 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.35
00007ffb40bbb658 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.36
00007ffb40bbb688 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.37
00007ffb40bbb6b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.39
00007ffb40bbb6e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.40
00007ffb40bbb718 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.43
00007ffb40bbb748 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.44
00007ffb40bbb778 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.45
00007ffb40bbb7a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.47
00007ffb40bbb7d8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.48
00007ffb40bbb808 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.52
00007ffb40bbb828 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.53
00007ffb40bbb858 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.54
00007ffb40bbb888 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.57
00007ffb40bbb8b8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.59
00007ffb40bbb8e8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.60
00007ffb40bbb918 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.61
00007ffb40bbb9a8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.75
00007ffb40bbb9c8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.81
00007ffb40bbb9f8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.83
00007ffb40bbba28 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.85
00007ffb40bbba58 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.87
00007ffb40bbba88 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.89
00007ffb40bbbab8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.91
00007ffb40bbbae8 (__DATA_CONST,__const) non-external ___block_descriptor_tmp.93
00007ffb40bbbbe0 (__DATA_CONST,__const) non-external ___block_literal_global
00007ffb1cc82872 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b
00007ffb1cc7cc5f (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32b40r
00007ffb1cc7c457 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r
00007ffb1cc7c653 (__TEXT,__text) non-external (was a private external) ___copy_helper_block_8_32r40r
00007ffb1cc7cbee (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b
00007ffb1cc7cc97 (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32b40r
00007ffb1cc7c46e (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r
00007ffb1cc7c68b (__TEXT,__text) non-external (was a private external) ___destroy_helper_block_8_32r40r
                 (undefined) external ___error (from libSystem)
00007ffb42b465c0 (__DATA,__bss) non-external ___pfDictIdentifier
00007ffb42b465d8 (__DATA,__bss) non-external ___pfLog
00007ffb42b465e0 (__DATA,__bss) non-external ___pfLogError
00007ffb42b461f0 (__DATA,__data) non-external ___pfLogInit
00007ffb42b465d0 (__DATA,__bss) non-external ___pfManager
00007ffb42b46600 (__DATA,__bss) non-external ___pfManagerTypeID
00007ffb42b46210 (__DATA,__data) non-external ___pfManagerTypeInit
00007ffb42b465e8 (__DATA,__bss) non-external ___pfQueue
00007ffb42b465f0 (__DATA,__bss) non-external ___pfQueueError
00007ffb42b46200 (__DATA,__data) non-external ___pfQueueInit
00007ffb42b465c8 (__DATA,__bss) non-external ___pfUserTypeID
00007ffb42b461e0 (__DATA,__data) non-external ___pfUserTypeInit
00007ffb42b465f8 (__DATA,__bss) non-external ___pfXpcQueue
00007ffb42b46610 (__DATA,__bss) non-external ___pfconnection
00007ffb42b46608 (__DATA,__bss) non-external ___pfresponse
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external __os_log_default (from libSystem)
                 (undefined) external __os_log_error_impl (from libSystem)
                 (undefined) external __xpc_error_key_description (from libSystem)
                 (undefined) external __xpc_type_array (from libSystem)
                 (undefined) external __xpc_type_bool (from libSystem)
                 (undefined) external __xpc_type_connection (from libSystem)
                 (undefined) external __xpc_type_dictionary (from libSystem)
                 (undefined) external __xpc_type_error (from libSystem)
                 (undefined) external __xpc_type_string (from libSystem)
                 (undefined) external __xpc_type_uint64 (from libSystem)
                 (undefined) external __xpc_type_uuid (from libSystem)
                 (undefined) external _dispatch_async (from libSystem)
                 (undefined) external _dispatch_queue_create (from libSystem)
                 (undefined) external _dispatch_release (from libSystem)
                 (undefined) external _dispatch_retain (from libSystem)
                 (undefined) external _dispatch_sync (from libSystem)
                 (undefined) external _free (from libSystem)
                 (undefined) external _freeaddrinfo (from libSystem)
                 (undefined) external _freeifaddrs (from libSystem)
                 (undefined) external _getaddrinfo (from libSystem)
                 (undefined) external _getgrnam (from libSystem)
                 (undefined) external _getifaddrs (from libSystem)
                 (undefined) external _getprotobyname (from libSystem)
                 (undefined) external _getpwnam (from libSystem)
                 (undefined) external _getservbyname (from libSystem)
                 (undefined) external _if_nametoindex (from libSystem)
                 (undefined) external _kCFAllocatorDefault (from CoreFoundation)
                 (undefined) external _kCFTypeArrayCallBacks (from CoreFoundation)
                 (undefined) external _kCFTypeDictionaryKeyCallBacks (from CoreFoundation)
00007ffb42b463b0 (__DATA,__data) external _kPFAction
00007ffb42b46398 (__DATA,__data) external _kPFAdaptiveFirewall
00007ffb42b46320 (__DATA,__data) external _kPFAirDrop
00007ffb42b46450 (__DATA,__data) external _kPFAllowOpts
00007ffb42b465b0 (__DATA,__data) external _kPFAny
00007ffb42b46328 (__DATA,__data) external _kPFApplicationFirewall
00007ffb42b46338 (__DATA,__data) external _kPFBase
00007ffb42b46358 (__DATA,__data) external _kPFBase_nat64
00007ffb42b46360 (__DATA,__data) external _kPFBase_nat66
00007ffb42b46348 (__DATA,__data) external _kPFBase_v4
00007ffb42b46350 (__DATA,__data) external _kPFBase_v6
00007ffb42b464a0 (__DATA,__data) external _kPFBytesIn
00007ffb42b464a8 (__DATA,__data) external _kPFBytesOut
00007ffb42b463a0 (__DATA,__data) external _kPFCustomFirewall
00007ffb42b46390 (__DATA,__data) external _kPFDefaultFirewall
00007ffb42b463c0 (__DATA,__data) external _kPFDirection
00007ffb42b46460 (__DATA,__data) external _kPFDummyNet
00007ffb42b46468 (__DATA,__data) external _kPFExtFilter
00007ffb42b46470 (__DATA,__data) external _kPFExtMap
00007ffb42b46310 (__DATA,__data) external _kPFFTPProxy
00007ffb42b463d0 (__DATA,__data) external _kPFFamily
00007ffb42b46418 (__DATA,__data) non-external (was a private external) _kPFFlagSet
00007ffb42b46410 (__DATA,__data) external _kPFFlags
00007ffb42b463e8 (__DATA,__data) external _kPFFrom
00007ffb42b46428 (__DATA,__data) external _kPFGroup
00007ffb42b46378 (__DATA,__data) external _kPFHost_v4
00007ffb42b46380 (__DATA,__data) external _kPFHost_v6
00007ffb42b46438 (__DATA,__data) external _kPFICMP
00007ffb42b463c8 (__DATA,__data) external _kPFInterface
00007ffb42b462f8 (__DATA,__data) external _kPFInternetSharing
00007ffb42b46448 (__DATA,__data) external _kPFKeepState
00007ffb42b46430 (__DATA,__data) external _kPFLog
00007ffb42b46388 (__DATA,__data) external _kPFMDNS
00007ffb42b46488 (__DATA,__data) external _kPFMaxStates
00007ffb42b463f8 (__DATA,__data) external _kPFNATDest
00007ffb42b46480 (__DATA,__data) external _kPFNATPass
00007ffb42b46408 (__DATA,__data) external _kPFNATRDRAddress
00007ffb42b463f0 (__DATA,__data) external _kPFNATSrc
00007ffb42b46300 (__DATA,__data) external _kPFNLC
00007ffb42b46490 (__DATA,__data) external _kPFPacketsIn
00007ffb42b46498 (__DATA,__data) external _kPFPacketsOut
00007ffb42b46340 (__DATA,__data) external _kPFPortMapping
00007ffb42b463d8 (__DATA,__data) external _kPFProtocol
00007ffb42b463e0 (__DATA,__data) external _kPFQuick
00007ffb42b46478 (__DATA,__data) external _kPFRTableID
00007ffb42b463b8 (__DATA,__data) external _kPFReturnOptions
00007ffb42b464b0 (__DATA,__data) external _kPFRuleID
00007ffb42b46440 (__DATA,__data) external _kPFScrubOptions
00007ffb42b46318 (__DATA,__data) external _kPFServerFirewall
00007ffb42b46368 (__DATA,__data) external _kPFShared_v4
00007ffb42b46370 (__DATA,__data) external _kPFShared_v6
00007ffb42b464c0 (__DATA,__data) external _kPFSubAddress
00007ffb42b464b8 (__DATA,__data) external _kPFSubAddressLabel
00007ffb42b465a0 (__DATA,__data) external _kPFSubDummyNetPipe
00007ffb42b465a8 (__DATA,__data) external _kPFSubDummyNetPipeType
00007ffb42b464c8 (__DATA,__data) external _kPFSubDynInterface
00007ffb42b46510 (__DATA,__data) external _kPFSubGroupName
00007ffb42b46528 (__DATA,__data) external _kPFSubGroupOperator
00007ffb42b46520 (__DATA,__data) external _kPFSubHighGroupID
00007ffb42b464e0 (__DATA,__data) external _kPFSubHighPort
00007ffb42b46500 (__DATA,__data) external _kPFSubHighUserID
00007ffb42b46548 (__DATA,__data) external _kPFSubICMPCode
00007ffb42b46540 (__DATA,__data) external _kPFSubICMPType
00007ffb42b46530 (__DATA,__data) external _kPFSubLogFlags
00007ffb42b46538 (__DATA,__data) external _kPFSubLogTo
00007ffb42b46518 (__DATA,__data) external _kPFSubLowGroupID
00007ffb42b464d8 (__DATA,__data) external _kPFSubLowPort
00007ffb42b464f8 (__DATA,__data) external _kPFSubLowUserID
00007ffb42b464d0 (__DATA,__data) external _kPFSubNegated
00007ffb42b46580 (__DATA,__data) external _kPFSubNotTagged
00007ffb42b464e8 (__DATA,__data) external _kPFSubPortOperator
00007ffb42b46568 (__DATA,__data) external _kPFSubReturnICMP6Code
00007ffb42b46560 (__DATA,__data) external _kPFSubReturnICMPCode
00007ffb42b46558 (__DATA,__data) external _kPFSubReturnTTL
00007ffb42b46550 (__DATA,__data) external _kPFSubReturnType
00007ffb42b46588 (__DATA,__data) external _kPFSubScrubFlags
00007ffb42b46598 (__DATA,__data) external _kPFSubScrubMaxMSS
00007ffb42b46590 (__DATA,__data) external _kPFSubScrubMinTTL
00007ffb42b46570 (__DATA,__data) external _kPFSubTag
00007ffb42b46578 (__DATA,__data) external _kPFSubTagged
00007ffb42b464f0 (__DATA,__data) external _kPFSubUserName
00007ffb42b46508 (__DATA,__data) external _kPFSubUserOperator
00007ffb42b46458 (__DATA,__data) external _kPFTagDict
00007ffb42b46330 (__DATA,__data) external _kPFThreadBR
00007ffb42b463a8 (__DATA,__data) external _kPFThreadBR_nat64
00007ffb42b46400 (__DATA,__data) external _kPFTo
00007ffb42b465b8 (__DATA,__data) external _kPFUnknown
00007ffb42b46420 (__DATA,__data) external _kPFUser
00007ffb42b46308 (__DATA,__data) external _kPFVPN
                 (undefined) external _malloc (from libSystem)
                 (undefined) external _memchr (from libSystem)
                 (undefined) external _os_log_create (from libSystem)
                 (undefined) external _os_log_type_enabled (from libSystem)
                 (undefined) external _os_log_with_args (from libSystem)
00007ffb42b46220 (__DATA,__data) non-external (was a private external) _pfLogSubsystem
00007ffb42b462e0 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANAddress
00007ffb42b462e8 (__DATA,__data) non-external (was a private external) _pfXPCEXTLANPort
00007ffb42b462f0 (__DATA,__data) non-external (was a private external) _pfXPCIPProto
00007ffb42b46240 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppSubType
00007ffb42b46238 (__DATA,__data) non-external (was a private external) _pfXPCKeyAppType
00007ffb42b46278 (__DATA,__data) non-external (was a private external) _pfXPCKeyAuthRef
00007ffb42b46270 (__DATA,__data) non-external (was a private external) _pfXPCKeyGatewayQuery
00007ffb42b46260 (__DATA,__data) non-external (was a private external) _pfXPCKeyInsertID
00007ffb42b46258 (__DATA,__data) non-external (was a private external) _pfXPCKeyPriority
00007ffb42b46250 (__DATA,__data) non-external (was a private external) _pfXPCKeyRule
00007ffb42b46248 (__DATA,__data) non-external (was a private external) _pfXPCKeyRuleArray
00007ffb42b46268 (__DATA,__data) non-external (was a private external) _pfXPCKeyTrafficDescriptors
00007ffb42b46230 (__DATA,__data) non-external (was a private external) _pfXPCKeyType
00007ffb42b462d0 (__DATA,__data) non-external (was a private external) _pfXPCLANAddress
00007ffb42b462d8 (__DATA,__data) non-external (was a private external) _pfXPCLANPort
00007ffb42b46298 (__DATA,__data) non-external (was a private external) _pfXPCResponseArray
00007ffb42b462a0 (__DATA,__data) non-external (was a private external) _pfXPCResponseDescriptorId
00007ffb42b462c8 (__DATA,__data) non-external (was a private external) _pfXPCResponseGatewayPort
00007ffb42b462b0 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountIn
00007ffb42b462b8 (__DATA,__data) non-external (was a private external) _pfXPCResponsePacketCountOut
00007ffb42b462a8 (__DATA,__data) non-external (was a private external) _pfXPCResponseStatesFound
00007ffb42b462c0 (__DATA,__data) non-external (was a private external) _pfXPCResponseV4GatewayAddress
00007ffb42b46228 (__DATA,__data) non-external (was a private external) _pfXPCService
00007ffb42b46288 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptor
00007ffb42b46290 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptorId
00007ffb42b46280 (__DATA,__data) non-external (was a private external) _pfXPCTrafficDescriptors
                 (undefined) external _pthread_once (from libSystem)
                 (undefined) external _sleep (from libSystem)
                 (undefined) external _snprintf (from libSystem)
                 (undefined) external _strcmp (from libSystem)
