00007ff81186f9c0 (__TEXT,__text) external _BNNSAffineGridSample
00007ff811882cd1 (__TEXT,__text) external _BNNSApplyMultiheadAttention
00007ff811885194 (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
00007ff81187d050 (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
00007ff811879ab4 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
00007ff81186f995 (__TEXT,__text) external _BNNSBandPart
00007ff81156b263 (__TEXT,__text) external _BNNSBitTranspose
00007ff811d65bf2 (__TEXT,__text) external _BNNSClearNetwork
00007ff811871a40 (__TEXT,__text) external _BNNSClipByGlobalNorm
00007ff811871092 (__TEXT,__text) external _BNNSClipByNorm
00007ff8118708ba (__TEXT,__text) external _BNNSClipByValue
00007ff811898ee2 (__TEXT,__text) external _BNNSCompareTensor
00007ff811896be3 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
00007ff8118722ed (__TEXT,__text) external _BNNSComputeNorm
00007ff811872b5e (__TEXT,__text) external _BNNSComputeNormBackward
00007ff81195ce28 (__TEXT,__text) external _BNNSComputeSimilarities
00007ff811704c4e (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D1_d16
00007ff8117057b8 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D2_d15
00007ff8117068d2 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D3_d14
00007ff8117048d5 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S1_d16
00007ff81170529b (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S2_d15
00007ff811706244 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S3_d14
00007ff811887e1b (__TEXT,__text) external _BNNSCopy
00007ff8118689fc (__TEXT,__text) external _BNNSCreateNearestNeighbors
00007ff8118783a0 (__TEXT,__text) external _BNNSCreateRandomGenerator
00007ff8118783da (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
00007ff81186f9a2 (__TEXT,__text) external _BNNSCropResize
00007ff81186f9ac (__TEXT,__text) external _BNNSCropResizeBackward
00007ff81189bd42 (__TEXT,__text) external _BNNSDataLayoutGetRank
00007ff811585655 (__TEXT,__text) external _BNNSDequantize
00007ff811868c94 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
00007ff8118783e4 (__TEXT,__text) external _BNNSDestroyRandomGenerator
00007ff8118980f1 (__TEXT,__text) external _BNNSDirectApplyActivationBatch
00007ff8118981e0 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
