                 (undefined) external _XML_ErrorString (from libexpat)
                 (undefined) external _XML_GetErrorCode (from libexpat)
                 (undefined) external _XML_Parse (from libexpat)
                 (undefined) external _XML_ParserCreate (from libexpat)
                 (undefined) external _XML_ParserFree (from libexpat)
                 (undefined) external _XML_SetCharacterDataHandler (from libexpat)
                 (undefined) external _XML_SetElementHandler (from libexpat)
                 (undefined) external _XML_SetEntityDeclHandler (from libexpat)
                 (undefined) external _XML_SetUserData (from libexpat)
                 (undefined) external _XML_StopParser (from libexpat)
                 (undefined) external __DefaultRuneLocale (from libSystem)
                 (undefined) external ___assert_rtn (from libSystem)
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___maskrune (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external ___stdoutp (from libSystem)
                 (undefined) external ___strcat_chk (from libSystem)
                 (undefined) external ___strncat_chk (from libSystem)
                 (undefined) external ___tolower (from libSystem)
00007ffd1a5af5ab (__TEXT,__text) external __crypt_blowfish_rn
00007ffd1a5b18ed (__TEXT,__text) external __crypt_gensalt_blowfish_rn
00007ffd1a5af581 (__TEXT,__text) external __crypt_output_magic
                 (undefined) external _abort (from libSystem)
                 (undefined) external _apr_allocator_alloc (from libapr-1)
                 (undefined) external _apr_allocator_free (from libapr-1)
                 (undefined) external _apr_array_make (from libapr-1)
                 (undefined) external _apr_array_push (from libapr-1)
                 (undefined) external _apr_atoi64 (from libapr-1)
                 (undefined) external _apr_atomic_dec32 (from libapr-1)
                 (undefined) external _apr_atomic_inc32 (from libapr-1)
                 (undefined) external _apr_atomic_read32 (from libapr-1)
                 (undefined) external _apr_atomic_set32 (from libapr-1)
00007ffd1a5b41b3 (__TEXT,__text) external _apr_base64_decode
00007ffd1a5b41ce (__TEXT,__text) external _apr_base64_decode_binary
00007ffd1a5b4184 (__TEXT,__text) external _apr_base64_decode_len
00007ffd1a5b430f (__TEXT,__text) external _apr_base64_encode
00007ffd1a5b4319 (__TEXT,__text) external _apr_base64_encode_binary
00007ffd1a5b42e8 (__TEXT,__text) external _apr_base64_encode_len
00007ffd1a5ae50c (__TEXT,__text) external _apr_bcrypt_encode
00007ffd1a5aa7e8 (__TEXT,__text) external _apr_brigade_cleanup
00007ffd1a5aa86e (__TEXT,__text) external _apr_brigade_create
00007ffd1a5aa835 (__TEXT,__text) external _apr_brigade_destroy
00007ffd1a5aaaf7 (__TEXT,__text) external _apr_brigade_flatten
00007ffd1a5ab5e3 (__TEXT,__text) external _apr_brigade_insert_file
00007ffd1a5aaa65 (__TEXT,__text) external _apr_brigade_length
00007ffd1a5aa996 (__TEXT,__text) external _apr_brigade_partition
00007ffd1a5aaba2 (__TEXT,__text) external _apr_brigade_pflatten
00007ffd1a5ab44e (__TEXT,__text) external _apr_brigade_printf
00007ffd1a5ab35b (__TEXT,__text) external _apr_brigade_putc
00007ffd1a5ab37d (__TEXT,__text) external _apr_brigade_puts
00007ffd1a5ab3b8 (__TEXT,__text) external _apr_brigade_putstrs
00007ffd1a5aa98a (__TEXT,__text) external _apr_brigade_split
00007ffd1a5aa8c5 (__TEXT,__text) external _apr_brigade_split_ex
00007ffd1a5aac0f (__TEXT,__text) external _apr_brigade_split_line
00007ffd1a5aaed5 (__TEXT,__text) external _apr_brigade_to_iovec
00007ffd1a5ab4e0 (__TEXT,__text) external _apr_brigade_vprintf
00007ffd1a5aaf6c (__TEXT,__text) external _apr_brigade_vputstrs
00007ffd1a5aad7b (__TEXT,__text) external _apr_brigade_write
00007ffd1a5ab06c (__TEXT,__text) external _apr_brigade_writev
00007ffd1a5ab757 (__TEXT,__text) external _apr_bucket_alloc
00007ffd1a5ab654 (__TEXT,__text) external _apr_bucket_alloc_create
00007ffd1a5ab6c9 (__TEXT,__text) external _apr_bucket_alloc_create_ex
00007ffd1a5ab724 (__TEXT,__text) external _apr_bucket_alloc_destroy
00007ffd1a5ab643 (__TEXT,__text) external _apr_bucket_copy_notimpl
00007ffd1a5ab64e (__TEXT,__text) external _apr_bucket_destroy_noop
00007ffd1a5ab865 (__TEXT,__text) external _apr_bucket_eos_create
00007ffd1a5ab842 (__TEXT,__text) external _apr_bucket_eos_make
00007ffd1a5ab927 (__TEXT,__text) external _apr_bucket_file_create
00007ffd1a5ab9b3 (__TEXT,__text) external _apr_bucket_file_enable_mmap
00007ffd1a5ab8c2 (__TEXT,__text) external _apr_bucket_file_make
00007ffd1a5abcfe (__TEXT,__text) external _apr_bucket_flush_create
00007ffd1a5abcdb (__TEXT,__text) external _apr_bucket_flush_make
00007ffd1a5ab80d (__TEXT,__text) external _apr_bucket_free
00007ffd1a5abe01 (__TEXT,__text) external _apr_bucket_heap_create
00007ffd1a5abd5b (__TEXT,__text) external _apr_bucket_heap_make
00007ffd1a5ac560 (__TEXT,__text) external _apr_bucket_immortal_create
00007ffd1a5ac53c (__TEXT,__text) external _apr_bucket_immortal_make
00007ffd1a5abf23 (__TEXT,__text) external _apr_bucket_mmap_create
00007ffd1a5abea0 (__TEXT,__text) external _apr_bucket_mmap_make
00007ffd1a5ac0ad (__TEXT,__text) external _apr_bucket_pipe_create
00007ffd1a5ac08c (__TEXT,__text) external _apr_bucket_pipe_make
00007ffd1a5ac349 (__TEXT,__text) external _apr_bucket_pool_create
00007ffd1a5ac272 (__TEXT,__text) external _apr_bucket_pool_make
00007ffd1a5ab625 (__TEXT,__text) external _apr_bucket_setaside_noop
00007ffd1a5ab62d (__TEXT,__text) external _apr_bucket_setaside_notimpl
00007ffd1a5ac448 (__TEXT,__text) external _apr_bucket_shared_copy
00007ffd1a5ac462 (__TEXT,__text) external _apr_bucket_shared_destroy
00007ffd1a5ac46f (__TEXT,__text) external _apr_bucket_shared_make
00007ffd1a5ac42c (__TEXT,__text) external _apr_bucket_shared_split
00007ffd1a5ac48a (__TEXT,__text) external _apr_bucket_simple_copy
00007ffd1a5ac4d1 (__TEXT,__text) external _apr_bucket_simple_split
00007ffd1a5ac6a4 (__TEXT,__text) external _apr_bucket_socket_create
00007ffd1a5ac683 (__TEXT,__text) external _apr_bucket_socket_make
00007ffd1a5ab638 (__TEXT,__text) external _apr_bucket_split_notimpl
00007ffd1a5ac5e0 (__TEXT,__text) external _apr_bucket_transient_create
00007ffd1a5ac5bc (__TEXT,__text) external _apr_bucket_transient_make
00007ffd424cc380 (__DATA_CONST,__const) external _apr_bucket_type_eos
00007ffd424cc3b8 (__DATA_CONST,__const) external _apr_bucket_type_file
00007ffd424cc3f0 (__DATA_CONST,__const) external _apr_bucket_type_flush
00007ffd424cc428 (__DATA_CONST,__const) external _apr_bucket_type_heap
00007ffd424cc508 (__DATA_CONST,__const) external _apr_bucket_type_immortal
00007ffd424cc460 (__DATA_CONST,__const) external _apr_bucket_type_mmap
00007ffd424cc498 (__DATA_CONST,__const) external _apr_bucket_type_pipe
00007ffd424cc4d0 (__DATA_CONST,__const) external _apr_bucket_type_pool
00007ffd424cc578 (__DATA_CONST,__const) external _apr_bucket_type_socket
00007ffd424cc540 (__DATA_CONST,__const) external _apr_bucket_type_transient
                 (undefined) external _apr_cpystrn (from libapr-1)
00007ffd44604698 (__DATA,__common) external _apr_current_hooking_module
00007ffd1a5b7798 (__TEXT,__text) external _apr_date_checkmask
00007ffd1a5b789c (__TEXT,__text) external _apr_date_parse_http
00007ffd1a5b7c48 (__TEXT,__text) external _apr_date_parse_rfc
00007ffd1a5b22a8 (__TEXT,__text) external _apr_dbd_check_conn
00007ffd1a5b22c9 (__TEXT,__text) external _apr_dbd_close
00007ffd1a5b2b93 (__TEXT,__text) external _apr_dbd_datum_get
00007ffd1a5b22b9 (__TEXT,__text) external _apr_dbd_error
00007ffd1a5b242c (__TEXT,__text) external _apr_dbd_escape
00007ffd1a5b220a (__TEXT,__text) external _apr_dbd_get_driver
00007ffd1a5b2409 (__TEXT,__text) external _apr_dbd_get_entry
00007ffd1a5b2419 (__TEXT,__text) external _apr_dbd_get_name
00007ffd1a5b23f2 (__TEXT,__text) external _apr_dbd_get_row
00007ffd1a5b20fa (__TEXT,__text) external _apr_dbd_init
00007ffd1a5b20d8 (__TEXT,__text) external _apr_dbd_mutex_lock
00007ffd1a5b20e9 (__TEXT,__text) external _apr_dbd_mutex_unlock
00007ffd1a5b237d (__TEXT,__text) external _apr_dbd_name
00007ffd1a5b2386 (__TEXT,__text) external _apr_dbd_native_handle
00007ffd1a5b23d6 (__TEXT,__text) external _apr_dbd_num_cols
00007ffd1a5b23e4 (__TEXT,__text) external _apr_dbd_num_tuples
00007ffd1a5b22d7 (__TEXT,__text) external _apr_dbd_open
00007ffd1a5b223d (__TEXT,__text) external _apr_dbd_open_ex
00007ffd1a5b2a0e (__TEXT,__text) external _apr_dbd_pbquery
00007ffd1a5b2a2b (__TEXT,__text) external _apr_dbd_pbselect
00007ffd1a5b2884 (__TEXT,__text) external _apr_dbd_pquery
00007ffd1a5b2443 (__TEXT,__text) external _apr_dbd_prepare
00007ffd1a5b28a6 (__TEXT,__text) external _apr_dbd_pselect
00007ffd1a5b2a50 (__TEXT,__text) external _apr_dbd_pvbquery
00007ffd1a5b2af2 (__TEXT,__text) external _apr_dbd_pvbselect
00007ffd1a5b28cb (__TEXT,__text) external _apr_dbd_pvquery
00007ffd1a5b296d (__TEXT,__text) external _apr_dbd_pvselect
00007ffd1a5b23a8 (__TEXT,__text) external _apr_dbd_query
00007ffd1a5b23bc (__TEXT,__text) external _apr_dbd_select
00007ffd1a5b2394 (__TEXT,__text) external _apr_dbd_set_dbname
00007ffd424cc760 (__DATA_CONST,__const) external _apr_dbd_sqlite3_driver
00007ffd1a5b2330 (__TEXT,__text) external _apr_dbd_transaction_end
00007ffd1a5b2359 (__TEXT,__text) external _apr_dbd_transaction_mode_get
00007ffd1a5b236a (__TEXT,__text) external _apr_dbd_transaction_mode_set
00007ffd1a5b22e4 (__TEXT,__text) external _apr_dbd_transaction_start
00007ffd1a5b2cf3 (__TEXT,__text) external _apr_dbm_close
00007ffd1a5b2d1d (__TEXT,__text) external _apr_dbm_delete
00007ffd1a5b2d2c (__TEXT,__text) external _apr_dbm_exists
00007ffd1a5b2cff (__TEXT,__text) external _apr_dbm_fetch
00007ffd1a5b2d3b (__TEXT,__text) external _apr_dbm_firstkey
00007ffd1a5b2d59 (__TEXT,__text) external _apr_dbm_freedatum
00007ffd1a5b2ded (__TEXT,__text) external _apr_dbm_get_usednames
00007ffd1a5b2d9e (__TEXT,__text) external _apr_dbm_get_usednames_ex
00007ffd1a5b2d68 (__TEXT,__text) external _apr_dbm_geterror
00007ffd1a5b2d4a (__TEXT,__text) external _apr_dbm_nextkey
00007ffd1a5b2c85 (__TEXT,__text) external _apr_dbm_open
00007ffd1a5b2bab (__TEXT,__text) external _apr_dbm_open_ex
00007ffd1a5b2d0e (__TEXT,__text) external _apr_dbm_store
00007ffd424cc5b0 (__DATA_CONST,__const) external _apr_dbm_type_sdbm
00007ffd44604690 (__DATA,__common) external _apr_debug_module_hooks
00007ffd1a5b4bf0 (__TEXT,__text) external _apr_dynamic_fn_register
00007ffd1a5b4bbc (__TEXT,__text) external _apr_dynamic_fn_retrieve
                 (undefined) external _apr_file_close (from libapr-1)
                 (undefined) external _apr_file_flags_get (from libapr-1)
                 (undefined) external _apr_file_info_get$INODE64 (from libapr-1)
                 (undefined) external _apr_file_lock (from libapr-1)
                 (undefined) external _apr_file_name_get (from libapr-1)
                 (undefined) external _apr_file_open (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_get (from libapr-1)
                 (undefined) external _apr_file_pipe_timeout_set (from libapr-1)
                 (undefined) external _apr_file_pool_get (from libapr-1)
