                 (undefined) external _OSSpinLockLock (from libsystem_platform)
                 (undefined) external _OSSpinLockUnlock (from libsystem_platform)
                 (undefined) external __Unwind_GetIP (from libunwind)
                 (undefined) external __Unwind_GetLanguageSpecificData (from libunwind)
                 (undefined) external __Unwind_GetRegionStart (from libunwind)
                 (undefined) external __Unwind_SetGR (from libunwind)
                 (undefined) external __Unwind_SetIP (from libunwind)
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff80b0f301a (__TEXT,__text) external ___absvdi2
00007ff80b0f304d (__TEXT,__text) external ___absvsi2
00007ff80b0f3076 (__TEXT,__text) external ___absvti2
00007ff80b0f30b6 (__TEXT,__text) external ___addvdi3
00007ff80b0f30fc (__TEXT,__text) external ___addvsi3
00007ff80b0f313e (__TEXT,__text) external ___addvti3
00007ff80b0f319b (__TEXT,__text) external ___ashldi3
00007ff80b0f31c7 (__TEXT,__text) external ___ashlti3
00007ff80b0f31ef (__TEXT,__text) external ___ashrdi3
00007ff80b0f3220 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff80b0f34c8 (__TEXT,__text) external ___atomic_compare_exchange
00007ff80b0f3a20 (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff80b0f3a6c (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff80b0f3ab8 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff80b0f3b04 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff80b0f370c (__TEXT,__text) external ___atomic_exchange
00007ff80b0f3952 (__TEXT,__text) external ___atomic_exchange_1
00007ff80b0f3988 (__TEXT,__text) external ___atomic_exchange_2
00007ff80b0f39bc (__TEXT,__text) external ___atomic_exchange_4
00007ff80b0f39ec (__TEXT,__text) external ___atomic_exchange_8
00007ff80b0f3b50 (__TEXT,__text) external ___atomic_fetch_add_1
00007ff80b0f3b88 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff80b0f3bbc (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80b0f3bf0 (__TEXT,__text) external ___atomic_fetch_add_8
00007ff80b0f3d00 (__TEXT,__text) external ___atomic_fetch_and_1
00007ff80b0f3d78 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff80b0f3df8 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff80b0f3e68 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff80b0f3eec (__TEXT,__text) external ___atomic_fetch_or_1
00007ff80b0f3f64 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff80b0f3fe4 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff80b0f4054 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff80b0f3c24 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff80b0f3c5c (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff80b0f3c94 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff80b0f3cc8 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff80b0f40d8 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff80b0f4150 (__TEXT,__text) external ___atomic_fetch_xor_2
