00000001ab547214 (__TEXT,__text) non-external +[AMFI isAvailable]
00000001ab547238 (__TEXT,__text) non-external +[AMFI preflightBinary:withPlatform:error:]
00000001ab539694 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:]
00000001ab5490cc (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.1
00000001ab549180 (__TEXT,__text) non-external +[AppWrapper checkAppWrapperWithURL:withProcessURL:].cold.2
00000001ab53952c (__TEXT,__text) non-external +[AppWrapper isAppWrapper:]
00000001ab539870 (__TEXT,__text) non-external +[AppWrapper wrappedAppURL:]
00000001ab5476e8 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:]
00000001ab54ab8c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.1
00000001ab54ac1c (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperPolicyResult:forDeviceID:installProfile:checkResources:withProgressCallback:].cold.2
00000001ab5479b0 (__TEXT,__text) non-external +[AppWrapperPolicy appWrapperProfileIsTrusted:]
00000001ab546c80 (__TEXT,__text) non-external +[GKScanResult supportsSecureCoding]
00000001ab54096c (__TEXT,__text) non-external +[MIS currentDeviceID]
00000001ab549c20 (__TEXT,__text) non-external +[MIS currentDeviceID].cold.1
00000001ab5409f4 (__TEXT,__text) non-external +[MIS findProvisioningProfile:]
00000001ab540f14 (__TEXT,__text) non-external +[MIS installProvisioningProfile:]
00000001ab549de0 (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.1
00000001ab549c9c (__TEXT,__text) non-external +[MIS installProvisioningProfile:].cold.2
00000001ab54094c (__TEXT,__text) non-external +[MIS isAvailable]
00000001ab540e28 (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:]
00000001ab549dac (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.1
00000001ab549c9c (__TEXT,__text) non-external +[MIS isProvisioningProfileTrusted:].cold.2
00000001ab540d74 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:]
00000001ab549d78 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:].cold.1
00000001ab540b80 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:]
00000001ab549c34 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.1
00000001ab549c9c (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.2
00000001ab549cd0 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.3
00000001ab549d04 (__TEXT,__text) non-external +[MIS isProvisioningProfileValid:forDevice:].cold.4
00000001ab541124 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:]
00000001ab549f3c (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.1
00000001ab549fc8 (__TEXT,__text) non-external +[MIS isValidApplication:checkResources:withSignerCategory:withModified:withProgressCallback:].cold.2
00000001ab54100c (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:]
00000001ab549e48 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.1
00000001ab549eb0 (__TEXT,__text) non-external +[MIS uninstallProvisioningProfile:].cold.2
00000001ab546098 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:]
00000001ab54a8a0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.1
00000001ab54a8a0 (__TEXT,__text) non-external +[NSData(Strings) dataFromHexString:].cold.2
00000001ab53b168 (__TEXT,__text) non-external +[SPExecutionHistoryItem executionHistoryItemWithExecPath:mmapPath:signingID:teamID:cdHash:responsiblePath:developerName:lasSeen:]
00000001ab53b2a8 (__TEXT,__text) non-external +[SPExecutionHistoryItem supportsSecureCoding]
00000001ab539ab4 (__TEXT,__text) non-external +[SPExecutionPolicyItem supportsSecureCoding]
00000001ab534b10 (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:]
00000001ab547fdc (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.1
00000001ab54807c (__TEXT,__text) non-external +[SPFilePolicy dragIsAllowedToTarget:fromAliasOrSymlink:withError:].cold.2
00000001ab534874 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths]
00000001ab547fc8 (__TEXT,__text) non-external +[SPFilePolicy getAllowedPaths].cold.1
00000001ab540524 (__TEXT,__text) non-external +[SPKernelExtensionHistoryItem supportsSecureCoding]
00000001ab53b938 (__TEXT,__text) non-external +[SPKernelExtensionPolicy findBundledKernelExtensions:]
00000001ab5331e0 (__TEXT,__text) non-external +[SPKernelExtensionPolicyItem supportsSecureCoding]
00000001ab53abb0 (__TEXT,__text) non-external +[SPLog exec]
00000001ab5495e0 (__TEXT,__text) non-external +[SPLog exec].cold.1
00000001ab53af4c (__TEXT,__text) non-external +[SPLog generateSignpostID]
00000001ab53aa98 (__TEXT,__text) non-external +[SPLog generic]
00000001ab5495b8 (__TEXT,__text) non-external +[SPLog generic].cold.1
00000001ab53ab24 (__TEXT,__text) non-external +[SPLog kext]
00000001ab5495cc (__TEXT,__text) non-external +[SPLog kext].cold.1
00000001ab53ac3c (__TEXT,__text) non-external +[SPLog measurements]
00000001ab5495f4 (__TEXT,__text) non-external +[SPLog measurements].cold.1
00000001ab53ad54 (__TEXT,__text) non-external +[SPLog sampling]
00000001ab54961c (__TEXT,__text) non-external +[SPLog sampling].cold.1
00000001ab53af40 (__TEXT,__text) non-external +[SPLog setVerboseLogging:]
00000001ab53acc8 (__TEXT,__text) non-external +[SPLog signposts]
00000001ab549608 (__TEXT,__text) non-external +[SPLog signposts].cold.1
00000001ab53ade0 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled]
00000001ab549630 (__TEXT,__text) non-external +[SPLog verboseLoggingEnabled].cold.1
00000001ab543338 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:]
00000001ab54a494 (__TEXT,__text) non-external +[SPMigration createGatekeeperMigrationData:].cold.1
00000001ab542df8 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:]
00000001ab54a3cc (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.1
00000001ab54a430 (__TEXT,__text) non-external +[SPMigration createKernelExtensionMigrationData:].cold.2
00000001ab5422f8 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:]
00000001ab54a310 (__TEXT,__text) non-external +[SPMigration createMigrationPolicy:forTarget:].cold.1
00000001ab54214c (__TEXT,__text) non-external +[SPMigration gatekeeperMigrationDataPath:]
00000001ab542138 (__TEXT,__text) non-external +[SPMigration kernelExtensionMigrationDataPath:]
00000001ab5426f0 (__TEXT,__text) non-external +[SPMigration readKernelExtensionMigrationPolicy:]
00000001ab5422b0 (__TEXT,__text) non-external +[SPMigration volumeRequiresGatekeeperMigration:]
00000001ab542160 (__TEXT,__text) non-external +[SPMigration volumeRequiresKernelExtensionMigration:]
00000001ab5458a4 (__TEXT,__text) non-external +[SPProvenanceMetadata supportsSecureCoding]
00000001ab532c14 (__TEXT,__text) non-external +[SPSamplingTasking supportsSecureCoding]
00000001ab5343c8 (__TEXT,__text) non-external -[AKELData .cxx_destruct]
00000001ab5342f0 (__TEXT,__text) non-external -[AKELData findLegacyKextBundleID:]
00000001ab5341a4 (__TEXT,__text) non-external -[AKELData initWithURL:]
00000001ab53402c (__TEXT,__text) non-external -[AKELData init]
00000001ab53438c (__TEXT,__text) non-external -[AKELData isKextAllowedWithoutSecureTimestamp:]
00000001ab5342b4 (__TEXT,__text) non-external -[AKELData isLegacyKextAllowed:]
00000001ab533e08 (__TEXT,__text) non-external -[AKELData loadFromBundleData:]
00000001ab5342ac (__TEXT,__text) non-external -[AKELData reloadIfNecessary]
00000001ab5476cc (__TEXT,__text) non-external -[AppWrapperPolicyResult description]
00000001ab547620 (__TEXT,__text) non-external -[AppWrapperPolicyResult initWithValid:withSignerCategory:withModified:]
00000001ab5476e0 (__TEXT,__text) non-external -[AppWrapperPolicyResult isModified]
00000001ab5476d0 (__TEXT,__text) non-external -[AppWrapperPolicyResult isValid]
00000001ab547684 (__TEXT,__text) non-external -[AppWrapperPolicyResult redactedDescription]
00000001ab5476d8 (__TEXT,__text) non-external -[AppWrapperPolicyResult signerCategory]
00000001ab5394c4 (__TEXT,__text) non-external -[BundleData .cxx_destruct]
00000001ab538c5c (__TEXT,__text) non-external -[BundleData dealloc]
00000001ab548ed4 (__TEXT,__text) non-external -[BundleData dealloc].cold.1
00000001ab539130 (__TEXT,__text) non-external -[BundleData doReload]
00000001ab539498 (__TEXT,__text) non-external -[BundleData forceReload]
00000001ab538cf8 (__TEXT,__text) non-external -[BundleData initWithURL:withReloadBlock:watchForUpdates:]
00000001ab538c40 (__TEXT,__text) non-external -[BundleData init]
00000001ab5394a4 (__TEXT,__text) non-external -[BundleData isSigned]
00000001ab53918c (__TEXT,__text) non-external -[BundleData loadInternalData:]
00000001ab53942c (__TEXT,__text) non-external -[BundleData reloadIfNecessary]
00000001ab538e50 (__TEXT,__text) non-external -[BundleData setupFSStream]
00000001ab548f50 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.1
00000001ab548f94 (__TEXT,__text) non-external -[BundleData setupFSStream].cold.2
00000001ab5394bc (__TEXT,__text) non-external -[BundleData timestamp]
00000001ab53949c (__TEXT,__text) non-external -[BundleData url]
00000001ab5394b4 (__TEXT,__text) non-external -[BundleData versionNumber]
00000001ab5394ac (__TEXT,__text) non-external -[BundleData version]
00000001ab546de8 (__TEXT,__text) non-external -[GKScanResult .cxx_destruct]
00000001ab546dc4 (__TEXT,__text) non-external -[GKScanResult allowed]
00000001ab546d38 (__TEXT,__text) non-external -[GKScanResult encodeWithCoder:]
00000001ab546dd4 (__TEXT,__text) non-external -[GKScanResult gkError]
00000001ab546c88 (__TEXT,__text) non-external -[GKScanResult initWithCoder:]
00000001ab546dcc (__TEXT,__text) non-external -[GKScanResult setAllowed:]
00000001ab546ddc (__TEXT,__text) non-external -[GKScanResult setGkError:]
00000001ab546248 (__TEXT,__text) non-external -[NSData(Strings) hexString]
00000001ab534fb0 (__TEXT,__text) non-external -[PolicyCacheMeta .cxx_destruct]
00000001ab534f78 (__TEXT,__text) non-external -[PolicyCacheMeta forEntry]
00000001ab534f64 (__TEXT,__text) non-external -[PolicyCacheMeta lastMiss]
00000001ab534f3c (__TEXT,__text) non-external -[PolicyCacheMeta metaId]
00000001ab534f50 (__TEXT,__text) non-external -[PolicyCacheMeta missCount]
00000001ab534f9c (__TEXT,__text) non-external -[PolicyCacheMeta resolvedEntry]
00000001ab534f80 (__TEXT,__text) non-external -[PolicyCacheMeta setForEntry:]
00000001ab534f6c (__TEXT,__text) non-external -[PolicyCacheMeta setLastMiss:]
00000001ab534f44 (__TEXT,__text) non-external -[PolicyCacheMeta setMetaId:]
00000001ab534f58 (__TEXT,__text) non-external -[PolicyCacheMeta setMissCount:]
00000001ab534fa4 (__TEXT,__text) non-external -[PolicyCacheMeta setResolvedEntry:]
00000001ab534f94 (__TEXT,__text) non-external -[PolicyCacheMeta setSourceTable:]
00000001ab534f8c (__TEXT,__text) non-external -[PolicyCacheMeta sourceTable]
00000001ab545764 (__TEXT,__text) non-external -[PolicyScanTarget .cxx_destruct]
00000001ab5452f0 (__TEXT,__text) non-external -[PolicyScanTarget backingStore]
00000001ab54566c (__TEXT,__text) non-external -[PolicyScanTarget blockDevice]
00000001ab544664 (__TEXT,__text) non-external -[PolicyScanTarget bundleID]
00000001ab544720 (__TEXT,__text) non-external -[PolicyScanTarget bundleVersion]
00000001ab544aa4 (__TEXT,__text) non-external -[PolicyScanTarget cdhashData]
00000001ab544b40 (__TEXT,__text) non-external -[PolicyScanTarget cdhashDigestAlgorithm]
00000001ab5449e0 (__TEXT,__text) non-external -[PolicyScanTarget cdhash]
00000001ab545694 (__TEXT,__text) non-external -[PolicyScanTarget checkValidity]
00000001ab544d5c (__TEXT,__text) non-external -[PolicyScanTarget createdTime]
00000001ab5454d4 (__TEXT,__text) non-external -[PolicyScanTarget csflags]
00000001ab54a824 (__TEXT,__text) non-external -[PolicyScanTarget csflags].cold.1
00000001ab543ed0 (__TEXT,__text) non-external -[PolicyScanTarget dealloc]
00000001ab544fe8 (__TEXT,__text) non-external -[PolicyScanTarget description]
00000001ab544954 (__TEXT,__text) non-external -[PolicyScanTarget entitlements]
00000001ab54567c (__TEXT,__text) non-external -[PolicyScanTarget fsTypeName]
00000001ab54527c (__TEXT,__text) non-external -[PolicyScanTarget hasPowerfulEntitlements]
00000001ab54520c (__TEXT,__text) non-external -[PolicyScanTarget hasResourceDirectorySlot]
00000001ab544838 (__TEXT,__text) non-external -[PolicyScanTarget infoPlist]
00000001ab543f34 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:]
00000001ab54a4f8 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.1
00000001ab54a58c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.2
00000001ab54a614 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.3
00000001ab54a658 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.4
00000001ab54a69c (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.5
00000001ab54a724 (__TEXT,__text) non-external -[PolicyScanTarget initWithURL:].cold.6
00000001ab543eb4 (__TEXT,__text) non-external -[PolicyScanTarget init]
00000001ab5456a4 (__TEXT,__text) non-external -[PolicyScanTarget isAppWrapper]
00000001ab545560 (__TEXT,__text) non-external -[PolicyScanTarget isBackingDMGNotarized]
00000001ab5456ac (__TEXT,__text) non-external -[PolicyScanTarget isBadAppWrapper]
00000001ab5456e4 (__TEXT,__text) non-external -[PolicyScanTarget isBundled]
00000001ab54572c (__TEXT,__text) non-external -[PolicyScanTarget isMovedToTrash]
00000001ab544e10 (__TEXT,__text) non-external -[PolicyScanTarget isNotarized]
00000001ab5456cc (__TEXT,__text) non-external -[PolicyScanTarget isQuarantinedMount]
00000001ab544d18 (__TEXT,__text) non-external -[PolicyScanTarget isQuarantined]
00000001ab5456d4 (__TEXT,__text) non-external -[PolicyScanTarget isScript]
00000001ab544dcc (__TEXT,__text) non-external -[PolicyScanTarget isUserApproved]
00000001ab5445c8 (__TEXT,__text) non-external -[PolicyScanTarget mainExecutableURL]
00000001ab54568c (__TEXT,__text) non-external -[PolicyScanTarget modTime]
00000001ab545724 (__TEXT,__text) non-external -[PolicyScanTarget mountTime]
00000001ab545674 (__TEXT,__text) non-external -[PolicyScanTarget objectID]
00000001ab545654 (__TEXT,__text) non-external -[PolicyScanTarget originalURL]
00000001ab545664 (__TEXT,__text) non-external -[PolicyScanTarget pathOnVolume]
00000001ab54570c (__TEXT,__text) non-external -[PolicyScanTarget pid]
00000001ab544ef4 (__TEXT,__text) non-external -[PolicyScanTarget redactedDescription]
00000001ab545080 (__TEXT,__text) non-external -[PolicyScanTarget reloadSigningInfo]
