000000020d282b4c (__TEXT,__text) non-external _Done_iODBC
000000020d2a19f0 (__TEXT,__const) non-external _FunctionNumbers
000000020d2a0858 (__TEXT,__text) non-external _GetPrivateProfileString
000000020d2829c8 (__TEXT,__text) non-external _Init_iODBC
000000021bbdbb2c (__DATA,__common) non-external _ODBCSharedTraceFlag
000000020d2810c8 (__TEXT,__text) external _SQLAllocConnect
000000020d280fd8 (__TEXT,__text) non-external _SQLAllocConnect_Internal
000000020d282938 (__TEXT,__text) external _SQLAllocEnv
000000020d282794 (__TEXT,__text) non-external _SQLAllocEnv_Internal
000000020d28c8e4 (__TEXT,__text) external _SQLAllocHandle
000000020d28c9fc (__TEXT,__text) non-external _SQLAllocHandleStd
000000020d28c644 (__TEXT,__text) non-external _SQLAllocHandle_Internal
000000020d2855b8 (__TEXT,__text) external _SQLAllocStmt
000000020d285104 (__TEXT,__text) non-external _SQLAllocStmt_Internal
000000020d28a5ac (__TEXT,__text) external _SQLBindCol
000000020d2925c8 (__TEXT,__text) external _SQLBindParam
000000020d289a54 (__TEXT,__text) external _SQLBindParameter
000000020d27dd90 (__TEXT,__text) external _SQLBrowseConnect
000000020d27ded8 (__TEXT,__text) external _SQLBrowseConnectA
000000020d27e020 (__TEXT,__text) external _SQLBrowseConnectW
000000020d27d86c (__TEXT,__text) non-external _SQLBrowseConnect_Internal
000000020d2920dc (__TEXT,__text) external _SQLBulkOperations
000000020d2864e8 (__TEXT,__text) external _SQLCancel
000000020d29260c (__TEXT,__text) external _SQLCloseCursor
000000020d291b20 (__TEXT,__text) external _SQLColAttribute
000000020d291cc8 (__TEXT,__text) external _SQLColAttributeA
000000020d291e70 (__TEXT,__text) external _SQLColAttributeW
000000020d291458 (__TEXT,__text) non-external _SQLColAttribute_Internal
000000020d28c14c (__TEXT,__text) external _SQLColAttributes
000000020d28c2f4 (__TEXT,__text) external _SQLColAttributesA
000000020d28c49c (__TEXT,__text) external _SQLColAttributesW
000000020d28bcb0 (__TEXT,__text) non-external _SQLColAttributes_Internal
000000020d276ce8 (__TEXT,__text) external _SQLColumnPrivileges
000000020d276ecc (__TEXT,__text) external _SQLColumnPrivilegesA
000000020d2770b0 (__TEXT,__text) external _SQLColumnPrivilegesW
000000020d276a54 (__TEXT,__text) non-external _SQLColumnPrivileges_Internal
000000020d277528 (__TEXT,__text) external _SQLColumns
000000020d27770c (__TEXT,__text) external _SQLColumnsA
000000020d2778f0 (__TEXT,__text) external _SQLColumnsW
000000020d277294 (__TEXT,__text) non-external _SQLColumns_Internal
000000020d27b1bc (__TEXT,__text) external _SQLConnect
000000020d27b948 (__TEXT,__text) external _SQLConnectA
000000020d27baa8 (__TEXT,__text) external _SQLConnectW
000000020d27b31c (__TEXT,__text) non-external _SQLConnect_Internal
000000020d2a147c (__TEXT,__text) non-external _SQLConnect_Internal.cold.1
000000020d2912dc (__TEXT,__text) external _SQLCopyDesc
000000020d287008 (__TEXT,__text) external _SQLDataSources
000000020d287150 (__TEXT,__text) external _SQLDataSourcesA
000000020d287298 (__TEXT,__text) external _SQLDataSourcesW
000000020d286bac (__TEXT,__text) non-external _SQLDataSources_Internal
000000021bbdbab0 (__DATA,__data) non-external _SQLDataSources_Internal.cur_entry
000000021bbdbad0 (__DATA,__bss) non-external _SQLDataSources_Internal.num_entries
000000021bbdbad8 (__DATA,__bss) non-external _SQLDataSources_Internal.sect
000000020d28b6d4 (__TEXT,__text) external _SQLDescribeCol
000000020d28b8c8 (__TEXT,__text) external _SQLDescribeColA
000000020d28babc (__TEXT,__text) external _SQLDescribeColW
000000020d28b420 (__TEXT,__text) non-external _SQLDescribeCol_Internal
000000020d27fe88 (__TEXT,__text) external _SQLDescribeParam
000000020d27e168 (__TEXT,__text) external _SQLDisconnect
000000020d27d3f8 (__TEXT,__text) external _SQLDriverConnect
000000020d27d574 (__TEXT,__text) external _SQLDriverConnectA
000000020d27d6f0 (__TEXT,__text) external _SQLDriverConnectW
000000020d27bc08 (__TEXT,__text) non-external _SQLDriverConnect_Internal
000000020d2a14a8 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.1
000000020d2a14d4 (__TEXT,__text) non-external _SQLDriverConnect_Internal.cold.2
000000020d28789c (__TEXT,__text) external _SQLDrivers
000000020d2879e4 (__TEXT,__text) external _SQLDriversA
000000020d287b2c (__TEXT,__text) external _SQLDriversW
000000020d2874b8 (__TEXT,__text) non-external _SQLDrivers_Internal
000000021bbdbab4 (__DATA,__data) non-external _SQLDrivers_Internal.cur_entry
000000021bbdbae0 (__DATA,__bss) non-external _SQLDrivers_Internal.num_entries
000000021bbdbae8 (__DATA,__bss) non-external _SQLDrivers_Internal.sect
000000020d292018 (__TEXT,__text) external _SQLEndTran
000000020d2832cc (__TEXT,__text) external _SQLError
000000020d2833f4 (__TEXT,__text) external _SQLErrorA
000000020d28351c (__TEXT,__text) external _SQLErrorW
000000020d27f390 (__TEXT,__text) external _SQLExecDirect
000000020d27f4e0 (__TEXT,__text) external _SQLExecDirectA
000000020d27f630 (__TEXT,__text) external _SQLExecDirectW
000000020d27f134 (__TEXT,__text) non-external _SQLExecDirect_Internal
000000020d27ee6c (__TEXT,__text) external _SQLExecute
000000020d280578 (__TEXT,__text) external _SQLExtendedFetch
000000020d2802c0 (__TEXT,__text) external _SQLFetch
000000020d2922c8 (__TEXT,__text) external _SQLFetchScroll
000000020d280104 (__TEXT,__text) non-external _SQLFetch_Internal
000000020d277e28 (__TEXT,__text) external _SQLForeignKeys
000000020d2780e4 (__TEXT,__text) external _SQLForeignKeysA
000000020d2783a0 (__TEXT,__text) external _SQLForeignKeysW
000000020d277ad4 (__TEXT,__text) non-external _SQLForeignKeys_Internal
000000020d28123c (__TEXT,__text) external _SQLFreeConnect
000000020d28118c (__TEXT,__text) non-external _SQLFreeConnect_Internal
000000020d282aa0 (__TEXT,__text) external _SQLFreeEnv
000000020d282a14 (__TEXT,__text) non-external _SQLFreeEnv_Internal
