00007ff840089ec8 (__DATA,__bss) non-external _GlobalMajor
00007ff840089ecc (__DATA,__bss) non-external _GlobalMinor
00007ff840089ed0 (__DATA,__bss) non-external _GlobalSubminor
00007ff840089ec0 (__DATA,__bss) non-external _OSOnceCounter
                 (undefined) external ____chkstk_darwin (from libsystem_pthread)
00007ff800905aee (__TEXT,__text) external ___absvdi2
00007ff800905b21 (__TEXT,__text) external ___absvsi2
00007ff800905b4a (__TEXT,__text) external ___absvti2
00007ff800905b8a (__TEXT,__text) external ___addvdi3
00007ff800905bd0 (__TEXT,__text) external ___addvsi3
00007ff800905c12 (__TEXT,__text) external ___addvti3
00007ff800905c6f (__TEXT,__text) external ___ashldi3
00007ff800905c9b (__TEXT,__text) external ___ashlti3
00007ff800905cc3 (__TEXT,__text) external ___ashrdi3
00007ff800905cf4 (__TEXT,__text) external ___ashrti3
                 (undefined) external ___assert_rtn (from libsystem_c)
00007ff800905f8c (__TEXT,__text) external ___atomic_compare_exchange
00007ff8009064cc (__TEXT,__text) external ___atomic_compare_exchange_1
00007ff800906518 (__TEXT,__text) external ___atomic_compare_exchange_2
00007ff800906564 (__TEXT,__text) external ___atomic_compare_exchange_4
00007ff8009065b0 (__TEXT,__text) external ___atomic_compare_exchange_8
00007ff8009061cc (__TEXT,__text) external ___atomic_exchange
00007ff8009063fe (__TEXT,__text) external ___atomic_exchange_1
00007ff800906434 (__TEXT,__text) external ___atomic_exchange_2
00007ff800906468 (__TEXT,__text) external ___atomic_exchange_4
00007ff800906498 (__TEXT,__text) external ___atomic_exchange_8
00007ff8009065fc (__TEXT,__text) external ___atomic_fetch_add_1
00007ff800906634 (__TEXT,__text) external ___atomic_fetch_add_2
00007ff800906668 (__TEXT,__text) external ___atomic_fetch_add_4
00007ff80090669c (__TEXT,__text) external ___atomic_fetch_add_8
00007ff8009067ac (__TEXT,__text) external ___atomic_fetch_and_1
00007ff800906824 (__TEXT,__text) external ___atomic_fetch_and_2
00007ff8009068a4 (__TEXT,__text) external ___atomic_fetch_and_4
00007ff800906914 (__TEXT,__text) external ___atomic_fetch_and_8
00007ff800906998 (__TEXT,__text) external ___atomic_fetch_or_1
00007ff800906a10 (__TEXT,__text) external ___atomic_fetch_or_2
00007ff800906a90 (__TEXT,__text) external ___atomic_fetch_or_4
00007ff800906b00 (__TEXT,__text) external ___atomic_fetch_or_8
00007ff8009066d0 (__TEXT,__text) external ___atomic_fetch_sub_1
00007ff800906708 (__TEXT,__text) external ___atomic_fetch_sub_2
00007ff800906740 (__TEXT,__text) external ___atomic_fetch_sub_4
00007ff800906774 (__TEXT,__text) external ___atomic_fetch_sub_8
00007ff800906b84 (__TEXT,__text) external ___atomic_fetch_xor_1
00007ff800906bfc (__TEXT,__text) external ___atomic_fetch_xor_2
00007ff800906c7c (__TEXT,__text) external ___atomic_fetch_xor_4
00007ff800906cec (__TEXT,__text) external ___atomic_fetch_xor_8
00007ff800905d24 (__TEXT,__text) external ___atomic_is_lock_free
00007ff800905d78 (__TEXT,__text) external ___atomic_load
00007ff800906378 (__TEXT,__text) external ___atomic_load_1
00007ff800906389 (__TEXT,__text) external ___atomic_load_2
00007ff80090639b (__TEXT,__text) external ___atomic_load_4
00007ff8009063a9 (__TEXT,__text) external ___atomic_load_8
00007ff800905e74 (__TEXT,__text) external ___atomic_store
00007ff8009063b8 (__TEXT,__text) external ___atomic_store_1
00007ff8009063ca (__TEXT,__text) external ___atomic_store_2
00007ff8009063dc (__TEXT,__text) external ___atomic_store_4
00007ff8009063ec (__TEXT,__text) external ___atomic_store_8
                 (indirect) external ___chkstk_darwin (for ____chkstk_darwin)
00007ff800906e20 (__TEXT,__text) external ___clzdi2
00007ff800906e3b (__TEXT,__text) external ___clzsi2
00007ff800906eab (__TEXT,__text) external ___clzti2
00007ff800906ec4 (__TEXT,__text) external ___cmpdi2
00007ff800906ef0 (__TEXT,__text) external ___cmpti2
00007ff800908e50 (__TEXT,__text) non-external (was a private external) ___compilerrt_abort_impl
00007ff800906f11 (__TEXT,__text) external ___ctzdi2
00007ff800906f2b (__TEXT,__text) external ___ctzsi2
00007ff800906f8f (__TEXT,__text) external ___ctzti2
00007ff800906fa5 (__TEXT,__text) external ___divdc3
00007ff800907630 (__TEXT,__text) external ___divdi3
00007ff80090766b (__TEXT,__text) external ___divsc3
00007ff800907c32 (__TEXT,__text) external ___divti3
00007ff800907c82 (__TEXT,__text) external ___divxc3
00007ff800907fcf (__TEXT,__text) external ___extendhfsf2
00007ff80090803d (__TEXT,__text) external ___ffsdi2
00007ff800908059 (__TEXT,__text) external ___ffsti2
00007ff800908075 (__TEXT,__text) external ___fixdfdi
00007ff800908096 (__TEXT,__text) external ___fixdfti
00007ff80090814b (__TEXT,__text) external ___fixsfdi
00007ff800908169 (__TEXT,__text) external ___fixsfti
00007ff800908216 (__TEXT,__text) external ___fixunsdfdi
00007ff800908259 (__TEXT,__text) external ___fixunsdfsi
00007ff8009082a5 (__TEXT,__text) external ___fixunsdfti
00007ff800908325 (__TEXT,__text) external ___fixunssfdi
00007ff80090836a (__TEXT,__text) external ___fixunssfsi
00007ff8009083b7 (__TEXT,__text) external ___fixunssfti
00007ff80090842f (__TEXT,__text) external ___fixunsxfdi
00007ff8009084ba (__TEXT,__text) external ___fixunsxfsi
00007ff800908541 (__TEXT,__text) external ___fixunsxfti
00007ff80090860c (__TEXT,__text) external ___fixxfdi
00007ff8009086b7 (__TEXT,__text) external ___fixxfti
00007ff8009087ab (__TEXT,__text) external ___floatdidf
00007ff8009087b1 (__TEXT,__text) external ___floatdisf
00007ff8009087b7 (__TEXT,__text) external ___floatdixf
00007ff8009087c1 (__TEXT,__text) external ___floattidf
00007ff8009088d8 (__TEXT,__text) external ___floattisf
00007ff8009089da (__TEXT,__text) external ___floattixf
00007ff800908b0c (__TEXT,__text) external ___floatundidf
00007ff800908b38 (__TEXT,__text) external ___floatundisf
00007ff800908b64 (__TEXT,__text) external ___floatundixf
00007ff800908b7a (__TEXT,__text) external ___floatuntidf
00007ff800908c82 (__TEXT,__text) external ___floatuntisf
00007ff800908d4a (__TEXT,__text) external ___floatuntixf
00007ff80090a2f1 (__TEXT,__text) external ___gnu_f2h_ieee
00007ff800908038 (__TEXT,__text) external ___gnu_h2f_ieee
00007ff8009059f0 (__TEXT,__text) external ___isPlatformVersionAtLeast
00007ff800908e68 (__TEXT,__text) external ___lshrdi3
00007ff800908e96 (__TEXT,__text) external ___lshrti3
00007ff800908ebe (__TEXT,__text) external ___moddi3
00007ff800908f16 (__TEXT,__text) external ___modti3
00007ff800908f85 (__TEXT,__text) external ___muldc3
00007ff800909138 (__TEXT,__text) external ___muldi3
00007ff8009091bd (__TEXT,__text) external ___mulodi4
00007ff80090924b (__TEXT,__text) external ___mulosi4
00007ff8009092c2 (__TEXT,__text) external ___muloti4
00007ff8009093dc (__TEXT,__text) external ___mulsc3
00007ff80090957f (__TEXT,__text) external ___multi3
00007ff8009095de (__TEXT,__text) external ___mulvdi3
00007ff8009096dd (__TEXT,__text) external ___mulvsi3
00007ff8009097b9 (__TEXT,__text) external ___mulvti3
00007ff800909940 (__TEXT,__text) external ___mulxc3
00007ff800909c9d (__TEXT,__text) external ___negdi2
00007ff800909ca4 (__TEXT,__text) external ___negti2
00007ff800909cb0 (__TEXT,__text) external ___negvdi2
00007ff800909cdf (__TEXT,__text) external ___negvsi2
00007ff800909d05 (__TEXT,__text) external ___negvti2
00007ff800909d37 (__TEXT,__text) external ___paritydi2
00007ff800909d66 (__TEXT,__text) external ___paritysi2
00007ff800909d8c (__TEXT,__text) external ___parityti2
00007ff800909dbe (__TEXT,__text) external ___popcountdi2
00007ff800909e20 (__TEXT,__text) external ___popcountsi2
00007ff800909e59 (__TEXT,__text) external ___popcountti2
00007ff800909ee7 (__TEXT,__text) external ___powidf2
00007ff800909f4b (__TEXT,__text) external ___powisf2
00007ff800909faa (__TEXT,__text) external ___powixf2
                 (undefined) external ___stack_chk_fail (from libsystem_c)
                 (undefined) external ___stack_chk_guard (from libsystem_c)
00007ff800909ffa (__TEXT,__text) external ___subvdi3
00007ff80090a042 (__TEXT,__text) external ___subvsi3
00007ff80090a085 (__TEXT,__text) external ___subvti3
00007ff80090a0d9 (__TEXT,__text) external ___truncdfhf2
00007ff80090a205 (__TEXT,__text) external ___truncsfhf2
00007ff80090a2f6 (__TEXT,__text) external ___ucmpdi2
00007ff80090a322 (__TEXT,__text) external ___ucmpti2
00007ff80090a343 (__TEXT,__text) external ___udivdi3
00007ff80090a3c3 (__TEXT,__text) external ___udivmoddi4
00007ff80090a5e5 (__TEXT,__text) external ___udivmodti4
00007ff80090a6a5 (__TEXT,__text) external ___udivti3
00007ff80090a6ad (__TEXT,__text) external ___umoddi3
00007ff80090a72d (__TEXT,__text) external ___umodti3
                 (undefined) external __os_nospin_lock_lock (from libsystem_platform)
                 (undefined) external __os_nospin_lock_unlock (from libsystem_platform)
                 (undefined) external __os_once (from libsystem_platform)
00007ff800906d70 (__TEXT,__text) external _atomic_flag_clear
00007ff800906d75 (__TEXT,__text) external _atomic_flag_clear_explicit
00007ff800906d88 (__TEXT,__text) external _atomic_flag_test_and_set
00007ff800906d90 (__TEXT,__text) external _atomic_flag_test_and_set_explicit
00007ff800906dc4 (__TEXT,__text) external _atomic_signal_fence
00007ff800906df0 (__TEXT,__text) external _atomic_thread_fence
                 (undefined) external _fmaxl (from libsystem_m)
00007ff800905a67 (__TEXT,__text) non-external _initializeAvailabilityCheck
00007ff840089ee0 (__DATA,__bss) non-external _locks
                 (undefined) external _logbl (from libsystem_m)
                 (undefined) external _memcmp (from libsystem_c)
                 (undefined) external _memcpy (from libsystem_c)
                 (undefined) external _memset (from libsystem_c)
                 (undefined) external _scalbnl (from libsystem_m)
                 (undefined) external _sscanf (from libsystem_c)
                 (undefined) external _uname (from libsystem_c)
00007ff80090b1f0 (__TEXT,__const) non-external two
00007ff80090b1c0 (__TEXT,__const) non-external twop52
00007ff80090b200 (__TEXT,__const) non-external twop64
00007ff80090b1e0 (__TEXT,__const) non-external twop84
00007ff80090b1d0 (__TEXT,__const) non-external twop84_plus_twop52
