00007ffb1f76b2cf (__TEXT,__text) external _AAAFSCGetMetadata
00007ffb1f76b658 (__TEXT,__text) external _AAAFSCSetMetadata
00007ffb1f76a674 (__TEXT,__text) external _AAAFSCStreamOpen
00007ffb1f76adb9 (__TEXT,__text) external _AAAFSCStreamOpenWithMetadata
00007ffb1f76aebf (__TEXT,__text) external _AAAFSCStreamOpenWithState
00007ffb1f6fd5df (__TEXT,__text) external _AAArchiveStreamCancel
00007ffb1f6fd5a8 (__TEXT,__text) external _AAArchiveStreamClose
00007ffb1f712327 (__TEXT,__text) external _AAArchiveStreamProcess
00007ffb1f6fd55a (__TEXT,__text) external _AAArchiveStreamReadBlob
00007ffb1f6fd540 (__TEXT,__text) external _AAArchiveStreamReadHeader
00007ffb1f6fd58e (__TEXT,__text) external _AAArchiveStreamWriteBlob
00007ffb1f6fd574 (__TEXT,__text) external _AAArchiveStreamWriteHeader
00007ffb1f6feb9a (__TEXT,__text) external _AAArchiveStreamWritePathList
00007ffb1f7028e2 (__TEXT,__text) external _AAAssetBuilderAddFilter
00007ffb1f702818 (__TEXT,__text) external _AAAssetBuilderAddVariantArchive
00007ffb1f70276c (__TEXT,__text) external _AAAssetBuilderCreate
00007ffb1f702807 (__TEXT,__text) external _AAAssetBuilderDestroy
00007ffb1f76031c (__TEXT,__text) external _AAAssetBuilderGenerate
00007ffb1f702980 (__TEXT,__text) external _AAAssetBuilderGetParameter
00007ffb1f7028ed (__TEXT,__text) external _AAAssetBuilderSetParameter
00007ffb1f702fee (__TEXT,__text) external _AAAssetExtractorCreate
00007ffb1f7035ff (__TEXT,__text) external _AAAssetExtractorDestroy
00007ffb1f704018 (__TEXT,__text) external _AAAssetExtractorSetParameterCallback
00007ffb1f703fa0 (__TEXT,__text) external _AAAssetExtractorSetParameterPtr
00007ffb1f703af0 (__TEXT,__text) external _AAAssetExtractorWrite
00007ffb1f7724f5 (__TEXT,__text) external _AAAsyncByteStreamCancel
00007ffb1f77250a (__TEXT,__text) external _AAAsyncByteStreamClose
00007ffb1f771ee4 (__TEXT,__text) external _AAAsyncByteStreamGetRange
00007ffb1f772393 (__TEXT,__text) external _AAAsyncByteStreamProcess
00007ffb1f72eb2e (__TEXT,__text) external _AAAsyncByteStreamProcessAllRanges
00007ffb1f713260 (__TEXT,__text) external _AAByteRangeAdd
00007ffb1f713164 (__TEXT,__text) external _AAByteRangeClone
00007ffb1f7130c6 (__TEXT,__text) external _AAByteRangeCreate
00007ffb1f71313e (__TEXT,__text) external _AAByteRangeDestroy
00007ffb1f71342a (__TEXT,__text) external _AAByteRangeFirst
00007ffb1f713537 (__TEXT,__text) external _AAByteRangeNext
00007ffb1f7133bf (__TEXT,__text) external _AAByteRangeOffsetAtSize
00007ffb1f71334e (__TEXT,__text) external _AAByteRangeSizeAtOffset
00007ffb1f7132dc (__TEXT,__text) external _AAByteRangeSub
00007ffb1f7696f5 (__TEXT,__text) external _AAByteStreamCancel
00007ffb1f76970a (__TEXT,__text) external _AAByteStreamClose
00007ffb1f769741 (__TEXT,__text) external _AAByteStreamCloseWithState
00007ffb1f76978a (__TEXT,__text) external _AAByteStreamFlush
00007ffb1f7696bd (__TEXT,__text) external _AAByteStreamPRead
00007ffb1f7697be (__TEXT,__text) external _AAByteStreamPReadAsync
00007ffb1f769685 (__TEXT,__text) external _AAByteStreamPWrite
00007ffb1f742fe3 (__TEXT,__text) external _AAByteStreamProcess
00007ffb1f7696a1 (__TEXT,__text) external _AAByteStreamRead
00007ffb1f7696d9 (__TEXT,__text) external _AAByteStreamSeek
00007ffb1f7697a4 (__TEXT,__text) external _AAByteStreamTruncate
00007ffb1f7695da (__TEXT,__text) external _AAByteStreamWrite
00007ffb1f72cf25 (__TEXT,__text) external _AAChunkAsyncStreamOpen
00007ffb1f72c5e3 (__TEXT,__text) external _AAChunkInputStreamOpen
00007ffb1f74010b (__TEXT,__text) external _AAChunkOutputStreamOpen
00007ffb1f76e19d (__TEXT,__text) external _AACompressionOutputStreamOpen
00007ffb1f76eb07 (__TEXT,__text) external _AACompressionOutputStreamOpenExisting
00007ffb1f7362e4 (__TEXT,__text) external _AAConvertArchiveOutputStreamOpen
00007ffb1f6fd5f4 (__TEXT,__text) external _AACustomArchiveStreamOpen
00007ffb1f6fd66f (__TEXT,__text) external _AACustomArchiveStreamSetCancelProc
00007ffb1f6fd665 (__TEXT,__text) external _AACustomArchiveStreamSetCloseProc
00007ffb1f6fd65c (__TEXT,__text) external _AACustomArchiveStreamSetData
00007ffb1f6fd697 (__TEXT,__text) external _AACustomArchiveStreamSetReadBlobProc
00007ffb1f6fd68d (__TEXT,__text) external _AACustomArchiveStreamSetReadHeaderProc
00007ffb1f6fd683 (__TEXT,__text) external _AACustomArchiveStreamSetWriteBlobProc
00007ffb1f6fd679 (__TEXT,__text) external _AACustomArchiveStreamSetWriteHeaderProc
00007ffb1f76a5d0 (__TEXT,__text) external _AACustomByteStreamOpen
00007ffb1f76a66a (__TEXT,__text) external _AACustomByteStreamSetCancelProc
00007ffb1f76a62e (__TEXT,__text) external _AACustomByteStreamSetCloseProc
00007ffb1f76a625 (__TEXT,__text) external _AACustomByteStreamSetData
00007ffb1f76a642 (__TEXT,__text) external _AACustomByteStreamSetPReadProc
00007ffb1f76a656 (__TEXT,__text) external _AACustomByteStreamSetPWriteProc
00007ffb1f76a638 (__TEXT,__text) external _AACustomByteStreamSetReadProc
00007ffb1f76a660 (__TEXT,__text) external _AACustomByteStreamSetSeekProc
00007ffb1f76a64c (__TEXT,__text) external _AACustomByteStreamSetWriteProc
00007ffb1f768b0f (__TEXT,__text) external _AADecodeArchiveInputStreamOpen
00007ffb1f769f79 (__TEXT,__text) external _AADecompressionInputStreamOpen
00007ffb1f7713b8 (__TEXT,__text) external _AADecompressionRandomAccessInputStreamOpen
00007ffb1f766cb9 (__TEXT,__text) external _AAEncodeArchiveOutputStreamOpen
00007ffb1f75ee9e (__TEXT,__text) external _AAEntryACLBlobAppendEntry
00007ffb1f75fc0a (__TEXT,__text) external _AAEntryACLBlobApplyToPath
00007ffb1f75fbf9 (__TEXT,__text) external _AAEntryACLBlobClear
00007ffb1f75faa4 (__TEXT,__text) external _AAEntryACLBlobCreate
00007ffb1f75fb66 (__TEXT,__text) external _AAEntryACLBlobCreateWithEncodedData
00007ffb1f75fbad (__TEXT,__text) external _AAEntryACLBlobCreateWithPath
00007ffb1f75fb0c (__TEXT,__text) external _AAEntryACLBlobDestroy
00007ffb1f76030f (__TEXT,__text) external _AAEntryACLBlobGetEncodedData
00007ffb1f760305 (__TEXT,__text) external _AAEntryACLBlobGetEncodedSize
00007ffb1f75fd54 (__TEXT,__text) external _AAEntryACLBlobGetEntry
00007ffb1f75fd4c (__TEXT,__text) external _AAEntryACLBlobGetEntryCount
00007ffb1f76023e (__TEXT,__text) external _AAEntryACLBlobRemoveEntry
00007ffb1f75fef7 (__TEXT,__text) external _AAEntryACLBlobSetEntry
00007ffb1f75bee8 (__TEXT,__text) external _AAEntryXATBlobAppendEntry
00007ffb1f75c6e0 (__TEXT,__text) external _AAEntryXATBlobApplyToPath
00007ffb1f75c6cf (__TEXT,__text) external _AAEntryXATBlobClear
00007ffb1f75c57a (__TEXT,__text) external _AAEntryXATBlobCreate
00007ffb1f75c63c (__TEXT,__text) external _AAEntryXATBlobCreateWithEncodedData
00007ffb1f75c683 (__TEXT,__text) external _AAEntryXATBlobCreateWithPath
00007ffb1f75c5e2 (__TEXT,__text) external _AAEntryXATBlobDestroy
00007ffb1f75cd29 (__TEXT,__text) external _AAEntryXATBlobGetEncodedData
00007ffb1f75cd1f (__TEXT,__text) external _AAEntryXATBlobGetEncodedSize
00007ffb1f75c82a (__TEXT,__text) external _AAEntryXATBlobGetEntry
00007ffb1f75c822 (__TEXT,__text) external _AAEntryXATBlobGetEntryCount
00007ffb1f75cc58 (__TEXT,__text) external _AAEntryXATBlobRemoveEntry
00007ffb1f75c95b (__TEXT,__text) external _AAEntryXATBlobSetEntry
00007ffb1f766a0d (__TEXT,__text) external _AAEntryYECBlobApplyToPath
00007ffb1f7668c9 (__TEXT,__text) external _AAEntryYECBlobCreate
00007ffb1f76696b (__TEXT,__text) external _AAEntryYECBlobCreateWithEncodedData
00007ffb1f7669b2 (__TEXT,__text) external _AAEntryYECBlobCreateWithPath
00007ffb1f766931 (__TEXT,__text) external _AAEntryYECBlobDestroy
00007ffb1f766caf (__TEXT,__text) external _AAEntryYECBlobGetEncodedData
00007ffb1f766ca6 (__TEXT,__text) external _AAEntryYECBlobGetEncodedSize
00007ffb1f7532c0 (__TEXT,__text) external _AAExtractArchiveOutputStreamOpen
00007ffb1f7508ed (__TEXT,__text) external _AAFieldKeySetClear
00007ffb1f7507be (__TEXT,__text) external _AAFieldKeySetClone
00007ffb1f7508fb (__TEXT,__text) external _AAFieldKeySetContainsKey
00007ffb1f7503f0 (__TEXT,__text) external _AAFieldKeySetCreate
00007ffb1f750458 (__TEXT,__text) external _AAFieldKeySetCreateWithString
00007ffb1f750798 (__TEXT,__text) external _AAFieldKeySetDestroy
00007ffb1f750f02 (__TEXT,__text) external _AAFieldKeySetGetKey
00007ffb1f750efa (__TEXT,__text) external _AAFieldKeySetGetKeyCount
00007ffb1f750998 (__TEXT,__text) external _AAFieldKeySetInsertKey
00007ffb1f750c22 (__TEXT,__text) external _AAFieldKeySetInsertKeySet
00007ffb1f750b63 (__TEXT,__text) external _AAFieldKeySetRemoveKey
00007ffb1f750e02 (__TEXT,__text) external _AAFieldKeySetRemoveKeySet
00007ffb1f750e96 (__TEXT,__text) external _AAFieldKeySetSelectKeySet
00007ffb1f750f11 (__TEXT,__text) external _AAFieldKeySetSerialize
00007ffb1f7697d8 (__TEXT,__text) external _AAFileStreamOpenWithFD
00007ffb1f769b2d (__TEXT,__text) external _AAFileStreamOpenWithPath
00007ffb1f77296c (__TEXT,__text) non-external (was a private external) _AAGenericRandomAccessInputStreamOpen
00007ffb1f75a049 (__TEXT,__text) external _AAHeaderAssign
00007ffb1f75a620 (__TEXT,__text) external _AAHeaderClear
00007ffb1f759f9d (__TEXT,__text) external _AAHeaderClone
00007ffb1f759eb0 (__TEXT,__text) external _AAHeaderCreate
00007ffb1f75a205 (__TEXT,__text) external _AAHeaderCreateWithEncodedData
00007ffb1f75a24c (__TEXT,__text) external _AAHeaderCreateWithPath
00007ffb1f759f57 (__TEXT,__text) external _AAHeaderDestroy
00007ffb1f75b70c (__TEXT,__text) external _AAHeaderGetEncodedData
00007ffb1f75b702 (__TEXT,__text) external _AAHeaderGetEncodedSize
00007ffb1f759da0 (__TEXT,__text) external _AAHeaderGetFieldBlob
00007ffb1f759d41 (__TEXT,__text) external _AAHeaderGetFieldCount
00007ffb1f75a80a (__TEXT,__text) external _AAHeaderGetFieldHash
00007ffb1f759e2d (__TEXT,__text) external _AAHeaderGetFieldKey
00007ffb1f75a6ff (__TEXT,__text) external _AAHeaderGetFieldString
00007ffb1f75a913 (__TEXT,__text) external _AAHeaderGetFieldTimespec
00007ffb1f759d49 (__TEXT,__text) external _AAHeaderGetFieldType
00007ffb1f75a67a (__TEXT,__text) external _AAHeaderGetFieldUInt
00007ffb1f75a645 (__TEXT,__text) external _AAHeaderGetKeyIndex
00007ffb1f75b6f8 (__TEXT,__text) external _AAHeaderGetPayloadSize
00007ffb1f75a298 (__TEXT,__text) external _AAHeaderRemoveField
00007ffb1f75b4f1 (__TEXT,__text) external _AAHeaderSetFieldBlob
00007ffb1f75aa36 (__TEXT,__text) external _AAHeaderSetFieldFlag
00007ffb1f75b0b5 (__TEXT,__text) external _AAHeaderSetFieldHash
00007ffb1f75ae7f (__TEXT,__text) external _AAHeaderSetFieldString
00007ffb1f75b301 (__TEXT,__text) external _AAHeaderSetFieldTimespec
00007ffb1f75ac81 (__TEXT,__text) external _AAHeaderSetFieldUInt
00007ffb1f769f85 (__TEXT,__text) external _AAMagicInputStreamOpen
00007ffb1f721655 (__TEXT,__text) external _AAMemoryInputStreamOpen
00007ffb1f721a08 (__TEXT,__text) external _AAMemoryOutputStreamCloseWithSize
00007ffb1f721846 (__TEXT,__text) external _AAMemoryOutputStreamOpen
00007ffb1f706381 (__TEXT,__text) external _AAPathFilterAddRule
00007ffb1f706875 (__TEXT,__text) external _AAPathFilterApply
00007ffb1f706225 (__TEXT,__text) external _AAPathFilterCreate
00007ffb1f706306 (__TEXT,__text) external _AAPathFilterDestroy
00007ffb1f750f80 (__TEXT,__text) external _AAPathListCreate
00007ffb1f751118 (__TEXT,__text) external _AAPathListCreateWithDirectoryContents
00007ffb1f7529a8 (__TEXT,__text) external _AAPathListCreateWithPath
00007ffb1f7510e9 (__TEXT,__text) external _AAPathListDestroy
00007ffb1f752e9d (__TEXT,__text) external _AAPathListGetNode
00007ffb1f752fd9 (__TEXT,__text) external _AAPathListMerge
00007ffb1f753126 (__TEXT,__text) external _AAPathListNodeFirst
00007ffb1f752d75 (__TEXT,__text) external _AAPathListNodeGetPath
00007ffb1f753142 (__TEXT,__text) external _AAPathListNodeNext
00007ffb1f717a79 (__TEXT,__text) external _AARandomAccessByteStreamProcess
00007ffb1f74b210 (__TEXT,__text) external _AARandomAccessDecodeAndExtract
00007ffb1f7298f5 (__TEXT,__text) external _AARangeInputStreamOpen
00007ffb1f71b911 (__TEXT,__text) external _AARemoveArchiveOutputStreamOpen
00007ffb1f769df8 (__TEXT,__text) external _AASharedBufferPipeOpen
00007ffb1f76a23b (__TEXT,__text) external _AATeeOutputStreamOpen
00007ffb1f769ba9 (__TEXT,__text) external _AATempFileStreamOpen
00007ffb1f769bb5 (__TEXT,__text) external _AATempFileStreamOpenWithDirectory
00007ffb1f7395e0 (__TEXT,__text) external _AATempStreamOpen
00007ffb1f7395ec (__TEXT,__text) external _AATempStreamOpenWithDirectory
00007ffb1f749dba (__TEXT,__text) external _AAThreadErrorContextEnter
00007ffb1f749dc4 (__TEXT,__text) external _AAThreadErrorContextLeave
00007ffb1f709e00 (__TEXT,__text) external _AAVerifyDirectoryArchiveOutputStreamOpen
00007ffb1f7058d9 (__TEXT,__text) external _AEAAuthDataAppendEntry
00007ffb1f705f93 (__TEXT,__text) external _AEAAuthDataClear
00007ffb1f70520e (__TEXT,__text) external _AEAAuthDataCreate
00007ffb1f7052d0 (__TEXT,__text) external _AEAAuthDataCreateWithContext
00007ffb1f705276 (__TEXT,__text) external _AEAAuthDataDestroy
00007ffb1f706075 (__TEXT,__text) external _AEAAuthDataGetEncodedData
00007ffb1f70606b (__TEXT,__text) external _AEAAuthDataGetEncodedSize
00007ffb1f7057a8 (__TEXT,__text) external _AEAAuthDataGetEntry
00007ffb1f7057a0 (__TEXT,__text) external _AEAAuthDataGetEntryCount
00007ffb1f705fa4 (__TEXT,__text) external _AEAAuthDataRemoveEntry
00007ffb1f705c96 (__TEXT,__text) external _AEAAuthDataSetEntry
00007ffb1f73d4c7 (__TEXT,__text) external _AEAContextCreateWithEncryptedStream
00007ffb1f73d40c (__TEXT,__text) external _AEAContextCreateWithProfile
00007ffb1f71a9e0 (__TEXT,__text) external _AEAContextDecryptAttributes
00007ffb1f73d390 (__TEXT,__text) external _AEAContextDestroy
00007ffb1f73e005 (__TEXT,__text) external _AEAContextGenerateFieldBlob
00007ffb1f73e193 (__TEXT,__text) external _AEAContextGetContainerSizeUpperBound
00007ffb1f73d8d0 (__TEXT,__text) external _AEAContextGetFieldBlob
00007ffb1f73d811 (__TEXT,__text) external _AEAContextGetFieldUInt
00007ffb1f73dce0 (__TEXT,__text) external _AEAContextSetFieldBlob
00007ffb1f73e133 (__TEXT,__text) external _AEAContextSetFieldCallback
00007ffb1f73db00 (__TEXT,__text) external _AEAContextSetFieldUInt
00007ffb1f70c501 (__TEXT,__text) non-external _AEADDecrypt_AESCTR_MAC256_KEY640
00007ffb1f70bfd9 (__TEXT,__text) non-external _AEADDecrypt_None_MAC256_KEY256
00007ffb1f70c052 (__TEXT,__text) non-external _AEADEncrypt_AESCTR_MAC256_KEY640
00007ffb1f70bf46 (__TEXT,__text) non-external _AEADEncrypt_None_MAC256_KEY256
00007ffb1f702fbb (__TEXT,__text) external _AEADecryptAndExtract
00007ffb1f7450fe (__TEXT,__text) external _AEADecryptAndExtractAsyncStreamOpen
00007ffb1f702a18 (__TEXT,__text) external _AEADecryptAndExtractChunk
00007ffb1f746bf8 (__TEXT,__text) external _AEADecryptAndExtractChunkAsyncStreamOpen
00007ffb1f6fac14 (__TEXT,__text) external _AEADecryptAsyncStreamOpen
00007ffb1f716677 (__TEXT,__text) external _AEADecryptInPlace
00007ffb1f71cfad (__TEXT,__text) external _AEADecryptToFile
00007ffb1f738837 (__TEXT,__text) external _AEADecryptToFileAsyncStreamOpen
00007ffb1f71ca0a (__TEXT,__text) external _AEADecryptToFileChunk
00007ffb1f739562 (__TEXT,__text) external _AEADecryptToFileChunkAsyncStreamOpen
00007ffb1f775798 (__TEXT,__text) external _AEADecryptToStream
00007ffb1f774f06 (__TEXT,__text) external _AEADecryptToStreamChunk
00007ffb1f718365 (__TEXT,__text) external _AEADecryptionDirectRandomAccessInputStreamOpen
00007ffb1f70dba6 (__TEXT,__text) external _AEADecryptionInputStreamOpen
00007ffb1f7008da (__TEXT,__text) external _AEADecryptionRandomAccessInputStreamOpen
00007ffb1f716c46 (__TEXT,__text) external _AEAEncryptInPlace
00007ffb1f711ba3 (__TEXT,__text) external _AEAEncryptionOutputStreamCloseAndUpdateContext
00007ffb1f710dd4 (__TEXT,__text) external _AEAEncryptionOutputStreamOpen
00007ffb1f711405 (__TEXT,__text) external _AEAEncryptionOutputStreamOpenExisting
00007ffb1f716de3 (__TEXT,__text) external _AEAKeychainGenerateItem
00007ffb1f717700 (__TEXT,__text) external _AEAKeychainHasItem
00007ffb1f71754c (__TEXT,__text) external _AEAKeychainLoadItem
00007ffb1f717804 (__TEXT,__text) external _AEAKeychainRemoveItem
00007ffb1f7170ab (__TEXT,__text) external _AEAKeychainStoreItem
00007ffb1f709550 (__TEXT,__text) external _AEAStreamSign
00007ffb1f73b77c (__TEXT,__text) non-external (was a private external) _BXDiff5
00007ffb1f714ac5 (__TEXT,__text) non-external (was a private external) _BXDiff5GetPatchInfo
00007ffb1f73b78b (__TEXT,__text) non-external (was a private external) _BXDiff5WithIndividualPatches
00007ffb1f723c76 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesCreate
00007ffb1f724f58 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesDestroy
00007ffb1f724f87 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesGetBestMatch
00007ffb1f72523e (__TEXT,__text) non-external (was a private external) _BXDiffMatchesIBuf
00007ffb1f725248 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesISize
00007ffb1f725251 (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOBuf
00007ffb1f72525b (__TEXT,__text) non-external (was a private external) _BXDiffMatchesOSize
00007ffb1f7156f1 (__TEXT,__text) non-external (was a private external) _BXPatch5FileWithFlags
00007ffb1f715953 (__TEXT,__text) non-external (was a private external) _BXPatch5InPlace
00007ffb1f714b0f (__TEXT,__text) non-external (was a private external) _BXPatch5StreamWithFlags
00007ffb1f71580c (__TEXT,__text) non-external _BXPatch5WithFlagsFileStreamPRead
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
00007ffb1f721be7 (__TEXT,__text) non-external (was a private external) _BlobBufferFree
00007ffb1f721b4b (__TEXT,__text) non-external (was a private external) _BlobBufferIncreaseCapacity
00007ffb1f721aa6 (__TEXT,__text) non-external (was a private external) _BlobBufferStore
