                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationMakeExternalForm (from Security)
                 (undefined) external _CFArrayAppendValue (from CoreFoundation)
                 (undefined) external _CFArrayContainsValue (from CoreFoundation)
                 (undefined) external _CFArrayCreateMutable (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFArrayRemoveValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDictionaryAddValue (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionaryRemoveValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
00007ffd042cb797 (__TEXT,__text) external _PFCheckNATRule
00007ffd042c8fb6 (__TEXT,__text) external _PFCheckRule
00007ffd042c803b (__TEXT,__text) external _PFFindStatesByDescriptor
00007ffd042c83d4 (__TEXT,__text) external _PFGetDescriptorStateDetails
00007ffd042cc2e1 (__TEXT,__text) external _PFManagerAddUser
00007ffd042c8e86 (__TEXT,__text) external _PFManagerCheckUserExists
00007ffd042c8d9c (__TEXT,__text) external _PFManagerCreate
00007ffd042c8bbc (__TEXT,__text) external _PFManagerDebugLog
00007ffd042c88b8 (__TEXT,__text) external _PFManagerErrorLog
00007ffd042c87f4 (__TEXT,__text) external _PFManagerGetExternalAuthorizationObject
00007ffd042c8c70 (__TEXT,__text) external _PFManagerGetQueue
00007ffd042c8b08 (__TEXT,__text) external _PFManagerInfoLog
00007ffd042c89b2 (__TEXT,__text) external _PFManagerLogOpen
00007ffd042c8a57 (__TEXT,__text) external _PFManagerNoticeLog
00007ffd042cc3ee (__TEXT,__text) external _PFManagerRelease
00007ffd042cc360 (__TEXT,__text) external _PFManagerReleaseUser
00007ffd042c8eec (__TEXT,__text) external _PFManagerSendMessage
00007ffd042c7da0 (__TEXT,__text) external _PFQueryGatewayAddrAndPortForDescriptor
00007ffd042c82c1 (__TEXT,__text) external _PFStateQueryAppendTrafficDescriptor
00007ffd042c6623 (__TEXT,__text) external _PFTableAddAddress
00007ffd042c6449 (__TEXT,__text) external _PFTableBegin
00007ffd042c6b51 (__TEXT,__text) external _PFTableClear
00007ffd042c67c7 (__TEXT,__text) external _PFTableCommit
00007ffd042c62bf (__TEXT,__text) external _PFTableCreate
00007ffd042c6cc4 (__TEXT,__text) external _PFTableDelete
00007ffd042c5017 (__TEXT,__text) external _PFUserAddRule
00007ffd042c4de2 (__TEXT,__text) external _PFUserBeginRules
00007ffd042c5627 (__TEXT,__text) external _PFUserClearRules
00007ffd042c735d (__TEXT,__text) external _PFUserClearStates
00007ffd042c527b (__TEXT,__text) external _PFUserCommitRules
00007ffd042c71a7 (__TEXT,__text) external _PFUserCopyRules_S
00007ffd042c4908 (__TEXT,__text) external _PFUserCreate
00007ffd042c604d (__TEXT,__text) external _PFUserDeleteRule
00007ffd042c578e (__TEXT,__text) external _PFUserDeleteRules
00007ffd042c75be (__TEXT,__text) external _PFUserDeleteStates
00007ffd042c6f5e (__TEXT,__text) external _PFUserGetRules
00007ffd042c5b2c (__TEXT,__text) external _PFUserInsertRule
00007ffd042c5e0e (__TEXT,__text) external _PFUserInsertRule_S
00007ffd042c78c2 (__TEXT,__text) external _PFUserNATLook
00007ffd042c7b7d (__TEXT,__text) external _PFUserNATLook_S
00007ffd042c59ef (__TEXT,__text) external _PFUserRelease
00007ffd042cc0a8 (__TEXT,__text) external _PFXPCCleanup
00007ffd042cbcf8 (__TEXT,__text) external _PFXPCGetResponse
00007ffd042cbd05 (__TEXT,__text) external _PFXPCSetupAndSend
00007ffd042cc6c8 (__TEXT,__const) external _PacketFilterVersionNumber
00007ffd042cc690 (__TEXT,__const) external _PacketFilterVersionString
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_object_assign (from libSystem)
                 (undefined) external __Block_object_dispose (from libSystem)
                 (undefined) external __Block_release (from libSystem)
                 (undefined) external __CFRuntimeCreateInstance (from CoreFoundation)
                 (undefined) external __CFRuntimeRegisterClass (from CoreFoundation)
                 (undefined) external __NSConcreteGlobalBlock (from libSystem)
                 (undefined) external __NSConcreteStackBlock (from libSystem)
                 (undefined) external ___CFConstantStringClassReference (from CoreFoundation)
00007ffd042c9954 (__TEXT,__text) non-external ___PFAddressCheck
00007ffd042cad91 (__TEXT,__text) non-external ___PFAllowOptsCheck
00007ffd042c979b (__TEXT,__text) non-external ___PFDirCheck
00007ffd042cb02b (__TEXT,__text) non-external ___PFDummyNetCheck
00007ffd042cb660 (__TEXT,__text) non-external ___PFDummyNetConsistencyCheck
00007ffd042cadf6 (__TEXT,__text) non-external ___PFExtFilterCheck
00007ffd042cae6a (__TEXT,__text) non-external ___PFExtMapCheck
00007ffd042c98c3 (__TEXT,__text) non-external ___PFFamilyCheck
00007ffd042cb152 (__TEXT,__text) non-external ___PFFilterConsistencyCheck
00007ffd042c8110 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke
00007ffd042c8196 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_2
00007ffd042c8209 (__TEXT,__text) non-external ___PFFindStatesByDescriptor_block_invoke_3
00007ffd042ca13c (__TEXT,__text) non-external ___PFFlagsCheck
00007ffd042ca4ed (__TEXT,__text) non-external ___PFGroupCheck
00007ffd042ca8bd (__TEXT,__text) non-external ___PFICMPCheck
00007ffd042cb933 (__TEXT,__text) non-external ___PFIPAddressCheck
00007ffd042cb8ad (__TEXT,__text) non-external ___PFInterfaceExists
00007ffd042ca750 (__TEXT,__text) non-external ___PFLogCheck
00007ffd40452388 (__DATA_CONST,__const) non-external ___PFManagerClass
00007ffd042c8969 (__TEXT,__text) non-external ___PFManagerCreateAuthorization
00007ffd042c8a0f (__TEXT,__text) non-external ___PFManagerLogCreate
00007ffd042cc400 (__TEXT,__text) non-external ___PFManagerLogCreate.cold.1
00007ffd042c8cd5 (__TEXT,__text) non-external ___PFManagerQueueCreate
00007ffd042c8f2b (__TEXT,__text) non-external ___PFManagerRegister
00007ffd042c8f44 (__TEXT,__text) non-external ___PFManagerRelease
00007ffd042cc438 (__TEXT,__text) non-external ___PFManagerRelease.cold.1
00007ffd042cafc8 (__TEXT,__text) non-external ___PFMaxStatesCheck
00007ffd042caf63 (__TEXT,__text) non-external ___PFNatPassCheck
00007ffd042cbb49 (__TEXT,__text) non-external ___PFNegatedCheck
00007ffd042cba74 (__TEXT,__text) non-external ___PFOperatorCheck
00007ffd042cbba7 (__TEXT,__text) non-external ___PFParseFlags
00007ffd042cb99e (__TEXT,__text) non-external ___PFPortCheck
00007ffd042c9809 (__TEXT,__text) non-external ___PFProtocolCheck
