00000001d6597fd0 (__DATA,__data) external _NDR_record
0000000180414b54 (__TEXT,__text) non-external __Xexception_raise
0000000180414a40 (__TEXT,__text) non-external __Xexception_raise_state
00000001804148dc (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180403738 (__TEXT,__text) external _____sigwait_nocancel
0000000180429978 (__TEXT,__const) external ____kernelVersionNumber
0000000180429940 (__TEXT,__const) external ____kernelVersionString
0000000180403764 (__TEXT,__text) external ___abort_with_payload
00000001803ff1f8 (__TEXT,__text) external ___accept
0000000180403790 (__TEXT,__text) external ___accept_nocancel
00000001804037bc (__TEXT,__text) external ___access_extended
00000001804037e8 (__TEXT,__text) external ___aio_suspend_nocancel
00000001803fe648 (__TEXT,__text) external ___bind
00000001803fa670 (__TEXT,__text) external ___bsdthread_create
00000001803f860c (__TEXT,__text) external ___bsdthread_ctl
00000001803fc758 (__TEXT,__text) external ___bsdthread_register
00000001803f9700 (__TEXT,__text) external ___bsdthread_terminate
0000000180402f8c (__TEXT,__text) external ___carbon_delete
0000000180403814 (__TEXT,__text) external ___channel_get_info
0000000180403840 (__TEXT,__text) external ___channel_get_opt
000000018040386c (__TEXT,__text) external ___channel_open
0000000180403898 (__TEXT,__text) external ___channel_set_opt
00000001804038c4 (__TEXT,__text) external ___channel_sync
00000001803fa5b8 (__TEXT,__text) external ___chmod
00000001803fc1f4 (__TEXT,__text) external ___chmod_extended
00000001803f80f0 (__TEXT,__text) external ___close_nocancel
00000001804038f0 (__TEXT,__text) external ___coalition
000000018040391c (__TEXT,__text) external ___coalition_info
0000000180403948 (__TEXT,__text) external ___coalition_ledger
00000001803f8764 (__TEXT,__text) external ___commpage_gettimeofday
00000001803f876c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001803fade0 (__TEXT,__text) external ___connect
00000001803fac48 (__TEXT,__text) external ___connect_nocancel
0000000180403974 (__TEXT,__text) external ___copyfile
00000001804039a0 (__TEXT,__text) external ___crossarch_trap
00000001803f7364 (__TEXT,__text) external ___csrctl
000000018040c714 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001804039cc (__TEXT,__text) external ___debug_syscall_reject
00000001804039f8 (__TEXT,__text) external ___debug_syscall_reject_config
0000000180402fb8 (__TEXT,__text) external ___delete
00000001803f96d4 (__TEXT,__text) external ___disable_threadsignal
00000001803f7294 (__TEXT,__text) external ___error
0000000180403a24 (__TEXT,__text) external ___execve
00000001803fe024 (__TEXT,__text) external ___exit
00000001803fb09c (__TEXT,__text) external ___fchmod
00000001803fc300 (__TEXT,__text) external ___fchmod_extended
00000001803f7414 (__TEXT,__text) external ___fcntl
00000001803fabf0 (__TEXT,__text) external ___fcntl_nocancel
00000001803fe404 (__TEXT,__text) external ___fork
0000000180403a50 (__TEXT,__text) external ___fs_snapshot
0000000180404e00 (__TEXT,__text) external ___fstat
00000001803fc2d4 (__TEXT,__text) external ___fstat64_extended
0000000180403a7c (__TEXT,__text) external ___fstat_extended
