00000001d9c134a4 (__TEXT,__text) non-external +[NFPromise new]
00000001d9c14d50 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withError:]
00000001d9c14b10 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:onQueue:withValue:]
00000001d9c14af8 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withError:]
00000001d9c14ae0 (__TEXT,__text) non-external +[NFPromise(Delay) asDelay:withValue:]
00000001d9c149d8 (__TEXT,__text) non-external +[NFPromise(Firstly) firstly:]
00000001d9c14a80 (__TEXT,__text) non-external +[NFPromise(Void) asVoid:]
00000001d9c14a18 (__TEXT,__text) non-external +[NFPromise(Void) asVoid]
00000001d9c162f4 (__TEXT,__text) non-external +[NFReachability _currentNetworkStatus]
00000001d9c15e94 (__TEXT,__text) non-external +[NFReachability sharedInstance]
00000001d9c19194 (__TEXT,__text) non-external +[NFReachability sharedInstance].cold.1
00000001d9c11814 (__TEXT,__text) non-external +[NSError(NFStateMachine) fc_createStateMachineErrorForCode:userInfo:]
00000001d9c12cec (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withData:]
00000001d9c12d7c (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClass:withFile:]
00000001d9c12e10 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withData:]
00000001d9c12ec0 (__TEXT,__text) non-external +[NSKeyedUnarchiver(FRAdditions) nf_securelyUnarchiveObjectOfClasses:withFile:]
00000001d9c14fe4 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_compareObject:toObject:]
00000001d9c14f54 (__TEXT,__text) non-external +[NSObject(NFAdditions) nf_object:isEqualToObject:]
00000001d9c18588 (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGPoint:]
00000001d9c184cc (__TEXT,__text) non-external +[NSValue(NFAdditions) nf_valueWithCGRect:]
00000001d9c114a0 (__TEXT,__text) non-external -[NFArchiver archiveDirectory:toLocation:]
00000001d9c116ac (__TEXT,__text) non-external -[NFArchiver unarchive:toLocation:]
00000001d9c11280 (__TEXT,__text) non-external -[NFEventManager .cxx_destruct]
00000001d9c10d44 (__TEXT,__text) non-external -[NFEventManager attemptTriggersForCurrentEvent:]
00000001d9c11270 (__TEXT,__text) non-external -[NFEventManager events]
00000001d9c106a8 (__TEXT,__text) non-external -[NFEventManager fireEvent:]
00000001d9c18854 (__TEXT,__text) non-external -[NFEventManager fireEvent:].cold.1
00000001d9c110ac (__TEXT,__text) non-external -[NFEventManager handleAlwaysTrigger:event:]
00000001d9c10ea4 (__TEXT,__text) non-external -[NFEventManager handleOnceTrigger:event:]
00000001d9c10624 (__TEXT,__text) non-external -[NFEventManager init]
00000001d9c10894 (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:]
00000001d9c189cc (__TEXT,__text) non-external -[NFEventManager triggerAlwaysWhenAllEventsHaveOccurred:block:].cold.1
00000001d9c10bf0 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:]
00000001d9c18c00 (__TEXT,__text) non-external -[NFEventManager triggerOnAnyEvent:block:].cold.1
00000001d9c10b34 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:]
00000001d9c18b44 (__TEXT,__text) non-external -[NFEventManager triggerOnEvent:block:].cold.1
00000001d9c10744 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:]
00000001d9c18910 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAllEventsHaveOccurred:block:].cold.1
00000001d9c109e4 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:]
00000001d9c18a88 (__TEXT,__text) non-external -[NFEventManager triggerOnceWhenAnyEventHasOccurred:block:].cold.1
00000001d9c11278 (__TEXT,__text) non-external -[NFEventManager triggers]
