                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00000001fffdf33c (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00000001fffdfdbc (__TEXT,__const) external _libopenpam
00000001fffdf860 (__TEXT,__text) external _misc_conv
00000001fffdf568 (__TEXT,__text) external _pam_acct_mgmt
00000001fffdf470 (__TEXT,__text) external _pam_authenticate
00000001fffdf5e4 (__TEXT,__text) external _pam_chauthtok
00000001fffdf6e0 (__TEXT,__text) external _pam_close_session
00000001fffdf3fc (__TEXT,__text) external _pam_end
00000001fffdfaa8 (__TEXT,__text) external _pam_get_data
00000001fffdf7dc (__TEXT,__text) external _pam_get_item
00000001fffdfcd8 (__TEXT,__text) external _pam_get_pass
00000001fffdfbb8 (__TEXT,__text) external _pam_get_user
00000001fffdf9d0 (__TEXT,__text) external _pam_getenv
00000001fffdfa40 (__TEXT,__text) external _pam_getenvlist
00000001fffdf668 (__TEXT,__text) external _pam_open_session
00000001fffdfc3c (__TEXT,__text) external _pam_prompt
00000001fffdf95c (__TEXT,__text) external _pam_putenv
00000001fffdfb2c (__TEXT,__text) external _pam_set_data
00000001fffdf758 (__TEXT,__text) external _pam_set_item
00000001fffdf4ec (__TEXT,__text) external _pam_setcred
00000001fffdf370 (__TEXT,__text) external _pam_start
00000001fffdf8ec (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00000001fffdf2d8 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00000001fffdf2e8 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00000001fffdf338 (__TEXT,__text) external _xlate_pam_shim_item_type
00000001fffdf314 (__TEXT,__text) external _xlate_pam_shim_retval
00000001fffdf300 (__TEXT,__text) external _xlate_pam_shim_session_flags
00000001fffdf30c (__TEXT,__text) external _xlate_pam_shim_setcred_flags
