                 (undefined) external _BLASStateRelease (from libBLAS)
                 (undefined) external _BLASStateRetain (from libBLAS)
000000018e0cf580 (__TEXT,__text) external _BNNSAffineGridSample
000000018e0d44bc (__TEXT,__text) external _BNNSApplyMultiheadAttention
000000018e0d4a4c (__TEXT,__text) external _BNNSApplyMultiheadAttentionBackward
000000018e0d336c (__TEXT,__text) external _BNNSArithmeticFilterApplyBackwardBatch
000000018e0d1c74 (__TEXT,__text) external _BNNSArithmeticFilterApplyBatch
000000018e0cf56c (__TEXT,__text) external _BNNSBandPart
000000018de138a4 (__TEXT,__text) external _BNNSBitTranspose
000000018e466830 (__TEXT,__text) external _BNNSClearNetwork
000000018e0cfc88 (__TEXT,__text) external _BNNSClipByGlobalNorm
000000018e0cfb08 (__TEXT,__text) external _BNNSClipByNorm
000000018e0cf990 (__TEXT,__text) external _BNNSClipByValue
000000018e0db7b4 (__TEXT,__text) external _BNNSCompareTensor
000000018e0dab50 (__TEXT,__text) external _BNNSComputeLSTMTrainingCacheCapacity
000000018e0cfe10 (__TEXT,__text) external _BNNSComputeNorm
000000018e0cff88 (__TEXT,__text) external _BNNSComputeNormBackward
000000018e186050 (__TEXT,__text) external _BNNSComputeSimilarities
000000018dfbe7b8 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D1_d16
000000018dfbea30 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D2_d15
000000018dfbee90 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_D3_d14
000000018dfbe5e8 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S1_d16
000000018dfbe7bc (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S2_d15
000000018dfbea58 (__TEXT,__text) external _BNNSComputeTwoVariablePolynomial_S3_d14
000000018e0d5050 (__TEXT,__text) external _BNNSCopy
000000018e0cc5f0 (__TEXT,__text) external _BNNSCreateNearestNeighbors
000000018e0d0dc8 (__TEXT,__text) external _BNNSCreateRandomGenerator
000000018e0d0dcc (__TEXT,__text) external _BNNSCreateRandomGeneratorWithSeed
000000018e0cf574 (__TEXT,__text) external _BNNSCropResize
000000018e0cf578 (__TEXT,__text) external _BNNSCropResizeBackward
000000018e0db7f0 (__TEXT,__text) external _BNNSDataLayoutGetRank
000000018de52a18 (__TEXT,__text) external _BNNSDequantize
000000018e0cc5f4 (__TEXT,__text) external _BNNSDestroyNearestNeighbors
000000018e0d0dd0 (__TEXT,__text) external _BNNSDestroyRandomGenerator
000000018e0dac50 (__TEXT,__text) external _BNNSDirectApplyActivationBatch
000000018e0dad18 (__TEXT,__text) external _BNNSDirectApplyBroadcastMatMul
000000018e0dab3c (__TEXT,__text) external _BNNSDirectApplyFullyConnectedBatch
000000018e0d55c0 (__TEXT,__text) external _BNNSDirectApplyInTopK
000000018e0dabc8 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchBackward
000000018e0dab54 (__TEXT,__text) external _BNNSDirectApplyLSTMBatchTrainingCaching
000000018e0cf804 (__TEXT,__text) external _BNNSDirectApplyQuantizer
000000018e0d536c (__TEXT,__text) external _BNNSDirectApplyReduction
000000018e0d5578 (__TEXT,__text) external _BNNSDirectApplyTopK
000000018e0db798 (__TEXT,__text) external _BNNSFilterApply
000000018e0d8850 (__TEXT,__text) external _BNNSFilterApplyBackwardBatch
000000018e0d3db0 (__TEXT,__text) external _BNNSFilterApplyBackwardTwoInputBatch
000000018e0d77f4 (__TEXT,__text) external _BNNSFilterApplyBatch
000000018e0d380c (__TEXT,__text) external _BNNSFilterApplyTwoInput
000000018e0d382c (__TEXT,__text) external _BNNSFilterApplyTwoInputBatch
000000018e0d5d6c (__TEXT,__text) external _BNNSFilterCreateBatchLayerFullyConnected
000000018e0db608 (__TEXT,__text) external _BNNSFilterCreateConvolutionLayer
000000018e0db790 (__TEXT,__text) external _BNNSFilterCreateFullyConnectedLayer
000000018e0d5f6c (__TEXT,__text) external _BNNSFilterCreateFusedLayer
000000018e0d5d78 (__TEXT,__text) external _BNNSFilterCreateLayerActivation
000000018e0d5f5c (__TEXT,__text) external _BNNSFilterCreateLayerArithmetic
000000018e0d3800 (__TEXT,__text) external _BNNSFilterCreateLayerBroadcastMatMul
000000018e0d5d58 (__TEXT,__text) external _BNNSFilterCreateLayerConvolution
000000018e0d5364 (__TEXT,__text) external _BNNSFilterCreateLayerDepthwiseConvolution
000000018e0d5f64 (__TEXT,__text) external _BNNSFilterCreateLayerDropout
000000018e0cf800 (__TEXT,__text) external _BNNSFilterCreateLayerEmbedding
000000018e0d5d64 (__TEXT,__text) external _BNNSFilterCreateLayerFullyConnected
000000018e0d37d8 (__TEXT,__text) external _BNNSFilterCreateLayerGram
000000018e0d5d7c (__TEXT,__text) external _BNNSFilterCreateLayerLoss
000000018e0d44b8 (__TEXT,__text) external _BNNSFilterCreateLayerMultiheadAttention
000000018e0d5d80 (__TEXT,__text) external _BNNSFilterCreateLayerNormalization
000000018e0d5f68 (__TEXT,__text) external _BNNSFilterCreateLayerPadding
000000018e0d5f60 (__TEXT,__text) external _BNNSFilterCreateLayerPermute
000000018e0d5d74 (__TEXT,__text) external _BNNSFilterCreateLayerPooling
000000018e0d5368 (__TEXT,__text) external _BNNSFilterCreateLayerReduction
000000018e0d44b4 (__TEXT,__text) external _BNNSFilterCreateLayerResize
000000018e0d0118 (__TEXT,__text) external _BNNSFilterCreateLayerSparseEmbedding
000000018e0d5d70 (__TEXT,__text) external _BNNSFilterCreateLayerSparseFullyConnected
000000018e0d37b4 (__TEXT,__text) external _BNNSFilterCreateLayerTensorContraction
000000018e0d5d5c (__TEXT,__text) external _BNNSFilterCreateLayerTransposedConvolution
000000018e0db794 (__TEXT,__text) external _BNNSFilterCreatePoolingLayer
000000018e0db7b0 (__TEXT,__text) external _BNNSFilterCreateVectorActivationLayer
000000018e0daf60 (__TEXT,__text) external _BNNSFilterDestroy
000000018e0d5abc (__TEXT,__text) external _BNNSFilterGetState
000000018e0d55d0 (__TEXT,__text) external _BNNSFilterGetStateSize
000000018e0d57c4 (__TEXT,__text) external _BNNSFilterSetState
000000018e102044 (__TEXT,__text) external _BNNSFunctionGRUFusedGates
000000018e0da014 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardBatch
000000018e0d25a4 (__TEXT,__text) external _BNNSFusedFilterApplyBackwardMultiInputBatch
000000018e0d7014 (__TEXT,__text) external _BNNSFusedFilterApplyBatch
000000018e0d13d0 (__TEXT,__text) external _BNNSFusedFilterApplyMultiInputBatch
000000018e0ccae8 (__TEXT,__text) external _BNNSGather
000000018e0ccaf0 (__TEXT,__text) external _BNNSGatherND
000000018e0d5370 (__TEXT,__text) external _BNNSGetPointer
000000018df5d2fc (__TEXT,__text) external _BNNSGraphAnalyzeIRSize
000000018dde1fd8 (__TEXT,__text) external _BNNSGraphCompileFromFile
000000018df53fec (__TEXT,__text) external _BNNSGraphCompileFromFile_v2
000000018df53b88 (__TEXT,__text) external _BNNSGraphCompileMLIR
000000018df56f04 (__TEXT,__text) external _BNNSGraphCompileOptionShareIOPointer
000000018df55d70 (__TEXT,__text) external _BNNSGraphCompileOptionsDestroy
000000018df5627c (__TEXT,__text) external _BNNSGraphCompileOptionsGetCompilationEnableSignposts
000000018df56da0 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDeduplicationMode
000000018df56194 (__TEXT,__text) external _BNNSGraphCompileOptionsGetDownconvertMode
000000018df56e14 (__TEXT,__text) external _BNNSGraphCompileOptionsGetFileWriteFSyncBarrier
000000018df560a8 (__TEXT,__text) external _BNNSGraphCompileOptionsGetGenerateDebugInfo
000000018df56904 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOptimizationPreference
000000018df5673c (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputFD
000000018df566a8 (__TEXT,__text) external _BNNSGraphCompileOptionsGetOutputPath
000000018df56e8c (__TEXT,__text) external _BNNSGraphCompileOptionsGetPreallocateOutputFile
000000018df56120 (__TEXT,__text) external _BNNSGraphCompileOptionsGetPredefinedOptimizations
000000018df56ca4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetShapeBounding
000000018df5636c (__TEXT,__text) external _BNNSGraphCompileOptionsGetTarget
000000018df56030 (__TEXT,__text) external _BNNSGraphCompileOptionsGetTargetSingleThread
000000018df56208 (__TEXT,__text) external _BNNSGraphCompileOptionsGetUpconvertMode
000000018df56b48 (__TEXT,__text) external _BNNSGraphCompileOptionsGetUserData
000000018df562f4 (__TEXT,__text) external _BNNSGraphCompileOptionsGetValidateMILFile
000000018df56890 (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsFD
000000018df567fc (__TEXT,__text) external _BNNSGraphCompileOptionsGetWeightsPath
000000018df55c24 (__TEXT,__text) external _BNNSGraphCompileOptionsMakeDefault
000000018df56244 (__TEXT,__text) external _BNNSGraphCompileOptionsSetCompilationEnableSignposts
000000018df56d68 (__TEXT,__text) external _BNNSGraphCompileOptionsSetDeduplicationMode
000000018df5615c (__TEXT,__text) external _BNNSGraphCompileOptionsSetDownconvertMode
000000018df56ddc (__TEXT,__text) external _BNNSGraphCompileOptionsSetFileWriteFSyncBarrier
000000018df56070 (__TEXT,__text) external _BNNSGraphCompileOptionsSetGenerateDebugInfo
000000018df56ecc (__TEXT,__text) external _BNNSGraphCompileOptionsSetInputFormat
000000018df56ce4 (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogCallback
000000018df56d30 (__TEXT,__text) external _BNNSGraphCompileOptionsSetMessageLogMask
000000018df568cc (__TEXT,__text) external _BNNSGraphCompileOptionsSetOptimizationPreference
000000018df56704 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputFD
000000018df56524 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPath
000000018df56630 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissions
000000018df56598 (__TEXT,__text) external _BNNSGraphCompileOptionsSetOutputPathWithPermissionsAndProtectionClass
000000018df56e54 (__TEXT,__text) external _BNNSGraphCompileOptionsSetPreallocateOutputFile
000000018df560e8 (__TEXT,__text) external _BNNSGraphCompileOptionsSetPredefinedOptimizations
000000018df56c6c (__TEXT,__text) external _BNNSGraphCompileOptionsSetShapeBounding
000000018df56334 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTarget
000000018df563a8 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetByChipsetID
000000018df55e94 (__TEXT,__text) external _BNNSGraphCompileOptionsSetTargetSingleThread
000000018df561d0 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUpconvertMode
000000018df56940 (__TEXT,__text) external _BNNSGraphCompileOptionsSetUserData
000000018df562bc (__TEXT,__text) external _BNNSGraphCompileOptionsSetValidateMILFile
000000018df56858 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsFD
000000018df56778 (__TEXT,__text) external _BNNSGraphCompileOptionsSetWeightsPathWithPermissions
000000018dde2784 (__TEXT,__text) external _BNNSGraphContextCreate
000000018dde27b4 (__TEXT,__text) external _BNNSGraphContextDestroy
000000018df5ab24 (__TEXT,__text) external _BNNSGraphContextDestroy_v2
000000018df5e148 (__TEXT,__text) external _BNNSGraphContextEnableNanAndInfChecks
000000018df5d8bc (__TEXT,__text) external _BNNSGraphContextEnablePerformanceData
000000018df5b230 (__TEXT,__text) external _BNNSGraphContextEnableSignposts
000000018dde2b94 (__TEXT,__text) external _BNNSGraphContextExecute
000000018df5badc (__TEXT,__text) external _BNNSGraphContextExecute_v2
000000018dde2b0c (__TEXT,__text) external _BNNSGraphContextGetArgPosition
000000018df5af84 (__TEXT,__text) external _BNNSGraphContextGetArgumentPosition
000000018dde25dc (__TEXT,__text) external _BNNSGraphContextGetContextSize
000000018df59780 (__TEXT,__text) external _BNNSGraphContextGetTensor
000000018dde2578 (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor
000000018df58f48 (__TEXT,__text) external _BNNSGraphContextGetTensorDescriptor_v2
000000018dde2ad4 (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize
000000018df5aed0 (__TEXT,__text) external _BNNSGraphContextGetWorkspaceSize_v2
000000018dde27e8 (__TEXT,__text) external _BNNSGraphContextInitialize
000000018df5a928 (__TEXT,__text) external _BNNSGraphContextMake
000000018df5ab0c (__TEXT,__text) external _BNNSGraphContextMakeExperimentalStateSupport
000000018df5a940 (__TEXT,__text) external _BNNSGraphContextMakeFromFile
000000018df5c1dc (__TEXT,__text) external _BNNSGraphContextMakeStreaming
000000018df5a3d0 (__TEXT,__text) external _BNNSGraphContextMakeWithLogging
000000018df5da0c (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetExecutionCount
000000018df5daf0 (__TEXT,__text) external _BNNSGraphContextPerformanceDataGetTotalExecutionTime
000000018df5c11c (__TEXT,__text) external _BNNSGraphContextReplaceAllFunctions
000000018df5bde8 (__TEXT,__text) external _BNNSGraphContextReplaceFunctions
000000018df5b9e8 (__TEXT,__text) external _BNNSGraphContextSetAdvancedWorkspaceReuse
000000018dde2b58 (__TEXT,__text) external _BNNSGraphContextSetArgType
000000018df5b784 (__TEXT,__text) external _BNNSGraphContextSetArgumentType
000000018df5adc4 (__TEXT,__text) external _BNNSGraphContextSetBatchSize_v2
000000018df5e084 (__TEXT,__text) external _BNNSGraphContextSetDebugIntermediates_v3
000000018dde2a80 (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes
000000018df5ac30 (__TEXT,__text) external _BNNSGraphContextSetDynamicShapes_v2
000000018dde2994 (__TEXT,__text) external _BNNSGraphContextSetDynamicSizes
000000018df5b848 (__TEXT,__text) external _BNNSGraphContextSetInternalValidation
000000018df5a858 (__TEXT,__text) external _BNNSGraphContextSetMessageLogCallback
000000018df5b61c (__TEXT,__text) external _BNNSGraphContextSetMessageLogMask
000000018df5b4d0 (__TEXT,__text) external _BNNSGraphContextSetOutputAllocationCallback_v2
000000018df5b90c (__TEXT,__text) external _BNNSGraphContextSetStreamingAdvanceCount
000000018df5b6e0 (__TEXT,__text) external _BNNSGraphContextSetWeights
000000018df5b2f4 (__TEXT,__text) external _BNNSGraphContextSetWorkspaceAllocationCallback_v2
000000018df5d10c (__TEXT,__text) external _BNNSGraphDumpIR_v2
000000018df59860 (__TEXT,__text) external _BNNSGraphE5Validate
000000018df59b34 (__TEXT,__text) external _BNNSGraphE5ValidateGetSupportedVersion
000000018dde2d2c (__TEXT,__text) external _BNNSGraphExecute
000000018df5cd24 (__TEXT,__text) external _BNNSGraphExecute_v2
000000018dde2cf0 (__TEXT,__text) external _BNNSGraphGetArgPosition
000000018df57d10 (__TEXT,__text) external _BNNSGraphGetArgumentCount
000000018df57f28 (__TEXT,__text) external _BNNSGraphGetArgumentIntents
000000018df581ac (__TEXT,__text) external _BNNSGraphGetArgumentInterleaveFactors
000000018df57368 (__TEXT,__text) external _BNNSGraphGetArgumentNames
000000018df5c750 (__TEXT,__text) external _BNNSGraphGetArgumentPosition
000000018df5df64 (__TEXT,__text) external _BNNSGraphGetDebugString
000000018df55840 (__TEXT,__text) external _BNNSGraphGetFunctionCount
000000018df55a00 (__TEXT,__text) external _BNNSGraphGetFunctionNames
000000018df57b10 (__TEXT,__text) external _BNNSGraphGetInputCount
000000018dde22c4 (__TEXT,__text) external _BNNSGraphGetInputNames
000000018df57074 (__TEXT,__text) external _BNNSGraphGetInputNames_v2
000000018dde24a8 (__TEXT,__text) external _BNNSGraphGetNumInputs
000000018dde24e0 (__TEXT,__text) external _BNNSGraphGetNumOutputs
000000018df5d708 (__TEXT,__text) external _BNNSGraphGetOperationCount
000000018df5dbd4 (__TEXT,__text) external _BNNSGraphGetOperationTypeName
000000018df5790c (__TEXT,__text) external _BNNSGraphGetOutputCount
000000018dde2458 (__TEXT,__text) external _BNNSGraphGetOutputNames
000000018df57634 (__TEXT,__text) external _BNNSGraphGetOutputNames_v2
000000018df5e078 (__TEXT,__text) external _BNNSGraphGetPackageVersion
000000018df5d6ec (__TEXT,__text) external _BNNSGraphGetPerformanceDataSize
000000018dde2314 (__TEXT,__text) external _BNNSGraphGetSize
000000018df589cc (__TEXT,__text) external _BNNSGraphGetTensor
000000018dde2518 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor
000000018df58444 (__TEXT,__text) external _BNNSGraphGetTensorDescriptor_v2
000000018df5ca14 (__TEXT,__text) external _BNNSGraphGetUserData
000000018dde2cbc (__TEXT,__text) external _BNNSGraphGetWorkspaceSize
000000018df5c518 (__TEXT,__text) external _BNNSGraphGetWorkspaceSize_v2
000000018df5d4fc (__TEXT,__text) external _BNNSGraphIRtoDot_v2
000000018dde21b4 (__TEXT,__text) external _BNNSGraphOptionsCreateDefault
000000018dde21f4 (__TEXT,__text) external _BNNSGraphOptionsSetDebugInfo
000000018dde229c (__TEXT,__text) external _BNNSGraphOptionsSetDownconvertMode
000000018dde2274 (__TEXT,__text) external _BNNSGraphOptionsSetOptimizationPreference
000000018dde2244 (__TEXT,__text) external _BNNSGraphOptionsSetOutputPath
000000018dde221c (__TEXT,__text) external _BNNSGraphOptionsSetPredefinedOptimizations
000000018dde21cc (__TEXT,__text) external _BNNSGraphOptionsSetSingleThread
000000018df5918c (__TEXT,__text) external _BNNSGraphTensorFillStrides
000000018e0cf57c (__TEXT,__text) external _BNNSGumbelMax
000000018e0dace0 (__TEXT,__text) external _BNNSInitGumbel
000000018e0d6a9c (__TEXT,__text) external _BNNSLossFilterApplyBackwardBatch
000000018e0d64fc (__TEXT,__text) external _BNNSLossFilterApplyBatch
000000018e0cc6dc (__TEXT,__text) external _BNNSMatMul
000000018e0cc608 (__TEXT,__text) external _BNNSMatMulWorkspaceSize
000000018e0db7d8 (__TEXT,__text) external _BNNSNDArrayConvolutionSparsify
000000018e0db7dc (__TEXT,__text) external _BNNSNDArrayConvolutionSparsifySparseCOO
000000018e0db7bc (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsify
000000018e0db7c0 (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCOO
000000018e0db7cc (__TEXT,__text) external _BNNSNDArrayFullyConnectedSparsifySparseCSR
000000018e0db7e8 (__TEXT,__text) external _BNNSNDArrayGetDataSize
000000018e0cc5fc (__TEXT,__text) external _BNNSNearestNeighborsGetInfo
000000018e0cc5f8 (__TEXT,__text) external _BNNSNearestNeighborsLoad
000000018e0d9a54 (__TEXT,__text) external _BNNSNormalizationFilterApplyBackwardBatch
000000018e0d2080 (__TEXT,__text) external _BNNSNormalizationFilterApplyBatch
000000018e0d55cc (__TEXT,__text) external _BNNSOptimizerStep
000000018e0d82bc (__TEXT,__text) external _BNNSPermuteFilterApplyBackwardBatch
000000018e0daaf8 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatch
000000018e0cefe8 (__TEXT,__text) external _BNNSPoolingFilterApplyBackwardBatchEx
000000018e0d8288 (__TEXT,__text) external _BNNSPoolingFilterApplyBatch
000000018e0ccaf8 (__TEXT,__text) external _BNNSPoolingFilterApplyBatchEx
