00007ff80332a6ed (__TEXT,__text) external _CreateLSTMBreakEngine
00007ff80332a6af (__TEXT,__text) external _CreateLSTMData
00007ff80332a564 (__TEXT,__text) external _CreateLSTMDataForScript
00007ff80332a894 (__TEXT,__text) external _DeleteLSTMData
00007ff80332a8c5 (__TEXT,__text) external _LSTMDataName
00007ff80330b382 (__TEXT,__text) external _T_CString_int64ToString
00007ff80330b2e3 (__TEXT,__text) external _T_CString_integerToString
00007ff80330b424 (__TEXT,__text) external _T_CString_stringToInteger
00007ff80330b283 (__TEXT,__text) external _T_CString_toLowerCase
00007ff80330b2b3 (__TEXT,__text) external _T_CString_toUpperCase
00007ff80336f97d (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_ESCAPE
00007ff80336f735 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SKIP
00007ff80336f636 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_STOP
00007ff80336f853 (__TEXT,__text) external _UCNV_FROM_U_CALLBACK_SUBSTITUTE
00007ff80336ff20 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_ESCAPE
00007ff80336fece (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SKIP
00007ff80336f72f (__TEXT,__text) external _UCNV_TO_U_CALLBACK_STOP
00007ff80336fef0 (__TEXT,__text) external _UCNV_TO_U_CALLBACK_SUBSTITUTE
00007ff80338df00 (__TEXT,__text) external _UDataMemory_createNewInstance
                 (undefined) external __DefaultRuneLocale (from libSystem)
00007ff8033bbb1b (__TEXT,__text) external __Z30uscript_getSampleUnicodeString11UScriptCode
00007ff80350ec31 (__TEXT,__text) external __Z31uspoof_getSkeletonUnicodeStringPK13USpoofCheckerjRKN3icu13UnicodeStringERS3_P10UErrorCode
00007ff803303750 (__TEXT,__text) external __ZN3icu10Appendable12appendStringEPKDsi
00007ff8033036e6 (__TEXT,__text) external __ZN3icu10Appendable15appendCodePointEi
00007ff8033037d0 (__TEXT,__text) external __ZN3icu10Appendable15getAppendBufferEiiPDsiPi
00007ff8033037c4 (__TEXT,__text) external __ZN3icu10Appendable21reserveAppendCapacityEi
00007ff8033036e0 (__TEXT,__text) external __ZN3icu10AppendableD0Ev
00007ff8033036da (__TEXT,__text) external __ZN3icu10AppendableD1Ev
00007ff8033036d0 (__TEXT,__text) external __ZN3icu10AppendableD2Ev
00007ff8033e3854 (__TEXT,__text) external __ZN3icu10CECalendar6ceToJDEiiii
00007ff8033e394a (__TEXT,__text) external __ZN3icu10CECalendar6jdToCEEiiRiS1_S1_
00007ff8033e378e (__TEXT,__text) external __ZN3icu10CECalendarC2ERKNS_6LocaleER10UErrorCode
00007ff8033e37de (__TEXT,__text) external __ZN3icu10CECalendarC2ERKS0_
00007ff8033e380e (__TEXT,__text) external __ZN3icu10CECalendarD0Ev
00007ff8033e3808 (__TEXT,__text) external __ZN3icu10CECalendarD1Ev
00007ff8033e37fe (__TEXT,__text) external __ZN3icu10CECalendarD2Ev
00007ff8033e3814 (__TEXT,__text) external __ZN3icu10CECalendaraSERKS0_
00007ff80330aca8 (__TEXT,__text) external __ZN3icu10CharString12appendNumberEiR10UErrorCode
00007ff80330aeb2 (__TEXT,__text) external __ZN3icu10CharString14appendPathPartENS_11StringPieceER10UErrorCode
00007ff80330a90c (__TEXT,__text) external __ZN3icu10CharString14ensureCapacityEiiR10UErrorCode
00007ff80330ad96 (__TEXT,__text) external __ZN3icu10CharString15getAppendBufferEiiRiR10UErrorCode
00007ff80330ae30 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsEPKDsiR10UErrorCode
00007ff80330adf6 (__TEXT,__text) external __ZN3icu10CharString20appendInvariantCharsERKNS_13UnicodeStringER10UErrorCode
00007ff80330af1e (__TEXT,__text) external __ZN3icu10CharString27ensureEndsWithFileSeparatorER10UErrorCode
00007ff80330ab30 (__TEXT,__text) external __ZN3icu10CharString6appendEPKciR10UErrorCode
00007ff80330aaea (__TEXT,__text) external __ZN3icu10CharString6appendEcR10UErrorCode
00007ff80330a8c2 (__TEXT,__text) external __ZN3icu10CharString8copyFromERKS0_R10UErrorCode
00007ff80330aac8 (__TEXT,__text) external __ZN3icu10CharString8truncateEi
00007ff80330a778 (__TEXT,__text) external __ZN3icu10CharStringC1EOS0_
00007ff80330a71a (__TEXT,__text) external __ZN3icu10CharStringC2EOS0_
00007ff80330a782 (__TEXT,__text) external __ZN3icu10CharStringaSEOS0_
00007ff80340780c (__TEXT,__text) external __ZN3icu10DateFormat10setContextE15UDisplayContextR10UErrorCode
00007ff8034076f8 (__TEXT,__text) external __ZN3icu10DateFormat10setLenientEa
00007ff8034075be (__TEXT,__text) external __ZN3icu10DateFormat11setCalendarERKNS_8CalendarE
00007ff8034076c4 (__TEXT,__text) external __ZN3icu10DateFormat11setTimeZoneERKNS_8TimeZoneE
00007ff803407592 (__TEXT,__text) external __ZN3icu10DateFormat13adoptCalendarEPNS_8CalendarE
00007ff8034076ac (__TEXT,__text) external __ZN3icu10DateFormat13adoptTimeZoneEPNS_8TimeZoneE
00007ff8034071d4 (__TEXT,__text) external __ZN3icu10DateFormat14createInstanceEv
00007ff8034071f0 (__TEXT,__text) external __ZN3icu10DateFormat14getBestPatternERKNS_6LocaleERKNS_13UnicodeStringER10UErrorCode
00007ff803407668 (__TEXT,__text) external __ZN3icu10DateFormat15setNumberFormatERKNS_12NumberFormatE
00007ff80340761c (__TEXT,__text) external __ZN3icu10DateFormat17adoptNumberFormatEPNS_12NumberFormatE
00007ff8034070ac (__TEXT,__text) external __ZN3icu10DateFormat18createDateInstanceENS0_6EStyleERKNS_6LocaleE
