00000001bab69658 (__TEXT,__text) non-external -[OS_axr_data copy]
00000001bab6941c (__TEXT,__text) non-external -[OS_axr_data dealloc]
00000001bab694c4 (__TEXT,__text) non-external -[OS_axr_data debugDescription]
00000001babef570 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.1
00000001babef5e4 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.2
00000001babef658 (__TEXT,__text) non-external -[OS_axr_data debugDescription].cold.3
00000001bab69484 (__TEXT,__text) non-external -[OS_axr_data description]
00000001bab69678 (__TEXT,__text) non-external -[OS_axr_data hash]
00000001bab6965c (__TEXT,__text) non-external -[OS_axr_data isEqual:]
00000001babdeea0 (__TEXT,__text) non-external -[OS_axr_decoder copy]
00000001babdee60 (__TEXT,__text) non-external -[OS_axr_decoder dealloc]
00000001babdebe0 (__TEXT,__text) non-external -[OS_axr_decoder debugDescription]
00000001babdee54 (__TEXT,__text) non-external -[OS_axr_decoder description]
00000001babd95a0 (__TEXT,__text) non-external -[OS_axr_encoder dealloc]
00000001babd958c (__TEXT,__text) non-external -[OS_axr_encoder debugDescription]
00000001babd9594 (__TEXT,__text) non-external -[OS_axr_encoder description]
00000001babd7cc8 (__TEXT,__text) non-external -[OS_axr_part dealloc]
00000001babd7be8 (__TEXT,__text) non-external -[OS_axr_part debugDescription]
00000001babd7cbc (__TEXT,__text) non-external -[OS_axr_part description]
00000001bac11a6c (__TEXT,__gcc_except_tab) non-external GCC_except_table0
00000001bac11a9c (__TEXT,__gcc_except_tab) non-external GCC_except_table1
00000001bac11b78 (__TEXT,__gcc_except_tab) non-external GCC_except_table10
00000001bac11b20 (__TEXT,__gcc_except_tab) non-external GCC_except_table14
00000001bac11b88 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac11b98 (__TEXT,__gcc_except_tab) non-external GCC_except_table18
00000001bac11bc4 (__TEXT,__gcc_except_tab) non-external GCC_except_table21
00000001bac11aac (__TEXT,__gcc_except_tab) non-external GCC_except_table22
00000001bac11abc (__TEXT,__gcc_except_tab) non-external GCC_except_table25
00000001bac11a8c (__TEXT,__gcc_except_tab) non-external GCC_except_table3
00000001bac11ae4 (__TEXT,__gcc_except_tab) non-external GCC_except_table33
00000001bac11b00 (__TEXT,__gcc_except_tab) non-external GCC_except_table34
00000001bac11bf0 (__TEXT,__gcc_except_tab) non-external GCC_except_table45
00000001bac11c5c (__TEXT,__gcc_except_tab) non-external GCC_except_table49
00000001bac11b10 (__TEXT,__gcc_except_tab) non-external GCC_except_table7
00000001bac11b38 (__TEXT,__gcc_except_tab) non-external GCC_except_table8
00000001bac11b50 (__TEXT,__gcc_except_tab) non-external GCC_except_table9
00000001babd806c (__TEXT,__text) non-external (was a private external) _AXRCreateColorSpace
00000001babeff68 (__TEXT,__text) non-external _AXRCreateColorSpace.cold.1
00000001d7d8c9b8 (__DATA,__bss) non-external _AXRGetLog.log
00000001d7d8c9c0 (__DATA,__bss) non-external _AXRGetLog.onceToken
00000001babd926c (__TEXT,__text) non-external (was a private external) _AXRLogDebug
00000001babd9378 (__TEXT,__text) non-external (was a private external) _AXRLogError
00000001babd9160 (__TEXT,__text) non-external (was a private external) _AXRLogInfo
00000001babd9f8c (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotBigEnough
00000001babd9f84 (__TEXT,__text) non-external (was a private external) _AppleEXRDestinationNotWritable
00000001babd3940 (__TEXT,__text) non-external (was a private external) _ChunkLayout_Print
00000001d3c052c8 (__DATA_CONST,__const) non-external _ChunkLayout_Print.kLayouts
00000001babd911c (__TEXT,__text) non-external (was a private external) _GetEXRNameForChannelType
00000001d7d8caa8 (__DATA,__common) non-external (was a private external) _GetFlagsOnceToken
00000001babe1a40 (__TEXT,__text) non-external (was a private external) _GetLastByte
00000001babd94ec (__TEXT,__text) non-external _GetOSLog
00000001babd9484 (__TEXT,__text) non-external (was a private external) _InitializeDefaultFlags
                 (undefined) external _OBJC_CLASS_$_NSString (from Foundation)
00000001d97e93d8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_data
00000001d97e94c8 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_decoder
00000001d97e9478 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_encoder
00000001d97e9428 (__AUTH,__objc_data) non-external (was a private external) _OBJC_CLASS_$_OS_axr_part
                 (undefined) external _OBJC_CLASS_$_OS_object (from libSystem)
                 (undefined) external _OBJC_METACLASS_$_NSObject (from libobjc)
00000001d97e9400 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_data
00000001d97e94f0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_decoder
00000001d97e94a0 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_encoder
00000001d97e9450 (__AUTH,__objc_data) non-external (was a private external) _OBJC_METACLASS_$_OS_axr_part
                 (undefined) external _OBJC_METACLASS_$_OS_object (from libSystem)
                 (undefined) external __Block_copy (from libSystem)
                 (undefined) external __Block_release (from libSystem)
00000001babf0c38 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_data
00000001babf0ce8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_decoder
00000001babf0cb8 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_encoder
00000001babf0c88 (__TEXT,__objc_methlist) non-external __OBJC_$_INSTANCE_METHODS_OS_axr_part
00000001d3c05868 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c05bb8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c05f08 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c06258 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_NSObject
00000001d3c05980 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_data
00000001d3c06370 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_decoder
00000001d3c06020 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_encoder
00000001d3c05cd0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROP_LIST_OS_axr_part
00000001d3c05678 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c059c8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c05d18 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c06068 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_NSObject
00000001d3c05848 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c05b98 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c05ee8 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c06238 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_INSTANCE_METHODS_OPT_NSObject
00000001d3c058b0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c05c00 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c05f50 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c062a0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_METHOD_TYPES_NSObject
00000001d3c05950 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_data
00000001d3c06340 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_decoder
00000001d3c05ff0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_encoder
00000001d3c05ca0 (__DATA_CONST,__objc_const) non-external __OBJC_$_PROTOCOL_REFS_OS_axr_part
