00007ffa18d481f8 (__TEXT,__text) external _ConvertUTF16toUTF32
00007ffa18d482a9 (__TEXT,__text) external _ConvertUTF16toUTF8
00007ffa18d48134 (__TEXT,__text) external _ConvertUTF32toUTF16
00007ffa18d48430 (__TEXT,__text) external _ConvertUTF32toUTF8
00007ffa18d486df (__TEXT,__text) external _ConvertUTF8toUTF16
00007ffa18d48ab8 (__TEXT,__text) external _ConvertUTF8toUTF32
00007ffa18d488c0 (__TEXT,__text) external _ConvertUTF8toUTF32Partial
00007ffa41a572f8 (__DATA_DIRTY,__common) external _EnableIPRA
00007ffa18d95431 (__TEXT,__text) external _LLVMABIAlignmentOfType
00007ffa18d953e3 (__TEXT,__text) external _LLVMABISizeOfType
00007ffa18beb1fc (__TEXT,__text) external _LLVMAddAggressiveDCEPass
00007ffa1897a8f6 (__TEXT,__text) external _LLVMAddAlias
00007ffa18beb242 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
00007ffa18a2664c (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
00007ffa18d9718b (__TEXT,__text) external _LLVMAddAnalysisPasses
00007ffa18a26598 (__TEXT,__text) external _LLVMAddArgumentPromotionPass
00007ffa1897b093 (__TEXT,__text) external _LLVMAddAttribute
00007ffa1897ac77 (__TEXT,__text) external _LLVMAddAttributeAtIndex
00007ffa18e7c4c7 (__TEXT,__text) external _LLVMAddBBVectorizePass
00007ffa18beb797 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
00007ffa18beb21f (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
00007ffa18beb265 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
00007ffa1897b9e1 (__TEXT,__text) external _LLVMAddCallSiteAttribute
00007ffa1897c70d (__TEXT,__text) external _LLVMAddCase
00007ffa1897c75e (__TEXT,__text) external _LLVMAddClause
00007ffa18a265c0 (__TEXT,__text) external _LLVMAddConstantMergePass
00007ffa18beb67a (__TEXT,__text) external _LLVMAddConstantPropagationPass
00007ffa18beb6e8 (__TEXT,__text) external _LLVMAddCorrelatedValuePropagationPass
00007ffa18a265e3 (__TEXT,__text) external _LLVMAddDeadArgEliminationPass
00007ffa18beb2e0 (__TEXT,__text) external _LLVMAddDeadStoreEliminationPass
00007ffa18beb69d (__TEXT,__text) external _LLVMAddDemoteMemoryToRegisterPass
00007ffa1897c717 (__TEXT,__text) external _LLVMAddDestination
00007ffa18beb70b (__TEXT,__text) external _LLVMAddEarlyCSEPass
00007ffa1897a938 (__TEXT,__text) external _LLVMAddFunction
00007ffa1897abc9 (__TEXT,__text) external _LLVMAddFunctionAttr
00007ffa18a26606 (__TEXT,__text) external _LLVMAddFunctionAttrsPass
00007ffa18a26629 (__TEXT,__text) external _LLVMAddFunctionInliningPass
00007ffa18beb326 (__TEXT,__text) external _LLVMAddGVNPass
00007ffa1897a5f2 (__TEXT,__text) external _LLVMAddGlobal
00007ffa18a2666f (__TEXT,__text) external _LLVMAddGlobalDCEPass
00007ffa1897a66c (__TEXT,__text) external _LLVMAddGlobalInAddressSpace
00007ffa18a26692 (__TEXT,__text) external _LLVMAddGlobalOptimizerPass
00007ffa18a266b5 (__TEXT,__text) external _LLVMAddIPConstantPropagationPass
00007ffa18a266fb (__TEXT,__text) external _LLVMAddIPSCCPPass
00007ffa1897bf19 (__TEXT,__text) external _LLVMAddIncoming
00007ffa18beb370 (__TEXT,__text) external _LLVMAddIndVarSimplifyPass
00007ffa1897b787 (__TEXT,__text) external _LLVMAddInstrAttribute
00007ffa18beb393 (__TEXT,__text) external _LLVMAddInstructionCombiningPass
00007ffa18a2671e (__TEXT,__text) external _LLVMAddInternalizePass
00007ffa18beb3bb (__TEXT,__text) external _LLVMAddJumpThreadingPass
00007ffa18beb3e3 (__TEXT,__text) external _LLVMAddLICMPass
00007ffa18beb406 (__TEXT,__text) external _LLVMAddLoopDeletionPass
00007ffa18beb429 (__TEXT,__text) external _LLVMAddLoopIdiomPass
00007ffa18beb474 (__TEXT,__text) external _LLVMAddLoopRerollPass
00007ffa18beb44c (__TEXT,__text) external _LLVMAddLoopRotatePass
00007ffa18beb4ba (__TEXT,__text) external _LLVMAddLoopUnrollPass
00007ffa18beb4f1 (__TEXT,__text) external _LLVMAddLoopUnswitchPass
00007ffa18e7c4fe (__TEXT,__text) external _LLVMAddLoopVectorizePass
00007ffa18beb7ba (__TEXT,__text) external _LLVMAddLowerExpectIntrinsicPass
00007ffa18beb55c (__TEXT,__text) external _LLVMAddLowerSwitchPass
00007ffa18beb516 (__TEXT,__text) external _LLVMAddMemCpyOptPass
00007ffa18beb34d (__TEXT,__text) external _LLVMAddMergedLoadStoreMotionPass
00007ffa18979c02 (__TEXT,__text) external _LLVMAddNamedMetadataOperand
00007ffa18beb539 (__TEXT,__text) external _LLVMAddPartiallyInlineLibCallsPass
00007ffa18beb57f (__TEXT,__text) external _LLVMAddPromoteMemoryToRegisterPass
00007ffa18a266d8 (__TEXT,__text) external _LLVMAddPruneEHPass
00007ffa18beb5a2 (__TEXT,__text) external _LLVMAddReassociatePass
00007ffa18beb5c5 (__TEXT,__text) external _LLVMAddSCCPPass
00007ffa18e7c528 (__TEXT,__text) external _LLVMAddSLPVectorizePass
00007ffa18beb5e8 (__TEXT,__text) external _LLVMAddScalarReplAggregatesPass
00007ffa18beb60b (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassSSA
00007ffa18beb62e (__TEXT,__text) external _LLVMAddScalarReplAggregatesPassWithThreshold
00007ffa18beb303 (__TEXT,__text) external _LLVMAddScalarizerPass
00007ffa18beb774 (__TEXT,__text) external _LLVMAddScopedNoAliasAAPass
00007ffa18beb651 (__TEXT,__text) external _LLVMAddSimplifyLibCallsPass
00007ffa18a2679d (__TEXT,__text) external _LLVMAddStripDeadPrototypesPass
00007ffa18a267c0 (__TEXT,__text) external _LLVMAddStripSymbolsPass
00007ffa18d8b54d (__TEXT,__text) external _LLVMAddSymbol
00007ffa18beb657 (__TEXT,__text) external _LLVMAddTailCallEliminationPass
00007ffa1897ad25 (__TEXT,__text) external _LLVMAddTargetDependentFunctionAttr
00007ffa18d952a1 (__TEXT,__text) external _LLVMAddTargetLibraryInfo
00007ffa18beb751 (__TEXT,__text) external _LLVMAddTypeBasedAliasAnalysisPass
00007ffa18beb6c0 (__TEXT,__text) external _LLVMAddVerifierPass
00007ffa18979fe2 (__TEXT,__text) external _LLVMAlignOf
00007ffa1897b3fd (__TEXT,__text) external _LLVMAppendBasicBlock
00007ffa1897b39b (__TEXT,__text) external _LLVMAppendBasicBlockInContext
00007ffa18978a10 (__TEXT,__text) external _LLVMArrayType
00007ffa1897b25d (__TEXT,__text) external _LLVMBasicBlockAsValue
00007ffa1897a38f (__TEXT,__text) external _LLVMBlockAddress
00007ffa1897d0eb (__TEXT,__text) external _LLVMBuildAShr
00007ffa1897c79c (__TEXT,__text) external _LLVMBuildAdd
00007ffa1897e016 (__TEXT,__text) external _LLVMBuildAddrSpaceCast
00007ffa1897c2df (__TEXT,__text) external _LLVMBuildAggregateRet
00007ffa1897d9d3 (__TEXT,__text) external _LLVMBuildAlloca
00007ffa1897d1e7 (__TEXT,__text) external _LLVMBuildAnd
00007ffa1897da03 (__TEXT,__text) external _LLVMBuildArrayAlloca
00007ffa1897d915 (__TEXT,__text) external _LLVMBuildArrayMalloc
00007ffa1897e82e (__TEXT,__text) external _LLVMBuildAtomicCmpXchg
00007ffa1897e7fd (__TEXT,__text) external _LLVMBuildAtomicRMW
00007ffa1897d271 (__TEXT,__text) external _LLVMBuildBinOp
00007ffa1897dfda (__TEXT,__text) external _LLVMBuildBitCast
00007ffa1897c3c9 (__TEXT,__text) external _LLVMBuildBr
00007ffa1897e3f2 (__TEXT,__text) external _LLVMBuildCall
00007ffa1897e1ea (__TEXT,__text) external _LLVMBuildCast
