00007ff8400c6210 (__DATA,__data) external _NDR_record
00007ff800d22d94 (__TEXT,__text) non-external __Xexception_raise
00007ff800d22e3c (__TEXT,__text) non-external __Xexception_raise_state
00007ff800d22f46 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800d0f820 (__TEXT,__text) external _____sigwait_nocancel
00007ff800d39838 (__TEXT,__const) external ____kernelVersionNumber
00007ff800d39800 (__TEXT,__const) external ____kernelVersionString
00007ff800d0f838 (__TEXT,__text) external ___abort_with_payload
00007ff800d0f850 (__TEXT,__text) external ___accept
00007ff800d0f868 (__TEXT,__text) external ___accept_nocancel
00007ff800d0f880 (__TEXT,__text) external ___access_extended
00007ff800d0f898 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff800d0f8b0 (__TEXT,__text) external ___bind
00007ff800d0f8c8 (__TEXT,__text) external ___bsdthread_create
00007ff800d0f8e0 (__TEXT,__text) external ___bsdthread_ctl
00007ff800d0f8f8 (__TEXT,__text) external ___bsdthread_register
00007ff800d0f910 (__TEXT,__text) external ___bsdthread_terminate
00007ff800d220f2 (__TEXT,__text) external ___carbon_delete
00007ff800d0f928 (__TEXT,__text) external ___channel_get_info
00007ff800d0f940 (__TEXT,__text) external ___channel_get_opt
00007ff800d0f958 (__TEXT,__text) external ___channel_open
00007ff800d0f970 (__TEXT,__text) external ___channel_set_opt
00007ff800d0f988 (__TEXT,__text) external ___channel_sync
00007ff800d0f9a0 (__TEXT,__text) external ___chmod
00007ff800d0f9b8 (__TEXT,__text) external ___chmod_extended
00007ff800d0f9d0 (__TEXT,__text) external ___close_nocancel
00007ff800d0f9e8 (__TEXT,__text) external ___coalition
00007ff800d0fa00 (__TEXT,__text) external ___coalition_info
00007ff800d0fa18 (__TEXT,__text) external ___coalition_ledger
00007ff800d1504f (__TEXT,__text) external ___commpage_gettimeofday
00007ff800d15056 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00007ff800d0fa30 (__TEXT,__text) external ___connect
00007ff800d0fa48 (__TEXT,__text) external ___connect_nocancel
00007ff800d0fa60 (__TEXT,__text) external ___copyfile
00007ff800d0fa78 (__TEXT,__text) external ___crossarch_trap
00007ff800d0fa90 (__TEXT,__text) external ___csrctl
00007ff800d1a730 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff800d0faa8 (__TEXT,__text) external ___debug_syscall_reject
00007ff800d0fac0 (__TEXT,__text) external ___debug_syscall_reject_config
00007ff800d0fad8 (__TEXT,__text) external ___delete
00007ff800d0faf0 (__TEXT,__text) external ___disable_threadsignal
00007ff800d15756 (__TEXT,__text) external ___error
00007ff800d0fb08 (__TEXT,__text) external ___execve
00007ff800d0fb20 (__TEXT,__text) external ___exit
00007ff800d0fb38 (__TEXT,__text) external ___fchmod
00007ff800d0fb50 (__TEXT,__text) external ___fchmod_extended
00007ff800d0fb68 (__TEXT,__text) external ___fcntl
00007ff800d0fb80 (__TEXT,__text) external ___fcntl_nocancel
00007ff800d0fb98 (__TEXT,__text) external ___fork
00007ff800d0fbd0 (__TEXT,__text) external ___fs_snapshot
00007ff800d0fbe8 (__TEXT,__text) external ___fstat64_extended
00007ff800d0fc00 (__TEXT,__text) external ___fstat_extended
00007ff800d0fc18 (__TEXT,__text) external ___fsync_nocancel
00007ff800d1fcc8 (__TEXT,__text) external ___get_remove_counter
00007ff800d0fc30 (__TEXT,__text) external ___getattrlist
00007ff800d0fc48 (__TEXT,__text) external ___getdirentries64
00007ff800d0fc60 (__TEXT,__text) external ___gethostuuid
00007ff800d0fc78 (__TEXT,__text) external ___getlogin
00007ff800d0fc90 (__TEXT,__text) external ___getpeername
00007ff800d0fca8 (__TEXT,__text) external ___getpid
00007ff800d0fcdc (__TEXT,__text) external ___getrlimit
00007ff800d0fcf4 (__TEXT,__text) external ___getsgroups
00007ff800d0fd0c (__TEXT,__text) external ___getsockname
00007ff800d0fd24 (__TEXT,__text) external ___gettid
00007ff800d0fd51 (__TEXT,__text) external ___gettimeofday
00007ff800d0fd3c (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800d0fd7c (__TEXT,__text) external ___getwgroups
00007ff800d0fd94 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff800d0fdac (__TEXT,__text) external ___guarded_open_np
00007ff800d0fdc4 (__TEXT,__text) external ___identitysvc
00007ff800d1fcd3 (__TEXT,__text) external ___inc_remove_counter
00007ff800d0fddc (__TEXT,__text) external ___initgroups
00007ff800d0fdf4 (__TEXT,__text) external ___ioctl
00007ff800d0fe0c (__TEXT,__text) external ___iopolicysys
00007ff800d0fe24 (__TEXT,__text) external ___kdebug_trace
00007ff800d0fe3c (__TEXT,__text) external ___kdebug_trace64
00007ff800d0fe54 (__TEXT,__text) external ___kdebug_trace_string
00007ff800d0fe6c (__TEXT,__text) external ___kdebug_typefilter
00007ff800d398a8 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff800d39870 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff800d0fe84 (__TEXT,__text) external ___kill
00007ff800d0fe9c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff800d0feb4 (__TEXT,__text) external ___lchown
00007ff800d124ae (__TEXT,__text) external ___libkernel_init
00007ff800d124e1 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff800d124e0 (__TEXT,__text) external ___libkernel_init_late
00007ff800d1233b (__TEXT,__text) external ___libkernel_platform_init
00007ff800d12362 (__TEXT,__text) external ___libkernel_voucher_init
00007ff800d0fecc (__TEXT,__text) external ___listen
00007ff800d0fee4 (__TEXT,__text) external ___log_data
00007ff800d0fefc (__TEXT,__text) external ___lseek
00007ff800d0ff14 (__TEXT,__text) external ___lstat64_extended
00007ff800d0ff2c (__TEXT,__text) external ___lstat_extended
00007ff800d0ff44 (__TEXT,__text) external ___mac_execve
00007ff800d0ff5c (__TEXT,__text) external ___mac_get_fd
00007ff800d0ff74 (__TEXT,__text) external ___mac_get_file
00007ff800d0ff8c (__TEXT,__text) external ___mac_get_link
00007ff800d0ffa4 (__TEXT,__text) external ___mac_get_mount
00007ff800d0ffbc (__TEXT,__text) external ___mac_get_pid
00007ff800d0ffd4 (__TEXT,__text) external ___mac_get_proc
00007ff800d0ffec (__TEXT,__text) external ___mac_getfsstat
00007ff800d10004 (__TEXT,__text) external ___mac_mount
00007ff800d1001c (__TEXT,__text) external ___mac_set_fd
00007ff800d10034 (__TEXT,__text) external ___mac_set_file
00007ff800d1004c (__TEXT,__text) external ___mac_set_link
00007ff800d10064 (__TEXT,__text) external ___mac_set_proc
00007ff800d1007c (__TEXT,__text) external ___mac_syscall
00007ff800d10094 (__TEXT,__text) external ___mach_bridge_remote_time
00007ff800d100ac (__TEXT,__text) external ___mach_eventlink_signal
00007ff800d100c4 (__TEXT,__text) external ___mach_eventlink_signal_wait_until
00007ff800d100dc (__TEXT,__text) external ___mach_eventlink_wait_until
00007ff800d100f4 (__TEXT,__text) external ___map_with_linking_np
00007ff800d1010c (__TEXT,__text) external ___memorystatus_available_memory
00007ff800d10124 (__TEXT,__text) external ___microstackshot
00007ff800d1013c (__TEXT,__text) external ___mkdir_extended
00007ff800d10154 (__TEXT,__text) external ___mkfifo_extended
00007ff800d1016c (__TEXT,__text) external ___mmap
00007ff800d10184 (__TEXT,__text) external ___mprotect
00007ff800d1019c (__TEXT,__text) external ___msgctl
00007ff800d101b4 (__TEXT,__text) external ___msgrcv_nocancel
00007ff800d101cc (__TEXT,__text) external ___msgsnd_nocancel
00007ff800d101e4 (__TEXT,__text) external ___msgsys
00007ff800d101fc (__TEXT,__text) external ___msync
00007ff800d10214 (__TEXT,__text) external ___msync_nocancel
00007ff800d1022c (__TEXT,__text) external ___munmap
00007ff800d10244 (__TEXT,__text) external ___nexus_create
00007ff800d1025c (__TEXT,__text) external ___nexus_deregister
00007ff800d10274 (__TEXT,__text) external ___nexus_destroy
00007ff800d1028c (__TEXT,__text) external ___nexus_get_opt
00007ff800d102a4 (__TEXT,__text) external ___nexus_open
00007ff800d102bc (__TEXT,__text) external ___nexus_register
00007ff800d102d4 (__TEXT,__text) external ___nexus_set_opt
00007ff800d102ec (__TEXT,__text) external ___open
00007ff800d10304 (__TEXT,__text) external ___open_dprotected_np
00007ff800d1031c (__TEXT,__text) external ___open_extended
00007ff800d10334 (__TEXT,__text) external ___open_nocancel
00007ff800d1034c (__TEXT,__text) external ___openat
00007ff800d10364 (__TEXT,__text) external ___openat_dprotected_np
00007ff800d1037c (__TEXT,__text) external ___openat_nocancel
00007ff8400c6388 (__DATA,__bss) non-external ___os_ch_md_redzone_cookie
00007ff800d1f383 (__TEXT,__text) non-external ___os_nexus_config_flow
00007ff800d1f225 (__TEXT,__text) external ___os_nexus_flow_add
00007ff800d1f298 (__TEXT,__text) external ___os_nexus_flow_del
00007ff800d1f3f1 (__TEXT,__text) external ___os_nexus_get_llink_info
00007ff800d1f04b (__TEXT,__text) external ___os_nexus_ifattach
00007ff800d1f15c (__TEXT,__text) external ___os_nexus_ifdetach
00007ff800d10394 (__TEXT,__text) external ___oslog_coproc
00007ff800d103ac (__TEXT,__text) external ___oslog_coproc_reg
00007ff800d103c4 (__TEXT,__text) external ___persona
00007ff800d103dc (__TEXT,__text) external ___pipe
00007ff800d103f8 (__TEXT,__text) external ___poll_nocancel
00007ff800d10410 (__TEXT,__text) external ___posix_spawn
00007ff800d10428 (__TEXT,__text) external ___pread_nocancel
00007ff800d10440 (__TEXT,__text) external ___preadv_nocancel
00007ff800d10458 (__TEXT,__text) external ___proc_info
00007ff800d10470 (__TEXT,__text) external ___proc_info_extended_id
00007ff800d10488 (__TEXT,__text) external ___process_policy
00007ff800d104a0 (__TEXT,__text) external ___pselect
00007ff800d104b8 (__TEXT,__text) external ___pselect_nocancel
00007ff800d104d0 (__TEXT,__text) external ___psynch_cvbroad
00007ff800d104e8 (__TEXT,__text) external ___psynch_cvclrprepost
00007ff800d10500 (__TEXT,__text) external ___psynch_cvsignal
00007ff800d10518 (__TEXT,__text) external ___psynch_cvwait
00007ff800d10530 (__TEXT,__text) external ___psynch_mutexdrop
00007ff800d10548 (__TEXT,__text) external ___psynch_mutexwait
00007ff800d10560 (__TEXT,__text) external ___psynch_rw_downgrade
00007ff800d10578 (__TEXT,__text) external ___psynch_rw_longrdlock
00007ff800d10590 (__TEXT,__text) external ___psynch_rw_rdlock
00007ff800d105a8 (__TEXT,__text) external ___psynch_rw_unlock
00007ff800d105c0 (__TEXT,__text) external ___psynch_rw_unlock2
00007ff800d105d8 (__TEXT,__text) external ___psynch_rw_upgrade
00007ff800d105f0 (__TEXT,__text) external ___psynch_rw_wrlock
00007ff800d10608 (__TEXT,__text) external ___psynch_rw_yieldwrlock
00007ff800d10620 (__TEXT,__text) external ___pthread_canceled
00007ff800d10638 (__TEXT,__text) external ___pthread_chdir
00007ff800d10650 (__TEXT,__text) external ___pthread_fchdir
00007ff800d10668 (__TEXT,__text) external ___pthread_kill
00007ff800d10680 (__TEXT,__text) external ___pthread_markcancel
00007ff800d10698 (__TEXT,__text) external ___pthread_sigmask
00007ff800d106b0 (__TEXT,__text) external ___ptrace
00007ff800d106d4 (__TEXT,__text) external ___pwrite_nocancel
00007ff800d106ec (__TEXT,__text) external ___pwritev_nocancel
00007ff800d10704 (__TEXT,__text) external ___read_nocancel
00007ff800d1071c (__TEXT,__text) external ___readv_nocancel
00007ff800d10734 (__TEXT,__text) external ___reboot
00007ff800d1074c (__TEXT,__text) external ___record_system_event
00007ff800d10764 (__TEXT,__text) external ___recvfrom
00007ff800d1077c (__TEXT,__text) external ___recvfrom_nocancel
00007ff800d10794 (__TEXT,__text) external ___recvmsg
00007ff800d107ac (__TEXT,__text) external ___recvmsg_nocancel
00007ff8400c63a8 (__DATA,__bss) non-external ___remove_counter
00007ff800d107c4 (__TEXT,__text) external ___rename
00007ff800d107dc (__TEXT,__text) external ___renameat
00007ff800d107f4 (__TEXT,__text) external ___renameatx_np
00007ff800d1080c (__TEXT,__text) external ___rmdir
00007ff800d0ff44 (__TEXT,__text) external ___sandbox_me
00007ff800d10004 (__TEXT,__text) external ___sandbox_mm
00007ff800d1007c (__TEXT,__text) external ___sandbox_ms
00007ff800d10064 (__TEXT,__text) external ___sandbox_msp
00007ff800d10824 (__TEXT,__text) external ___select
00007ff800d1083c (__TEXT,__text) external ___select_nocancel
00007ff800d10854 (__TEXT,__text) external ___sem_open
00007ff800d1086c (__TEXT,__text) external ___sem_wait_nocancel
00007ff800d10884 (__TEXT,__text) external ___semctl
00007ff800d1089c (__TEXT,__text) external ___semsys
00007ff800d108b4 (__TEXT,__text) external ___semwait_signal
00007ff800d108cc (__TEXT,__text) external ___semwait_signal_nocancel
00007ff800d108e4 (__TEXT,__text) external ___sendmsg
00007ff800d108fc (__TEXT,__text) external ___sendmsg_nocancel
00007ff800d10914 (__TEXT,__text) external ___sendto
00007ff800d1092c (__TEXT,__text) external ___sendto_nocancel
00007ff800d10944 (__TEXT,__text) external ___setattrlist
00007ff800d1095c (__TEXT,__text) external ___setlogin
00007ff800d10974 (__TEXT,__text) external ___setpriority
00007ff800d1098c (__TEXT,__text) external ___setregid
00007ff800d109a4 (__TEXT,__text) external ___setreuid
00007ff800d109bc (__TEXT,__text) external ___setrlimit
00007ff800d109d4 (__TEXT,__text) external ___setsgroups
00007ff800d109ec (__TEXT,__text) external ___settid
00007ff800d10a04 (__TEXT,__text) external ___settid_with_pid
00007ff800d10a1c (__TEXT,__text) external ___settimeofday
00007ff800d10a34 (__TEXT,__text) external ___setwgroups
00007ff800d10a4c (__TEXT,__text) external ___sfi_ctl
00007ff800d10a64 (__TEXT,__text) external ___sfi_pidctl
00007ff800d10a7c (__TEXT,__text) external ___shared_region_check_np
00007ff800d10a94 (__TEXT,__text) external ___shared_region_map_and_slide_2_np
00007ff800d10aac (__TEXT,__text) external ___shm_open
00007ff800d10ac4 (__TEXT,__text) external ___shmctl
00007ff800d10adc (__TEXT,__text) external ___shmsys
00007ff800d10af4 (__TEXT,__text) external ___sigaction
00007ff800d10b0c (__TEXT,__text) external ___sigaltstack
00007ff800d10b24 (__TEXT,__text) external ___sigreturn
00007ff800d10b3c (__TEXT,__text) external ___sigsuspend
00007ff800d10b54 (__TEXT,__text) external ___sigsuspend_nocancel
00007ff800d10b6c (__TEXT,__text) external ___sigwait
00007ff800d10b84 (__TEXT,__text) external ___socketpair
00007ff800d10b9c (__TEXT,__text) external ___stack_snapshot_with_config
00007ff800d10bb4 (__TEXT,__text) external ___stat64_extended
00007ff800d10bcc (__TEXT,__text) external ___stat_extended
00007ff800d1818b (__TEXT,__text) non-external ___statfs_ext_impl
00007ff800d10be4 (__TEXT,__text) external ___syscall
00007ff8400c6a40 (__DATA,__common) external ___syscall_logger
00007ff800d10bfc (__TEXT,__text) external ___sysctl
00007ff800d10c14 (__TEXT,__text) external ___sysctlbyname
00007ff800d10c2c (__TEXT,__text) external ___telemetry
00007ff800d10c44 (__TEXT,__text) external ___terminate_with_payload
00007ff800d10c5c (__TEXT,__text) external ___thread_selfid
00007ff800d10c74 (__TEXT,__text) external ___thread_selfusage
00007ff800d10c8c (__TEXT,__text) external ___ulock_wait
00007ff800d10ca4 (__TEXT,__text) external ___ulock_wait2
00007ff800d10cbc (__TEXT,__text) external ___ulock_wake
00007ff800d10cd4 (__TEXT,__text) external ___umask_extended
00007ff800d10cec (__TEXT,__text) external ___unlink
00007ff800d10d04 (__TEXT,__text) external ___unlinkat
00007ff800d10d1c (__TEXT,__text) external ___vfork
00007ff800d10d74 (__TEXT,__text) external ___wait4
00007ff800d10d8c (__TEXT,__text) external ___wait4_nocancel
00007ff800d10da4 (__TEXT,__text) external ___waitid_nocancel
00007ff800d10dbc (__TEXT,__text) external ___work_interval_ctl
00007ff800d10dd4 (__TEXT,__text) external ___workq_kernreturn
00007ff800d10dec (__TEXT,__text) external ___workq_open
00007ff800d10e04 (__TEXT,__text) external ___write_nocancel
00007ff800d10e1c (__TEXT,__text) external ___writev_nocancel
00007ff8400c63fc (__DATA,__common) external __cpu_capabilities
00007ff8400c63f8 (__DATA,__common) external __cpu_has_altivec
00007ff8400c6030 (__DATA,__data) non-external (was a private external) __current_pid
00007ff8400c6368 (__DATA,__bss) non-external __dlsym
00007ff800d0f2b0 (__TEXT,__text) external __exclaves_ctl_trap
00007ff800d0fb20 (__TEXT,__text) external __exit
00007ff800d0f810 (__TEXT,__text) external __get_cpu_capabilities
00007ff8400c6380 (__DATA,__bss) non-external __gethostuuid_callback
00007ff800d17745 (__TEXT,__text) external __getprivatesystemidentifier
00007ff800d25591 (__TEXT,__text) external __host_page_size
00007ff800d1fe13 (__TEXT,__text) external __init_cpu_capabilities
00007ff800d26a4d (__TEXT,__text) external __kernelrpc_host_create_mach_voucher
00007ff800d27d26 (__TEXT,__text) external __kernelrpc_mach_port_allocate
00007ff800d29078 (__TEXT,__text) external __kernelrpc_mach_port_allocate_full
00007ff800d27c37 (__TEXT,__text) external __kernelrpc_mach_port_allocate_name
00007ff800d28f27 (__TEXT,__text) external __kernelrpc_mach_port_allocate_qos
00007ff800d0f094 (__TEXT,__text) external __kernelrpc_mach_port_allocate_trap
00007ff800d2aa3f (__TEXT,__text) external __kernelrpc_mach_port_assert_attributes
00007ff800d29d87 (__TEXT,__text) external __kernelrpc_mach_port_construct
00007ff800d0f0e8 (__TEXT,__text) external __kernelrpc_mach_port_construct_trap
00007ff800d27f46 (__TEXT,__text) external __kernelrpc_mach_port_deallocate
00007ff800d0f0a0 (__TEXT,__text) external __kernelrpc_mach_port_deallocate_trap
00007ff800d27e58 (__TEXT,__text) external __kernelrpc_mach_port_destroy
00007ff800d29ec1 (__TEXT,__text) external __kernelrpc_mach_port_destruct
00007ff800d0f0f4 (__TEXT,__text) external __kernelrpc_mach_port_destruct_trap
00007ff800d295da (__TEXT,__text) external __kernelrpc_mach_port_dnrequest_info
00007ff800d29941 (__TEXT,__text) external __kernelrpc_mach_port_extract_member
00007ff800d0f0dc (__TEXT,__text) external __kernelrpc_mach_port_extract_member_trap
00007ff800d289c8 (__TEXT,__text) external __kernelrpc_mach_port_extract_right
00007ff800d28c06 (__TEXT,__text) external __kernelrpc_mach_port_get_attributes
00007ff800d0f19c (__TEXT,__text) external __kernelrpc_mach_port_get_attributes_trap
00007ff800d29a30 (__TEXT,__text) external __kernelrpc_mach_port_get_context
00007ff800d28034 (__TEXT,__text) external __kernelrpc_mach_port_get_refs
00007ff800d2a8cd (__TEXT,__text) external __kernelrpc_mach_port_get_service_port_info
00007ff800d28556 (__TEXT,__text) external __kernelrpc_mach_port_get_set_status
00007ff800d292c8 (__TEXT,__text) external __kernelrpc_mach_port_get_srights
00007ff800d29fac (__TEXT,__text) external __kernelrpc_mach_port_guard
00007ff800d0f1a8 (__TEXT,__text) external __kernelrpc_mach_port_guard_trap
00007ff800d2a3dc (__TEXT,__text) external __kernelrpc_mach_port_guard_with_flags
00007ff800d29852 (__TEXT,__text) external __kernelrpc_mach_port_insert_member
00007ff800d0f0d0 (__TEXT,__text) external __kernelrpc_mach_port_insert_member_trap
00007ff800d288cb (__TEXT,__text) external __kernelrpc_mach_port_insert_right
00007ff800d0f0c4 (__TEXT,__text) external __kernelrpc_mach_port_insert_right_trap
00007ff800d2a795 (__TEXT,__text) external __kernelrpc_mach_port_is_connection_for_service
00007ff800d29716 (__TEXT,__text) external __kernelrpc_mach_port_kernel_object
00007ff800d29c40 (__TEXT,__text) external __kernelrpc_mach_port_kobject
00007ff800d2a5b2 (__TEXT,__text) external __kernelrpc_mach_port_kobject_description
00007ff800d28162 (__TEXT,__text) external __kernelrpc_mach_port_mod_refs
00007ff800d0f0ac (__TEXT,__text) external __kernelrpc_mach_port_mod_refs_trap
00007ff800d286a0 (__TEXT,__text) external __kernelrpc_mach_port_move_member
00007ff800d0f0b8 (__TEXT,__text) external __kernelrpc_mach_port_move_member_trap
00007ff800d2789e (__TEXT,__text) external __kernelrpc_mach_port_names
00007ff800d2824d (__TEXT,__text) external __kernelrpc_mach_port_peek
00007ff800d27b48 (__TEXT,__text) external __kernelrpc_mach_port_rename
00007ff800d2878f (__TEXT,__text) external __kernelrpc_mach_port_request_notification
00007ff800d0f2a4 (__TEXT,__text) external __kernelrpc_mach_port_request_notification_trap
00007ff800d28ddb (__TEXT,__text) external __kernelrpc_mach_port_set_attributes
00007ff800d29b59 (__TEXT,__text) external __kernelrpc_mach_port_set_context
00007ff800d28467 (__TEXT,__text) external __kernelrpc_mach_port_set_mscount
00007ff800d28b17 (__TEXT,__text) external __kernelrpc_mach_port_set_seqno
00007ff800d2a17e (__TEXT,__text) external __kernelrpc_mach_port_space_basic_info
00007ff800d293fa (__TEXT,__text) external __kernelrpc_mach_port_space_info
00007ff800d2a2aa (__TEXT,__text) external __kernelrpc_mach_port_special_reply_port_reset_link
00007ff800d2a4c7 (__TEXT,__text) external __kernelrpc_mach_port_swap_guard
00007ff800d27a16 (__TEXT,__text) external __kernelrpc_mach_port_type
00007ff800d0f298 (__TEXT,__text) external __kernelrpc_mach_port_type_trap
00007ff800d2a097 (__TEXT,__text) external __kernelrpc_mach_port_unguard
00007ff800d0f1b4 (__TEXT,__text) external __kernelrpc_mach_port_unguard_trap
00007ff800d2f332 (__TEXT,__text) external __kernelrpc_mach_ports_lookup3
00007ff800d2f22b (__TEXT,__text) external __kernelrpc_mach_ports_register3
00007ff800d332bf (__TEXT,__text) external __kernelrpc_mach_task_is_self
00007ff800d2ab8b (__TEXT,__text) external __kernelrpc_mach_vm_allocate
00007ff800d0f04c (__TEXT,__text) external __kernelrpc_mach_vm_allocate_trap
00007ff800d2acb7 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate
00007ff800d0f064 (__TEXT,__text) external __kernelrpc_mach_vm_deallocate_trap
00007ff800d2b726 (__TEXT,__text) external __kernelrpc_mach_vm_map
00007ff800d0f088 (__TEXT,__text) external __kernelrpc_mach_vm_map_trap
00007ff800d2ad9e (__TEXT,__text) external __kernelrpc_mach_vm_protect
00007ff800d0f07c (__TEXT,__text) external __kernelrpc_mach_vm_protect_trap
00007ff800d2c22a (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control
00007ff800d0f058 (__TEXT,__text) external __kernelrpc_mach_vm_purgable_control_trap
00007ff800d2af78 (__TEXT,__text) external __kernelrpc_mach_vm_read
00007ff800d2b9d1 (__TEXT,__text) external __kernelrpc_mach_vm_remap
00007ff800d2c688 (__TEXT,__text) external __kernelrpc_mach_vm_remap_new
00007ff800d2cd2d (__TEXT,__text) external __kernelrpc_mach_vm_update_pointers_with_remote_tags
