00000001e9c429a0 (__DATA,__data) external _NDR_record
00000001804cceec (__TEXT,__text) non-external __Xexception_raise
00000001804ccdd4 (__TEXT,__text) non-external __Xexception_raise_state
00000001804ccc74 (__TEXT,__text) non-external __Xexception_raise_state_identity
00000001804baadc (__TEXT,__text) external _____sigwait_nocancel
00000001804e2b30 (__TEXT,__const) external ____kernelVersionNumber
00000001804e2af8 (__TEXT,__const) external ____kernelVersionString
00000001804bab08 (__TEXT,__text) external ___abort_with_payload
00000001804b66c4 (__TEXT,__text) external ___accept
00000001804bab34 (__TEXT,__text) external ___accept_nocancel
00000001804bab60 (__TEXT,__text) external ___access_extended
00000001804bab8c (__TEXT,__text) external ___aio_suspend_nocancel
00000001804b5b2c (__TEXT,__text) external ___bind
00000001804b1ad0 (__TEXT,__text) external ___bsdthread_create
00000001804afa98 (__TEXT,__text) external ___bsdthread_ctl
00000001804b3d24 (__TEXT,__text) external ___bsdthread_register
00000001804b0b74 (__TEXT,__text) external ___bsdthread_terminate
00000001804ba324 (__TEXT,__text) external ___carbon_delete
00000001804babb8 (__TEXT,__text) external ___channel_get_info
00000001804babe4 (__TEXT,__text) external ___channel_get_opt
00000001804bac10 (__TEXT,__text) external ___channel_open
00000001804bac3c (__TEXT,__text) external ___channel_set_opt
00000001804bac68 (__TEXT,__text) external ___channel_sync
00000001804b1a18 (__TEXT,__text) external ___chmod
00000001804b3734 (__TEXT,__text) external ___chmod_extended
00000001804af57c (__TEXT,__text) external ___close_nocancel
00000001804bac94 (__TEXT,__text) external ___coalition
00000001804bacc0 (__TEXT,__text) external ___coalition_info
00000001804bacec (__TEXT,__text) external ___coalition_ledger
00000001804afbf0 (__TEXT,__text) external ___commpage_gettimeofday
00000001804afbf8 (__TEXT,__text) non-external ___commpage_gettimeofday_internal
00000001804b235c (__TEXT,__text) external ___connect
00000001804b21c4 (__TEXT,__text) external ___connect_nocancel
00000001804bad18 (__TEXT,__text) external ___copyfile
00000001804bad44 (__TEXT,__text) external ___crossarch_trap
00000001804ae6e8 (__TEXT,__text) external ___csrctl
00000001804c4d78 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00000001804bad70 (__TEXT,__text) external ___debug_syscall_reject
00000001804bad9c (__TEXT,__text) external ___debug_syscall_reject_config
00000001804ba350 (__TEXT,__text) external ___delete
00000001804b0b48 (__TEXT,__text) external ___disable_threadsignal
00000001804ae618 (__TEXT,__text) external ___error
00000001804badc8 (__TEXT,__text) external ___execve
00000001804b557c (__TEXT,__text) external ___exit
00000001804b2618 (__TEXT,__text) external ___fchmod
00000001804b3844 (__TEXT,__text) external ___fchmod_extended
00000001804ae8bc (__TEXT,__text) external ___fcntl
00000001804b216c (__TEXT,__text) external ___fcntl_nocancel
00000001804b58ec (__TEXT,__text) external ___fork
00000001804badf4 (__TEXT,__text) external ___fs_snapshot
00000001804bc254 (__TEXT,__text) external ___fstat
00000001804b3818 (__TEXT,__text) external ___fstat64_extended
00000001804bae20 (__TEXT,__text) external ___fstat_extended
00000001804bc2ac (__TEXT,__text) external ___fstatat
00000001804bc304 (__TEXT,__text) external ___fstatfs
00000001804bae4c (__TEXT,__text) external ___fsync_nocancel
00000001804b7498 (__TEXT,__text) external ___get_remove_counter
00000001804ae634 (__TEXT,__text) external ___getattrlist
00000001804af9bc (__TEXT,__text) external ___getdirentries64
00000001804bc438 (__TEXT,__text) external ___getfsstat
00000001804b36dc (__TEXT,__text) external ___gethostuuid
00000001804b9ccc (__TEXT,__text) external ___getlogin
00000001804b24f0 (__TEXT,__text) external ___getpeername
00000001804ae178 (__TEXT,__text) external ___getpid
00000001804b00c0 (__TEXT,__text) external ___getrlimit
00000001804bae78 (__TEXT,__text) external ___getsgroups
00000001804b59f4 (__TEXT,__text) external ___getsockname
00000001804af87c (__TEXT,__text) external ___gettid
00000001804b1b54 (__TEXT,__text) external ___gettimeofday
00000001804b1b28 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00000001804baea4 (__TEXT,__text) external ___getwgroups
00000001804baed0 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001804b158c (__TEXT,__text) external ___guarded_open_np
00000001804baefc (__TEXT,__text) external ___identitysvc
00000001804b18b0 (__TEXT,__text) external ___inc_remove_counter
00000001804b9ca0 (__TEXT,__text) external ___initgroups
00000001804b2330 (__TEXT,__text) external ___ioctl
00000001804b2680 (__TEXT,__text) external ___iopolicysys
00000001804baf28 (__TEXT,__text) external ___kdebug_trace
00000001804b090c (__TEXT,__text) external ___kdebug_trace64
00000001804baf54 (__TEXT,__text) external ___kdebug_trace_string
00000001804b39b8 (__TEXT,__text) external ___kdebug_typefilter
00000001804e2ba0 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00000001804e2b68 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00000001804b6000 (__TEXT,__text) external ___kill
00000001804b4444 (__TEXT,__text) external ___kqueue_workloop_ctl
00000001804b38f4 (__TEXT,__text) external ___lchown
00000001804b39e4 (__TEXT,__text) external ___libkernel_init
00000001804bd904 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00000001804bd804 (__TEXT,__text) external ___libkernel_init_late
00000001804b3d10 (__TEXT,__text) external ___libkernel_platform_init
00000001804ae168 (__TEXT,__text) external ___libkernel_voucher_init
00000001804b6698 (__TEXT,__text) external ___listen
00000001804baf80 (__TEXT,__text) external ___log_data
00000001804af61c (__TEXT,__text) external ___lseek
00000001804bc61c (__TEXT,__text) external ___lstat
00000001804b3760 (__TEXT,__text) external ___lstat64_extended
00000001804bafac (__TEXT,__text) external ___lstat_extended
00000001804bafd8 (__TEXT,__text) external ___mac_execve
00000001804bb004 (__TEXT,__text) external ___mac_get_fd
00000001804bb030 (__TEXT,__text) external ___mac_get_file
00000001804bb05c (__TEXT,__text) external ___mac_get_link
00000001804bb088 (__TEXT,__text) external ___mac_get_mount
00000001804bb0b4 (__TEXT,__text) external ___mac_get_pid
00000001804bb0e0 (__TEXT,__text) external ___mac_get_proc
00000001804bb10c (__TEXT,__text) external ___mac_getfsstat
00000001804bb138 (__TEXT,__text) external ___mac_mount
00000001804bb164 (__TEXT,__text) external ___mac_set_fd
00000001804bb190 (__TEXT,__text) external ___mac_set_file
00000001804bb1bc (__TEXT,__text) external ___mac_set_link
00000001804b6638 (__TEXT,__text) external ___mac_set_proc
00000001804af728 (__TEXT,__text) external ___mac_syscall
00000001804bb1e8 (__TEXT,__text) external ___mach_bridge_remote_time
00000001804bb214 (__TEXT,__text) external ___mach_eventlink_signal
