00007ff943501c70 (__DATA,__data) external _AKAdornmentZPositionOffset
00007ff943500f60 (__DATA,__data) external _AKAnnotationChangeObjectKey
00007ff943500f48 (__DATA,__data) external _AKAnnotationLayerSetupCompleteNotification
00007ff943500f58 (__DATA,__data) external _AKAnnotationPropertiesChangedNotification
00007ff943500f50 (__DATA,__data) external _AKAnnotationsAddedOrRemovedNotification
00007ff9410e5af0 (__DATA_CONST,__const) external _AKAttributeControllerInkDidChangeNotification
00007ff9410e5e70 (__DATA_CONST,__const) external _AKChildAnnotationUUIDAssociatedObjectKey
00007ff9410e5880 (__DATA_CONST,__const) external _AKContentScrollViewEndScrollOrMagnifyNotification
00007ff9410e5878 (__DATA_CONST,__const) external _AKContentScrollViewVisibleRectChangeNotification
00007ff943500f98 (__DATA,__data) external _AKControllerDrawingGestureRecognizerNeedsDependencyUpdate
00007ff943500f30 (__DATA,__data) external _AKControllerSuggestedTouchBarItemChanged
00007ff943500f90 (__DATA,__data) external _AKControllerWillSaveNotification
00007ff9410e5580 (__DATA_CONST,__const) external _AKControllerWillTeardownNotification
00007ff943500f70 (__DATA,__data) external _AKDidEndEditingTextAnnotationNotification
00007ff943500f78 (__DATA,__data) external _AKEditingTextAnnotationKey
00007ff90c99c9aa (__TEXT,__text) external _AKLog
00007ff9410e5e68 (__DATA_CONST,__const) external _AKParentAnnotationUUIDAssociatedObjectKey
00007ff943500c60 (__DATA,__data) external _AKPointOfInterestRadius_Handle_Alternate
00007ff943500c58 (__DATA,__data) external _AKPointOfInterestSize_Handle
00007ff943500c50 (__DATA,__data) external _AKPointOfInterestSize_LargestHandleSize
00007ff90c94ed9f (__TEXT,__text) external _AKQuadrilateralCreateDictionaryRepresentation
00007ff90c94f50a (__TEXT,__text) external _AKQuadrilateralMakeWithDictionaryRepresentation
00007ff943500f80 (__DATA,__data) external _AKSelectionChangedNotification
00007ff943500f88 (__DATA,__data) external _AKSelectionChangedPageModelControllerKey
00007ff943501ca0 (__DATA,__data) external _AKSidecarControllerConnectedDeviceChangedNotification
00007ff943501c98 (__DATA,__data) external _AKSidecarControllerDevicesChangedNotification
00007ff90c98976f (__TEXT,__text) external _AKSidecarMarkupApplicationDictionary
00007ff943500fa0 (__DATA,__data) external _AKStatisticsDocumentTypeImage
00007ff943500fa8 (__DATA,__data) external _AKStatisticsDocumentTypePDF
00007ff9410e69c0 (__DATA_CONST,__const) external _AKTextAnnotationTypingAttributesTextContentTypeKey
00007ff943500f40 (__DATA,__data) external _AKTouchBarItemIdentifierHighlights
00007ff943500f38 (__DATA,__data) external _AKTouchBarItemIdentifierMain
00007ff943500f68 (__DATA,__data) external _AKWillBeginEditingTextAnnotationNotification
00007ff90c9d7900 (__TEXT,__const) external _AKZeroQuadrilateral
                 (undefined) external _AVCaptureSessionErrorKey (from AVFoundation)
                 (undefined) external _AVCaptureSessionRuntimeErrorNotification (from AVFoundation)
                 (undefined) external _AVLayerVideoGravityResizeAspectFill (from AVFoundation)
                 (undefined) external _AVMediaTypeVideo (from AVFoundation)
                 (undefined) external _AnalyticsSendEventLazy (from CoreAnalytics)
                 (undefined) external _CATransform3DIdentity (from QuartzCore)
                 (undefined) external _CATransform3DMakeScale (from QuartzCore)
                 (undefined) external _CCCrypt (from libSystem)
                 (undefined) external _CC_SHA256 (from libSystem)
                 (undefined) external _CFAbsoluteTimeGetCurrent (from CoreFoundation)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFDataCreateMutable (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRunLoopGetCurrent (from CoreFoundation)
                 (undefined) external _CFRunLoopGetMain (from CoreFoundation)
                 (undefined) external _CFRunLoopPerformBlock (from CoreFoundation)
                 (undefined) external _CFRunLoopWakeUp (from CoreFoundation)
                 (undefined) external _CGAffineTransformConcat (from CoreGraphics)
                 (undefined) external _CGAffineTransformEqualToTransform (from CoreGraphics)
                 (undefined) external _CGAffineTransformIdentity (from CoreGraphics)
                 (undefined) external _CGAffineTransformInvert (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeRotation (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformMakeTranslation (from CoreGraphics)
                 (undefined) external _CGAffineTransformRotate (from CoreGraphics)
                 (undefined) external _CGAffineTransformScale (from CoreGraphics)
                 (undefined) external _CGAffineTransformTranslate (from CoreGraphics)
                 (undefined) external _CGAssociateMouseAndMouseCursorPosition (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreate (from CoreGraphics)
                 (undefined) external _CGBitmapContextCreateImage (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitmapInfo (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerComponent (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBitsPerPixel (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetBytesPerRow (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetColorSpace (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetData (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetHeight (from CoreGraphics)
                 (undefined) external _CGBitmapContextGetWidth (from CoreGraphics)
                 (undefined) external _CGColorCreate (from CoreGraphics)
                 (undefined) external _CGColorGetAlpha (from CoreGraphics)
                 (undefined) external _CGColorGetColorSpace (from CoreGraphics)
                 (undefined) external _CGColorGetComponents (from CoreGraphics)
