0000000000000a7e (__TEXT,__text) external _InitVM_console
00000000000009ef (__TEXT,__text) external _Init_console
                 (undefined) external ___error (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
                 (undefined) external _cfmakeraw (from libSystem)
                 (undefined) external _ioctl (from libSystem)
                 (undefined) external _rb_Array (from libruby.2)
                 (undefined) external _rb_assoc_new (from libruby.2)
                 (undefined) external _rb_cFile (from libruby.2)
                 (undefined) external _rb_cIO (from libruby.2)
                 (undefined) external _rb_check_id (from libruby.2)
                 (undefined) external _rb_check_safe_obj (from libruby.2)
                 (undefined) external _rb_check_type (from libruby.2)
                 (undefined) external _rb_class_new_instance (from libruby.2)
                 (undefined) external _rb_cloexec_open (from libruby.2)
                 (undefined) external _rb_const_defined (from libruby.2)
                 (undefined) external _rb_const_get (from libruby.2)
                 (undefined) external _rb_const_remove (from libruby.2)
                 (undefined) external _rb_const_set (from libruby.2)
                 (undefined) external _rb_default_rs (from libruby.2)
                 (undefined) external _rb_define_method (from libruby.2)
                 (undefined) external _rb_define_module_under (from libruby.2)
                 (undefined) external _rb_define_singleton_method (from libruby.2)
                 (undefined) external _rb_eArgError (from libruby.2)
                 (undefined) external _rb_ensure (from libruby.2)
                 (undefined) external _rb_error_arity (from libruby.2)
                 (undefined) external _rb_f_notimplement (from libruby.2)
                 (undefined) external _rb_fix2int (from libruby.2)
                 (undefined) external _rb_funcallv (from libruby.2)
                 (undefined) external _rb_funcallv_public (from libruby.2)
                 (undefined) external _rb_hash_aref (from libruby.2)
                 (undefined) external _rb_id2sym (from libruby.2)
                 (undefined) external _rb_intern (from libruby.2)
                 (undefined) external _rb_intern2 (from libruby.2)
                 (undefined) external _rb_io_check_closed (from libruby.2)
                 (undefined) external _rb_io_close (from libruby.2)
                 (undefined) external _rb_io_get_write_io (from libruby.2)
                 (undefined) external _rb_io_gets (from libruby.2)
                 (undefined) external _rb_io_taint_check (from libruby.2)
                 (undefined) external _rb_io_write (from libruby.2)
                 (undefined) external _rb_jump_tag (from libruby.2)
                 (undefined) external _rb_num2int (from libruby.2)
                 (undefined) external _rb_num2uint (from libruby.2)
                 (undefined) external _rb_obj_freeze (from libruby.2)
                 (undefined) external _rb_protect (from libruby.2)
                 (undefined) external _rb_raise (from libruby.2)
                 (undefined) external _rb_scan_args (from libruby.2)
                 (undefined) external _rb_stderr (from libruby.2)
                 (undefined) external _rb_stdin (from libruby.2)
                 (undefined) external _rb_str_new_static (from libruby.2)
                 (undefined) external _rb_string_value_cstr (from libruby.2)
                 (undefined) external _rb_sys_fail (from libruby.2)
                 (undefined) external _rb_syserr_fail (from libruby.2)
                 (undefined) external _rb_update_max_fd (from libruby.2)
                 (undefined) external _rb_yield (from libruby.2)
                 (undefined) external _tcflush (from libSystem)
                 (undefined) external _tcgetattr (from libSystem)
                 (undefined) external _tcsetattr (from libSystem)
                 (undefined) external _write (from libSystem)
                 (undefined) external dyld_stub_binder (from libSystem)
