00000001dbf4bfe4 (__TEXT,__text) non-external _DiToMD5
00000001dbf4c314 (__TEXT,__text) non-external _DiToSHA1
00000001dbf30304 (__TEXT,__text) external _DriverExecutableMain
00000001f240d770 (__AUTH_CONST,__const) external _IOBufferMemoryDescriptor_Class
00000001f240da30 (__AUTH_CONST,__const) external _IOCommandPool_Class
00000001f240d938 (__AUTH_CONST,__const) external _IOCommand_Class
00000001f240db28 (__AUTH_CONST,__const) external _IODMACommand_Class
00000001f240dcd8 (__AUTH_CONST,__const) external _IODataQueueDispatchSource_Class
00000001dbf2c638 (__TEXT,__text) external _IODelay
00000001f240de88 (__AUTH_CONST,__const) external _IODispatchQueue_Class
00000001f240e038 (__AUTH_CONST,__const) external _IODispatchSource_Class
00000001dbf30880 (__TEXT,__text) external _IODriverKitTest
00000001dbf5e7b0 (__TEXT,__text) non-external _IODriverKitTest.cold.1
00000001dbf5e7e4 (__TEXT,__text) non-external _IODriverKitTest.cold.2
00000001dbf5e810 (__TEXT,__text) non-external _IODriverKitTest.cold.3
00000001dbf5e844 (__TEXT,__text) non-external _IODriverKitTest.cold.4
00000001dbf5e870 (__TEXT,__text) non-external _IODriverKitTest.cold.5
00000001dbf5e89c (__TEXT,__text) non-external _IODriverKitTest.cold.6
00000001dbf5e8c8 (__TEXT,__text) non-external _IODriverKitTest.cold.7
00000001dbf5e8f4 (__TEXT,__text) non-external _IODriverKitTest.cold.8
00000001f240e1e8 (__AUTH_CONST,__const) external _IOEventLink_Class
00000001f240e398 (__AUTH_CONST,__const) external _IOExtensiblePaniclog_Class
00000001dbf2c604 (__TEXT,__text) external _IOFree
00000001dbf2c628 (__TEXT,__text) external _IOFreeData
00000001dbf30850 (__TEXT,__text) external _IOGetExecutableSDKVersion
00000001f240ec68 (__AUTH_CONST,__const) external _IOHistogramReporter_Class
00000001f240e578 (__AUTH_CONST,__const) external _IOInterruptDispatchSource_Class
00000001dbf2c644 (__TEXT,__text) non-external (was a private external) _IOLibInit
00000001dbf2f844 (__TEXT,__text) external _IOLockAlloc
00000001dbf2f884 (__TEXT,__text) external _IOLockAssert
00000001dbf5e0bc (__TEXT,__text) non-external _IOLockAssert.cold.1
00000001dbf2f868 (__TEXT,__text) external _IOLockFree
00000001dbf2f878 (__TEXT,__text) external _IOLockLock
00000001dbf2f87c (__TEXT,__text) external _IOLockTryLock
00000001dbf2f880 (__TEXT,__text) external _IOLockUnlock
00000001dbf2c46c (__TEXT,__text) external _IOLog
00000001dbf2c338 (__TEXT,__text) external _IOLogBuffer
00000001dbf2c498 (__TEXT,__text) external _IOLogv
00000001dbf2c5c4 (__TEXT,__text) external _IOMalloc
00000001dbf2c608 (__TEXT,__text) external _IOMallocData
00000001dbf2c5d8 (__TEXT,__text) external _IOMallocTyped
00000001dbf2c5ec (__TEXT,__text) external _IOMallocZero
00000001dbf2c61c (__TEXT,__text) external _IOMallocZeroData
00000001dbf2c5f8 (__TEXT,__text) external _IOMallocZeroTyped
00000001f240e728 (__AUTH_CONST,__const) external _IOMemoryDescriptor_Class
00000001f240e8d8 (__AUTH_CONST,__const) external _IOMemoryMap_Class
00000001dbf2c6e4 (__TEXT,__text) external _IOParseBootArgNumber
00000001dbf2cbac (__TEXT,__text) external _IOParseBootArgString
00000001dbf2e850 (__TEXT,__text) external _IORPCMessageFromMach
00000001dbf5ddbc (__TEXT,__text) non-external _IORPCMessageFromMach.cold.1
00000001dbf5ddfc (__TEXT,__text) non-external _IORPCMessageFromMach.cold.2
00000001dbf2faec (__TEXT,__text) external _IORWLockAlloc
00000001dbf5e21c (__TEXT,__text) non-external _IORWLockAlloc.cold.1
00000001dbf2fb30 (__TEXT,__text) external _IORWLockFree
00000001dbf2fb74 (__TEXT,__text) external _IORWLockRead
00000001dbf5e248 (__TEXT,__text) non-external _IORWLockRead.cold.1
00000001dbf2fbb4 (__TEXT,__text) external _IORWLockUnlock
00000001dbf5e2a0 (__TEXT,__text) non-external _IORWLockUnlock.cold.1
00000001dbf2fb94 (__TEXT,__text) external _IORWLockWrite
00000001dbf5e274 (__TEXT,__text) non-external _IORWLockWrite.cold.1
00000001dbf2f90c (__TEXT,__text) external _IORecursiveConditionLockAlloc
00000001dbf2f948 (__TEXT,__text) external _IORecursiveConditionLockFree
00000001dbf2fa30 (__TEXT,__text) external _IORecursiveConditionLockHaveLock
00000001dbf5e198 (__TEXT,__text) non-external _IORecursiveConditionLockHaveLock.cold.1
00000001dbf2f958 (__TEXT,__text) external _IORecursiveConditionLockLock
00000001dbf5e0e8 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.1
00000001dbf5e114 (__TEXT,__text) non-external _IORecursiveConditionLockLock.cold.2
00000001dbf2fa74 (__TEXT,__text) external _IORecursiveConditionLockTryLock
00000001dbf5e1c4 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.1
00000001dbf5e1f0 (__TEXT,__text) non-external _IORecursiveConditionLockTryLock.cold.2
00000001dbf2f9c0 (__TEXT,__text) external _IORecursiveConditionLockUnlock
00000001dbf5e140 (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.1
00000001dbf5e16c (__TEXT,__text) non-external _IORecursiveConditionLockUnlock.cold.2
00000001dbf2f8c4 (__TEXT,__text) external _IORecursiveLockAlloc
00000001dbf2f8e8 (__TEXT,__text) external _IORecursiveLockFree
00000001dbf2f904 (__TEXT,__text) external _IORecursiveLockHaveLock
00000001dbf2f8f8 (__TEXT,__text) external _IORecursiveLockLock
00000001dbf2f908 (__TEXT,__text) external _IORecursiveLockTryLock
00000001dbf2f900 (__TEXT,__text) external _IORecursiveLockUnlock
00000001f240ed08 (__AUTH_CONST,__const) external _IOReportLegend_Class
00000001f240ea88 (__AUTH_CONST,__const) external _IOReporter_Class
00000001f240f338 (__AUTH_CONST,__const) external _IOServiceNotificationDispatchSource_Class
00000001f240f4e8 (__AUTH_CONST,__const) external _IOServiceStateNotificationDispatchSource_Class
00000001f240f188 (__AUTH_CONST,__const) external _IOService_Class
00000001f240eb28 (__AUTH_CONST,__const) external _IOSimpleReporter_Class
00000001dbf2c62c (__TEXT,__text) external _IOSleep
00000001f240ebc8 (__AUTH_CONST,__const) external _IOStateReporter_Class
00000001dbf2fc80 (__TEXT,__text) external _IOThreadLocalStorageGet
00000001dbf2fbd4 (__TEXT,__text) external _IOThreadLocalStorageKeyCreate
00000001dbf2fc24 (__TEXT,__text) external _IOThreadLocalStorageKeyDelete
00000001dbf2fc4c (__TEXT,__text) external _IOThreadLocalStorageSet
00000001f24112e8 (__AUTH_CONST,__const) external _IOThread_Class
00000001f240f698 (__AUTH_CONST,__const) external _IOTimerDispatchSource_Class
00000001f240f848 (__AUTH_CONST,__const) external _IOUserClient_Class
00000001dbf30358 (__TEXT,__text) external _IOUserServerMain
00000001dbf5e5f8 (__TEXT,__text) non-external _IOUserServerMain.cold.1
00000001dbf5e784 (__TEXT,__text) non-external _IOUserServerMain.cold.10
00000001dbf5e624 (__TEXT,__text) non-external _IOUserServerMain.cold.2
00000001dbf5e650 (__TEXT,__text) non-external _IOUserServerMain.cold.3
00000001dbf5e67c (__TEXT,__text) non-external _IOUserServerMain.cold.4
00000001dbf5e6a8 (__TEXT,__text) non-external _IOUserServerMain.cold.5
00000001dbf5e6d4 (__TEXT,__text) non-external _IOUserServerMain.cold.6
00000001dbf5e700 (__TEXT,__text) non-external _IOUserServerMain.cold.7
00000001dbf5e72c (__TEXT,__text) non-external _IOUserServerMain.cold.8
00000001dbf5e758 (__TEXT,__text) non-external _IOUserServerMain.cold.9
00000001f240fbc8 (__AUTH_CONST,__const) external _IOUserServer_Class
00000001e874dcf8 (__DATA_DIRTY,__common) external _IOVMPageSize
00000001f240fd78 (__AUTH_CONST,__const) external _IOWorkGroup_Class
00000001dbf4c1a8 (__TEXT,__text) external _MD5Final
00000001dbf4bf34 (__TEXT,__text) external _MD5Init
00000001dbf4c12c (__TEXT,__text) non-external _MD5ToDi
00000001dbf4c054 (__TEXT,__text) external _MD5Update
                 (undefined) external _NDR_record (from libSystem)
00000001f240ff28 (__AUTH_CONST,__const) external _OSAction_Class
00000001f240f8e8 (__AUTH_CONST,__const) external _OSAction_IOUserClient_KernelCompletion_Class
00000001f2411028 (__AUTH_CONST,__const) external _OSAction__IOBlockStorageDevice_KernelCompletion_Class
00000001dbf3b12c (__TEXT,__text) external _OSArrayAppendValue
00000001dbf3ac94 (__TEXT,__text) external _OSArrayApply
00000001dbf3ac30 (__TEXT,__text) external _OSArrayCreate
00000001dbf3a108 (__TEXT,__text) external _OSArrayGetCount
00000001dbf3b1d4 (__TEXT,__text) external _OSArrayGetStringValue
00000001dbf3b284 (__TEXT,__text) external _OSArrayGetUInt64Value
00000001dbf3b160 (__TEXT,__text) external _OSArrayGetValue
00000001dbf3b124 (__TEXT,__text) external _OSArrayReplaceValue
00000001dbf3b200 (__TEXT,__text) external _OSArraySetStringValue
00000001dbf3b38c (__TEXT,__text) external _OSArraySetUInt64Value
00000001dbf3af3c (__TEXT,__text) external _OSArraySetValue
00000001f24100d8 (__AUTH_CONST,__const) external _OSArray_Class
00000001f24101d0 (__AUTH_CONST,__const) external _OSBoolean_Class
00000001f24102c8 (__AUTH_CONST,__const) external _OSBundle_Class
