00007ff841a9d3b8 (__DATA,__data) external _NDR_record
00007ff8002f8437 (__TEXT,__text) non-external __Xexception_raise
00007ff8002f84e2 (__TEXT,__text) non-external __Xexception_raise_state
00007ff8002f85d7 (__TEXT,__text) non-external __Xexception_raise_state_identity
00007ff800307d80 (__TEXT,__text) external _____old_semwait_signal_nocancel
00007ff800307d98 (__TEXT,__text) external _____sigwait_nocancel
00007ff80030a078 (__TEXT,__const) external ____kernelVersionNumber
00007ff80030a040 (__TEXT,__const) external ____kernelVersionString
00007ff800307db0 (__TEXT,__text) external ___abort_with_payload
00007ff8002eb088 (__TEXT,__text) external ___accept
00007ff800307dc8 (__TEXT,__text) external ___accept_nocancel
00007ff800307de0 (__TEXT,__text) external ___access_extended
00007ff800307df8 (__TEXT,__text) external ___aio_suspend_nocancel
00007ff8002ea654 (__TEXT,__text) external ___bind
00007ff8002e7924 (__TEXT,__text) external ___bsdthread_create
00007ff8002e60b0 (__TEXT,__text) external ___bsdthread_ctl
00007ff8002e9168 (__TEXT,__text) external ___bsdthread_register
00007ff8002e6ce4 (__TEXT,__text) external ___bsdthread_terminate
00007ff8002ee020 (__TEXT,__text) non-external (was a private external) ___bzero
00007ff8002ede59 (__TEXT,__text) external ___carbon_delete
00007ff800307e10 (__TEXT,__text) external ___channel_get_info
00007ff800307e28 (__TEXT,__text) external ___channel_get_opt
00007ff800307e40 (__TEXT,__text) external ___channel_open
00007ff800307e58 (__TEXT,__text) external ___channel_set_opt
00007ff800307e70 (__TEXT,__text) external ___channel_sync
00007ff8002e78b4 (__TEXT,__text) external ___chmod
00007ff8002e8d1c (__TEXT,__text) external ___chmod_extended
00007ff8002e5d8c (__TEXT,__text) external ___close_nocancel
00007ff800307e88 (__TEXT,__text) external ___coalition
00007ff800307ea0 (__TEXT,__text) external ___coalition_info
00007ff800307eb8 (__TEXT,__text) external ___coalition_ledger
00007ff8002e6175 (__TEXT,__text) external ___commpage_gettimeofday
00007ff8002e617c (__TEXT,__text) non-external (was a private external) ___commpage_gettimeofday_internal
00007ff8002e7ed4 (__TEXT,__text) external ___connect
00007ff8002e7d70 (__TEXT,__text) external ___connect_nocancel
00007ff800307ed0 (__TEXT,__text) external ___copyfile
00007ff8002e5284 (__TEXT,__text) external ___csrctl
00007ff8002f2820 (__TEXT,__text) external ___darwin_check_fd_set_overflow
00007ff8003098a9 (__TEXT,__text) non-external ___darwin_check_fd_set_overflow.cold.1
00007ff800307ee8 (__TEXT,__text) external ___debug_syscall_reject
00007ff8002ede78 (__TEXT,__text) external ___delete
00007ff8002e6ccc (__TEXT,__text) external ___disable_threadsignal
00007ff8002e51ea (__TEXT,__text) external ___error
00007ff800307f00 (__TEXT,__text) external ___execve
00007ff8002ea1e0 (__TEXT,__text) external ___exit
00007ff8002e80c0 (__TEXT,__text) external ___fchmod
00007ff8002e8e24 (__TEXT,__text) external ___fchmod_extended
00007ff8002e5380 (__TEXT,__text) external ___fcntl
00007ff8002e7d40 (__TEXT,__text) external ___fcntl_nocancel
00007ff8002ea4d8 (__TEXT,__text) external ___fork
00007ff800307f18 (__TEXT,__text) external ___fs_snapshot
00007ff8002e8e0c (__TEXT,__text) external ___fstat64_extended
00007ff800307f30 (__TEXT,__text) external ___fstat_extended
00007ff800307f48 (__TEXT,__text) external ___fsync_nocancel
00007ff8002eb996 (__TEXT,__text) external ___get_remove_counter
00007ff8002e5204 (__TEXT,__text) external ___getattrlist
00007ff8002e6038 (__TEXT,__text) external ___getdirentries64
00007ff8002e8cec (__TEXT,__text) external ___gethostuuid
00007ff8002ed984 (__TEXT,__text) external ___getlogin
00007ff8002e7fd4 (__TEXT,__text) external ___getpeername
00007ff8002e4e8c (__TEXT,__text) external ___getpid
00007ff8002e6534 (__TEXT,__text) external ___getrlimit
00007ff800307f60 (__TEXT,__text) external ___getsgroups
00007ff8002ea564 (__TEXT,__text) external ___getsockname
00007ff8002e5f68 (__TEXT,__text) external ___gettid
00007ff8002e7969 (__TEXT,__text) external ___gettimeofday
00007ff8002e7954 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
00007ff800307f78 (__TEXT,__text) external ___getwgroups
00007ff800307f90 (__TEXT,__text) external ___guarded_open_dprotected_np
00007ff8002e74b8 (__TEXT,__text) external ___guarded_open_np
00007ff800307fa8 (__TEXT,__text) external ___identitysvc
00007ff8002e779d (__TEXT,__text) external ___inc_remove_counter
00007ff8002ed96c (__TEXT,__text) external ___initgroups
00007ff8002e7ebc (__TEXT,__text) external ___ioctl
00007ff8002e8114 (__TEXT,__text) external ___iopolicysys
00007ff800307fc0 (__TEXT,__text) external ___kdebug_trace
00007ff8002e6b58 (__TEXT,__text) external ___kdebug_trace64
00007ff800307fd8 (__TEXT,__text) external ___kdebug_trace_string
00007ff8002e8ef8 (__TEXT,__text) external ___kdebug_typefilter
00007ff80030a108 (__TEXT,__const) non-external (was a private external) ___kernelVersionNumber
00007ff80030a0d0 (__TEXT,__const) non-external (was a private external) ___kernelVersionString
00007ff8002eab94 (__TEXT,__text) external ___kill
00007ff8002e963c (__TEXT,__text) external ___kqueue_workloop_ctl
00007ff8002e8e84 (__TEXT,__text) external ___lchown
00007ff8002e8f0d (__TEXT,__text) external ___libkernel_init
00007ff8002ee262 (__TEXT,__text) external ___libkernel_init_after_boot_tasks
00007ff8002ee183 (__TEXT,__text) external ___libkernel_init_late
00007ff8002e9157 (__TEXT,__text) external ___libkernel_platform_init
00007ff8002e4e81 (__TEXT,__text) external ___libkernel_voucher_init
00007ff8002eb070 (__TEXT,__text) external ___listen
00007ff800307ff0 (__TEXT,__text) external ___log_data
00007ff8002e5df0 (__TEXT,__text) external ___lseek
00007ff8002e8d34 (__TEXT,__text) external ___lstat64_extended
00007ff800308008 (__TEXT,__text) external ___lstat_extended
00007ff800308020 (__TEXT,__text) external ___mac_execve
00007ff800308038 (__TEXT,__text) external ___mac_get_fd
00007ff800308050 (__TEXT,__text) external ___mac_get_file
