                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
00007ffc139af5a4 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
00007ffc139afd90 (__TEXT,__const) external _libopenpam
00007ffc139af9ab (__TEXT,__text) external _misc_conv
00007ffc139af75a (__TEXT,__text) external _pam_acct_mgmt
00007ffc139af68e (__TEXT,__text) external _pam_authenticate
00007ffc139af7c0 (__TEXT,__text) external _pam_chauthtok
00007ffc139af884 (__TEXT,__text) external _pam_close_session
00007ffc139af63a (__TEXT,__text) external _pam_end
00007ffc139afb51 (__TEXT,__text) external _pam_get_data
00007ffc139af946 (__TEXT,__text) external _pam_get_item
00007ffc139afcfc (__TEXT,__text) external _pam_get_pass
00007ffc139afc20 (__TEXT,__text) external _pam_get_user
00007ffc139afab8 (__TEXT,__text) external _pam_getenv
00007ffc139afb07 (__TEXT,__text) external _pam_getenvlist
00007ffc139af827 (__TEXT,__text) external _pam_open_session
00007ffc139afc85 (__TEXT,__text) external _pam_prompt
00007ffc139afa62 (__TEXT,__text) external _pam_putenv
00007ffc139afbb6 (__TEXT,__text) external _pam_set_data
00007ffc139af8e1 (__TEXT,__text) external _pam_set_item
00007ffc139af6f4 (__TEXT,__text) external _pam_setcred
00007ffc139af5d0 (__TEXT,__text) external _pam_start
00007ffc139afa15 (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
00007ffc139af532 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
00007ffc139af547 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
00007ffc139af59c (__TEXT,__text) external _xlate_pam_shim_item_type
00007ffc139af579 (__TEXT,__text) external _xlate_pam_shim_retval
00007ffc139af55c (__TEXT,__text) external _xlate_pam_shim_session_flags
00007ffc139af56c (__TEXT,__text) external _xlate_pam_shim_setcred_flags
