                 (undefined) external _CBAdvertisementDataIsConnectable (from CoreBluetooth)
                 (undefined) external _CBAdvertisementDataServiceDataKey (from CoreBluetooth)
                 (undefined) external _CBCentralManagerScanOptionAllowDuplicatesKey (from CoreBluetooth)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytes (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFNumberGetValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _DNSServiceBrowse (from libSystem)
                 (undefined) external _DNSServiceCreateConnection (from libSystem)
                 (undefined) external _DNSServiceGetAddrInfo (from libSystem)
                 (undefined) external _DNSServiceReconfirmRecord (from libSystem)
                 (undefined) external _DNSServiceRefDeallocate (from libSystem)
                 (undefined) external _DNSServiceRegister (from libSystem)
                 (undefined) external _DNSServiceRegisterRecord (from libSystem)
                 (undefined) external _DNSServiceResolve (from libSystem)
                 (undefined) external _DNSServiceSetDispatchQueue (from libSystem)
                 (undefined) external _DNSServiceUpdateRecord (from libSystem)
                 (undefined) external _IOIteratorNext (from IOKit)
                 (undefined) external _IOObjectRelease (from IOKit)
                 (undefined) external _IORegistryEntryCreateCFProperty (from IOKit)
                 (undefined) external _IORegistryEntryGetParentEntry (from IOKit)
                 (undefined) external _IOServiceGetMatchingServices (from IOKit)
                 (undefined) external _IOServiceMatching (from IOKit)
000000028e3a1c28 (__DATA_CONST,__const) external _MTRArrayValueType
0000000226da8a2c (__TEXT,__text) external _MTRAttributeNameForID
000000028e3a1ba0 (__DATA_CONST,__const) external _MTRAttributePathKey
000000028e3a1bf0 (__DATA_CONST,__const) external _MTRBooleanValueType
0000000226da7a24 (__TEXT,__text) external _MTRClusterNameForID
000000028e3a1ba8 (__DATA_CONST,__const) external _MTRCommandPathKey
000000028e3a1bd8 (__DATA_CONST,__const) external _MTRContextTagKey
000000028e3a1bb8 (__DATA_CONST,__const) external _MTRDataKey
000000028e3a29d8 (__DATA_CONST,__const) external _MTRDataVersionKey
000000028e3a1d18 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerCompressedFabricIDKey
000000028e3a1ce8 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerContextKey
000000028e3a1d08 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerIsRunningKey
000000028e3a1d00 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationControllerNodeIDKey
000000028e3a1d10 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationDeviceInternalStateKey
000000028e3a1cf8 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationNodeIDKey
000000028e3a1cf0 (__DATA_CONST,__const) external _MTRDeviceControllerRegistrationNodeIDsKey
0000000227287920 (__TEXT,__text) external _MTRDeviceControllerStorageClasses
000000028e3a1c10 (__DATA_CONST,__const) external _MTRDoubleValueType
000000028e3a1d20 (__DATA_CONST,__const) external _MTRErrorDomain
000000028e3a1bc0 (__DATA_CONST,__const) external _MTRErrorKey
000000028e3a1c58 (__DATA_CONST,__const) external _MTREventIsHistoricalKey
0000000226dafd5c (__TEXT,__text) external _MTREventNameForID
000000028e3a1c30 (__DATA_CONST,__const) external _MTREventNumberKey
000000028e3a1bb0 (__DATA_CONST,__const) external _MTREventPathKey
000000028e3a1c38 (__DATA_CONST,__const) external _MTREventPriorityKey
