0000000182771da8 (__DATA,__data) external _NDR_record
00000001806789b4 (__TEXT,__text) non-external __Xexception_raise
00000001806788a0 (__TEXT,__text) non-external __Xexception_raise_state
000000018067873c (__TEXT,__text) non-external __Xexception_raise_state_identity
0000000180660ccc (__TEXT,__text) external _____sigwait_nocancel
0000000180692af8 (__TEXT,__const) external ____kernelVersionNumber
0000000180692ac0 (__TEXT,__const) external ____kernelVersionString
0000000180660cf8 (__TEXT,__text) external ___abort_with_payload
0000000180660d24 (__TEXT,__text) external ___accept
0000000180660d50 (__TEXT,__text) external ___accept_nocancel
0000000180660d7c (__TEXT,__text) external ___access_extended
0000000180660da8 (__TEXT,__text) external ___aio_suspend_nocancel
0000000180660dd4 (__TEXT,__text) external ___bind
0000000180660e00 (__TEXT,__text) external ___bsdthread_create
0000000180660e2c (__TEXT,__text) external ___bsdthread_ctl
0000000180660e58 (__TEXT,__text) external ___bsdthread_register
0000000180660e84 (__TEXT,__text) external ___bsdthread_terminate
0000000180677908 (__TEXT,__text) external ___carbon_delete
0000000180660eb0 (__TEXT,__text) external ___channel_get_info
0000000180660edc (__TEXT,__text) external ___channel_get_opt
0000000180660f08 (__TEXT,__text) external ___channel_open
0000000180660f34 (__TEXT,__text) external ___channel_set_opt
0000000180660f60 (__TEXT,__text) external ___channel_sync
0000000180660f8c (__TEXT,__text) external ___chmod
0000000180660fb8 (__TEXT,__text) external ___chmod_extended
0000000180660fe4 (__TEXT,__text) external ___close_nocancel
0000000180661010 (__TEXT,__text) external ___coalition
000000018066103c (__TEXT,__text) external ___coalition_info
0000000180661068 (__TEXT,__text) external ___coalition_ledger
0000000180669224 (__TEXT,__text) external ___commpage_gettimeofday
000000018066922c (__TEXT,__text) non-external ___commpage_gettimeofday_internal
0000000180661094 (__TEXT,__text) external ___connect
00000001806610c0 (__TEXT,__text) external ___connect_nocancel
00000001806610ec (__TEXT,__text) external ___copyfile
0000000180661118 (__TEXT,__text) external ___crossarch_trap
0000000180661144 (__TEXT,__text) external ___csrctl
000000018066eb40 (__TEXT,__text) external ___darwin_check_fd_set_overflow
0000000180661170 (__TEXT,__text) external ___debug_syscall_reject
000000018066119c (__TEXT,__text) external ___debug_syscall_reject_config
00000001806611c8 (__TEXT,__text) external ___delete
00000001806611f4 (__TEXT,__text) external ___disable_threadsignal
00000001806699f8 (__TEXT,__text) external ___error
0000000180661220 (__TEXT,__text) external ___execve
000000018066124c (__TEXT,__text) external ___exit
0000000180661278 (__TEXT,__text) external ___fchmod
00000001806612a4 (__TEXT,__text) external ___fchmod_extended
00000001806612d0 (__TEXT,__text) external ___fcntl
00000001806612fc (__TEXT,__text) external ___fcntl_nocancel
0000000180661328 (__TEXT,__text) external ___fork
0000000180661374 (__TEXT,__text) external ___fs_snapshot
00000001806613a0 (__TEXT,__text) external ___fstat64_extended
00000001806613cc (__TEXT,__text) external ___fstat_extended
00000001806613f8 (__TEXT,__text) external ___fsync_nocancel
0000000180675240 (__TEXT,__text) external ___get_remove_counter
0000000180661424 (__TEXT,__text) external ___getattrlist
0000000180661450 (__TEXT,__text) external ___getdirentries64
000000018066147c (__TEXT,__text) external ___gethostuuid
00000001806614a8 (__TEXT,__text) external ___getlogin
00000001806614d4 (__TEXT,__text) external ___getpeername
0000000180661500 (__TEXT,__text) external ___getpid
0000000180661550 (__TEXT,__text) external ___getrlimit
000000018066157c (__TEXT,__text) external ___getsgroups
00000001806615a8 (__TEXT,__text) external ___getsockname
00000001806615d4 (__TEXT,__text) external ___gettid
000000018066162c (__TEXT,__text) external ___gettimeofday
0000000180661600 (__TEXT,__text) non-external (was a private external) ___gettimeofday_with_mach
000000018066165c (__TEXT,__text) external ___getwgroups
0000000180661688 (__TEXT,__text) external ___guarded_open_dprotected_np
00000001806616b4 (__TEXT,__text) external ___guarded_open_np
00000001806616e0 (__TEXT,__text) external ___identitysvc
0000000180675254 (__TEXT,__text) external ___inc_remove_counter
000000018066170c (__TEXT,__text) external ___initgroups
