                 (undefined) external _CCHmac (from libSystem)
                 (undefined) external _CFArrayGetCount (from CoreFoundation)
                 (undefined) external _CFArrayGetValueAtIndex (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringGetCString (from CoreFoundation)
                 (undefined) external _CFStringGetCStringPtr (from CoreFoundation)
0000000191283798 (__TEXT,__text) external _NEAuditTokenForPID
0000000191289d58 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.1
0000000191289dd8 (__TEXT,__text) non-external _NEAuditTokenForPID.cold.2
000000019128391c (__TEXT,__text) external _NECopyAuditPortForAuditToken
00000001912838c0 (__TEXT,__text) external _NECopyBootstrapPortForPID
0000000191283644 (__TEXT,__text) external _NECopySigningIdentifierForPID
0000000191283680 (__TEXT,__text) external _NECopySigningIdentifierForXPCMessage
0000000191289c04 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.1
0000000191289c88 (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.2
0000000191289ccc (__TEXT,__text) non-external _NECopySigningIdentifierForXPCMessage.cold.3
0000000191283868 (__TEXT,__text) external _NEGIDForAuditToken
                 (undefined) external _NEHelperCacheCopySigningIdentifierMapping (from libSystem)
000000019126d4b0 (__TEXT,__text) external _NEHelperTrackerAddIP
000000019126cd40 (__TEXT,__text) external _NEHelperTrackerAddIPForAllFlows
00000001d6b08126 (__DATA,__bss) non-external _NEHelperTrackerAddIPForAllFlows.buffer
000000019128473c (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.1
0000000191284b74 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.10
0000000191284be0 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.11
0000000191284c4c (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.12
00000001912847f0 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.2
0000000191284860 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.3
00000001912848cc (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.4
0000000191284938 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.5
00000001912849a4 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.6
0000000191284a10 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.7
0000000191284a80 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.8
0000000191284b08 (__TEXT,__text) non-external _NEHelperTrackerAddIPForAllFlows.cold.9
000000019126d4a8 (__TEXT,__text) external _NEHelperTrackerAddIPWithDisposition
000000019126bbb8 (__TEXT,__text) external _NEHelperTrackerAppInfoGetPID
000000019126ba10 (__TEXT,__text) external _NEHelperTrackerAppInfoIsBrowser
000000019126b970 (__TEXT,__text) external _NEHelperTrackerAppInfoSetAuditToken
000000019126b9f4 (__TEXT,__text) external _NEHelperTrackerAppInfoSetIsBrowser
000000019126b9dc (__TEXT,__text) external _NEHelperTrackerAppInfoSetPID
000000019126b958 (__TEXT,__text) external _NEHelperTrackerAppInfoSetSigningIdentifier
000000019126b998 (__TEXT,__text) external _NEHelperTrackerAppInfoSetUUID
000000019126c894 (__TEXT,__text) external _NEHelperTrackerAppendTLV
000000019126cb18 (__TEXT,__text) external _NEHelperTrackerCalculateParameterLen
000000019126c2f4 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForApp
000000019126c2d4 (__TEXT,__text) non-external _NEHelperTrackerCheckMetadataForWeb
000000019126c844 (__TEXT,__text) external _NEHelperTrackerClearCache
000000019126bc28 (__TEXT,__text) external _NEHelperTrackerContextGetDomain
000000019126bc34 (__TEXT,__text) external _NEHelperTrackerContextGetDomainOwner
00000001d6b08224 (__DATA,__bss) non-external _NEHelperTrackerDomainIsApproved.buffer
000000019126d4d0 (__TEXT,__text) external _NEHelperTrackerDumpIPEntries
