00007ff80bc859c0 (__TEXT,__const) non-external _SHA256_K
                 (undefined) external ___bzero (from libSystem)
                 (undefined) external ___stack_chk_fail (from libSystem)
                 (undefined) external ___stack_chk_guard (from libSystem)
00007ff80bc7775c (__TEXT,__text) non-external _alone_decode
00007ff80bc77a04 (__TEXT,__text) non-external _alone_decoder_end
00007ff80bc77a25 (__TEXT,__text) non-external _alone_decoder_memconfig
00007ff80bc768f8 (__TEXT,__text) non-external _alone_encode
00007ff80bc769bc (__TEXT,__text) non-external _alone_encoder_end
00007ff80bc76799 (__TEXT,__text) non-external _alone_encoder_init
00007ff80bc81538 (__TEXT,__text) non-external _arm_code
00007ff80bc815ff (__TEXT,__text) non-external _armthumb_code
00007ff80bc77be7 (__TEXT,__text) non-external _auto_decode
00007ff80bc77d03 (__TEXT,__text) non-external _auto_decoder_end
00007ff80bc77d24 (__TEXT,__text) non-external _auto_decoder_get_check
00007ff80bc77b08 (__TEXT,__text) non-external _auto_decoder_init
00007ff80bc77d3b (__TEXT,__text) non-external _auto_decoder_memconfig
00007ff80bc77fff (__TEXT,__text) non-external _block_decode
00007ff80bc78226 (__TEXT,__text) non-external _block_decoder_end
00007ff80bc7191c (__TEXT,__text) non-external _block_encode
00007ff80bc75ad3 (__TEXT,__text) non-external _block_encoder_end
00007ff80bc6fc8b (__TEXT,__text) non-external _block_encoder_init
00007ff80bc76ec9 (__TEXT,__text) non-external _block_encoder_update
00007ff80bc74898 (__TEXT,__text) non-external _bt_find_func
00007ff80bc728be (__TEXT,__text) non-external _bt_skip_func
00007ff80bc80e5c (__TEXT,__text) non-external _copy_or_code
00007ff80bc7bc66 (__TEXT,__text) non-external _decode_buffer
00007ff80bc78681 (__TEXT,__text) non-external _decoder_find
00007ff840842160 (__DATA_CONST,__const) non-external _decoders
00007ff80bc807a4 (__TEXT,__text) non-external _delta_coder_end
00007ff80bc8097b (__TEXT,__text) non-external _delta_decode
00007ff80bc80816 (__TEXT,__text) non-external _delta_encode
00007ff80bc8092a (__TEXT,__text) non-external _delta_encoder_update
00007ff80bc70282 (__TEXT,__text) non-external _encoder_find
00007ff840841f60 (__DATA_CONST,__const) non-external _encoders
00007ff80bc81840 (__TEXT,__const) non-external _features
                 (undefined) external _free (from libSystem)
00007ff80bc78459 (__TEXT,__text) non-external _free_properties
00007ff80bc749f1 (__TEXT,__text) non-external _get_literal_price
00007ff80bc78f32 (__TEXT,__text) non-external _hash_append
00007ff80bc7b1bd (__TEXT,__text) non-external _hc_find_func
00007ff80bc812af (__TEXT,__text) non-external _ia64_code
00007ff80bc87c00 (__TEXT,__const) non-external _ia64_code.BRANCH_TABLE
