0000000298fbb710 (__DATA_DIRTY,__common) external _AfterColour
0000000298fbb650 (__DATA_DIRTY,__common) external _ApplyExtTspWithoutProfile
0000000298fbb590 (__DATA_DIRTY,__common) external _AsmMacroMaxNestingDepth
0000000298fbb4d0 (__DATA_DIRTY,__common) external _BBSectionsDetectSourceDrift
                 (undefined) external _BZ2_bzBuffToBuffCompress (from libbz2)
                 (undefined) external _BZ2_bzBuffToBuffDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompress (from libbz2)
                 (undefined) external _BZ2_bzDecompressEnd (from libbz2)
                 (undefined) external _BZ2_bzDecompressInit (from libbz2)
0000000298fbb3e8 (__DATA_DIRTY,__common) external _BeforeColour
                 (undefined) external _CC_SHA256_Final (from libSystem)
                 (undefined) external _CC_SHA256_Init (from libSystem)
                 (undefined) external _CC_SHA256_Update (from libSystem)
                 (undefined) external _CFPreferencesGetAppBooleanValue (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFStringCreateWithCStringNoCopy (from CoreFoundation)
0000000298fbb320 (__DATA_DIRTY,__common) external _CheapRematWeight
0000000298fbb150 (__DATA_DIRTY,__common) external _CommonColour
0000000298fbb088 (__DATA_DIRTY,__common) external _CopyWeight
0000000298fbafc8 (__DATA_DIRTY,__common) external _DisableBitcodeVersionUpgrade
0000000298fbaf08 (__DATA_DIRTY,__common) external _EnableExtTspBlockPlacement
0000000298fbae48 (__DATA_DIRTY,__common) external _EnableLTOInternalization
0000000298fbad88 (__DATA_DIRTY,__common) external _EnableVPlanNativePath
0000000298fbacc8 (__DATA_DIRTY,__common) external _EnableVPlanPredication
0000000298fbac08 (__DATA_DIRTY,__common) external _EvictInterferenceCutoff
0000000298fbab40 (__DATA_DIRTY,__common) external _ExpensiveRematWeight
0000000298fba8e8 (__DATA_DIRTY,__common) external _FSEC
0000000298fba828 (__DATA_DIRTY,__common) external _ForceFusion
0000000295c45778 (__DATA,__common) external _ForceSummaryEdgesCold
0000000298fba768 (__DATA_DIRTY,__common) external _FuseMatrix
0000000298fba6a8 (__DATA_DIRTY,__common) external _GenerateMergedBaseProfiles
0000000298fba450 (__DATA_DIRTY,__common) external _InlinerFunctionImportStats
0000000245801aa8 (__TEXT,__text) external _LLVMABIAlignmentOfType
0000000245801a20 (__TEXT,__text) external _LLVMABISizeOfType
0000000244fd4160 (__TEXT,__text) external _LLVMAGXRuntimeMajorVersion
0000000244fd4168 (__TEXT,__text) external _LLVMAGXRuntimeMinorVersion
000000024605136c (__TEXT,__text) external _LLVMAddAddDiscriminatorsPass
0000000245edd108 (__TEXT,__text) external _LLVMAddAggressiveDCEPass
000000024488d1b4 (__TEXT,__text) external _LLVMAddAggressiveInstCombinerPass
0000000244e45dd4 (__TEXT,__text) external _LLVMAddAlias
0000000244e45e30 (__TEXT,__text) external _LLVMAddAlias2
0000000245edd204 (__TEXT,__text) external _LLVMAddAlignmentFromAssumptionsPass
0000000245171478 (__TEXT,__text) external _LLVMAddAlwaysInlinerPass
000000024601696c (__TEXT,__text) external _LLVMAddAnalysisPasses
0000000245d6979c (__TEXT,__text) external _LLVMAddArgumentPromotionPass
0000000244e46524 (__TEXT,__text) external _LLVMAddAttributeAtIndex
0000000245edde20 (__TEXT,__text) external _LLVMAddBasicAliasAnalysisPass
0000000245edd1b0 (__TEXT,__text) external _LLVMAddBitTrackingDCEPass
0000000245edd258 (__TEXT,__text) external _LLVMAddCFGSimplificationPass
0000000244e4740c (__TEXT,__text) external _LLVMAddCallSiteAttribute
0000000245d697f4 (__TEXT,__text) external _LLVMAddCalledValuePropagationPass
0000000244e488f4 (__TEXT,__text) external _LLVMAddCase
0000000245c5b9f0 (__TEXT,__text) external _LLVMAddClause
0000000245d69848 (__TEXT,__text) external _LLVMAddConstantMergePass
00000002459a4bdc (__TEXT,__text) external _LLVMAddCoroCleanupPass
