                 (undefined) external _abort (from libSystem)
                 (undefined) external _dlerror (from libSystem)
0000000268c224e0 (__TEXT,__text) external _dlfailure
                 (undefined) external _dlopen (from libSystem)
                 (undefined) external _dlsym (from libSystem)
0000000268c22f5c (__TEXT,__const) external _libopenpam
0000000268c22a00 (__TEXT,__text) external _misc_conv
0000000268c2270c (__TEXT,__text) external _pam_acct_mgmt
0000000268c22614 (__TEXT,__text) external _pam_authenticate
0000000268c22788 (__TEXT,__text) external _pam_chauthtok
0000000268c22880 (__TEXT,__text) external _pam_close_session
0000000268c225a0 (__TEXT,__text) external _pam_end
0000000268c22c48 (__TEXT,__text) external _pam_get_data
0000000268c2297c (__TEXT,__text) external _pam_get_item
0000000268c22e78 (__TEXT,__text) external _pam_get_pass
0000000268c22d58 (__TEXT,__text) external _pam_get_user
0000000268c22b70 (__TEXT,__text) external _pam_getenv
0000000268c22be0 (__TEXT,__text) external _pam_getenvlist
0000000268c22808 (__TEXT,__text) external _pam_open_session
0000000268c22ddc (__TEXT,__text) external _pam_prompt
0000000268c22afc (__TEXT,__text) external _pam_putenv
0000000268c22ccc (__TEXT,__text) external _pam_set_data
0000000268c228f8 (__TEXT,__text) external _pam_set_item
0000000268c22690 (__TEXT,__text) external _pam_setcred
0000000268c22514 (__TEXT,__text) external _pam_start
0000000268c22a8c (__TEXT,__text) external _pam_strerror
                 (undefined) external _syslog$DARWIN_EXTSN (from libSystem)
0000000268c22480 (__TEXT,__text) external _xlate_pam_shim_authenticate_flags
0000000268c22490 (__TEXT,__text) external _xlate_pam_shim_chauthtok_flags
0000000268c224dc (__TEXT,__text) external _xlate_pam_shim_item_type
0000000268c224b8 (__TEXT,__text) external _xlate_pam_shim_retval
0000000268c224a4 (__TEXT,__text) external _xlate_pam_shim_session_flags
0000000268c224b0 (__TEXT,__text) external _xlate_pam_shim_setcred_flags
