                 (undefined) external _AuthorizationCopyInfo (from Security)
                 (undefined) external _AuthorizationCopyRights (from Security)
                 (undefined) external _AuthorizationCreate (from Security)
                 (undefined) external _AuthorizationFree (from Security)
                 (undefined) external _AuthorizationFreeItemSet (from Security)
                 (undefined) external _CC_SHA1_Final (from libSystem)
                 (undefined) external _CC_SHA1_Init (from libSystem)
                 (undefined) external _CC_SHA1_Update (from libSystem)
                 (undefined) external _CFBooleanGetTypeID (from CoreFoundation)
                 (undefined) external _CFBooleanGetValue (from CoreFoundation)
                 (undefined) external _CFDataGetBytePtr (from CoreFoundation)
                 (undefined) external _CFDataGetLength (from CoreFoundation)
                 (undefined) external _CFDictionaryCreateMutable (from CoreFoundation)
                 (undefined) external _CFDictionaryGetTypeID (from CoreFoundation)
                 (undefined) external _CFDictionaryGetValue (from CoreFoundation)
                 (undefined) external _CFDictionarySetValue (from CoreFoundation)
                 (undefined) external _CFGetTypeID (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateData (from CoreFoundation)
                 (undefined) external _CFPropertyListCreateWithStream (from CoreFoundation)
                 (undefined) external _CFReadStreamCreateWithFile (from CoreFoundation)
                 (undefined) external _CFReadStreamOpen (from CoreFoundation)
                 (undefined) external _CFRelease (from CoreFoundation)
                 (undefined) external _CFRetain (from CoreFoundation)
                 (undefined) external _CFStringCreateWithFormat (from CoreFoundation)
                 (undefined) external _CFURLCreateWithFileSystemPath (from CoreFoundation)
000000018f090ed0 (__TEXT,__text) external _FSp_krb_get_svc_in_tkt
000000018f08d650 (__TEXT,__text) external _FSp_profile_init
000000018f08d658 (__TEXT,__text) external _FSp_profile_init_path
000000018f090ed8 (__TEXT,__text) external _FSp_put_svc_key
000000018f090ee0 (__TEXT,__text) external _FSp_read_service_key
00000001d964eb50 (__DATA,__data) external _GSS_C_NT_ANONYMOUS
00000001d964eb68 (__DATA,__data) external _GSS_C_NT_EXPORT_NAME
00000001d964eb28 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE
00000001d964eb10 (__DATA,__data) external _GSS_C_NT_HOSTBASED_SERVICE_X
00000001d964eae0 (__DATA,__data) external _GSS_C_NT_MACHINE_UID_NAME
00000001d964eaf8 (__DATA,__data) external _GSS_C_NT_STRING_UID_NAME
00000001d964eac8 (__DATA,__data) external _GSS_C_NT_USER_NAME
00000001d964ebf0 (__DATA,__data) external _GSS_KRB5_MECHANISM
00000001d964ebc0 (__DATA,__data) external _GSS_KRB5_NT_MACHINE_UID_NAME
00000001d964eb88 (__DATA,__data) external _GSS_KRB5_NT_PRINCIPAL_NAME
00000001d964ebd0 (__DATA,__data) external _GSS_KRB5_NT_STRING_UID_NAME
00000001d964ebb0 (__DATA,__data) external _GSS_KRB5_NT_USER_NAME
000000018f091008 (__TEXT,__text) external _K5ClientGetAuthenticatorForServiceDeprecated
000000018f091000 (__TEXT,__text) external _K5ClientGetTicketForServiceDeprecated
000000018f090f70 (__TEXT,__text) external _KClientAddCredentialsDeprecated
000000018f090f08 (__TEXT,__text) external _KClientAddRealmMapDeprecated
000000018f090f28 (__TEXT,__text) external _KClientAddServerMapDeprecated
000000018f091170 (__TEXT,__text) external _KClientAddServiceKey
000000018f090ee8 (__TEXT,__text) external _KClientCacheInitialTicketDeprecated
000000018f0911b8 (__TEXT,__text) external _KClientDecrypt
000000018f091068 (__TEXT,__text) external _KClientDecryptCompat
000000018f090f78 (__TEXT,__text) external _KClientDeleteCredentialsDeprecated
000000018f090f10 (__TEXT,__text) external _KClientDeleteRealmMapDeprecated
000000018f090f30 (__TEXT,__text) external _KClientDeleteServerMapDeprecated
000000018f090f60 (__TEXT,__text) external _KClientDeleteSessionDeprecated
000000018f0911f0 (__TEXT,__text) external _KClientDisposePrincipal
000000018f0910e8 (__TEXT,__text) external _KClientDisposeSession
000000018f091020 (__TEXT,__text) external _KClientDisposeSessionCompat
000000018f0911b0 (__TEXT,__text) external _KClientEncrypt
000000018f091060 (__TEXT,__text) external _KClientEncryptCompat
000000018f091180 (__TEXT,__text) external _KClientGetAuthenticatorForService
000000018f0911d0 (__TEXT,__text) external _KClientGetCCacheReference
000000018f0910f0 (__TEXT,__text) external _KClientGetClientPrincipal
000000018f090f68 (__TEXT,__text) external _KClientGetCredentialsDeprecated
000000018f0911a0 (__TEXT,__text) external _KClientGetEncryptedServiceReply
000000018f090f98 (__TEXT,__text) external _KClientGetErrorTextDeprecated
000000018f091138 (__TEXT,__text) external _KClientGetExpirationTime
000000018f091110 (__TEXT,__text) external _KClientGetLocalAddress
